provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2008 FT141,nan,MBO,MBO,21163641508540756,745416142816805361,14.976569,2.435799,1.5553206,227.14399904309636,-38.58718980168699,2025061900266,78,60846.191807329466,g,227.14395233303685,-38.58722845218968,78.79936218261719,15548.8,196.353,False,14747.1,0.612641,20421.5,197.32,False,4631.58,4.76669,20.92075782018093,0.013710869021714664,20.978233465740665,4.510490243940458e-05,20.62478090319899,0.010490780592759765,22.235677056934364,0.0011174086555447943
2008 FT141,nan,MBO,MBO,21163641508540756,745416142956265938,14.976737,2.435798,1.5553228,227.14388996547268,-38.58720745122836,2025061900267,88,60846.19228652783,g,227.14386286749985,-38.587243280056924,85.92572784423828,15392.3,179.337,False,14965.8,1.50143,22544.4,180.145,False,6934.08,4.44124,20.93174121555038,0.0126500056729713,20.96225017141954,0.00010892548135025465,20.51740327764068,0.008675766481075011,21.79752786801756,0.0006954080176860374
2008 FT141,nan,MBO,MBO,21163641508540756,745416143084716189,14.976899,2.4357967,1.555325,227.14378431511864,-38.58722454199158,2025061900268,77,60846.192750367045,g,227.14376826709233,-38.58726591738122,74.8963623046875,14918.3,199.005,False,14549.0,4.16219,28056.7,199.3,False,12829.6,4.1999,20.96570167331062,0.014483348743363312,20.9929171403046,0.00031060831199214087,20.279908559160408,0.007712497725929563,21.129467242568598,0.00035542680897201855
2008 FT141,nan,MBO,MBO,21163641508540756,745416143219458275,14.977062,2.4357958,1.5553272,227.1436779932996,-38.587241737198646,2025061900269,78,60846.19321768653,g,227.1436684925215,-38.587280797599476,64.14562225341797,14187.5,220.885,False,14012.8,11.2883,36810.4,222.805,False,22290.7,4.0543,21.020235313657004,0.016903812202563685,21.033687706353074,0.0008746371670093482,19.98507370425951,0.006571714988624688,20.529690770692408,0.00019747698664304895
2008 FT141,nan,MBO,MBO,21163641508540756,745416143333753270,14.977225,2.4357946,1.5553293,227.14357213818303,-38.58725885278423,2025061900270,40,60846.19368268379,g,227.14355440404466,-38.58730089589359,75.1179428100586,14724.8,196.94,False,14273.9,3.61747,44707.2,198.801,False,29667.8,6.10769,20.9798765026952,0.014521412423394716,21.01364334565237,0.0002751608228576957,19.774056341542288,0.004827979418247199,20.219286614825265,0.00022351976995525096
2008 FT141,nan,MBO,MBO,21163641508540756,745424936751333564,15.601845,2.4315588,1.5640355,226.75735912944927,-38.658374411936414,2025062100250,57,60848.02981565961,r,226.7573136430971,-38.658410207101895,104.36800384521484,18773.3,177.614,False,18471.9,0.386963,19009.8,177.653,False,-122.072,16.1911,20.716148404081522,0.010272138650308257,20.73372105502345,2.27448037719225e-05,20.702556086065897,0.010146571027804143,nan,nan
2008 FT141,nan,MBO,MBO,21163641508540756,745424936881357194,15.601995,2.431558,1.5640377,226.7572660278614,-38.6583912502154,2025062100251,49,60848.03025114289,r,226.75721600445917,-38.65843024814723,110.65853881835938,19064.9,170.661,False,17355.0,0.0946422,18947.8,169.259,False,-115.844,28.9254,20.69941364866328,0.009719055318406248,20.801438454981422,5.920856385911854e-06,20.70610297532076,0.009698784007630263,nan,nan
2008 FT141,nan,MBO,MBO,21163641508540756,745424937126723662,15.602301,2.4315557,1.564042,226.75707725605213,-38.65842537046429,2025062100253,5,60848.03113540527,r,226.75703439449066,-38.65846823020051,85.5703353881836,18315.4,211.855,False,17367.0,0.221356,18291.3,212.012,False,-123.308,29.0767,20.742958957098868,0.01255875569818317,20.800687989283833,1.3838557505659578e-05,20.744388521706522,0.012584621500631036,nan,nan
2008 FT141,nan,MBO,MBO,21163641508540756,745424937417703720,15.602611,2.4315538,1.5640464,226.7568854864871,-38.65846000394478,2025062100255,48,60848.03203380895,r,226.7568387940364,-38.6584989219659,94.73792266845703,17993.4,190.134,False,16500.5,0.0243148,18211.0,191.434,False,-96.9427,24.6223,20.76221688994963,0.01147283815119434,20.85625723886661,1.5999187280739634e-06,20.749165514074242,0.011413257418640774,nan,nan
2008 FT141,nan,MBO,MBO,21163641508540756,745424938655547714,15.604045,2.431544,1.5640665,226.75599871982,-38.65861977907444,2025062100264,105,60848.03618528384,r,226.75594686030206,-38.65865954322699,76.56262969970703,18910.9,245.534,False,17426.1,0.338536,18877.7,244.598,False,-176.188,10.8545,20.70821948230691,0.014096904117808616,20.79699951955747,2.109254473778626e-05,20.710127344677744,0.014067864359619087,nan,nan
