provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2008 SW261,nan,MBO,MBO,21163641727430999,745200689926897871,16.374329,2.7368097,1.9773378,271.8709597208276,-22.72544767273441,2025050100649,47,60797.281717596794,g,271.87083087678036,-22.725235508008286,6.298906326293945,1033.08,169.594,False,1347.55,34.0377,8179.54,169.896,False,7057.83,4.5198,23.8646651615215,0.17823822683698184,23.57613773970142,0.027424557594652885,21.618177793423605,0.0225516634335801,21.77832200443467,0.0006953002050294645
2008 SW261,nan,MBO,MBO,21163641727430999,745200691684311316,16.372732,2.7368028,1.9772621,271.8706089832998,-22.725432876045417,2025050100662,71,60797.28820217203,g,271.87039704224094,-22.72536175662936,5.10227632522583,1018.35,192.073,False,1093.76,10.7134,21454.3,193.108,False,20399.6,7.92047,23.880257356704405,0.20478284768057242,23.802694898544452,0.010634806565978153,20.571214087562964,0.009772602287144933,20.625945891379555,0.00042155441579660785
2008 SW261,nan,MBO,MBO,21163641727430999,745200691928105010,16.37249,2.7368019,1.9772507,271.8705556267125,-22.72543057204937,2025050100664,24,60797.28918785686,g,271.870347495953,-22.725359478966215,5.552292346954346,1215.93,214.656,False,1203.67,44.0862,22612.8,212.998,False,21415.2,5.18065,23.687728517759112,0.19167204266315618,23.698731369350014,0.0397666989274339,20.51411410845433,0.0102269348928087,20.57319470286484,0.00026265548436080693
2008 SW261,nan,MBO,MBO,21163641727430999,745200692617543722,16.371859,2.7367992,1.9772208,271.87041663803257,-22.725424504205535,2025050100669,59,60797.291751934696,g,271.87021345831107,-22.725384021107267,6.325736999511719,1163.4,181.379,False,1172.41,6.01491,17220.3,178.395,False,15903.6,4.92757,23.735677328559845,0.16927087894497514,23.727301183170535,0.005570240449184805,20.80989816784814,0.011247766072558247,20.896261416626828,0.00033640440759294903
2008 SW261,nan,MBO,MBO,21163641727430999,745200693286010917,16.371231,2.7367966,1.9771912,271.8702787042971,-22.725418387542376,2025050100674,54,60797.29429340684,g,271.87006543477526,-22.725406978946832,5.593295574188232,1121.76,192.535,False,1625.14,15.2958,14017.8,190.514,False,12914.2,4.30903,23.775250116128447,0.18635200251332495,23.372773040605573,0.010218937394942037,21.03330036672017,0.014756092854269673,21.122331213664378,0.0003622733013607796
2008 SW261,nan,MBO,MBO,21163641727430999,745200694120153308,16.370474,2.7367933,1.9771553,271.8701115636897,-22.725410848448128,2025050100680,109,60797.29737012891,g,271.8698387987411,-22.72547235129025,5.49147891998291,828.961,148.691,False,857.291,5.67308,7485.53,146.657,False,6526.42,6.25431,24.10366475480471,0.19474884352553162,24.067179319094837,0.007184804460724452,21.71444364306927,0.021271815974706225,21.863312465856254,0.0010404679788273013
2008 SW261,nan,MBO,MBO,21163641727430999,745200694791241805,16.369852,2.7367907,1.977126,271.8699743768703,-22.72540455579322,2025050100685,109,60797.29989384275,g,271.86978175233503,-22.72546396807586,6.614531993865967,1132.14,169.079,False,1362.83,14.5903,7778.93,166.273,False,6456.7,4.42198,23.76524964879487,0.16214883644250522,23.56389582217802,0.011623766010187225,21.672700316877478,0.023207382822617403,21.874973446926496,0.0007435847311233411
2008 SW261,nan,MBO,MBO,21163641727430999,745200695462330605,16.369211,2.736788,1.9770957,271.86983293158505,-22.72539796857109,2025050100690,109,60797.30249235105,g,271.86965729019875,-22.725433946906225,5.244683742523193,704.271,131.086,False,831.486,4.93879,3706.35,129.078,False,3106.13,7.53464,24.280650491839733,0.20208813842384116,24.10036261688399,0.006448963414754786,22.47763390027959,0.037812040774901315,22.669450970513008,0.002633705468765959
2008 SW261,nan,MBO,MBO,21163641727430999,745200695731290255,16.36895,2.7367868,1.9770834,271.86977509871144,-22.72539524613636,2025050100692,110,60797.30355416398,g,271.8695215733742,-22.725410638098396,5.913208961486816,954.151,155.732,False,870.988,19.1517,3195.57,154.978,False,2131.51,5.36725,23.950957224399474,0.17720870662478652,24.049969600886875,0.023873685550158254,22.638629138397455,0.05265577611992518,23.0782815588138,0.002733938654293743
2008 SW261,nan,MBO,MBO,21163641727430999,745200695955161275,16.368694,2.7367857,1.9770713,271.8697186077817,-22.72539257052142,2025050100694,25,60797.30459107594,g,271.8694939872223,-22.725410084589004,5.926594257354736,827.341,139.032,False,901.064,17.745,2399.43,139.763,False,1474.71,6.04308,24.1057886282397,0.18245448113670365,24.01311087189199,0.02138182117061712,22.949729819628068,0.06324241759041406,23.478233465740665,0.004449139667123621
2008 SW261,nan,MBO,MBO,21163641727430999,745200696133943449,16.368572,2.7367852,1.9770656,271.8696917447538,-22.725391292514956,2025050100695,110,60797.30508495514,g,271.86942038592696,-22.725356452343323,5.735128402709961,846.952,142.825,False,796.916,19.3923,2102.37,141.394,False,1116.0,4.97532,24.08035297144024,0.18309215316045152,24.146468612671878,0.026420502804539833,23.093227062702805,0.07302072105772227,23.780839513496097,0.0048403986602353925
2008 SW261,nan,MBO,MBO,21163641727430999,745200696484167965,16.36816,2.7367835,1.9770461,271.8696007169934,-22.72538693463063,2025050100698,10,60797.30675439897,g,271.869340488257,-22.72533109928665,6.2065229415893555,842.882,131.929,False,892.958,2.4016,1372.05,131.115,False,519.619,6.34241,24.085583026855847,0.1699408570228216,24.0229224093411,0.0029200745394796744,23.556575116009316,0.103754457479577,24.610787404283336,0.013252371471445595
2008 SW261,nan,MBO,MBO,21163641727430999,745200697313067174,16.367388,2.7367802,1.9770097,271.8694295993063,-22.72537862833324,2025050100704,55,60797.30989170977,g,271.86922798585186,-22.725408809444755,5.314157485961914,761.07,143.216,False,765.891,32.9479,1496.52,138.865,False,607.793,5.7912,24.196438481607714,0.20431077103976755,24.18958259708194,0.046707334436202785,23.46229367264618,0.100747575755846,24.440610711870864,0.010345159249358174
2008 SW261,nan,MBO,MBO,21163641727430999,745200697477169571,16.367264,2.7367797,1.9770039,271.8694022557588,-22.725377287193588,2025050100705,112,60797.31039287135,g,271.8691713329425,-22.725382534679856,5.005776405334473,739.52,142.153,False,709.599,19.3878,1304.3,141.339,False,550.508,5.84026,24.227625161827394,0.20870382749107472,24.272467514504044,0.02966469323495491,23.611556223656294,0.11765457993045661,24.548090922329493,0.011518419004138782
2008 SW261,nan,MBO,MBO,21163641727430999,745205072684646480,16.152607,2.7358468,1.9668146,271.8252586904084,-22.72247235139728,2025050200535,70,60798.19634901412,r,271.8250942837519,-22.722575623042584,6.023951053619385,1672.14,273.063,False,2294.92,16.4894,144.883,252.328,False,-366.893,9.29418,23.34181840061077,0.17730236102192126,22.998081159951393,0.0078012044523996975,25.997456457786285,1.8909165089401019,nan,nan
