provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2009 DF158,nan,MBO,MBO,21163645770020934,745306290703565350,10.291276,2.3051612,1.3424841,227.61214521406768,-41.27301172197514,2025052501004,72,60821.28659021382,g,227.61213088455563,-41.273027844752775,102.27542114257812,22415.7,218.018,False,21596.1,0.183024,22317.1,212.077,False,25.7545,7.72402,20.52361927381473,0.010560011508476548,20.56406169516464,9.201466523464734e-06,20.52840562038143,0.010317634308247323,27.872867216627544,0.3256226425965606
2009 DF158,nan,MBO,MBO,21163645770020934,745315056295084464,10.603691,2.3049076,1.3451678,227.18956364116744,-41.13455956366624,2025052700777,7,60823.17627479702,i,227.1895403582808,-41.13457979036117,90.24658203125,36458.6,403.734,False,36154.5,0.418975,36525.1,388.006,False,-50.6614,12.5615,19.99549998383625,0.012023188264173345,20.004594100450586,1.2582011136249127e-05,19.99352141945802,0.011533771484004376,nan,nan
2009 DF158,nan,MBO,MBO,21163645770020934,745315056966697176,10.604175,2.3049073,1.3451722,227.1889594003589,-41.13435578430492,2025052700782,8,60823.17887512216,i,227.1889444089045,-41.134372937237714,96.8150863647461,37478.1,386.489,False,38019.4,0.214712,38558.2,370.609,False,917.161,12.7264,19.96555604057938,0.011196541377236798,19.949986897617855,6.131622145252841e-06,19.93470814281138,0.010435747177117614,23.993886039400138,0.015065526643572755
2009 DF158,nan,MBO,MBO,21163645770020934,745315058178850951,10.604998,2.3049066,1.3451796,227.1879308508016,-41.134008104070766,2025052700791,16,60823.18330405966,i,227.1879200192041,-41.13402313139796,100.0128173828125,36416.0,362.357,False,36201.4,0.843911,37650.9,349.166,False,505.334,13.2072,19.996769399052603,0.010803605780864195,20.003186631542846,2.5310202293639346e-05,19.9605616401726,0.010068873977349315,24.64105366919288,0.028376350761191035
2009 DF158,nan,MBO,MBO,21163645770020934,745315058720440766,10.605375,2.3049064,1.345183,227.18745818966303,-41.13384798858925,2025052700795,25,60823.18534069705,i,227.1874408850789,-41.13386573111149,105.40985870361328,38060.8,360.227,False,36648.4,0.206588,36949.5,336.31,False,-321.849,13.3171,19.948805196505866,0.010275965735619619,19.989862499006925,6.120323962185958e-06,19.980978585237175,0.00988224307152961,nan,nan
2009 DF158,nan,MBO,MBO,21163645770020934,745315059388383417,10.605834,2.3049061,1.3451871,227.186885847116,-41.13365381534131,2025052700800,19,60823.187806093454,i,227.18687077104573,-41.13367158877074,70.94509887695312,36797.0,518.091,False,37558.7,1.00883,34531.1,483.18,False,-732.435,11.8974,19.98546896802784,0.015286848378138337,19.963223642978438,2.916296957401356e-05,20.054473917948805,0.015192275592869411,nan,nan
2009 DF158,nan,MBO,MBO,21163645770020934,745315060336820642,10.606544,2.3049057,1.3451935,227.1859991136948,-41.13335234948376,2025052700807,36,60823.191628176886,i,227.18598455524102,-41.13336524823394,97.63958740234375,37327.8,382.06,False,36798.7,0.191039,36430.9,364.326,False,-523.684,11.8745,19.96991899094253,0.011112799657555308,19.985418831855846,5.636556695236772e-06,19.99632529577407,0.010857868823081608,nan,nan
2009 DF158,nan,MBO,MBO,21163645770020934,745319428575986064,10.81008,2.3047812,1.3470981,226.95162140458223,-41.04779352207326,2025052800585,15,60824.27046670513,g,226.95160597531157,-41.04781131339292,107.60227966308594,21511.9,199.949,False,20930.0,0.195768,21614.2,197.669,False,-91.9586,4.26668,20.568303054377058,0.010091710635956255,20.59807692915328,1.0155394358175313e-05,20.563152124859748,0.009929416980853877,nan,nan
2009 DF158,nan,MBO,MBO,21163645770020934,745319428846518860,10.810274,2.3047812,1.3471001,226.9514029758599,-41.04770935986405,2025052800587,19,60824.27144834303,g,226.95139217434343,-41.04772710654712,98.95789337158203,21733.0,219.216,False,20793.9,0.150741,22074.5,216.408,False,117.765,4.32058,20.557200799992835,0.010951582918753531,20.605160101918024,7.870815663602503e-06,20.54027281164101,0.010644046559070756,26.222459414589082,0.039833653139695224
2009 DF158,nan,MBO,MBO,21163645770020934,745319429247599071,10.810563,2.304781,1.347103,226.9510770079793,-41.0475836597965,2025052800590,16,60824.27291429491,g,226.95105892877768,-41.047596110512806,99.04196166992188,21802.6,219.666,False,21929.5,0.282667,23169.7,219.88,False,688.745,4.00274,20.553729301688406,0.01093903175883,20.547428175675826,1.3994929558720767e-05,20.487699010096165,0.010303615931728237,24.30485386000878,0.006309911019785503
2009 DF158,nan,MBO,MBO,21163645770020934,745319430475481529,10.811431,2.3047805,1.3471118,226.9501010740076,-41.047206587320765,2025052800599,54,60824.27730721195,g,226.9500832423205,-41.04722506784913,112.50426483154297,21488.3,190.23,False,20818.7,0.0378067,21464.9,186.65,False,-114.64,4.20631,20.56949481405217,0.009611722941471166,20.603866023250934,1.971693982158844e-06,20.570677806384634,0.009441117932222385,nan,nan
2009 DF158,nan,MBO,MBO,21163645770020934,745319431394558016,10.812796,2.3047798,1.3471258,226.94856641704092,-41.04661142279428,2025052800606,15,60824.28422727567,u,226.94855928426477,-41.04665805937559,16.502309799194336,6187.97,373.588,False,6509.56,1.27135,6197.36,364.581,False,-29.0849,14.3188,21.92112946349831,0.06554944787451317,21.866120904378818,0.00021204977600106269,21.919483212143295,0.06387216380968118,nan,nan
