provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2012 UZ208,nan,MBO,MBO,21164715502418010,745174274970484867,19.140123,2.5292995,1.8194386,271.5635017830933,-23.310015236888,2025042500450,108,60791.277617615146,i,271.5634294334879,-23.31000408498183,5.935093402862549,2745.23,434.659,False,2370.63,13.2556,4033.58,300.528,False,1645.09,72.998,22.803553167137878,0.17190727650161017,22.962840613577704,0.0060709961152645014,22.385773291613134,0.08089442635528676,23.35952586648724,0.04817765247764952
2012 UZ208,nan,MBO,MBO,21164715502418010,745174275209038114,19.139866,2.5293005,1.8194278,271.56349155159745,-23.309992274107568,2025042500452,51,60791.27868052027,i,271.56347753484107,-23.310049766296014,7.559552192687988,2153.03,283.155,False,2225.35,6.3038,1807.6,251.327,False,-538.502,31.186,23.06737478207507,0.14279022101392888,23.031504137528387,0.0030755897734489044,23.25724418301641,0.15095973794675674,nan,nan
2012 UZ208,nan,MBO,MBO,21164715502418010,745174275466461758,19.139608,2.5293016,1.8194171,271.56348123620967,-23.30996918474891,2025042500454,30,60791.27974874296,i,271.5634571518239,-23.30994622083814,6.1829094886779785,2392.65,373.206,False,2436.24,79.4019,5170.32,332.993,False,3270.64,20.7794,22.952802109090626,0.16935334281215164,22.933199830634912,0.0353862998941084,22.11620647901691,0.06992653854716864,22.61341817597274,0.006898022250992648
2012 UZ208,nan,MBO,MBO,21164715502418010,745174275639476837,19.13948,2.5293021,1.8194118,271.5634761136387,-23.30995774125612,2025042500455,104,60791.28027748602,i,271.5634446656936,-23.31002062278584,5.656578063964844,1814.15,318.565,False,nan,nan,2239.81,283.476,False,360.283,37.2037,23.253317002559903,0.19065543205623736,nan,nan,23.024472023363497,0.13741351393303336,25.00839060572489,0.11211577100399839
2012 UZ208,nan,MBO,MBO,21164715502418010,745174276041606642,19.139093,2.5293036,1.8193958,271.56346056744405,-23.309923101601115,2025042500458,103,60791.28187701356,i,271.5635006066654,-23.30995224000666,7.406427383422852,2148.71,295.128,False,2555.16,12.8346,2704.07,270.667,False,363.274,15.8562,23.06955550718272,0.14912722070004386,22.881454786990048,0.005453666643178994,22.819955147665894,0.10867800960100651,24.99941424953927,0.04739026539628006
2012 UZ208,nan,MBO,MBO,21164715502418010,745174276332585348,19.13884,2.5293047,1.8193852,271.5634503422498,-23.30990038977271,2025042500460,146,60791.28292506441,i,271.56346189130693,-23.3099001500869,6.772810459136963,2155.28,319.011,False,2037.62,16.5881,4125.92,278.332,False,2220.58,21.1259,23.066240738030153,0.16070384027315504,23.127192015754932,0.00883889108460377,22.36119801326859,0.0732430914462891,23.033833901912846,0.010329352679344421
2012 UZ208,nan,MBO,MBO,21164715502418010,745174276551737370,19.138582,2.5293057,1.8193744,271.5634398975623,-23.30987724752956,2025042500462,52,60791.28399201683,i,271.5634563526783,-23.30993207425907,6.519908905029297,2180.63,336.472,False,2622.85,40.6786,3506.49,296.684,False,2145.13,28.1648,23.053545101863154,0.16752949169976383,22.85306632424947,0.016839021473742513,22.537818491294274,0.091864100776489,23.07136601781113,0.014255334375747386
2012 UZ208,nan,MBO,MBO,21164715502418010,745174276734715231,19.138454,2.5293062,1.8193692,271.56343470661466,-23.30986576701857,2025042500463,145,60791.284521776055,i,271.5634379643769,-23.309863655823406,7.008561134338379,2239.15,311.194,False,2228.78,46.4709,5632.26,271.751,False,3477.48,19.4776,23.02479207781938,0.15089413728617074,23.029831980859395,0.022638008036420278,22.02329330823734,0.05238570650932725,22.546838403804905,0.006081281769154934
2012 UZ208,nan,MBO,MBO,21164715502418010,745200689688346751,17.601608,2.5350547,1.762061,271.40627471057974,-23.169376629219663,2025050100647,104,60797.28074399984,g,271.40623354159464,-23.169404290806348,6.159658908843994,1012.98,166.017,False,1058.89,4.00937,980.785,166.953,False,100.096,4.19522,23.885997843800347,0.17794099501000435,23.83787286770079,0.004111019977866396,23.921065491776638,0.1848182065766007,26.39895818594821,0.04550533691072143
2012 UZ208,nan,MBO,MBO,21164715502418010,745200689925324822,17.60133,2.5350554,1.762052,271.4062188466363,-23.16935437804174,2025050100649,44,60797.281717596794,g,271.40616120976955,-23.16934994315865,8.36504077911377,1408.5,166.389,False,1311.01,9.54072,1722.61,163.88,False,12.2225,3.9156,23.528107871695518,0.12826025530049143,23.605984980978107,0.007901316565897307,23.30953259915845,0.103291201171631,28.682099898714842,0.34782645147124486
