provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2012 VA88,nan,MBO,MBO,21164715517950017,745174275352690921,15.670376,3.0724845,2.3890903,271.62122983406533,-22.85748563978441,2025042500453,69,60791.279216819836,i,271.6211746642039,-22.857508680035465,7.605962753295898,2491.41,323.526,False,2507.97,44.2637,4708.58,273.617,False,2031.22,37.0427,22.908887030093574,0.1409900035853462,22.901694169639192,0.019162390564442293,22.21777509799862,0.06309245738195136,23.130607605459495,0.019800220045508788
2012 VA88,nan,MBO,MBO,21164715517950017,745174275621126882,15.670191,3.0724819,2.3890748,271.6212172229312,-22.85745509295585,2025042500455,69,60791.28027748602,i,271.621234763416,-22.85743924039908,8.527986526489258,3022.55,358.333,False,3553.7,34.3404,6033.5,315.154,False,3182.54,28.7179,22.699066247880197,0.12871751125932546,22.523298109202003,0.010491773878950337,21.94857670732761,0.05671237239775997,22.643065309614265,0.009797225686509417
2012 VA88,nan,MBO,MBO,21164715517950017,745174276040557086,15.66991,3.0724776,2.3890517,271.62119815463706,-22.85740900159976,2025042500458,101,60791.28187701356,i,271.62119776326176,-22.8574067228736,8.627683639526367,2862.99,331.8,False,2881.13,13.32,3038.4,306.39,False,1456.3,41.078,22.757950425958555,0.12582903213561022,22.751092907650836,0.00501956055584706,22.693387666413948,0.10948484148632874,23.49187283981489,0.03062546821587798
2012 VA88,nan,MBO,MBO,21164715517950017,745174276314236597,15.669726,3.0724747,2.3890364,271.621185632316,-22.85737879449469,2025042500460,111,60791.28292506441,i,271.62117983301465,-22.857370956595595,9.721667289733887,3313.35,338.67,False,2965.36,0.411429,1814.84,291.438,False,483.753,25.2171,22.599331682369368,0.11097719353729503,22.71980639810189,0.00015064050629760872,23.252904163519304,0.1743540925250694,24.688440842527765,0.05659731129276495
2012 VA88,nan,MBO,MBO,21164715517950017,745174276552786646,15.669539,3.0724719,2.389021,271.6211728567679,-22.85734802564973,2025042500462,54,60791.28399201683,i,271.6211886262946,-22.857313761658673,6.500258922576904,2413.09,363.32,False,2555.75,52.1848,1866.62,330.28,False,822.265,16.8427,22.94356616068239,0.16347076631926089,22.88120407633355,0.02216919723107635,23.222360215868203,0.19211031346508237,24.112470468771285,0.022239457862900415
2012 VA88,nan,MBO,MBO,21164715517950017,745174276718462020,15.669447,3.0724704,2.3890133,271.62116651315574,-22.857332765716684,2025042500463,114,60791.284521776055,i,271.62113219219475,-22.857333970307177,9.702408790588379,3117.71,320.096,False,2993.77,6.06685,2599.72,276.549,False,-33.7433,26.7449,22.665410723688424,0.11147278918344643,22.70945391269181,0.002200235439647267,22.86268357404225,0.11549677552454765,nan,nan
2012 VA88,nan,MBO,MBO,21164715517950017,745200689669996610,14.540611,3.0564106,2.3051078,271.4700428673254,-22.67413878377957,2025050100647,69,60797.28074399984,g,271.47002743530976,-22.674155490274618,11.467514038085938,1903.03,164.731,False,1973.65,15.8862,1964.97,160.452,False,155.604,4.41452,23.20138589652492,0.0939840207673578,23.161824639222864,0.008739250743370668,23.166610205661055,0.08865710093131092,25.919948080512057,0.030802574733715293
2012 VA88,nan,MBO,MBO,21164715517950017,745200690339512619,14.540091,3.0564039,2.3050745,271.4699206253715,-22.674063719493866,2025050100652,66,60797.28320126145,g,271.4699279382782,-22.674092879774992,11.231624603271484,1744.23,154.17,False,1685.19,6.19506,1821.32,149.598,False,130.242,4.11148,23.29599063241977,0.0959666733021835,23.33337785440653,0.0039913605727812124,23.249034390451513,0.08917926414300717,26.11312232177781,0.03427452585809703
2012 VA88,nan,MBO,MBO,21164715517950017,745200690581209270,14.539884,3.0564013,2.305061,271.4698719336104,-22.67403381787188,2025050100654,15,60797.28417959226,g,271.46987916251754,-22.674041875272604,12.642364501953125,2043.15,161.508,False,1995.93,1.13614,2186.1,157.916,False,132.288,4.98677,23.12424935705688,0.08582584543054436,23.14963670599291,0.0006180318380034996,23.050824890887455,0.07842967441976366,26.09619891955835,0.040928256000473624
2012 VA88,nan,MBO,MBO,21164715517950017,745200691252297860,14.539347,3.0563943,2.3050268,271.4697456857012,-22.673956282693737,2025050100659,15,60797.28671342708,g,271.469732219839,-22.6739492227376,11.172647476196289,1659.28,146.083,False,1810.0,2.43418,1823.97,144.43,False,127.414,5.1409,23.350200784614202,0.09558820157811858,23.255803562827037,0.0014601532475188596,23.247455790108482,0.08597338477047246,26.13695711240351,0.04380728442312748
2012 VA88,nan,MBO,MBO,21164715517950017,745200691411157101,14.539245,3.0563931,2.30502,271.4697217573531,-22.67394158590295,2025050100660,62,60797.28719301775,g,271.4697167750141,-22.673950200214964,13.366761207580566,1750.8,128.698,False,1673.12,1.37415,1928.89,128.869,False,118.662,5.83097,23.29190862486717,0.07981041356088095,23.341182276481575,0.0008917259079599118,23.186731337827894,0.07253795783423829,26.21422081674239,0.053352336007556435
2012 VA88,nan,MBO,MBO,21164715517950017,745200691682214199,14.539031,3.0563903,2.3050065,271.4696714436717,-22.67391068183082,2025050100662,67,60797.28820217203,g,271.46967053497997,-22.673964564076808,12.719748497009277,1901.84,146.897,False,1794.74,2.23453,1945.51,144.566,False,130.126,4.47918,23.202065076126985,0.08386162746743116,23.264996150423983,0.0013517891753131947,23.177416325958365,0.08067834817605143,26.11408974086724,0.03737306515308781
2012 VA88,nan,MBO,MBO,21164715517950017,745200691922862196,14.538822,3.0563877,2.3049932,271.4696223082632,-22.67388049950406,2025050100664,14,60797.28918785686,g,271.46965708588397,-22.673880893248644,10.17210865020752,1828.79,178.202,False,1866.04,0.740513,2232.87,177.982,False,166.622,3.76348,23.244590381074918,0.10579692284044998,23.22269760490714,0.0004308598885170211,23.027841346183138,0.08654399280826752,25.845669181235984,0.024523451778025163
