provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2013 EE186,nan,MBO,MBO,21164719528818245,745284208509846941,6.3868904,3.143611,2.17431,228.83981548900664,-38.79582329909461,2025052000319,30,60816.285747094415,i,228.8398023387931,-38.79581804332949,13.254350662231445,6888.88,513.188,False,6842.35,7.57087,5682.34,465.846,False,108.588,65.4398,21.804628469273098,0.08088205749008691,21.811986770864685,0.0012013368885257746,22.01368198995592,0.08901014211786852,26.310545439979364,0.6543113227303256
2013 EE186,nan,MBO,MBO,21164719528818245,745288582554976754,6.4544864,3.144511,2.1759872,228.6032149951808,-38.77419551478892,2025052100140,75,60817.224314639956,g,228.6032165957822,-38.77420682036126,18.008256912231445,3247.52,177.557,False,3314.92,3.49395,3613.21,170.2,False,357.153,10.9583,22.62112040753098,0.05936224244064554,22.598817395831176,0.001144373916334734,22.50526700292524,0.051143526319871714,25.017864197869933,0.03331295594341107
2013 EE186,nan,MBO,MBO,21164719528818245,745288584946254002,6.4553833,3.1445215,2.176009,228.60037731840512,-38.7739103804039,2025052100158,28,60817.23528171837,g,228.60033952855292,-38.77389939380883,19.40841293334961,3455.94,177.801,False,3464.41,3.68722,4018.77,168.835,False,552.019,9.48542,22.553584533641494,0.05585889241383343,22.55092681874783,0.0011555642823282382,22.38976711571321,0.04561352815138419,24.545114970499114,0.01865635873929605
2013 EE186,nan,MBO,MBO,21164719528818245,745288585529786453,6.456532,3.144535,2.1760373,228.5967416386492,-38.773540313686354,2025052100162,117,60817.24934808076,r,228.59672847378056,-38.773525002817046,20.875106811523438,5166.42,245.419,False,5182.2,0.0749589,4969.44,235.034,False,-225.017,11.3513,22.11702574417683,0.05157542448286155,22.1137145341261,1.5704833178571994e-05,22.159231384334873,0.05135084082853362,nan,nan
2013 EE186,nan,MBO,MBO,21164719528818245,745288586982588740,6.4571013,3.1445417,2.1760514,228.59493981735235,-38.77335496117311,2025052100173,72,60817.25632777852,r,228.59489359509953,-38.773351749704204,17.68145179748535,5000.17,282.576,False,5339.45,0.62663,4212.3,270.734,False,-214.196,11.2967,22.152538091720583,0.06135851108983101,22.081258650235235,0.0001274204013571194,22.33870181517424,0.06978271462883157,nan,nan
2013 EE186,nan,MBO,MBO,21164719528818245,745288587900092626,6.4574018,3.1445453,2.1760588,228.59398873569705,-38.77325660957976,2025052100180,30,60817.260013441,r,228.59399411907293,-38.7732398647348,16.210918426513672,5058.79,308.544,False,5630.77,1.0429,4531.12,294.124,False,-404.504,10.9782,22.13988336313544,0.06622085436755042,22.02358052603045,0.00020109403285165336,22.2594860619763,0.0704772902819006,nan,nan
2013 EE186,nan,MBO,MBO,21164719528818245,745288588303269905,6.457522,3.1445465,2.1760619,228.59360851881877,-38.77321719255873,2025052100183,31,60817.26148726863,r,228.5935630565248,-38.77322609505402,21.184486389160156,5816.79,272.639,False,6076.93,1.01226,5219.48,260.64,False,-445.867,10.3647,21.988291530173257,0.05088958675806054,21.940789384221027,0.00018085567146528043,22.10593190957427,0.05421733608930969,nan,nan
2013 EE186,nan,MBO,MBO,21164719528818245,745288589019448275,6.458089,3.1445532,2.176076,228.5918143506096,-38.77303043681035,2025052100188,117,60817.26844634924,i,228.59178908026414,-38.773034114735786,15.195457458496094,6184.82,405.165,False,6060.93,3.44321,5810.7,369.383,False,623.809,19.4594,21.921682369225117,0.0711261332069485,21.94365179799658,0.0006168059235111659,21.989428828818447,0.06901964965846974,24.41237087283907,0.03386898006269787
2013 EE186,nan,MBO,MBO,21164719528818245,745288591389754415,6.45884,3.1445622,2.1760948,228.5894365586745,-38.77278103692447,2025052100206,30,60817.27767844791,i,228.58941684968906,-38.772798540848825,12.825492858886719,5427.37,420.558,False,6004.04,3.04484,4720.15,396.396,False,-415.116,20.7129,22.063526402209742,0.08413191878397494,21.953891050613088,0.000550611439958412,22.215110522097536,0.09117962210616323,nan,nan
2013 EE186,nan,MBO,MBO,21164719528818245,745288594366136905,6.460257,3.144579,2.1761308,228.58495204391303,-38.772304954515945,2025052100228,75,60817.295121992924,z,228.58490607061515,-38.772212399344944,7.1231536865234375,5176.44,768.688,False,8095.03,373.749,4012.15,745.007,False,-167.765,33.8931,22.114922051092943,0.1612290277655414,21.629453872370647,0.05012863743245836,22.39155712298714,0.20160789428664214,nan,nan
