provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2014 AL73,nan,MBO,MBO,21164723755496268,745174274992505053,20.027172,2.398652,1.6723118,270.7124094667519,-24.411548757494018,2025042500450,150,60791.277617615146,i,270.71242100521584,-24.41152578989353,12.095860481262207,3172.93,261.885,False,3692.52,16.4119,4981.17,243.486,False,2501.01,47.1415,22.64634879598426,0.08961371436240724,22.481692853548235,0.004825699916077539,22.15667160748697,0.053072182134068974,22.90471142523464,0.020465024745783402
2014 AL73,nan,MBO,MBO,21164723755496268,745174275249931076,20.026892,2.3986533,1.6723018,270.7124003246672,-24.411588662520668,2025042500452,129,60791.27868052027,i,270.7123378250437,-24.411563675480682,6.779065132141113,1894.58,280.528,False,2737.67,11.48,2458.37,195.028,False,1480.03,17.393,23.206217654198113,0.16076356213391732,22.806547288742642,0.004552868493757679,22.92338182950717,0.08613388152117787,23.474323682077433,0.012759342077192922
2014 AL73,nan,MBO,MBO,21164723755496268,745174275391488678,20.02675,2.3986537,1.6722966,270.71239570051006,-24.411608776211686,2025042500453,143,60791.279216819836,i,270.71238822663776,-24.41158673341051,10.621553421020508,3456.15,321.875,False,3368.5,7.35935,4668.13,237.412,False,2107.89,32.3735,22.5535185732166,0.10111579381135428,22.581408620778255,0.002372068564786939,22.227142672374274,0.05521843074169018,23.090380196521888,0.016675008520661443
2014 AL73,nan,MBO,MBO,21164723755496268,745174275659399389,20.026472,2.3986552,1.6722866,270.7123865188465,-24.41164857538456,2025042500455,142,60791.28027748602,i,270.71239805473425,-24.411676545866936,10.569375991821289,3133.19,297.459,False,3217.43,13.4399,5504.12,267.042,False,2849.95,25.0138,22.66003319089645,0.10307770289713321,22.631227255684564,0.004535354851779843,22.048280242498905,0.05267638658599235,22.762906916751298,0.009529426264573723
2014 AL73,nan,MBO,MBO,21164723755496268,745174276056286275,20.026052,2.3986568,1.6722715,270.712372602496,-24.411708554168225,2025042500458,131,60791.28187701356,i,270.7123735046331,-24.411706149199375,10.552672386169434,3242.94,310.389,False,3381.81,13.7829,7774.0,285.924,False,3341.4,37.9961,22.62265273574694,0.10391823134713306,22.57712697116351,0.004425024800787755,21.67338865926188,0.03993285963501285,22.59017886104838,0.012346245320212175
2014 AL73,nan,MBO,MBO,21164723755496268,745174276329963803,20.025776,2.3986583,1.6722616,270.712363442,-24.411747814866608,2025042500460,141,60791.28292506441,i,270.7123921483263,-24.41173764090584,8.052144050598145,2105.2,257.13,False,2558.67,8.06284,3671.67,245.245,False,2520.79,28.5685,23.091766621819524,0.13261227536866468,22.87996434033704,0.0034213548717823717,22.487840920495906,0.07252050862417533,22.896158314878637,0.012304815096955498
2014 AL73,nan,MBO,MBO,21164723755496268,745174276563272069,20.025496,2.3986595,1.6722516,270.71235407903714,-24.41178776661041,2025042500462,74,60791.28399201683,i,270.7123400914715,-24.41181262694784,5.910318374633789,2211.63,372.35,False,2593.0,9.73644,6671.33,301.788,False,3742.77,19.8636,23.03821887662515,0.1827945469584575,22.86549370807662,0.004076824177805276,21.83946892795109,0.04911496625527089,22.467017144955783,0.005762210694862872
2014 AL73,nan,MBO,MBO,21164723755496268,745174276727374394,20.025356,2.39866,1.6722466,270.71234942354874,-24.411807566194632,2025042500463,131,60791.284521776055,i,270.7123944249982,-24.411779144507292,8.153385162353516,3006.97,358.2,False,3007.89,0.587504,6703.78,269.429,False,3080.37,33.9799,22.70467727246823,0.12933641692039846,22.704345164151256,0.0002120670695420011,21.83420065109297,0.04363639821824685,22.67849274592821,0.01197687506744397
2014 AL73,nan,MBO,MBO,21164723755496268,745200681804628081,18.37607,2.4055212,1.6190271,270.55868652656693,-24.631661777936632,2025050100588,171,60797.22135213876,u,270.5584035394438,-24.631748110868745,5.045461654663086,2351.12,449.088,False,3348.07,187.29,2339.32,450.097,False,189.417,7.28755,22.971812956218784,0.20738673066583022,22.588013654188423,0.060735743980204676,22.977275883685174,0.20890112418916004,25.706452572459828,0.04177215634350095
2014 AL73,nan,MBO,MBO,21164723755496268,745200689723998413,18.357832,2.405589,1.618513,270.55518085392805,-24.634021165419185,2025050100647,172,60797.28074399984,g,270.55518295178246,-24.634016295499556,8.21287727355957,1448.76,175.474,False,1423.0,1.15855,1106.95,175.574,False,-23.3211,4.34599,23.497508875981637,0.1315045089933564,23.516987749789287,0.0008839632509596534,23.789680036378734,0.1722092799036801,nan,nan
2014 AL73,nan,MBO,MBO,21164723755496268,745200690126127202,18.357384,2.4055908,1.6185004,270.555093261169,-24.634078247941503,2025050100650,171,60797.28220231854,g,270.5551170525232,-24.63406767915825,9.40351676940918,1688.24,179.32,False,1662.4,5.35356,1770.53,182.263,False,-18.8082,4.27506,23.33141454145298,0.11532378412761578,23.348161158522085,0.0034964832767917244,23.27974175734328,0.11176852984332765,nan,nan
2014 AL73,nan,MBO,MBO,21164723755496268,745200690394562564,18.357077,2.405592,1.6184918,270.55503320969007,-24.634117335407165,2025050100652,171,60797.28320126145,g,270.5550414748863,-24.634053111362466,10.931891441345215,1810.88,163.798,False,1794.92,1.50299,2177.02,163.237,False,-15.1894,4.93342,23.255275816434363,0.09820718263699096,23.264887231567563,0.0009091495033046411,23.055343943093202,0.08141051471089335,nan,nan
2014 AL73,nan,MBO,MBO,21164723755496268,745200690635210903,18.356775,2.405593,1.6184833,270.5549743939688,-24.634155581763576,2025050100654,118,60797.28417959226,g,270.55499061443896,-24.634152124739643,11.15025520324707,1827.36,161.618,False,1901.29,2.68219,1799.11,161.986,False,-5.32377,4.80349,23.245439723228564,0.09602624071809213,23.202379067704612,0.0015316709537166633,23.262355715078034,0.09775614502653164,nan,nan
2014 AL73,nan,MBO,MBO,21164723755496268,745200690777817327,18.356617,2.4055936,1.6184789,270.55494359252504,-24.63417559671316,2025050100655,134,60797.284691791996,g,270.5549682209712,-24.634146043503254,11.306791305541992,1576.58,138.557,False,1467.49,0.151172,1497.49,134.788,False,-14.0999,4.68097,23.40570999791847,0.09541942872415836,23.4835621309944,0.00011184601706758087,23.46159017977652,0.09772633301366566,nan,nan
2014 AL73,nan,MBO,MBO,21164723755496268,745200691046252845,18.356306,2.4055948,1.6184702,270.5548826908112,-24.634215141916048,2025050100657,134,60797.28570343807,g,270.55485803104597,-24.63415124112043,9.537086486816406,1475.81,152.634,False,1674.45,2.77418,1562.75,152.08,False,2.64442,4.44577,23.477423834962636,0.11229105116057894,23.340319572168625,0.0017988161379976905,23.415276231062897,0.10565910350834022,30.344173954778498,1.8253278157632957
2014 AL73,nan,MBO,MBO,21164723755496268,745200691285328101,18.355993,2.4055958,1.6184615,270.55482188222305,-24.634254588323977,2025050100659,78,60797.28671342708,g,270.5548161027894,-24.634203063793738,10.182060241699219,1605.81,155.819,False,1843.01,12.1894,1528.21,156.332,False,4.98249,4.84519,23.38576456511388,0.10535388606447836,23.236180765080135,0.007180901090780621,23.439542434734044,0.11106805837945102,29.65638389700418,1.0558171091301152
2014 AL73,nan,MBO,MBO,21164723755496268,745200691448905873,18.355846,2.4055965,1.6184574,270.55479297367754,-24.63427332787661,2025050100660,134,60797.28719301775,g,270.5547994458908,-24.634247779918216,10.829108238220215,1363.65,126.29,False,1445.08,4.6092,1516.09,130.755,False,7.41115,6.42799,23.563242688510154,0.10055191862871302,23.500270306987133,0.003463043892368635,23.4481875665158,0.09363919421350575,29.22528599468503,0.9417028994424914
2014 AL73,nan,MBO,MBO,21164723755496268,745200691719438645,18.355536,2.4055977,1.6184487,270.5547321859075,-24.63431270473169,2025050100662,138,60797.28820217203,g,270.55473298073287,-24.63427762397849,10.932107925415039,1527.25,137.931,False,1453.41,1.01592,1529.49,135.781,False,19.9318,4.70574,23.44022466548988,0.09805642834730478,23.49402961453017,0.0007589194693003533,23.438633402288644,0.09638660921043918,28.151133652328696,0.25633370017271584
2014 AL73,nan,MBO,MBO,21164723755496268,745200691955368044,18.355232,2.4055986,1.6184403,270.55467281871205,-24.634351124992648,2025050100664,76,60797.28918785686,g,270.5546560531133,-24.63435481837047,9.41677474975586,1613.33,173.02,False,1619.66,5.08231,1730.85,173.323,False,39.9998,3.72225,23.380692005521308,0.11643872481324541,23.376440335208308,0.003406917545175654,23.304351434295913,0.10872291460905495,27.394855405974855,0.1010350403333679
2014 AL73,nan,MBO,MBO,21164723755496268,745200692408352869,18.354755,2.4056005,1.6184269,270.55457964997913,-24.6344113484109,2025050100667,172,60797.29073289838,g,270.55459235306694,-24.634374132135523,10.019389152526855,1642.02,161.763,False,1546.25,1.44081,1655.44,159.656,False,44.2724,4.61904,23.361553880649616,0.10696090433207497,23.426800718407055,0.0010116989770877416,23.352716426571526,0.10471192674096551,27.284667338259613,0.11327732365328093
2014 AL73,nan,MBO,MBO,21164723755496268,745200692632223904,18.35444,2.4056017,1.6184182,270.55451816818095,-24.63445104189616,2025050100669,87,60797.291751934696,g,270.5545403768538,-24.634402747543273,10.716002464294434,1699.37,155.939,False,1995.65,6.19865,1893.8,155.051,False,49.7135,4.32027,23.324280135311646,0.09963022383817512,23.149789045638144,0.0033723841938980677,23.206664691466344,0.08889242495352395,27.15881412860072,0.0943541196647349
2014 AL73,nan,MBO,MBO,21164723755496268,745200693059518470,18.353973,2.4056034,1.6184051,270.5544265318153,-24.634510133662975,2025050100672,134,60797.2932699156,g,270.5544318823749,-24.634437716023456,7.224804878234863,1431.59,197.622,False,1374.66,9.75583,1703.03,202.019,False,94.1271,3.48326,23.51045338572908,0.1498790567727203,23.554511733739382,0.007705365232129269,23.32194423528588,0.12879358292423,26.465713325758195,0.04017866776643785
2014 AL73,nan,MBO,MBO,21164723755496268,745200693295448339,18.353657,2.4056046,1.6183963,270.55436468511107,-24.63454996860113,2025050100674,72,60797.29429340684,g,270.55440247697226,-24.63458428353137,6.352982044219971,1208.38,189.55,False,1349.45,17.1624,1307.19,191.091,False,79.6664,3.64364,23.694491174073075,0.17031173976208402,23.57460804515093,0.01380846933645031,23.6091532565437,0.15871788348619872,26.64681205829296,0.049657472338025435
2014 AL73,nan,MBO,MBO,21164723755496268,745200693460074648,18.353504,2.405605,1.618392,270.5543345379158,-24.634569372525945,2025050100675,130,60797.29479243902,g,270.55433669952015,-24.63452887727874,10.008564949035645,1589.87,156.815,False,1519.94,1.185,1675.64,157.139,False,69.8721,4.09459,23.396595967047247,0.10709034457079591,23.44543393084723,0.0008464790650357528,23.33954819285046,0.10181871297250271,26.789240496766315,0.06362546362479653
2014 AL73,nan,MBO,MBO,21164723755496268,745200693750005920,18.353168,2.4056063,1.6183827,270.5542686649988,-24.63461174002676,2025050100677,171,60797.29588233264,g,270.5542912479614,-24.6346025405691,8.759767532348633,2063.64,231.57,False,2067.31,0.956349,2164.97,236.487,False,126.628,2.95373,23.113415213240415,0.12183518151216934,23.111485955701,0.0005022675461332178,23.061370307916693,0.11859864145880113,26.1436756452473,0.025325929156965302
2014 AL73,nan,MBO,MBO,21164723755496268,745200694148989019,18.352709,2.4056082,1.6183698,270.5541786950874,-24.63466953793369,2025050100680,164,60797.29737012891,g,270.55419216820195,-24.634630828744346,11.495716094970703,1595.97,135.82,False,1475.58,2.06384,1596.08,134.24,False,56.8243,6.26775,23.392438211160936,0.09239816662556072,23.477593131908638,0.0015185796639069265,23.392363390853628,0.09131700046602458,27.013664785562742,0.1197572693745517
2014 AL73,nan,MBO,MBO,21164723755496268,745200694405366058,18.35239,2.4056094,1.618361,270.55411608562343,-24.63470971310099,2025050100682,141,60797.29840548485,g,270.5541166361956,-24.63471288926718,10.468436241149902,1771.19,168.787,False,1898.39,16.0026,2029.53,167.627,False,89.6565,3.65255,23.2793371570455,0.10346612483033325,23.20403639783131,0.009152282591063604,23.131511295996763,0.08967529377489353,26.518545526256872,0.044232216034879465
