provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2014 HN360,nan,MBO,MBO,21164723875688526,745284207194407464,6.3850756,3.2317173,2.265509,227.5430055845298,-38.94001811841952,2025052000309,81,60816.28066749245,i,227.54299307579214,-38.940081779781345,8.064401626586914,2894.48,355.472,False,nan,nan,32796.8,355.764,False,29910.9,24.2705,22.746073624659093,0.13333960032461348,nan,nan,20.110421295508388,0.01177754702183153,20.210426283637485,0.0008809952362599471
2014 HN360,nan,MBO,MBO,21164723875688526,745284207304507583,6.3851113,3.231717,2.2655091,227.54288295880735,-38.93999787393762,2025052000310,35,60816.281154310185,i,227.54285741066712,-38.94007075728695,6.6623759269714355,3821.45,586.051,False,nan,nan,29898.6,589.123,False,26319.0,21.3341,22.444429559792056,0.1665066464908437,nan,nan,20.210872881710976,0.021393381734874505,20.349326539804437,0.0008800944394242616
2014 HN360,nan,MBO,MBO,21164723875688526,745284207435055317,6.385152,3.2317169,2.2655096,227.54274397587784,-38.93997492165373,2025052000311,28,60816.281706903814,i,227.54269214494911,-38.94003781792168,6.309805870056152,3130.46,482.072,False,3648.46,16.4152,12883.5,483.93,False,9949.05,30.3388,22.660979616340754,0.16719684021632983,22.4947260385888,0.004884958683170712,21.12491534550764,0.04078242043050662,21.40554598765486,0.0033108623117542564
2014 HN360,nan,MBO,MBO,21164723875688526,745284208112435540,6.3853397,3.231716,2.265511,227.54210030703769,-38.93986852141917,2025052000316,40,60816.28426395198,i,227.54211926903085,-38.93985096672675,5.043435096740723,4053.52,771.557,False,4580.91,54.0354,3568.11,774.369,False,-286.418,20.8146,22.38041919436779,0.20666170940817644,22.247620564506246,0.012807103510349081,22.518904380759466,0.2356318762526452,nan,nan
2014 HN360,nan,MBO,MBO,21164723875688526,745284208291217755,6.3853755,3.2317157,2.2655115,227.5419774890294,-38.939848200289845,2025052000317,125,60816.28475189184,i,227.54196060773342,-38.93991649302293,8.054703712463379,2424.73,296.568,False,2323.82,4.33889,2714.31,295.615,False,200.198,35.7357,22.93834154422306,0.1327960679928723,22.984493755187756,0.002027218074143461,22.815851359777433,0.11824732275905395,25.646350674303868,0.19380584351188343
2014 HN360,nan,MBO,MBO,21164723875688526,745284208397648357,6.3854117,3.2317154,2.2655118,227.54185266597332,-38.93982754119591,2025052000318,72,60816.28524772648,i,227.54186379671984,-38.939887727449836,5.840167045593262,2055.69,336.696,False,4814.06,19.8713,1900.06,335.684,False,-48.197,11.6441,23.117605972843318,0.17782985919872552,22.19372123978835,0.00448166190381651,23.203081678271054,0.1918172323931437,nan,nan
2014 HN360,nan,MBO,MBO,21164723875688526,745284208515088894,6.3854485,3.2317152,2.265512,227.5417268449644,-38.93980671059978,2025052000319,40,60816.285747094415,i,227.5416660375951,-38.93988657801858,9.48221492767334,3308.96,349.525,False,3639.36,6.7148,3220.29,350.842,False,-150.372,9.58794,22.600771219641246,0.11468616871198374,22.497437424287646,0.0020032371415017046,22.63026252829789,0.1182880635990031,nan,nan
2014 HN360,nan,MBO,MBO,21164723875688526,745284209251713235,6.3858585,3.231713,2.2655153,227.5403232736788,-38.93957390993827,2025052000324,165,60816.29132796575,r,227.54027384008276,-38.93963843280344,5.599232196807861,3666.71,658.567,False,3534.9,67.565,4500.36,665.616,False,876.321,7.64717,22.489308604118193,0.1950058937852413,22.52905719899249,0.020752431851484014,22.266881893123568,0.1605834737308355,24.043341972030518,0.009474621238303097
2014 HN360,nan,MBO,MBO,21164723875688526,745284209501798404,6.3859344,3.2317126,2.265516,227.54006230092295,-38.93953053782461,2025052000326,130,60816.29236537675,r,227.54017955917578,-38.939536183660714,5.547979354858398,2917.43,537.28,False,4373.53,238.736,7573.6,538.336,False,60.2887,14.5749,22.737498914185274,0.19995146192699828,22.29791977860566,0.05926661600468204,21.701744075726893,0.0771747750604256,26.949410199851055,0.26247864407360444
2014 HN360,nan,MBO,MBO,21164723875688526,745284210549850705,6.3862305,3.2317111,2.2655184,227.53904920111708,-38.93936191220291,2025052000334,81,60816.29639670024,r,227.53900188626102,-38.93941584907285,10.33541202545166,2442.45,234.637,False,2681.1,15.0392,2194.18,231.099,False,-144.437,10.5757,22.93043581687617,0.10430259936202627,22.829217428817277,0.006090262634849737,23.046819403486538,0.11435368016309318,nan,nan
