provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2014 WM583,nan,MBO,MBO,21164724128789325,745284197569003603,8.423878,2.620726,1.6560024,226.2117195094831,-40.10944583503854,2025052000237,154,60816.135274031665,u,226.21173511209153,-40.109331707576025,7.811756134033203,2394.59,303.094,False,3402.89,108.084,2347.23,299.908,False,52.756,13.5135,22.951922048842206,0.13742649505958193,22.570380257894747,0.03448560349055578,22.973610890878568,0.1387256319184641,27.094320340360355,0.27811237187529164
2014 WM583,nan,MBO,MBO,21164724128789325,745284197699027057,8.423969,2.6207247,1.6560014,226.21142215222127,-40.10934192500492,2025052000238,146,60816.13631592141,u,226.2114048982929,-40.10938248214581,7.065328121185303,2204.61,314.275,False,2222.62,1.66578,2390.0,306.94,False,9.05053,13.4017,23.04167051454643,0.15477554873527452,23.032836897804295,0.0008137232201636772,22.954005247629652,0.13943760390760812,29.00831491727468,1.6077191302221034
2014 WM583,nan,MBO,MBO,21164724128789325,745284197834293324,8.424045,2.6207232,1.6560007,226.2111747764154,-40.10925545315491,2025052000239,148,60816.13718127388,u,226.21144551816465,-40.1092193139014,5.987015247344971,1929.02,324.839,False,2958.5,27.5543,1857.21,322.196,False,-40.5372,13.706,23.18665816297059,0.18283348424758564,22.72232106596742,0.010112118114389293,23.22784748927458,0.18835774372593367,nan,nan
2014 WM583,nan,MBO,MBO,21164724128789325,745284205409731073,8.435959,2.6205142,1.6558948,226.17225056890237,-40.0952778735798,2025052000296,5,60816.27380867624,i,226.17231257503315,-40.09528683914427,44.60978317260742,14806.4,329.379,False,13688.9,0.423337,14977.8,326.208,False,121.733,17.8561,20.97387627680641,0.024152980708789372,21.05907859176581,3.357700824765083e-05,20.96137994637482,0.023646720411712938,26.18647917239585,0.15925849246361518
2014 WM583,nan,MBO,MBO,21164724128789325,745284205564920121,8.436006,2.6205132,1.6558944,226.1720969606173,-40.09522108810474,2025052000297,45,60816.27435135268,i,226.17214685307457,-40.09522075495795,47.848304748535156,14530.8,300.67,False,13291.5,0.00921384,15092.5,301.623,False,536.033,42.3915,20.99427620148778,0.022465956702417366,21.0910650109685,7.52646375585725e-07,20.953097038686224,0.02169839297091714,24.577021141576957,0.08586408494951926
2014 WM583,nan,MBO,MBO,21164724128789325,745284205699661865,8.436064,2.6205122,1.6558939,226.171907161496,-40.09515090509926,2025052000298,46,60816.275022669506,i,226.1719545355321,-40.09515982563616,35.748207092285156,15113.7,420.337,False,14849.2,2.54629,16550.1,417.011,False,1499.79,15.0174,20.95157299241563,0.03019612003006553,20.970742344001042,0.00018617832061442984,20.852998470027043,0.02735717224214585,23.45992383779233,0.01087147815786613
2014 WM583,nan,MBO,MBO,21164724128789325,745284205858521725,8.4361105,2.6205113,1.6558936,226.17175301792395,-40.09509389149756,2025052000299,93,60816.27556749106,i,226.1718147384786,-40.0950987285572,43.95689392089844,14501.4,321.965,False,12932.0,0.532539,18268.1,319.554,False,3837.34,20.9964,20.99647514052392,0.02410588245083275,21.120835760151202,4.4710553947964116e-05,20.74576657251753,0.018992196175565017,22.439924273343067,0.005940717276032228
2014 WM583,nan,MBO,MBO,21164724128789325,745284205961281754,8.436152,2.6205106,1.6558932,226.17161500751783,-40.095042833613874,2025052000300,33,60816.27605568517,i,226.17167638059695,-40.09504980082621,37.339759826660156,15222.8,400.227,False,14000.1,1.97798,28571.4,400.808,False,13158.1,11.6732,20.94376365999436,0.028545401533487162,21.034672185867258,0.00015339637412477544,20.26017118176837,0.01523102703809398,21.102017075581585,0.0009632101797041537
2014 WM583,nan,MBO,MBO,21164724128789325,745284206103888258,8.436194,2.6205099,1.6558928,226.1714767254712,-40.094991664327786,2025052000301,49,60816.27654415411,i,226.17152289108265,-40.0949954911736,40.070682525634766,15274.8,380.184,False,14002.9,0.0515657,38470.2,386.484,False,22977.7,28.3598,20.9400611825481,0.027023563530127016,21.0344550013074,3.998225015490261e-06,19.93718891171023,0.010907655520999373,20.49673364958774,0.0013400498324201886
2014 WM583,nan,MBO,MBO,21164724128789325,745284206531182706,8.436322,2.6205075,1.6558919,226.1710571401732,-40.09483633598666,2025052000304,96,60816.27802847215,i,226.17113996999694,-40.09484270244468,33.91604232788086,16686.5,488.798,False,15482.9,1.22505,130127.0,490.666,False,113270.0,29.118,20.844086868021627,0.03180449404725937,20.925369200596855,8.590645643006808e-05,18.614081456243596,0.004093953018777356,18.764712748723536,0.0002791071496714156
