provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 AK227,nan,MBO,MBO,21164732346873675,745200689689919517,16.95255,2.6333508,1.86607,271.52702827419233,-23.34715058161341,2025050100647,107,60797.28074399984,g,271.5271484404894,-23.347245022374818,12.235015869140625,2133.52,172.238,False,2293.39,1.12115,1933.27,173.494,False,17.9963,4.12543,23.07725819413827,0.08765094204889139,22.99880526461333,0.0005307746267338324,23.184268709726023,0.0974352877682632,28.262041954757215,0.24889165502345484
2016 AK227,nan,MBO,MBO,21164732346873675,745200689928995492,16.952282,2.6333525,1.8660614,271.52697027047105,-23.34719250059953,2025050100649,51,60797.281717596794,g,271.52709126350976,-23.34730336440435,10.223078727722168,1653.33,159.884,False,1632.17,3.06018,1689.22,158.905,False,-1.49265,3.62695,23.35410116341889,0.10499528520706383,23.368086493091276,0.002035662997136655,23.330784481989927,0.10213525371708407,nan,nan
2016 AK227,nan,MBO,MBO,21164732346873675,745200690359435709,16.951872,2.6333547,1.8660485,271.5268817587357,-23.347256405046583,2025050100652,104,60797.28320126145,g,271.5269723127191,-23.34736268525588,10.783935546875,1713.69,158.029,False,1735.89,2.92079,1688.43,157.896,False,40.7795,3.80552,23.315169380940667,0.10012185408259272,23.30119448756538,0.0018268481160090015,23.331292315238848,0.10153420283448844,27.373895283780627,0.10132029574683463
2016 AK227,nan,MBO,MBO,21164732346873675,745200690453807168,16.951733,2.6333556,1.866044,271.5268519244562,-23.34727792813215,2025050100653,28,60797.283701374006,g,271.5269290376003,-23.347313242621937,9.686697006225586,1904.85,196.751,False,1941.07,0.705589,1716.99,196.234,False,69.7335,3.62966,23.200348058292267,0.11214515287155558,23.17989703641312,0.0003946707436000907,23.313080591740466,0.12408828973487912,26.791396378404244,0.056513057415428086
2016 AK227,nan,MBO,MBO,21164732346873675,745200690600083577,16.951601,2.6333563,1.8660399,271.52682339717063,-23.34729850038715,2025050100654,51,60797.28417959226,g,271.5269352168865,-23.3473671621737,9.777032852172852,1469.44,146.049,False,1354.26,2.55516,1314.73,141.779,False,24.108,4.68108,23.482120399019045,0.10791232640870992,23.570744864301297,0.0020485207792300484,23.60290858377941,0.11708457494373135,27.944597051943916,0.21081872938746266
2016 AK227,nan,MBO,MBO,21164732346873675,745200690762088990,16.95146,2.633357,1.8660353,271.52679283456234,-23.34732053181873,2025050100655,104,60797.284691791996,g,271.5268754329236,-23.34740423144192,13.26919937133789,1878.79,140.152,False,1828.68,0.989711,1966.63,138.144,False,48.9906,4.27518,23.2153043775447,0.08099260140082423,23.244655680352942,0.0005876178548747999,23.165693347726208,0.0762664755695685,27.174718091012174,0.0947471046194605
2016 AK227,nan,MBO,MBO,21164732346873675,745200691432653352,16.950768,2.6333609,1.8660133,271.5266433932262,-23.347428131531284,2025050100660,103,60797.28719301775,g,271.5267576293255,-23.347500341065672,12.562268257141113,1670.62,131.436,False,1484.9,0.563736,1821.02,130.069,False,149.682,5.11876,23.342805812417744,0.0854202806515274,23.47075696402672,0.0004121951635974207,23.249213199318078,0.07755028564601346,25.962076006849834,0.03712953407852026
2016 AK227,nan,MBO,MBO,21164732346873675,745200691705282920,16.950487,2.6333625,1.8660045,271.52658308508313,-23.34747149500833,2025050100662,111,60797.28820217203,g,271.52663856670057,-23.347561619035616,11.541897773742676,1650.26,142.699,False,1565.51,2.29928,1988.78,141.945,False,334.769,4.38567,23.35611906081332,0.09388428207219483,23.41336037797126,0.0015946314283242337,23.15353312432259,0.07749214657543037,25.08813687209938,0.014223780352950246
2016 AK227,nan,MBO,MBO,21164732346873675,745200691941212173,16.950214,2.633364,1.8659958,271.526524188673,-23.347513810876087,2025050100664,49,60797.28918785686,g,271.5266343946337,-23.347590799368945,12.978224754333496,2253.9,173.428,False,2113.51,0.931006,2781.73,170.164,False,618.626,3.58545,23.017663438143877,0.08354277470958024,23.087489227434954,0.000478269292292721,22.78921257198842,0.06641666101098835,24.421429619008258,0.006292740607707698
2016 AK227,nan,MBO,MBO,21164732346873675,745200692104266092,16.950073,2.6333647,1.8659914,271.5264937451579,-23.34753567138672,2025050100665,104,60797.28969674934,g,271.5265594393642,-23.347597940046214,12.316649436950684,2003.1,162.722,False,1911.32,1.27741,2400.38,160.298,False,504.597,3.6774,23.145743435850243,0.08819987469247953,23.196666519833265,0.0007256400588406229,22.9493000541026,0.07250575123660243,24.642638372165763,0.007912624452615277
