provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 AP401,nan,MBO,MBO,21164732348445008,745262191967993877,25.042542,2.3795905,2.0688484,148.78856508064476,2.3851012581071256,2025051500123,25,60811.04255635306,i,148.7885377989239,2.385095778650827,5.22384786605835,1765.93,324.877,False,1820.66,63.4083,1857.0,323.951,False,99.1654,11.3342,23.282566255702697,0.19974219002965057,23.249427852513794,0.03781303706507835,23.22797024065055,0.18940512497268402,26.40909960574822,0.12409521346777261
2016 AP401,nan,MBO,MBO,21164732348445008,745262192102211599,25.042557,2.379591,2.0688543,148.788680079837,2.3850737875633343,2025051500124,25,60811.0430310299,i,148.78863372139273,2.385010129888522,6.65200138092041,2126.47,312.486,False,2283.4,7.36879,2130.89,308.408,False,73.746,11.8724,23.08085186466976,0.15954956342535312,23.003545054638387,0.0035037937255625274,23.078597476466687,0.15714078949138333,26.730653795009317,0.17479313374894961
2016 AP401,nan,MBO,MBO,21164732348445008,745262192236953650,25.04257,2.3795912,2.0688603,148.78879629510106,2.385046027122269,2025051500125,26,60811.04351116055,i,148.78875078354673,2.3850535297863136,5.550107002258301,1798.94,325.559,False,nan,nan,1788.59,322.082,False,-32.2011,13.8132,23.26245833892802,0.1964885956507917,nan,nan,23.26872302503766,0.19551495635040164,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262192386375719,25.042585,2.3795917,2.0688663,148.7889110632127,2.385018612954977,2025051500126,55,60811.043985125616,i,148.78887900871305,2.3849600494322964,6.856760501861572,2368.59,336.895,False,2324.0,36.0107,2271.44,336.041,False,-73.5405,11.5092,22.96377523123521,0.1544290371912704,22.984409690704265,0.01682363209719254,23.009246854432085,0.16062580267380314,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262192505389092,25.0426,2.379592,2.0688722,148.78902559443608,2.384991255964036,2025051500127,26,60811.04445870916,i,148.78898569294796,2.384910849710556,5.036793231964111,2306.37,448.606,False,nan,nan,2147.56,449.164,False,-89.1426,10.8562,22.99267749395407,0.21118369455245606,nan,nan,23.07013670465433,0.22708264493601601,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262192654811153,25.042616,2.3795924,2.0688782,148.78914158414304,2.384963551207356,2025051500128,55,60811.0449378077,i,148.78914755361623,2.3849656713939638,5.223609447479248,2528.41,486.853,False,3165.84,11.3481,2427.17,488.435,False,-78.0397,11.7918,22.892881289447573,0.20906179908469816,22.648777564730157,0.0038918714675178264,22.937249546037243,0.21848967216545168,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262192789028890,25.04263,2.3795927,2.0688841,148.78925685287564,2.384936019272748,2025051500129,55,60811.04541385244,i,148.78919198530184,2.384880002343593,6.974490642547607,2539.51,355.001,False,2787.39,10.6583,2480.2,354.05,False,-90.7336,12.6465,22.888125177528103,0.15177630512588938,22.78700569774304,0.00415159094034246,22.913783263468613,0.15498947569101099,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262193192206425,25.042675,2.3795936,2.068902,148.7896024502839,2.3848534770624026,2025051500132,56,60811.04684006958,i,148.78960728114893,2.38476897171094,5.648726940155029,2521.59,431.332,False,2325.85,26.0901,2464.08,432.557,False,-67.1908,12.1822,22.895813778384486,0.18572121286283533,22.98354569807158,0.012179187928741833,22.92086295624194,0.19059559269719584,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262193579130948,25.042719,2.3795948,2.0689201,148.78995318524582,2.384769713647213,2025051500135,26,60811.048288111924,i,148.79002178642267,2.384772305885753,6.194082260131836,2145.53,347.273,False,2617.43,19.7389,2042.44,345.939,False,-111.356,10.607,23.07116350652594,0.17573600696307734,22.855312338792462,0.008187893505018942,23.124626762936657,0.18389695789186508,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262194538053660,25.042822,2.3795972,2.068962,148.79075828303985,2.384577461342242,2025051500142,63,60811.05161158222,i,148.79077110138087,2.384506842925042,5.648078441619873,2576.36,452.178,False,nan,nan,2527.19,452.455,False,-142.066,10.4111,22.87248358529152,0.190558002349322,nan,nan,22.893405289141064,0.19438458182193805,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262194673844231,25.042837,2.3795974,2.068968,148.79087435871406,2.384549745954464,2025051500143,66,60811.05209077224,i,148.7909037470326,2.3845326681638945,5.531231880187988,3179.06,553.045,False,3336.77,113.643,3093.64,553.888,False,-137.282,10.9247,22.64425316836227,0.18888003049272686,22.59168431306817,0.03697777082123943,22.67382560164666,0.19439116264112133,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262194808061957,25.04285,2.3795977,2.068974,148.7909909249211,2.3845219141595138,2025051500144,66,60811.0525717431,i,148.7910030956743,2.384449277548277,5.338869571685791,2509.45,469.248,False,2940.84,96.816,2322.47,464.595,False,-100.054,10.7644,22.901053653816767,0.20302438269319903,22.72882147548415,0.03574374509073373,22.985124731702044,0.21719446095668996,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262195209142347,25.042896,2.3795989,2.0689924,148.79134502295787,2.384437372825683,2025051500147,63,60811.05403220598,i,148.79134782263884,2.384472098297002,5.164076805114746,2474.13,476.209,False,3071.58,36.4855,2431.88,477.445,False,-198.87,11.6583,22.916443763072674,0.2089774559100051,22.681595394630804,0.012896824323511927,22.93514469964958,0.2131599236856231,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262197487173670,25.043293,2.3796082,2.0691555,148.79448960401635,2.3836869211975804,2025051500164,56,60811.066996062786,z,148.79448641915445,2.3836915157975005,5.786990642547607,4313.14,711.167,False,4035.65,58.9268,4027.59,708.673,False,-292.619,22.3908,22.313016077788983,0.17902032546392546,22.385216290970817,0.015853446531175295,22.3873868415883,0.19104027172976865,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745262198027714609,25.04335,2.3796096,2.0691793,148.7949503862771,2.38357700852414,2025051500168,63,60811.06889448274,z,148.79487942803516,2.3834305913845486,5.494826316833496,5686.16,1024.17,False,5884.64,12.2289,5361.79,1035.87,False,-74.9849,19.4324,22.01295228036347,0.1955587718221246,21.97570022602583,0.0022562738107764274,22.076725491111254,0.20975859720870493,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284180624539714,25.119265,2.3832104,2.1306803,150.0630672418278,2.0775833871074663,2025052000111,91,60815.99776202555,g,150.06306535027366,2.07755884626652,5.554491996765137,1121.99,193.221,False,1167.39,11.7369,1217.9,193.591,False,77.633,7.85542,23.775027543986113,0.1869776285804356,23.731960064444955,0.010915955644276224,23.68597090205618,0.1725829354732678,26.6748840320441,0.10986196159439006
2016 AP401,nan,MBO,MBO,21164732348445008,745284180758757433,25.119274,2.3832111,2.13069,150.0632666763022,2.0775324808797286,2025052000112,91,60815.99852844935,g,150.06329021188202,2.0774888666592863,5.520755290985107,1035.89,178.605,False,1141.29,27.1987,990.873,178.71,False,-25.3521,18.6537,23.861715883115373,0.1871993237408244,23.7565099328689,0.025874766491082377,23.909955028983948,0.19581916876798944,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284181028765769,25.119286,2.3832119,2.1307027,150.0635293915566,2.077465422846466,2025052000114,94,60815.99953748862,g,150.06351124999313,2.0774621896832888,8.951944351196289,1127.16,124.885,False,1161.37,6.89829,1023.76,123.394,False,-63.7661,8.69197,23.77003604611593,0.12029540095367343,23.737573496220328,0.006449041568334287,23.87450459729194,0.1308640002770417,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284181161410635,25.119293,2.3832123,2.1307123,150.063728586532,2.077414578996392,2025052000115,91,60816.000302056374,g,150.0636972964609,2.07736332103495,10.329366683959961,1297.49,123.643,False,1357.72,2.30306,1252.25,121.696,False,-20.8124,6.4951,23.617239959811947,0.10346413469343302,23.56797448478365,0.0018417020719750563,23.65577239909612,0.10551387681891972,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284181296676892,25.119299,2.3832128,2.1307192,150.06386737747374,2.0773791534168757,2025052000116,93,60816.00083512574,g,150.0638416263702,2.0773674672145597,7.632667064666748,908.661,116.493,False,821.881,7.77034,872.159,114.715,False,-15.7538,7.55215,24.0039952661535,0.13919455341102335,24.11297767282863,0.010264916228301264,24.048510837428537,0.14280678779999198,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284181430894654,25.119307,2.3832133,2.130728,150.06405044250798,2.0773324275822804,2025052000117,93,60816.00153897185,g,150.06398083275187,2.0772846592618404,9.989140510559082,1297.21,128.121,False,1244.78,2.8666,1269.77,127.252,False,-11.8822,7.65886,23.617474312880056,0.10723446077683126,23.662268469820212,0.0025003385104744582,23.6406873281082,0.10880876080698469,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284181565636610,25.119312,2.3832138,2.1307347,150.06418924387924,2.0772970000341395,2025052000118,94,60816.002071902825,g,150.06417998974257,2.077323989048289,8.059103965759277,985.11,126.835,False,1071.14,0.537139,956.377,124.901,False,-16.8171,9.38375,23.91628819694204,0.13979083816446236,23.825384391046455,0.0005444584738621326,23.94842717597286,0.14179506278689694,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284181699854360,25.119318,2.383214,2.1307414,150.064328310176,2.077261505182649,2025052000119,94,60816.00260581951,g,150.06431899383395,2.0772235254654086,10.003589630126953,1251.89,124.585,False,1219.58,6.1125,1184.43,123.425,False,-38.6948,6.99662,23.656084561459068,0.10804978272293082,23.684474304826942,0.005441679100844635,23.71622645340267,0.11314048809030029,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284181834072107,25.119326,2.3832145,2.1307495,150.0644978523504,2.07721823220389,2025052000120,94,60816.003256159864,g,150.06443551409188,2.077203443419678,10.50729751586914,1234.3,115.12,False,1415.04,6.70448,1179.75,113.734,False,-32.873,11.6506,23.671448134568834,0.10126383369464172,23.523078178621503,0.005144233841454736,23.72052503496253,0.10467058509943174,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284181968289893,25.119331,2.383215,2.1307564,150.06463718943425,2.077182668974938,2025052000121,94,60816.003791225885,g,150.0646141780204,2.0771517602621383,10.049910545349121,1118.72,110.327,False,1113.02,1.95448,1143.98,108.987,False,12.6712,17.6121,23.77819652272742,0.10707417868328935,23.783742560201503,0.0019065692590340762,23.75395393896244,0.10343811363669407,28.6429556527609,1.5090990252318597
2016 AP401,nan,MBO,MBO,21164732348445008,745284182102507593,25.119337,2.3832154,2.1307623,150.06476220610372,2.077150761064648,2025052000122,94,60816.00427132496,g,150.06473385052288,2.0771364347047645,10.340258598327637,1263.02,120.884,False,1352.62,1.12526,1320.48,119.37,False,16.5466,5.9482,23.64647441398569,0.10391611871717431,23.57206049225289,0.0009032363274591369,23.598170446645973,0.09814941207820047,28.353228056754386,0.3903023101380397
2016 AP401,nan,MBO,MBO,21164732348445008,745284182235152429,25.119343,2.3832157,2.1307683,150.064886184726,2.077119118378162,2025052000123,91,60816.00474765939,g,150.064874965409,2.0770584462954145,9.065083503723145,1181.05,128.36,False,1210.74,0.963074,1129.47,126.851,False,-19.1045,8.59402,23.71932924523521,0.11800101108646217,23.692372781966093,0.0008636407065348378,23.767813278019503,0.12193924993943864,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284182368845892,25.119347,2.3832161,2.1307743,150.0650106880702,2.0770873420596327,2025052000124,90,60816.00522575411,g,150.06497511364645,2.0770106865426943,8.284704208374023,1122.95,132.815,False,1011.57,9.7236,1057.75,132.392,False,-41.7048,6.60155,23.774098998514315,0.12841360964946782,23.8875101395179,0.010436514432959789,23.839042414991667,0.1358948577308741,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284182503063631,25.119356,2.3832166,2.1307855,150.06524016992904,2.077028773426892,2025052000125,90,60816.00610655401,g,150.06520263124347,2.0770032940451437,9.700650215148926,1233.68,127.547,False,1226.13,7.62326,1190.51,127.252,False,-26.4891,7.11381,23.671993642337696,0.11225146431674823,23.678658699319882,0.006750384845287001,23.710667371778158,0.11605286910796823,nan,nan
2016 AP401,nan,MBO,MBO,21164732348445008,745284182637281368,25.119364,2.3832173,2.1307943,150.0654248587924,2.0769816376816834,2025052000126,90,60816.00681531953,g,150.06538282243707,2.076922446149414,9.449708938598633,1205.98,125.224,False,1223.18,3.47442,1183.01,124.891,False,-14.8506,10.3235,23.696649753798365,0.11273838011100036,23.681274023849348,0.0030840133877236306,23.717528951685487,0.1146217512700662,nan,nan
