provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 AY310,nan,MBO,MBO,21164732347461721,745284206117520535,7.848696,2.6507416,1.6807324,228.64182513917797,-39.54601706769358,2025052000301,75,60816.27654415411,i,228.64184182167693,-39.54600665130815,16.937076568603516,6390.04,371.881,False,6019.04,0.45132,6034.2,349.237,False,-6.89999,40.7559,21.886241051517366,0.06318656472916855,21.951181919273143,8.141073205265314e-05,21.948450713577394,0.06283836169464928,nan,nan
2016 AY310,nan,MBO,MBO,21164732347461721,745284209474535433,7.849464,2.6507487,1.6807468,228.637491090994,-39.54439908157013,2025052000326,78,60816.29236537675,r,228.63747175811724,-39.54433973578399,5.4322967529296875,4508.87,827.73,False,nan,nan,4006.11,834.265,False,-355.813,42.6555,22.264830687072447,0.1993174307977719,nan,nan,22.393192795875837,0.22610255496691786,nan,nan
2016 AY310,nan,MBO,MBO,21164732347461721,745288581592383634,7.9042563,2.6511571,1.6815872,228.3932252183268,-39.45164158694575,2025052100133,31,60817.216768087965,u,228.39309385583414,-39.45172332082853,5.610499858856201,1813.84,362.703,False,nan,nan,1772.51,344.433,False,-130.086,19.663,23.25350258291848,0.2171083388148628,nan,nan,23.27852825894658,0.2109795664127319,nan,nan
2016 AY310,nan,MBO,MBO,21164732347461721,745288582398738663,7.9047613,2.6511602,1.681595,228.3912954490767,-39.45090774532816,2025052100139,33,60817.223832008545,g,228.39130312517463,-39.45086776162793,32.40388870239258,5885.05,180.33,False,5954.19,0.0820115,6125.68,173.105,False,46.3724,8.10743,21.9756246435172,0.03326918518788516,21.962943288184913,1.4954654456094452e-05,21.932114204066544,0.030681713000453924,27.23435110462495,0.18982263337821315
2016 AY310,nan,MBO,MBO,21164732347461721,745288582533480498,7.9047956,2.6511605,1.6815954,228.3911638210008,-39.45085761244865,2025052100140,34,60817.224314639956,g,228.39117233130614,-39.45084379836556,31.798009872436523,5429.09,170.021,False,5486.36,0.171354,5633.32,164.475,False,0.597835,7.627,22.06318242831521,0.034001638643083996,22.051789273494975,3.391050563693492e-05,22.02308897893699,0.031700040913115894,31.958546649545973,13.851497179541171
2016 AY310,nan,MBO,MBO,21164732347461721,745288582956580900,7.9049244,2.6511612,1.6815975,228.3906709535296,-39.45066980600449,2025052100143,73,60817.22611979296,g,228.3906753843956,-39.45063417065718,28.528934478759766,5286.65,184.433,False,5701.52,0.687355,5317.38,179.431,False,39.9649,7.06166,22.092048622282366,0.037877595016360496,22.01002336604194,0.0001308924965294172,22.085755779571976,0.036637354671722466,27.395803147091602,0.1918458331786672
2016 AY310,nan,MBO,MBO,21164732347461721,745288589400605109,7.908041,2.6511807,1.6816471,228.37873063820197,-39.44607590918415,2025052100191,76,60817.26996681998,i,228.3787392264513,-39.44603343671074,20.61376953125,8730.23,426.809,False,9426.03,24.5608,8207.48,413.74,False,-232.573,15.1313,21.547435728082807,0.05308015351227518,21.464177924392967,0.002829032965520572,21.61447535520785,0.05473208111357845,nan,nan
2016 AY310,nan,MBO,MBO,21164732347461721,745288592755524011,7.909373,2.6511889,1.681669,228.37361991282933,-39.44408315969837,2025052100216,75,60817.288820734655,z,228.3736569596857,-39.44410148204259,10.116984367370605,7584.44,728.743,False,8959.82,10.8567,12279.9,689.108,False,5440.13,48.1632,21.700191208365517,0.10432182791359942,21.519251749860373,0.001315596940761708,21.177012889985775,0.06092797575794113,22.060976828550782,0.009612367997514434
2016 AY310,nan,MBO,MBO,21164732347461721,745288592889741522,7.909407,2.651189,1.6816696,228.37348785167748,-39.4440314543584,2025052100217,75,60817.28930842723,z,228.37343718711696,-39.44395986504018,11.95191478729248,8859.98,728.026,False,9246.61,19.2402,9963.17,677.333,False,1891.17,43.4959,21.531418088714496,0.0892151162244097,21.485043607450617,0.0022591826603405047,21.404006156814695,0.07381234838172408,23.208173549877127,0.02497135182085874
2016 AY310,nan,MBO,MBO,21164732347461721,745288593294491822,7.909523,2.6511898,1.6816715,228.37304250153883,-39.44385700929142,2025052100220,79,60817.29095470089,z,228.37308286850492,-39.44383951074818,11.582072257995605,8512.93,725.218,False,8351.77,12.5755,8221.34,685.139,False,640.939,33.2887,21.57480238411477,0.09249406337558075,21.59555374654879,0.0016348242233641022,21.61264349771642,0.09048162547866119,24.382958210071436,0.05639030461973491
2016 AY310,nan,MBO,MBO,21164732347461721,745288594342543997,7.9098167,2.6511917,1.6816765,228.3719156546369,-39.44341507549279,2025052100228,30,60817.295121992924,z,228.37194155085075,-39.44341034499994,9.995345115661621,8001.08,779.766,False,8265.02,17.2034,7855.21,740.206,False,665.68,41.2238,21.642128457423915,0.1058132351670231,21.606890289501123,0.002259928580109459,21.662105505663163,0.1023102438106441,24.341836239441015,0.0672367704690846
2016 AY310,nan,MBO,MBO,21164732347461721,745288595461898392,7.9101124,2.6511936,1.6816815,228.3707807676197,-39.44296920048714,2025052100236,117,60817.29932161764,z,228.37081325533524,-39.44296227339254,11.87868595123291,9008.39,748.429,False,9893.51,6.34764,8073.67,709.046,False,168.15,61.3855,21.513382092836373,0.0902044106880567,21.41162403302912,0.0006966044171171223,21.632322524866456,0.09535154926499931,25.83575786028346,0.3963631533604832
2016 AY310,nan,MBO,MBO,21164732347461721,745297389674299492,8.069951,2.6519802,1.6839674,227.90754850313888,-39.25475368664693,2025052300222,114,60819.086175326986,i,227.90756057552744,-39.25471703429576,25.15563201904297,5611.54,221.679,False,5412.51,0.798117,6453.66,215.252,False,854.854,49.658,22.02729483496968,0.04289106295008114,22.066503267634218,0.00016010031214629553,21.87548476968514,0.03621307640865466,24.070270124617924,0.06306982155627501
2016 AY310,nan,MBO,MBO,21164732347461721,745297389830013126,8.070006,2.6519802,1.6839681,227.90741825148424,-39.25470176638104,2025052300223,155,60819.08666459915,i,227.90743755044954,-39.25468268252097,22.61029624938965,5397.19,231.835,False,5176.7,0.732427,5996.92,227.488,False,549.036,32.2897,22.06958074423243,0.04663753972942549,22.114867465318042,0.00015361571702521924,21.9551793758712,0.04118647040858688,24.550997924149232,0.06385390969096913
