provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 GT307,nan,MBO,MBO,21164732448061268,745284197640830983,8.405866,2.4081447,1.433376,225.99632303769167,-37.729645784819525,2025052000238,35,60816.13631592141,u,225.99630955583515,-37.72972984327667,6.871146202087402,3004.2,426.25,False,3426.55,45.4825,3369.08,417.382,False,245.715,9.90243,22.7056779131904,0.1540493525065221,22.56285730103545,0.014411578480156105,22.58122166587274,0.13450755863546004,25.42392084274315,0.0437556782087354
2016 GT307,nan,MBO,MBO,21164732448061268,745284197775048830,8.4059925,2.4081438,1.433376,225.99608279562943,-37.7296091264196,2025052000239,35,60816.13718127388,u,225.9960762313644,-37.72966392318683,6.6974592208862305,2895.05,378.002,False,4347.79,44.8733,2854.24,375.51,False,129.578,9.88909,22.74585980977055,0.14176282458788753,22.304328591937136,0.011205822849791311,22.761273783333216,0.1428418122675589,26.118671794332577,0.08286084328411904
2016 GT307,nan,MBO,MBO,21164732448061268,745284205482082521,8.425784,2.4079974,1.4333798,225.9582958299154,-37.723462940583566,2025052000296,143,60816.27380867624,i,225.9582754628829,-37.723525373249466,42.286006927490234,19520.5,451.944,False,17374.0,1.37483,19570.3,453.17,False,-38.5113,27.181,20.673772656163592,0.025137264085872815,20.80025045705758,8.591589240176665e-05,20.671006248753145,0.025141314688459898,nan,nan
2016 GT307,nan,MBO,MBO,21164732448061268,745284205637271603,8.425862,2.407997,1.4333799,225.95814686668712,-37.723437180832,2025052000297,183,60816.27435135268,i,225.9581186491258,-37.72349978341484,62.68694305419922,19380.3,306.35,False,18192.9,0.0805466,19583.9,306.426,False,9.5923,18.8503,20.68159871751351,0.017162545448017943,20.750245145794953,4.80695000482191e-06,20.670252021190283,0.016988331745802873,28.945193070772106,2.1336334472532266
2016 GT307,nan,MBO,MBO,21164732448061268,745284205770441132,8.425959,2.4079962,1.43338,225.9579628097385,-37.72340533624717,2025052000298,181,60816.275022669506,i,225.9579439366602,-37.72346934743698,38.799652099609375,19691.2,494.141,False,19008.1,2.46829,20243.3,502.358,False,100.295,35.4408,20.664319584943392,0.027246017799765116,20.702653252078616,0.0001409878930688023,20.634296679901055,0.026943643040199448,26.39680181305694,0.383661798460917
2016 GT307,nan,MBO,MBO,21164732448061268,745284209125884095,8.428231,2.4079792,1.4333819,225.95362727633716,-37.72265010257389,2025052000323,181,60816.29085395938,r,225.95359904428372,-37.72270626626087,26.767770767211914,19035.7,705.483,False,17755.0,4.8325,21311.6,712.563,False,2375.68,9.10316,20.701077915160866,0.040238522097910324,20.776698308405912,0.0002955122607031758,20.578459879298187,0.03630208190507031,22.960530177414906,0.004160337490905568
2016 GT307,nan,MBO,MBO,21164732448061268,745284209531682927,8.428449,2.4079776,1.4333822,225.9532139189031,-37.722577590101054,2025052000326,187,60816.29236537675,r,225.95317474357262,-37.72263390653258,32.20381546020508,18241.2,560.852,False,17406.0,1.39629,19343.2,559.509,False,1833.99,13.0107,20.74736653385596,0.033382526196635516,20.798252552034228,8.709654976702656e-05,20.683679238230162,0.03140530897189554,23.241507597507194,0.007702434778628878
2016 GT307,nan,MBO,MBO,21164732448061268,745284209652793381,8.428518,2.407977,1.4333823,225.9530802617589,-37.722554124888426,2025052000327,162,60816.29285474647,r,225.95305950681797,-37.72261421019992,53.14165115356445,17964.6,335.57,False,16329.0,0.333264,19512.2,339.075,False,1484.69,8.30949,20.76395614450302,0.02028102568969699,20.867601027408156,2.2159151401076245e-05,20.67423444635731,0.018867479403767734,23.47091058437875,0.006076631965907809
2016 GT307,nan,MBO,MBO,21164732448061268,745284210586026475,8.429026,2.4079733,1.4333827,225.9521125485924,-37.72238395978233,2025052000334,150,60816.29639670024,r,225.95208735662678,-37.72244030338364,70.65776062011719,18186.9,254.886,False,16791.5,0.164771,18480.4,255.687,False,-82.7954,24.1697,20.750603279547622,0.015216389492714453,20.837276265517733,1.0654071773099615e-05,20.733221559310973,0.015021786502162177,nan,nan
2016 GT307,nan,MBO,MBO,21164732448061268,745284210714476983,8.429097,2.4079728,1.4333827,225.9519765481,-37.72236000712089,2025052000335,139,60816.29689451413,r,225.95195567735271,-37.722415606113444,74.91258239746094,18509.1,243.343,False,16324.0,0.0221314,18580.6,244.656,False,-98.3371,33.946,20.731536768378536,0.014274400882192126,20.867933534746918,1.4719959838583408e-06,20.727350687798747,0.014296195432735855,nan,nan
2016 GT307,nan,MBO,MBO,21164732448061268,745284210826150351,8.429169,2.407972,1.4333829,225.95184028917944,-37.722335999589255,2025052000336,96,60816.297393490124,r,225.95181796596898,-37.72239037901144,78.66234588623047,18675.4,235.446,False,16920.4,0.0405864,18764.6,236.229,False,-58.1653,33.0893,20.721825195926655,0.013688180183063498,20.828973410957964,2.604319267110138e-06,20.716651744833108,0.013668417525243852,nan,nan
2016 GT307,nan,MBO,MBO,21164732448061268,745284210978717977,8.42924,2.4079716,1.4333829,225.9517034988677,-37.72231188902358,2025052000337,131,60816.2978940647,r,225.95167840370877,-37.72236829557635,77.64063262939453,17937.4,230.244,False,16740.8,0.180762,18141.9,230.973,False,7.2267,33.7134,20.765601244062253,0.013936481589464967,20.840559429393306,1.1723443981821447e-05,20.753293054775646,0.013823014725117964,29.252649959812214,5.065086661877432
2016 GT307,nan,MBO,MBO,21164732448061268,745284211520307372,8.429519,2.4079695,1.4333832,225.95117367881213,-37.7222184145684,2025052000341,140,60816.299835672995,r,225.95115662987018,-37.72227587507278,27.506505966186523,18724.1,665.732,False,16782.6,1.26013,18734.6,672.215,False,24.9184,21.7415,20.718997642893903,0.03860315552223101,20.837851916193515,8.152305646580356e-05,20.718388960228122,0.038957234595727176,27.908699625704013,0.9473134231227601
2016 GT307,nan,MBO,MBO,21164732448061268,745284211802898445,8.429662,2.4079685,1.4333833,225.9509016224626,-37.72217036188503,2025052000343,167,60816.30083288025,r,225.9508836902806,-37.72222641704936,25.38887596130371,17906.8,704.819,False,16777.5,0.792186,17929.8,711.975,False,-78.378,7.47603,20.767454995058756,0.042735019090274044,20.838181881279173,5.1265387857356256e-05,20.766061339686914,0.043113530223036066,nan,nan
