provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 GW238,nan,MBO,MBO,21164732447602775,745200677351849989,21.469873,2.0357509,1.2158407,269.3090227153965,-23.87763321416208,2025050100555,126,60797.20146763847,u,269.30899992215194,-23.87760830369605,7.352559566497803,2899.36,398.043,False,3116.29,3.35271,3015.19,398.199,False,547.648,8.43932,22.744244602218195,0.14905692268064297,22.665905321254762,0.0011681064967592341,22.701713310877295,0.14338701208434088,24.55374621473823,0.01673132134726619
2016 GW238,nan,MBO,MBO,21164732447602775,745200678668337235,21.467947,2.0357463,1.2157879,269.3093706081726,-23.87830631034218,2025050100565,77,60797.20749601422,u,269.30930555158403,-23.8782269667934,7.258037567138672,2777.76,387.447,False,2877.25,4.14946,3252.32,385.967,False,406.354,8.76841,22.790763196835098,0.15144044987268038,22.75255600316136,0.0015658072038397565,22.6195168026194,0.12884905185589052,24.877738641698485,0.023428291119113376
2016 GW238,nan,MBO,MBO,21164732447602775,745200679070466049,21.467386,2.0357451,1.2157724,269.30947161884365,-23.878502455539756,2025050100568,76,60797.20925426977,u,269.30944531442833,-23.87848460203115,5.3092570304870605,2177.7,406.159,False,2198.46,30.6865,2194.09,405.452,False,372.767,9.39726,23.055004896536843,0.2024987543577991,23.044703598708878,0.015154901720163842,23.046863861376195,0.20063620614984898,24.971406358650057,0.027370837927841576
2016 GW238,nan,MBO,MBO,21164732447602775,745200679341522977,21.466995,2.0357442,1.2157617,269.3095418338087,-23.87863898717912,2025050100570,81,60797.21047811331,u,269.30952990215513,-23.878747228445295,5.8860931396484375,2099.12,352.012,False,2124.35,11.4336,2292.86,348.133,False,343.261,9.94073,23.094906773078133,0.1820725563168082,23.081934772471207,0.005843610215961277,22.99905610437455,0.1648511377454977,25.06093888486148,0.031442578666528234
2016 GW238,nan,MBO,MBO,21164732447602775,745200679723728997,21.466423,2.0357428,1.215746,269.309644351457,-23.87883860332608,2025050100573,42,60797.2122683731,u,269.3096495109226,-23.878913751653783,7.108202934265137,2617.29,369.542,False,nan,nan,2883.57,370.233,False,347.836,9.27157,22.855370369188638,0.15329792040936027,nan,nan,22.750173727823523,0.13940197901292167,25.046563684095588,0.02894030373413269
2016 GW238,nan,MBO,MBO,21164732447602775,745200680015233070,21.46603,2.0357418,1.2157353,269.3097145117583,-23.8789754004792,2025050100575,86,60797.213495752854,u,269.3096970201879,-23.87904283097652,6.015151023864746,2028.86,342.026,False,2186.55,5.09587,2217.19,340.617,False,275.158,10.3576,23.13186980810338,0.18303382929825263,23.05060144365841,0.0025303653928503327,23.035492750782637,0.1667968119108656,25.30104468118043,0.04086968931935939
2016 GW238,nan,MBO,MBO,21164732447602775,745200680415789127,21.465466,2.0357406,1.2157198,269.30981504717744,-23.879171682891077,2025050100578,82,60797.21525600518,u,269.30981904674604,-23.879140067670562,6.43880558013916,2457.08,386.095,False,2688.19,13.8866,2895.8,384.804,False,405.114,8.66435,22.9239517232472,0.17060791995893818,22.826350120676615,0.005608675060527809,22.745578572251226,0.14427640439662073,24.881056833690614,0.023221112294612576
2016 GW238,nan,MBO,MBO,21164732447602775,745200680680030211,21.465084,2.0357397,1.2157094,269.3098830497338,-23.87930462185816,2025050100580,74,60797.21644930975,u,269.3099157103618,-23.879355212943324,5.42995548248291,2151.76,394.435,False,2366.65,31.5781,2042.27,393.302,False,477.501,10.9416,23.068015420161167,0.19902421986162663,22.96466495585927,0.014486927971694086,23.12471709509416,0.20909195103513892,24.70256427031127,0.024878881750007274
2016 GW238,nan,MBO,MBO,21164732447602775,745200681062236216,21.464514,2.0357385,1.2156938,269.30998435467785,-23.87950292052429,2025050100583,35,60797.21822903136,u,269.3099662351176,-23.879428965484156,6.100502014160156,2821.08,459.64,False,3407.15,123.056,3552.96,457.414,False,559.171,9.17904,22.773961464871938,0.17689955309281835,22.5690218965407,0.0392135239062236,22.523524216600265,0.13977949299001546,24.531138360858325,0.0178228406671815
2016 GW238,nan,MBO,MBO,21164732447602775,745200681378381827,21.464088,2.0357375,1.2156823,269.31005975655063,-23.879650713156646,2025050100585,126,60797.21955676924,u,269.31011557035504,-23.87957226078558,6.434410572052002,2423.46,407.952,False,2736.85,23.4251,2236.58,407.895,False,523.359,8.96754,22.93891037763678,0.18276689478538571,22.806872472627006,0.00929297499574211,23.026038869521717,0.19801050793711472,24.603000739365793,0.018603640046629382
