provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 NG152,nan,MBO,MBO,21164732564517447,745200688196747268,16.18679,2.738836,1.972362,271.08000158740475,-24.735207625277784,2025050100636,75,60797.25008076902,u,271.0799745760953,-24.73536731972204,5.10090446472168,3043.76,614.668,False,nan,nan,39446.3,605.015,False,36944.0,19.0181,22.691473983025134,0.21925754057609848,nan,nan,19.909984295180642,0.016652682071985732,19.981140211067245,0.0005589172942170402
2016 NG152,nan,MBO,MBO,21164732564517447,745200689971462325,16.17916,2.7387943,1.9719969,271.0791699144107,-24.73488426657969,2025050100649,132,60797.281717596794,g,271.07911194469585,-24.734910556110695,20.071455001831055,3564.03,176.677,False,3438.68,1.2707,4211.96,171.098,False,866.554,5.07497,22.52014661350781,0.053822390942781816,22.55902061481489,0.0004012135467070747,22.33878941471979,0.04410471673619413,24.055510901565093,0.0063586092883785835
2016 NG152,nan,MBO,MBO,21164732564517447,745200690128748691,16.179043,2.7387938,1.9719913,271.07915696085786,-24.73487918131397,2025050100650,176,60797.28220231854,g,271.0791298305781,-24.734901220110235,18.475502014160156,3572.53,192.052,False,3531.23,0.460957,6204.64,188.775,False,2082.08,4.94177,22.517560280028192,0.05836698642329567,22.53018499241624,0.00014172899993145386,21.918208505263827,0.03303331714815592,23.10375642815518,0.0025769703789450355
2016 NG152,nan,MBO,MBO,21164732564517447,745200691066176095,16.178198,2.7387893,1.971951,271.07906329480346,-24.734842354693296,2025050100657,172,60797.28570343807,g,271.07901824445213,-24.734864682587464,17.206342697143555,2944.41,169.923,False,2817.6,2.55607,4605.99,169.288,False,419.988,6.34693,22.72750432230484,0.0626582449911586,22.77530161581106,0.0009849580287154688,22.24169246790599,0.03990501394525244,24.841907778441985,0.016407829774260356
2016 NG152,nan,MBO,MBO,21164732564517447,745200691306824327,16.177954,2.738788,1.9719393,271.07903622193976,-24.73483169183143,2025050100659,119,60797.28671342708,g,271.07899225157115,-24.734865925369725,20.899974822998047,3577.54,164.495,False,3387.91,1.32265,4115.03,156.604,False,367.763,6.6421,22.516038742525218,0.049922060899434156,22.575170366273902,0.0004238745953799203,22.364067542391616,0.0413194182614265,24.986079914852358,0.019609281741631138
2016 NG152,nan,MBO,MBO,21164732564517447,745200691468304785,16.177837,2.7387872,1.9719338,271.0790233477561,-24.73482661822492,2025050100660,171,60797.28719301775,g,271.07896217866266,-24.734844398562306,21.849262237548828,3310.71,150.764,False,3218.45,1.11021,3436.72,148.788,False,142.916,6.79752,22.60019716128939,0.04944254958082888,22.630883100055783,0.0003745266035052928,22.559639633530203,0.04700543358609418,26.012297866060468,0.05164091999570886
2016 NG152,nan,MBO,MBO,21164732564517447,745200691961135462,16.177355,2.7387846,1.9719108,271.0789698127245,-24.73480549937277,2025050100664,87,60797.28918785686,g,271.07894465841736,-24.73482865332249,18.81902503967285,3491.99,182.564,False,3245.78,5.43297,3440.64,176.238,False,436.907,4.58162,22.542317524667176,0.056763146516289206,22.621702290525576,0.0018173666194714467,22.55840194882415,0.055614069006139355,24.79902746057408,0.011385559851504697
2016 NG152,nan,MBO,MBO,21164732564517447,745200692124189200,16.17723,2.738784,1.971905,271.0789561334177,-24.734800097520765,2025050100665,142,60797.28969674934,g,271.0789240700815,-24.734831096929003,16.722179412841797,3114.99,172.343,False,3282.38,0.75339,3339.02,165.214,False,249.997,4.73762,22.666358361430937,0.06007050996678749,22.60952789438806,0.0002492041883916434,22.59095244267113,0.05372199782795241,25.405163033209934,0.02057546909667477
2016 NG152,nan,MBO,MBO,21164732564517447,745200692414120424,16.176981,2.7387826,1.9718931,271.0789282741727,-24.73478908902116,2025050100667,183,60797.29073289838,g,271.0788734050126,-24.73482183311792,17.49372673034668,3427.68,191.726,False,3102.63,1.69088,3933.88,180.776,False,243.952,6.57576,22.56249934552731,0.06073024946664342,22.670675072350615,0.0005917075639599975,22.412947262432226,0.04989350337543082,25.431739061086436,0.029266170006120425
2016 NG152,nan,MBO,MBO,21164732564517447,745200692490142124,16.176857,2.738782,1.9718872,271.0789145245297,-24.73478365234589,2025050100668,72,60797.29124312107,g,271.07887329685036,-24.734827955078543,16.347471237182617,2891.11,176.456,False,2924.25,0.418178,2779.72,169.337,False,101.93,5.63129,22.74733841996281,0.06626681576848154,22.734963753550783,0.00015526408004171437,22.789997381881033,0.06614166885137165,26.37924493621933,0.059983276460528596
