provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 VG8,nan,MBO,MBO,21164732697294919,745424937205367001,14.072551,2.7118993,1.8571781,226.91889902379805,-41.4199839102095,2025062100253,155,60848.03113540527,r,226.91889372314827,-41.41998044932417,28.343671798706055,5593.47,196.677,False,5291.54,0.695937,5423.53,194.086,False,-178.568,50.8125,22.030796675473326,0.03817654040547317,22.091044783461285,0.00014279471902664174,22.06429492606237,0.03885406806891565,nan,nan
2016 VG8,nan,MBO,MBO,21164732697294919,745424940562383945,14.075635,2.7119083,1.8572701,226.91647260987125,-41.41930290052182,2025062100278,158,60848.04265095129,r,226.91647246405554,-41.41929089114114,25.00076675415039,5475.77,216.093,False,5241.18,0.422904,5511.38,210.228,False,-56.1403,47.8302,22.053887000936946,0.04284694122947661,22.1014272758043,8.760664285055992e-05,22.04684913333122,0.04141470053983524,nan,nan
2016 VG8,nan,MBO,MBO,21164732697294919,745424942283096308,14.077621,2.711914,1.8573295,226.9149096406585,-41.41886218536503,2025062100291,112,60848.05006643802,g,226.91496473889327,-41.418806339469285,5.039149284362793,3625.28,716.939,False,3865.37,89.586,3495.29,726.022,False,-16.3996,24.4375,22.501646103435025,0.2147162841794945,22.432022287898192,0.025163634813786116,22.541291951699854,0.22552301306996403,nan,nan
2016 VG8,nan,MBO,MBO,21164732697294919,745433746652528711,14.604908,2.7134843,1.8741525,226.5225738535377,-41.29373013870414,2025062300353,26,60850.0921310609,g,226.5225697500853,-41.29371844898527,27.69863510131836,3668.51,131.837,False,3579.66,0.353923,3982.14,127.719,False,8.92378,7.6452,22.488775728967873,0.03901862329455815,22.5153955795566,0.00010734735046659779,22.39970871818766,0.03482277067054527,29.023627808854783,0.9301741838784136
2016 VG8,nan,MBO,MBO,21164732697294919,745433747204603982,14.605399,2.7134857,1.8741684,226.52221389930048,-41.29361223291352,2025062300357,55,60850.09400891409,g,226.52222631624826,-41.29359474642924,24.507583618164062,3462.16,141.011,False,3291.34,2.78653,3452.33,137.802,False,-97.3413,7.89682,22.551632191423952,0.04422116643330885,22.606568101417434,0.00091921115571106,22.55471921992455,0.043337867244118436,nan,nan
2016 VG8,nan,MBO,MBO,21164732697294919,745464542116970514,16.330889,2.718703,1.9387718,225.46021067733264,-40.83966661601413,2025063000421,49,60857.219271350696,g,225.46023693086235,-40.8396402611636,19.502504348754883,3626.19,183.411,False,3823.17,1.10981,3917.4,188.431,False,88.4971,3.52679,22.50137362777713,0.0549160307002092,22.443940998025475,0.00031517325054038675,22.41750522959588,0.05222503794195337,26.532677391450996,0.04326880145272227
2016 VG8,nan,MBO,MBO,21164732697294919,745468900756422988,16.503061,2.7192414,1.9462297,225.37608585662144,-40.79074663757668,2025070100127,150,60857.98789705879,i,225.37610735275936,-40.790723480606914,14.680343627929688,5724.26,386.527,False,5990.15,8.61946,5381.72,388.211,False,-502.636,6.43564,22.005701665697085,0.07331364821772914,21.956405773348035,0.0015623081316843111,22.072697210274924,0.07831970436373971,nan,nan
2016 VG8,nan,MBO,MBO,21164732697294919,745468901039538409,16.503267,2.719242,1.9462384,225.37598159220624,-40.79069081292552,2025070100129,178,60857.98879158037,i,225.37599552884603,-40.79070447114709,17.79178237915039,6025.05,335.953,False,5735.35,2.48597,5484.61,333.437,False,-383.676,7.7134,21.950098396857193,0.06053997065620844,22.003600166795817,0.0004706090489715167,22.05213564914304,0.0660073632680996,nan,nan
2016 VG8,nan,MBO,MBO,21164732697294919,745468901427511792,16.503572,2.719243,1.9462513,225.3758273962965,-40.79060822382072,2025070100132,150,60857.990113633656,i,225.37584043161857,-40.79061814134596,18.693931579589844,5514.52,293.518,False,5485.15,0.141425,5130.2,288.853,False,-319.084,9.55762,22.04623070576598,0.057789821063497844,22.05202874799385,2.799380947033148e-05,22.12466421781349,0.06113175793677895,nan,nan
2016 VG8,nan,MBO,MBO,21164732697294919,745468901561205247,16.503677,2.7192433,1.9462557,225.37577443847985,-40.79057985054578,2025070100133,149,60857.99056782855,i,225.37577517064517,-40.790558702165484,16.799428939819336,5328.85,315.492,False,5397.19,0.557366,5099.4,313.432,False,-341.661,7.89921,22.083416241092394,0.06428048926231024,22.06958074423243,0.0001121236174301119,22.13120232173307,0.06673422051001854,nan,nan
