provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 AF33,nan,MBO,MBO,21164736640136006,745174275093692811,19.028837,2.5631056,1.8623978,272.2777403709606,-23.977771561381022,2025042500451,87,60791.278146256256,i,272.2777001037322,-23.977787722797302,8.898598670959473,3072.56,344.953,False,3046.29,5.00846,454.321,294.988,False,-2181.0,81.1584,22.68124904827144,0.12189443235560798,22.69057187399722,0.001785078351391468,24.756592936585744,0.7049622372103825,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745174275237348204,19.028713,2.563106,1.8623922,272.27773616482943,-23.97776922315091,2025042500452,105,60791.27868052027,i,272.277739156949,-23.977777299650302,9.728339195251465,3050.03,313.407,False,3554.45,13.7596,67.4907,250.143,False,-2507.07,39.3765,22.689239711884078,0.11156524280251368,22.523068991311195,0.0042029837940984315,26.8268901722812,4.024099886824817,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745174275399352361,19.02859,2.5631065,1.8623867,272.2777319339188,-23.9777668715478,2025042500453,158,60791.279216819836,i,272.2777316732016,-23.97775135296886,9.228416442871094,3164.41,341.333,False,3159.09,4.2828,-85.2056,269.668,False,-2545.34,37.2921,22.64926815946221,0.11711428504974652,22.651094972815535,0.0014719400532784096,nan,nan,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745174275667264379,19.028341,2.5631075,1.8623756,272.2777235324372,-23.977762202942547,2025042500455,157,60791.28027748602,i,272.2776946526965,-23.977779635558797,6.939579486846924,2421.44,343.624,False,2412.84,10.0481,419.444,289.018,False,-1664.18,31.6472,22.939815745553844,0.1540756818110638,22.943678650520223,0.004521470994162961,24.8433150335029,0.7481268347520237,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745174276070966098,19.02797,2.5631087,1.862359,272.2777107969535,-23.97775512817818,2025042500458,159,60791.28187701356,i,272.2777242648737,-23.977742257630304,7.927043437957764,2617.03,331.066,False,2458.17,7.96051,218.181,266.603,False,-2180.9,34.5459,22.855478234971653,0.13735048840797967,22.923470249126336,0.0035160358917346165,25.552957681349866,1.3266990538822931,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745174276412801084,19.0276,2.56311,1.8623426,272.2776980875838,-23.977748069777288,2025042500461,43,60791.2834647063,i,272.27766972587614,-23.977771363417844,8.559004783630371,3189.8,365.021,False,3026.93,11.209,255.759,309.983,False,-2469.13,27.9706,22.640591349106444,0.1242449385194096,22.69749408029277,0.004020580917421215,25.38042267558553,1.315925399618649,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745174276755161757,19.027353,2.5631108,1.8623316,272.2776895804752,-23.97774334579878,2025042500463,184,60791.284521776055,i,272.2776343736273,-23.977756187346472,6.632439613342285,2170.76,331.019,False,2276.23,34.2139,498.402,274.86,False,-1920.32,32.9553,23.05847046922635,0.16556382311480086,23.006959652042735,0.016319647796924058,24.656050541443236,0.5987645164173699,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200689953636618,17.542542,2.5679865,1.8030622,272.1311407692851,-23.943191397905416,2025050100649,98,60797.281717596794,g,272.1311416986437,-23.94324170326689,7.6232404708862305,1237.45,163.569,False,1377.14,4.30161,786.57,165.099,False,-324.18,3.82595,23.66868089284342,0.14351512590305004,23.55255475629682,0.0033913862486386844,24.16065654419887,0.22789320586843315,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200690119835657,17.542408,2.5679867,1.8030576,272.1311139308179,-23.943189111009968,2025050100650,159,60797.28220231854,g,272.1310827324771,-23.94321051324458,9.34495735168457,1642.37,175.135,False,1703.37,0.56934,1330.07,171.078,False,-328.323,3.64631,23.3613224945084,0.11577805538429857,23.32172751781402,0.00036290004074290914,23.590313798919485,0.1396509876316769,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200690209489082,17.54227,2.5679872,1.8030529,272.131086532601,-23.943186772685443,2025050100651,74,60797.28269772871,g,272.1311028637599,-23.94320540945892,7.550439357757568,1287.6,171.033,False,1255.51,2.44541,1262.89,169.603,False,-311.204,3.74343,23.6255476005526,0.14421926762836712,23.65294955112785,0.0021147343837614567,23.646586176484178,0.14581167952374285,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200690387222794,17.542133,2.5679877,1.803048,272.1310586296115,-23.94318438739846,2025050100652,157,60797.28320126145,g,272.13100068375553,-23.943211463257864,10.082833290100098,1679.56,164.622,False,1796.03,3.81509,1493.68,166.84,False,-317.672,4.80281,23.337011154534203,0.10641837908140772,23.264216015707277,0.0023062984503665436,23.46435604610815,0.12127377879601602,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200690477924374,17.541994,2.567988,1.8030432,272.1310309415268,-23.94318201660433,2025050100653,74,60797.283701374006,g,272.1310097081241,-23.943202680431472,8.569134712219238,1568.49,187.045,False,nan,nan,972.029,189.679,False,-371.401,3.48716,23.41129562132832,0.12947581922444787,nan,nan,23.930801954075203,0.21186750628709242,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200690624200756,17.541862,2.5679884,1.8030387,272.1310044656618,-23.94317974598811,2025050100654,97,60797.28417959226,g,272.130985419976,-23.943217544728164,9.913843154907227,1562.59,154.441,False,1614.45,0.834544,1262.85,153.269,False,-288.707,4.49068,23.41538742210447,0.10731041580816933,23.379938534509257,0.0005612404632759345,23.646620599552215,0.13177313420901898,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200690789351792,17.541721,2.5679889,1.8030338,272.1309761000241,-23.94317730937057,2025050100655,156,60797.284691791996,g,272.1309375174383,-23.94315778001981,10.85524845123291,1642.76,148.555,False,1746.53,1.54497,1613.33,150.413,False,-271.181,5.67503,23.361064694649304,0.09818326048044361,23.294559857093013,0.0009604357639024561,23.380692005521308,0.10122469557869261,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200690860130516,17.541584,2.567989,1.8030291,272.1309481156276,-23.94317490151102,2025050100656,35,60797.28519669482,g,272.1309449023384,-23.943200130598875,8.66014289855957,1316.32,150.723,False,1448.37,6.16051,1300.2,151.082,False,-254.597,4.12603,23.60159634439693,0.12432040270356616,23.49780120185313,0.004618080212867697,23.614974636515427,0.12616151687641514,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200691059359783,17.541443,2.5679896,1.8030242,272.13092001386053,-23.943172479557923,2025050100657,159,60797.28570343807,g,272.1308343380531,-23.943157491678253,7.584484577178955,1147.94,151.322,False,1138.64,0.17875,945.873,150.559,False,-266.811,4.15699,23.750202082541456,0.14312227914509884,23.759033895164038,0.00017044486140055102,23.960417944546066,0.1728216852881525,nan,nan
2017 AF33,nan,MBO,MBO,21164736640136006,745200691128565987,17.541304,2.56799,1.8030194,272.13089207190814,-23.94317006740372,2025050100658,35,60797.28620794672,g,272.13088456625803,-23.943125876645606,10.48084831237793,1747.98,165.225,False,1986.62,10.2159,1588.8,165.832,False,-302.836,3.75852,23.293658864067737,0.10262747460635287,23.154712994287266,0.005583238353937958,23.397326888754122,0.11332439675808738,nan,nan
