provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 QN124,nan,MBO,MBO,21164736909620302,745174274937979866,17.570776,2.713279,2.002073,270.4526951828032,-22.579396011571653,2025042500450,46,60791.277617615146,i,270.4526577333768,-22.579402563697396,15.661964416503906,4268.25,268.824,False,4358.56,7.98968,3493.07,258.969,False,-710.23,18.8989,22.324375377499937,0.0683821132957109,22.301642413236657,0.001990263876417958,22.541981756635465,0.0804942378325475,nan,nan
2017 QN124,nan,MBO,MBO,21164736909620302,745174275196977255,17.57055,2.713278,2.0020604,270.4527025486312,-22.5794072733821,2025042500452,28,60791.27868052027,i,270.4526933486115,-22.57940922555499,11.544090270996094,4027.64,345.149,False,4381.9,10.8931,2703.72,335.285,False,-915.078,16.8995,22.387373415589906,0.09304226818110195,22.295843868602066,0.0026990650361798244,22.82009572771741,0.13464081758945798,nan,nan
2017 QN124,nan,MBO,MBO,21164736909620302,745174275340632756,17.570436,2.7132776,2.002054,270.45270625094656,-22.57941294589257,2025042500453,46,60791.279216819836,i,270.4526608840776,-22.579403802888333,13.477205276489258,4228.36,307.848,False,4357.99,2.16103,3146.37,291.604,False,-826.996,16.8014,22.334570145661672,0.07904760266918702,22.301784368199282,0.0005383923421377378,22.65547547828242,0.10062548673595202,nan,nan
2017 QN124,nan,MBO,MBO,21164736909620302,745174275609067871,17.570211,2.7132766,2.0020413,270.45271355648845,-22.57942416245061,2025042500455,46,60791.28027748602,i,270.45268984623186,-22.579426602416024,12.82063102722168,4115.8,315.48,False,4177.02,7.06195,2965.19,304.071,False,-851.34,17.8331,22.363864394439943,0.08322272366484938,22.347833608131715,0.0018356184504318548,22.719868704431832,0.11133887396087196,nan,nan
2017 QN124,nan,MBO,MBO,21164736909620302,745174276012245259,17.569872,2.713275,2.0020223,270.45272451585606,-22.57944104679101,2025042500458,47,60791.28187701356,i,270.4527142771222,-22.579438053011646,12.502418518066406,3955.01,316.33,False,4374.45,1.6165,2971.69,301.736,False,-794.339,26.0157,22.40713103251407,0.086839456341228,22.297691309259413,0.0004012144425867329,22.71749126433195,0.1102422183071458,nan,nan
2017 QN124,nan,MBO,MBO,21164736909620302,745174276285923582,17.569649,2.713274,2.0020096,270.4527316572213,-22.57945208617122,2025042500460,57,60791.28292506441,i,270.45271569174224,-22.57942162702735,12.155159950256348,3875.77,309.85,False,4003.28,15.8459,2680.91,298.209,False,-822.67,18.2052,22.42910500256439,0.08679962123031273,22.393960074871625,0.004297592660801759,22.829294448939798,0.12077105709209633,nan,nan
2017 QN124,nan,MBO,MBO,21164736909620302,745174276689101146,17.569311,2.7132726,2.0019906,270.452742477284,-22.579468867713352,2025042500463,58,60791.284521776055,i,270.45272992446024,-22.579452701119518,13.152968406677246,4341.57,320.504,False,4441.01,4.86744,3256.54,303.903,False,-800.967,20.155,22.30588302487974,0.08015137571736898,22.28129567956728,0.0011899897442843553,22.618108944548474,0.10132180237651324,nan,nan
2017 QN124,nan,MBO,MBO,21164736909620302,745200688054140977,16.222628,2.7076738,1.9338565,270.4087704729101,-22.639546265847255,2025050100635,59,60797.249467010726,u,270.40883574473446,-22.639506237985962,5.2483954429626465,1387.33,267.902,False,1705.23,5.94902,1377.61,264.996,False,52.328,12.1301,23.544550590193865,0.209662386518116,23.320542601043844,0.0037877977586047184,23.55218429493916,0.2088513851968863,27.103164678053,0.2516834052854682
2017 QN124,nan,MBO,MBO,21164736909620302,745200689660035199,16.214756,2.7076445,1.9335102,270.4076766797932,-22.63991704875556,2025050100647,50,60797.28074399984,g,270.4076413346698,-22.639876973899106,14.212512016296387,2256.46,157.33,False,2382.39,1.11123,3310.51,157.247,False,855.518,4.93253,23.016430920702128,0.07570215383377248,22.957467905266327,0.0005064253603817955,22.60026273658443,0.051571737886820936,24.069427114485975,0.006259863951915207
2017 QN124,nan,MBO,MBO,21164736909620302,745200690062163980,16.214388,2.707643,1.9334941,270.40762507291925,-22.63993397306357,2025050100650,49,60797.28220231854,g,270.4075842622571,-22.639915323001617,11.485864639282227,1830.21,158.7,False,1823.48,0.100893,2771.28,163.68,False,687.095,4.88909,23.24374771331597,0.0941456641911454,23.24774750083667,6.0073695467179064e-05,22.79329896970738,0.06412679056750908,24.307458075831086,0.007725659936533326
