provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 HJ207,nan,MBO,MBO,21165806206007114,745174275008234361,17.404692,2.7456086,2.0383368,270.68870900189023,-24.698706745942168,2025042500450,180,60791.277617615146,i,270.6886322311689,-24.698706788746545,8.563101768493652,2833.61,326.978,False,nan,nan,28437.9,279.771,False,24903.2,45.0584,22.7691497675821,0.12528606119226002,nan,nan,20.265256178296816,0.010681432008966738,20.409362142923303,0.001964467894692345
2020 HJ207,nan,MBO,MBO,21165806206007114,745174275407218433,17.404345,2.7456093,2.0383196,270.68870811902696,-24.69872852249536,2025042500453,173,60791.279216819836,i,270.6886481079685,-24.698672121980067,9.798258781433105,2613.01,267.358,False,2873.22,7.17191,10848.7,217.148,False,8740.29,36.438,22.857147316499088,0.11109037508557686,22.754077809014618,0.0027101308693423492,21.311555730994574,0.021732137095898843,21.546185388587222,0.004526400766331305
2020 HJ207,nan,MBO,MBO,21165806206007114,745174276057859498,17.403765,2.74561,2.0382907,270.6887064941312,-24.698764675437538,2025042500458,134,60791.28187701356,i,270.6886924801964,-24.69881128179495,10.582310676574707,3288.22,376.378,False,4325.5,131.313,39107.3,332.717,False,37126.9,46.3133,22.60759784335073,0.12427611742602658,22.309909209116384,0.0329606478092597,19.919355395958505,0.009237224176049963,19.97577832500496,0.0013543826677589403
2020 HJ207,nan,MBO,MBO,21165806206007114,745174276342022618,17.403536,2.7456102,2.0382795,270.6887058016864,-24.698778883862037,2025042500460,164,60791.28292506441,i,270.688671129212,-24.698717520570757,8.179535865783691,2922.65,352.721,False,nan,nan,20503.4,269.952,False,18255.8,41.1428,22.735558011714573,0.1310324471582599,nan,nan,20.620435268284965,0.014295026671510207,20.746497780484553,0.002446905911411339
2020 HJ207,nan,MBO,MBO,21165806206007114,745174276564320558,17.403303,2.7456107,2.038268,270.688705066669,-24.698793332414496,2025042500462,76,60791.28399201683,i,270.6886148465679,-24.698691678270976,6.782790184020996,3073.95,444.553,False,3390.83,31.8457,31193.3,343.153,False,27528.1,32.946,22.680758019470993,0.157018593180904,22.574234932795775,0.01019692167121388,20.164846667689115,0.01194402781926177,20.3005594222658,0.0012994236646116366
2020 HJ207,nan,MBO,MBO,21165806206007114,745174276728422688,17.403187,2.745611,2.0382624,270.6887046911256,-24.698800489198035,2025042500463,133,60791.284521776055,i,270.6886964128758,-24.698764040372193,8.076411247253418,2813.48,348.751,False,nan,nan,23457.9,268.925,False,19901.2,39.8648,22.776890426886204,0.13458478377714025,nan,nan,20.474277155484323,0.012447047295317839,20.652801882041857,0.0021748767818606978
2020 HJ207,nan,MBO,MBO,21165806206007114,745200689725571270,16.017162,2.7475104,1.97673,270.5970275254248,-24.774031682745967,2025050100647,175,60797.28074399984,g,270.59695238832506,-24.77403510641534,6.918992519378662,1248.22,175.477,False,1698.02,10.9422,1116.61,174.37,False,-129.209,4.40285,23.65927218317973,0.15263474540389177,23.325142984404636,0.006996585579065949,23.780246231909626,0.16954874056819555,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200689967267917,16.016912,2.747511,1.9767203,270.5969853854556,-24.774044934429455,2025050100649,124,60797.281717596794,g,270.5969345777643,-24.77403125899646,7.985201358795166,1351.05,171.535,False,nan,nan,1029.77,170.802,False,-152.087,3.96778,23.57332140626195,0.137849640744851,nan,nan,23.868149390666204,0.18008478966021102,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200690127699978,16.016788,2.747511,1.9767156,270.5969643722576,-24.774051533938565,2025050100650,174,60797.28220231854,g,270.59687197265407,-24.77404523432188,8.837767601013184,1500.9,174.704,False,1590.25,8.48294,1183.57,171.394,False,-158.571,4.70221,23.45912058833143,0.1263791386045581,23.396336489378573,0.005791689845591438,23.717015177903495,0.1572265911393249,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200690394562785,16.016531,2.7475114,1.9767057,270.5969210724804,-24.77406511515043,2025050100652,171,60797.28320126145,g,270.5968486531728,-24.774009742605323,8.402342796325684,1388.37,161.972,False,1246.24,16.4961,1251.1,161.071,False,-159.556,4.45588,23.543736951733493,0.12666570532934648,23.66099579226929,0.014371559711162343,23.656769960957398,0.13978148726838582,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200690793545862,16.01615,2.7475119,1.976691,270.59685644934154,-24.774085340304723,2025050100655,164,60797.284691791996,g,270.5968020186248,-24.774082030939034,10.398033142089844,1475.07,142.032,False,1510.05,1.30775,1402.1,142.389,False,-133.315,5.35698,23.477968463507548,0.1045437082519204,23.452521645724573,0.0009402810909335048,23.533052545635794,0.11026096809675862,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200691061981352,16.01589,2.747512,1.976681,270.596812529486,-24.77409905582145,2025050100657,164,60797.28570343807,g,270.5967303546015,-24.77409571359828,8.851678848266602,1414.7,156.78,False,1398.37,3.17106,1342.02,156.6,False,-163.589,4.93717,23.523339153650095,0.12032355038650688,23.53594475821089,0.0024621057045645677,23.580602513869312,0.126694306953274,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200691305775315,16.01563,2.7475123,1.976671,270.596768674013,-24.774112727020057,2025050100659,117,60797.28671342708,g,270.59673251290974,-24.774113115583216,8.578795433044434,1277.11,145.535,False,1171.74,0.166456,1095.37,144.692,False,-138.713,4.97054,23.634429248669186,0.12372671449441484,23.727921869545078,0.00015423840283502847,23.80109789910031,0.14341943370463972,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200691721011405,16.01525,2.7475128,1.9766563,270.596703979576,-24.77413285043169,2025050100662,141,60797.28820217203,g,270.59664141774755,-24.774111140192073,10.23936653137207,1415.43,136.595,False,1472.98,4.83063,1221.61,139.515,False,-152.449,5.1016,23.52277896823383,0.10477814698470837,23.479507889225797,0.0035606659716859593,23.682668565113698,0.12399741960242473,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200691956940812,16.014996,2.7475133,1.9766465,270.5966611571304,-24.774146141780697,2025050100664,79,60797.28918785686,g,270.5965892265006,-24.77411895009359,8.889223098754883,1565.13,174.698,False,1562.43,4.52881,1299.66,172.18,False,-207.771,4.08684,23.41362395670235,0.12118861742252456,23.41549853970743,0.0031470804060211247,23.61542558959576,0.1438391939943574,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200692119994389,16.014866,2.7475133,1.9766415,270.5966390205919,-24.77415300364753,2025050100665,134,60797.28969674934,g,270.5965789554989,-24.77417034332639,8.1242036819458,1330.42,160.655,False,1294.39,0.434327,1162.97,157.382,False,-203.905,4.07002,23.590028051779537,0.13110817853645151,23.619837115024442,0.00036431411719106926,23.736078747844186,0.14693013903235572,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200692649001000,16.01434,2.747514,1.9766213,270.59654959365366,-24.774180662434564,2025050100669,119,60797.291751934696,g,270.59651455491337,-24.77414057558086,10.735453605651855,1709.16,156.699,False,1584.87,6.18724,1506.19,154.809,False,-205.156,4.4224,23.318043177447414,0.09954233641881789,23.40001589153174,0.0042386508865602576,23.45530064254434,0.11159398806944071,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200692810481875,16.01421,2.7475142,1.9766163,270.5965278222535,-24.77418738117826,2025050100670,171,60797.292251945415,g,270.59651401264796,-24.774152551725415,9.488546371459961,1744.15,182.208,False,1722.63,8.57739,1265.75,182.449,False,-248.541,3.71114,23.29604040405202,0.1134247693963846,23.309519981210244,0.0054061420802961795,23.644130159852804,0.15650127623024657,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200693058994433,16.013948,2.7475145,1.9766062,270.59648348020824,-24.77420104733524,2025050100672,133,60797.2932699156,g,270.59645344781745,-24.774179852390564,9.78026294708252,1945.04,197.862,False,2022.75,2.16696,2198.06,201.339,False,-328.669,3.21592,23.17767863550516,0.11044807926897661,23.135144475388522,0.0011631427152834174,23.044901113312356,0.09945180786983998,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200693297021067,16.013687,2.7475147,1.9765961,270.59643885608693,-24.77421477615696,2025050100674,75,60797.29429340684,g,270.59640754387846,-24.774233792671854,9.817880630493164,1960.68,196.496,False,2163.46,1.42749,1303.0,198.358,False,-270.662,3.93927,23.168983173204737,0.10881062581935018,23.06212784465148,0.0007163883771938667,23.612638960718535,0.16528354870216364,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200693461647389,16.013557,2.747515,1.9765912,270.596417103124,-24.77422145976025,2025050100675,133,60797.29479243902,g,270.59631296774637,-24.7742057904348,9.72065258026123,1531.15,156.025,False,1440.5,0.299587,1344.39,157.162,False,-230.553,4.54522,23.437455635953413,0.11063709108805694,23.503716843458918,0.0002258052514294824,23.578686804697092,0.12692483158622572,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200693751578729,16.013279,2.7475154,1.9765805,270.59636956989,-24.77423604435593,2025050100677,174,60797.29588233264,g,270.5962077085569,-24.77424637199369,6.918643951416016,1559.24,227.683,False,1849.06,5.8988,1108.64,232.809,False,-399.238,3.22996,23.417717588209598,0.15854113311504367,23.23262245615797,0.003463673655274513,23.788023625680854,0.22799931716598806,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200694148989252,16.012896,2.7475157,1.9765658,270.59630464398055,-24.77425592136687,2025050100680,164,60797.29737012891,g,270.59624669148326,-24.77425673112834,12.508410453796387,1721.28,137.166,False,1701.67,2.75923,1990.59,138.954,False,-165.372,6.94558,23.310371175015955,0.08652054873389592,23.322811615895567,0.0017605033412091578,23.152545473639325,0.07579028603951321,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200694421094680,16.01263,2.7475162,1.9765556,270.5962594594455,-24.774269724616023,2025050100682,171,60797.29840548485,g,270.5962581548487,-24.774299127533272,7.947904109954834,1402.26,173.108,False,1425.07,2.99195,970.398,171.51,False,-255.693,3.94943,23.532928627947637,0.13403336291405082,23.51540954695998,0.0022795151103911556,23.932625256591948,0.191895086908944,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200694661743035,16.012375,2.7475164,1.9765457,270.59621578420257,-24.77428304353579,2025050100684,118,60797.29940548696,g,270.59617084749516,-24.774246917298118,11.212410926818848,1776.08,154.816,False,1952.21,1.09833,1289.93,151.534,False,-195.029,6.01723,23.276343717322995,0.09464063229451787,23.173683689044076,0.0006108444748925195,23.62358459655993,0.1275464090998494,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200694820077659,16.012249,2.7475166,1.9765409,270.5961944641141,-24.77428953689402,2025050100685,164,60797.29989384275,g,270.59608576790646,-24.77431144145298,8.122117042541504,1282.64,156.105,False,1396.37,9.25062,965.644,154.48,False,-196.29,5.25817,23.62973803869794,0.13214061908980593,23.537498729448135,0.007192744734067537,23.93795740440793,0.17369188584018386,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200695088513174,16.011976,2.7475169,1.9765304,270.59614809571985,-24.77430364040829,2025050100687,164,60797.3009545994,g,270.5960651339834,-24.774276258391605,9.008007049560547,1524.89,165.756,False,1520.63,2.29298,1243.72,165.799,False,-233.781,4.80005,23.44190369858616,0.11801984736512526,23.444941110799554,0.0016371973107626285,23.6631934801188,0.14473834695862506,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200695311860166,16.011711,2.7475173,1.9765202,270.59610288821216,-24.774317366258813,2025050100689,78,60797.30198891531,g,270.5960455691491,-24.77430257666646,10.627693176269531,1393.94,128.641,False,1328.22,2.76478,1407.84,133.569,False,-128.755,16.0167,23.539389844070186,0.10019814627006328,23.591824985327705,0.0022600336230284147,23.528616775469267,0.10300936393286081,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200695474913671,16.011581,2.7475173,1.9765153,270.5960808460932,-24.774324049895064,2025050100690,133,60797.30249235105,g,270.5960338604525,-24.77432397724643,11.005279541015625,1438.68,129.56,False,1344.69,3.72037,1615.98,130.504,False,-156.871,8.57582,23.505089443854214,0.09777572134603554,23.57844460933927,0.0030039195941091784,23.378910059438553,0.08768234569279934,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200695747543346,16.011309,2.7475178,1.9765048,270.5960343859681,-24.774338118830997,2025050100692,141,60797.30355416398,g,270.5959890254409,-24.774291493567382,10.966680526733398,1508.76,136.365,False,1481.4,1.24155,1161.44,137.564,False,-178.816,5.11776,23.453449588969615,0.09813119552987683,23.473319131317695,0.0009099471640607251,23.737508107126494,0.12859744607554408,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200695981900018,16.011042,2.747518,1.9764946,270.5959890011962,-24.774351837651025,2025050100694,76,60797.30459107594,g,270.59591911153484,-24.774350608481885,10.855887413024902,1460.16,132.634,False,1646.1,4.2097,1132.23,135.456,False,-153.008,6.51789,23.488998856853474,0.09862312029282941,23.358859478813695,0.002776638044928498,23.76516337389407,0.12989364263164038,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200696144953715,16.010916,2.7475183,1.9764897,270.5959674185437,-24.774358353153897,2025050100695,131,60797.30508495514,g,270.59594868666926,-24.77433683966406,10.074021339416504,1394.05,132.788,False,1275.9,7.61512,1352.23,131.317,False,-166.252,5.19917,23.539304085071894,0.1034200552426038,23.63545838564046,0.006480140495181164,23.572373598732696,0.10543740688895037,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200696655085918,16.01036,2.747519,1.9764684,270.595872723457,-24.77438687616096,2025050100699,80,60797.307246393655,g,270.5958512757302,-24.77437194009582,10.345767974853516,1493.85,143.403,False,1446.92,10.5445,1437.87,144.949,False,-171.372,4.87946,23.46423253917764,0.10422588036480973,23.498888667766945,0.007912355516823745,23.505700947183918,0.10945105137768622,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200696837013832,16.01023,2.747519,1.9764634,270.5958502870423,-24.774393618970414,2025050100700,171,60797.30775836383,g,270.5957904452582,-24.77435659021723,9.512871742248535,1585.89,165.352,False,1797.95,2.77669,1299.17,166.233,False,-184.624,4.85356,23.399317338396575,0.11320372579743297,23.26305600429953,0.0016767724080513813,23.615835004700056,0.1389234528783991,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200697085526192,16.00995,2.7475195,1.9764527,270.59580263993735,-24.774407919076268,2025050100702,133,60797.30884537083,g,270.59575678290935,-24.774368084749643,10.935600280761719,1626.7,146.148,False,1576.07,1.59807,1209.03,143.858,False,-132.243,4.85716,23.371731365917803,0.09754605900411863,23.40606128086412,0.001100891802707532,23.693907280528038,0.12918772653681423,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200697321980258,16.009682,2.7475197,1.9764423,270.59575677289644,-24.77442166028274,2025050100704,72,60797.30989170977,g,270.5957108898314,-24.77443456056507,10.153800010681152,1604.1,154.005,False,1448.99,7.18535,1334.46,152.198,False,-48.596,4.90152,23.386921419474668,0.10423839664615968,23.49733653666884,0.005384022407093315,23.586736130571225,0.12383052441311775,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745200697486082540,16.009552,2.74752,1.9764374,270.59573479823524,-24.77442823508442,2025050100705,129,60797.31039287135,g,270.59568002349664,-24.774420482703935,11.323370933532715,1506.9,131.49,False,1507.43,0.543955,1478.93,128.164,False,-34.5609,5.68013,23.454788900211398,0.09473983490264071,23.454407076065923,0.00039178711228950115,23.475130913901797,0.09408984298337386,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745205072739696938,15.786011,2.7478015,1.9678189,270.5613107988495,-24.78550190685857,2025050200535,175,60798.19634901412,r,270.56123279012104,-24.785465418594438,10.505380630493164,2770.63,263.89,False,2803.15,7.82973,924.128,253.195,False,-1101.83,9.87811,22.79355371494536,0.10341148226089185,22.780884192791596,0.0030326674160921032,23.985669688250788,0.2974728490811467,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745205072981393918,15.785742,2.747802,1.9678087,270.5612616944213,-24.78551720661345,2025050200537,124,60798.197381072954,r,270.561191494051,-24.785510200355695,9.059412956237793,2678.17,293.893,False,2818.9,2.79344,649.224,282.298,False,-1315.99,7.50052,22.830404679408282,0.1191448957925624,22.77480086355936,0.0010759300299045974,24.369013586367412,0.4721038718502069,nan,nan
2020 HJ207,nan,MBO,MBO,21165806206007114,745205073141825682,15.785613,2.747802,1.9678038,270.56123807764993,-24.78552455556784,2025050200538,174,60798.19787746796,r,270.5612205715061,-24.785527581048605,8.97653579711914,2363.66,266.499,False,2948.94,5.29333,672.605,253.243,False,-1107.93,9.79999,22.966037526032906,0.1224150748855068,22.725835180676675,0.0019488902276753428,24.330599802923338,0.40879133752670266,nan,nan
