provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 PV101,nan,MBO,MBO,21165806339567958,745284197659181094,9.15475,2.3393376,1.368365,227.7684308649789,-39.934602422154335,2025052000238,70,60816.13631592141,u,227.76842798322397,-39.93459242074335,12.051680564880371,3907.63,324.296,False,3982.26,8.78418,3613.54,303.146,False,-150.175,26.8934,22.420216444691444,0.09010574387788614,22.39967596855658,0.0023949470633337715,22.505167822028998,0.09108424971868925,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284197813846018,9.15482,2.3393369,1.3683648,227.76822270947903,-39.934551759800186,2025052000239,109,60816.13718127388,u,227.76819431573665,-39.93457109585175,11.735265731811523,3569.98,301.375,False,4027.06,7.90514,3272.44,279.724,False,-169.299,27.0125,22.51833554823235,0.09165702622960284,22.387529733455125,0.0021313058393226565,22.612820788112003,0.0928073481919926,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284205692322292,9.165972,2.3392305,1.3683307,227.73519208825124,-39.92608064819539,2025052000298,32,60816.275022669506,i,227.73519500027888,-39.92607920603524,32.53800582885742,13377.1,407.64,False,13022.5,1.2729,13262.6,405.577,False,-161.096,17.7629,21.084095097621574,0.033085611630025186,21.113264084738162,0.00010612659620586419,21.09342835322331,0.033202361616925115,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284205871628508,9.166015,2.33923,1.3683307,227.7350627312593,-39.92604565527136,2025052000299,118,60816.27556749106,i,227.73506584020598,-39.92604686294271,44.934600830078125,14561.0,320.689,False,13308.6,2.11417,14427.3,316.58,False,-126.87,15.5597,20.992021995323828,0.023912070100357515,21.08966910134292,0.00017247727486245632,21.002037358277363,0.023824441009514072,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284206542716951,9.16621,2.3392282,1.3683302,227.7344788061588,-39.92588751386605,2025052000304,118,60816.27802847215,i,227.73448221399178,-39.92588729450105,37.45918655395508,14269.3,377.931,False,13377.8,1.27655,13976.7,372.961,False,-244.067,21.1554,21.013993343040507,0.02875637732417513,21.084038268598256,0.00010360422727550765,21.03648837621921,0.02897230772741126,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284207155085706,9.16642,2.339226,1.3683299,227.7338530129871,-39.925717704339576,2025052000309,6,60816.28066749245,i,227.73385457652714,-39.92571230954738,38.60246276855469,14109.6,362.304,False,12576.0,0.0402759,13848.2,358.292,False,-208.6,17.9458,21.026213275306944,0.027879356266640887,21.15114367826167,3.477179110896929e-06,21.046516666866342,0.02809105748807433,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284207730229349,9.166586,2.3392246,1.3683295,227.73335791598967,-39.9255831183042,2025052000313,79,60816.28275687109,i,227.73334923285972,-39.92557704507596,20.230478286743164,14562.4,711.154,False,13970.2,3.15856,14377.6,716.976,False,-276.938,24.4745,20.991917580675597,0.05302186557397392,21.0369934258211,0.00024547701105165365,21.00578403721604,0.05414303058968054,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284208266051717,9.166744,2.339223,1.3683293,227.73288532612543,-39.92545445219063,2025052000317,77,60816.28475189184,i,227.7328886171782,-39.925453978872156,44.65694808959961,14319.6,317.13,False,12967.3,0.0719295,14299.9,315.292,False,-243.52,29.0041,21.010172812938784,0.02404533208393389,21.11787612031602,6.022569307497406e-06,21.011667469266115,0.023938903183739185,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284208494641495,9.166823,2.3392222,1.368329,227.73264947124517,-39.92539016654373,2025052000319,1,60816.285747094415,i,227.73266387909538,-39.92537959308329,35.879329681396484,16183.0,446.467,False,15399.9,0.0228763,16197.5,447.767,False,-389.183,9.87499,20.877352414678004,0.029953988600868647,20.931205220626666,1.6128433575239512e-06,20.876380028456587,0.03001431340271197,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284208914595935,9.16718,2.3392186,1.3683285,227.73158362939597,-39.92509905592719,2025052000322,34,60816.29025122464,r,227.73158195378102,-39.92508402540559,13.09132194519043,15784.5,1211.9,False,15046.8,6.58217,15430.4,1224.08,False,-197.942,15.8801,20.904422926364816,0.08336049498264808,20.95638964302433,0.0004749515098276049,20.929057011610922,0.08613048865632726,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284209047765342,9.167228,2.3392181,1.3683283,227.73144125998084,-39.92506009666071,2025052000323,32,60816.29085395938,r,227.73143535849346,-39.92508928321082,15.745671272277832,14568.8,909.746,False,13432.6,5.40507,14402.1,922.976,False,-229.478,13.9495,20.99144056115,0.06779859369525379,21.07959982559694,0.000436883415883693,21.00393547422445,0.06958072092380371,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284209227071754,9.167266,2.339218,1.3683283,227.7313291769016,-39.92502941292747,2025052000324,118,60816.29132796575,r,227.73133556725693,-39.925013349297174,26.083486557006836,15983.9,606.258,False,15247.2,1.81296,15637.9,614.674,False,-246.362,17.1473,20.890793088926472,0.041181203533965094,20.942024743474843,0.00012909887163992434,20.914553893851753,0.04267669005724828,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284209898160407,9.167463,2.339216,1.368328,227.73073777016552,-39.92486733092255,2025052000329,118,60816.29382987938,r,227.7307362752026,-39.9248709840539,48.531124114990234,14951.9,304.484,False,13537.0,0.146024,14964.1,304.004,False,-118.301,12.8159,20.963259012210102,0.022110186897677613,21.071193927717324,1.1711867289599152e-05,20.9623735238961,0.022057334248086133,nan,nan
2020 PV101,nan,MBO,MBO,21165806339567958,745284211085672995,9.167823,2.3392124,1.3683273,227.72966560042465,-39.92457272380249,2025052000338,79,60816.298369852564,r,227.72966890199817,-39.924565717289425,66.86212158203125,14701.8,219.092,False,13334.4,0.0691189,15640.2,219.042,False,759.73,65.1571,20.981573738402084,0.016180067377064532,21.087566271250907,5.627916683976252e-06,20.914394230625994,0.015205805224834208,24.19835183781568,0.09311652939800834
2020 PV101,nan,MBO,MBO,21165806339567958,745284212851474712,9.168767,2.3392031,1.3683257,227.7268456490276,-39.92379318499302,2025052000351,119,60816.31033631688,z,227.72680421028343,-39.92378839019677,8.569450378417969,16385.7,1892.46,False,16645.7,45.1033,15411.3,1901.86,False,84.7421,28.5031,20.86383755363725,0.12539668086265193,20.8467448929074,0.0029419180986248045,20.930401827247188,0.1339872865135549,26.579751898973143,0.365188562772614
2020 PV101,nan,MBO,MBO,21165806339567958,745284213475377171,9.1689625,2.3392012,1.3683255,227.72626100017573,-39.92363072425324,2025052000356,29,60816.31282288865,z,227.7262810186186,-39.92362307674366,18.113828659057617,15996.4,865.972,False,15876.2,19.1329,15438.2,859.798,False,-330.811,37.7366,20.88994433497988,0.058776794360771045,20.8981335834366,0.001308454304865449,20.92850832910775,0.06046778620180497,nan,nan
