provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 RJ166,nan,MBO,MBO,21165810668484170,745424937987080976,12.927364,2.9595807,2.1135492,226.54873621625384,-41.07227370751103,2025062100259,110,60848.03381525183,r,226.54872771905917,-41.07226839733329,23.006052017211914,3873.65,166.154,False,3739.27,0.942886,3712.72,157.637,False,-105.034,45.7702,22.4296990826554,0.04657091514924791,22.46803293128518,0.00027377682175592263,22.47576951473736,0.04609886883553231,nan,nan
2021 RJ166,nan,MBO,MBO,21165810668484170,745424939085464198,12.928277,2.9595733,2.113568,226.54819898458464,-41.07188642665,2025062100267,157,60848.03758049334,r,226.54820975905275,-41.0718746398196,16.602764129638672,3868.33,230.358,False,3785.81,0.919072,4628.98,225.489,False,741.225,14.3759,22.431191188468354,0.06465529503945745,22.454602948047523,0.00026358155843439067,22.23628674365258,0.05288888057082159,24.225124888869857,0.021057622060324518
2021 RJ166,nan,MBO,MBO,21165810668484170,745424940291326553,12.92929,2.9595652,2.1135893,226.5476025946905,-41.07145612731952,2025062100276,153,60848.041759721695,r,226.54761199886354,-41.071461489855466,17.373109817504883,3253.38,186.04,False,3128.17,0.782813,24720.5,179.878,False,21525.9,72.7591,22.61916305776769,0.06208631131913681,22.661774160347342,0.00027170149018826374,20.417356873496388,0.007900328210746325,20.567596684296483,0.0036698669830241074
2021 RJ166,nan,MBO,MBO,21165810668484170,745424941231898861,12.930368,2.9595563,2.1136117,226.54696774388185,-41.07099762647251,2025062100283,155,60848.04620762013,g,226.54697321305173,-41.07098911426436,22.284664154052734,2388.06,106.044,False,2234.38,0.00866951,2809.76,107.495,False,316.023,27.5389,22.95488688775547,0.0482131126859268,23.027107468624383,4.212712650594446e-06,22.778326932341855,0.04153778824771376,25.150703235997685,0.09461330411585987
2021 RJ166,nan,MBO,MBO,21165810668484170,745424941747798227,12.930845,2.9595525,2.1136217,226.54668698302748,-41.07079470137593,2025062100287,115,60848.04817453929,g,226.54668355431753,-41.07080317578863,20.23811149597168,2492.64,122.749,False,2409.57,0.179922,2541.81,122.755,False,34.6062,20.3458,22.908351146863872,0.05346662162917753,22.945151100612385,8.10716532110059e-05,22.887142265047736,0.05243489551172726,27.552115179794253,0.6383298761719299
2021 RJ166,nan,MBO,MBO,21165810668484170,745424941917143252,12.930958,2.9595516,2.113624,226.54662075272807,-41.070746818050935,2025062100288,182,60848.04863855502,g,226.54663330955051,-41.070759442986926,8.944779396057129,2882.5,324.56,False,2812.6,14.3721,2900.26,326.499,False,17.691,21.2769,22.75057671008316,0.12225031742084139,22.77723003123595,0.005548001362587799,22.743907664093474,0.12222758519463722,28.28061904469279,1.3058108617904403
2021 RJ166,nan,MBO,MBO,21165810668484170,745424942442479719,12.931412,2.9595478,2.1136336,226.5463536873656,-41.07055367891815,2025062100292,160,60848.050509545894,g,226.54635530807002,-41.07050505099528,13.126955032348633,2665.74,197.836,False,2613.45,0.424804,2530.56,198.065,False,-7.09546,21.6497,22.835455532197823,0.08057714068175499,22.856964531088913,0.0001764813153361938,22.89195837745651,0.08497974324531338,nan,nan
2021 RJ166,nan,MBO,MBO,21165810668484170,745433742105903804,13.4072895,2.9555569,2.124361,226.2890964403729,-40.859043928010855,2025062300319,58,60850.07467867204,r,226.28910928052713,-40.85903363331563,20.823488235473633,3820.48,181.746,False,3574.06,0.489252,3653.71,172.505,False,51.4854,8.90003,22.44470517925599,0.05165011089298022,22.517095384684566,0.00014862610087090745,22.493164827026177,0.051261575578152814,27.120789747652154,0.18768592116801078
2021 RJ166,nan,MBO,MBO,21165810668484170,745433742401077435,13.407546,2.9555547,2.1243668,226.28895970250957,-40.85893129655902,2025062300321,109,60850.07574989271,r,226.28895220880972,-40.85892003262317,21.203123092651367,3837.34,179.859,False,3630.44,0.702819,3767.72,172.089,False,-18.5512,7.43084,22.439924273343067,0.050889266146467764,22.50010185851996,0.00021018830634382364,22.459803457172494,0.049590538600879946,nan,nan
2021 RJ166,nan,MBO,MBO,21165810668484170,745433742775943495,13.407912,2.9555516,2.1243753,226.2887643819708,-40.85877034214607,2025062300324,56,60850.077279511446,r,226.28879085068814,-40.858768493189004,22.41305160522461,3885.45,172.03,False,3855.74,0.209181,3806.6,164.857,False,-64.1096,9.23798,22.426396702134554,0.048071446119862055,22.434730650495204,5.8903188774782435e-05,22.448656863981682,0.04702127964175331,nan,nan
