provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 QY73,nan,MBO,MBO,21165814945624921,745262191962751050,20.254644,2.9060571,2.6263661,149.3005333349598,1.6179301938550312,2025051500123,15,60811.04255635306,i,149.3007675104559,1.617810418047043,8.369091987609863,2728.92,323.301,False,2739.54,13.0677,2575.83,326.515,False,-131.548,9.82169,22.810023020479036,0.12862949636382479,22.805805869651174,0.005178999109251463,22.872706974560355,0.13762909898893413,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262192247439389,20.254688,2.906056,2.6263778,149.3006781543837,1.6179254072083586,2025051500125,46,60811.04351116055,i,149.30089810222222,1.6178159768454392,11.415260314941406,3503.42,305.984,False,3516.29,1.3695,3426.61,305.381,False,-94.6445,11.2121,22.538769511956097,0.09482674752888733,22.534788274006136,0.0004228649401562334,22.562838271043987,0.09676129192978085,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262192381132875,20.254711,2.9060555,2.6263835,149.30075004012355,1.6179230305280217,2025051500126,45,60811.043985125616,i,149.30095739190014,1.6178033032612211,9.262239456176758,3028.48,324.605,False,3150.21,6.31982,2896.69,321.67,False,-58.827,10.3951,22.696938232152668,0.11637369734873289,22.65415124898808,0.002178158721994458,22.74524497181354,0.12056823016203654,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262192500146249,20.254734,2.906055,2.6263895,149.30082177855147,1.617920658272631,2025051500127,16,60811.04445870916,i,149.30103799825847,1.6178075807220833,8.539188385009766,3476.12,405.832,False,3496.7,21.074,3455.86,404.341,False,-33.1671,9.48995,22.54726306234036,0.12675813303054825,22.540854081323737,0.006543542326327095,22.553609614994137,0.1270328233299425,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262192649568295,20.254755,2.9060543,2.6263952,149.30089443161063,1.6179182553194644,2025051500128,45,60811.0449378077,i,149.30109046373437,1.6178001789075,5.9673871994018555,3014.09,503.943,False,3235.7,110.327,2903.65,507.981,False,-51.3996,8.70528,22.702109428088402,0.1815304575701375,22.625079394095657,0.037020126664169734,22.742639370968124,0.18994485150064683,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262192783786023,20.254778,2.9060538,2.6264012,149.30096663415824,1.6179158668165932,2025051500129,45,60811.04541385244,i,149.3011968001775,1.6178112882788216,9.871529579162598,3602.56,366.384,False,3668.23,12.0698,3634.33,366.114,False,-44.7533,11.0751,22.508471925730845,0.11042047046820831,22.488858609905883,0.003572463919429737,22.498939079059813,0.10937455629180076,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262193052745769,20.254822,2.9060526,2.6264129,149.3011107496041,1.617911098054264,2025051500131,46,60811.046363020694,i,149.3013042816011,1.6177914138039584,10.625160217285156,3659.09,348.312,False,3875.9,4.92682,3607.04,349.063,False,-51.0652,11.8806,22.491567244804834,0.10335218663424416,22.429068618540473,0.0013801250722159212,22.507122592188985,0.10506961941473723,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262193186963513,20.254845,2.906052,2.6264186,149.3011831175575,1.6179087027375008,2025051500132,46,60811.04684006958,i,149.3014296855244,1.6178401807564973,6.6684370040893555,3034.79,450.863,False,3708.85,47.6465,3174.45,450.737,False,-48.5218,10.4304,22.69467837517098,0.16130219334515736,22.47690179850398,0.013948131717453523,22.645828789210114,0.15416260666300977,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262193456971781,20.254889,2.906051,2.6264303,149.30132741227828,1.6179039253740726,2025051500134,49,60811.04779119583,i,149.3014975451773,1.6178146371036721,8.55644416809082,3367.37,389.934,False,3511.42,14.3506,3367.53,388.064,False,-53.5823,9.84926,22.581772866129437,0.12572584426268532,22.536293078110944,0.00443722670317876,22.581721307126934,0.1251169628366633,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262193573888061,20.254911,2.9060502,2.6264365,149.30140282924714,1.617901427736788,2025051500135,16,60811.048288111924,i,149.30160623503988,1.6177870030675232,9.142816543579102,3136.06,342.077,False,3494.78,20.1041,3077.73,342.606,False,-56.6834,9.9807,22.659039071867838,0.11843056965412845,22.54145038675498,0.006245814690053428,22.67942371234682,0.12086171529317255,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262193708105788,20.254934,2.9060497,2.6264422,149.30147491257762,1.6178990400514737,2025051500136,16,60811.048763050516,i,149.30169654861461,1.617772901419637,7.4735612869262695,3155.6,420.042,False,3493.68,31.5475,3090.18,419.226,False,-68.0441,8.69723,22.652295097928942,0.14452236795639103,22.54179221195558,0.00980406455442044,22.67504058052887,0.14729526129832196,nan,nan
2022 QY73,nan,MBO,MBO,21165814945624921,745262193842323506,20.254957,2.906049,2.6264482,149.30154684877527,1.6178966568019275,2025051500137,16,60811.04923726723,i,149.30174165168975,1.6177972401487444,6.928945541381836,2718.32,388.203,False,2956.1,2.46499,2651.37,388.736,False,-59.7865,8.81796,22.81424852156723,0.1550538731559206,22.723202160534246,0.0009053579686136272,22.841324107079515,0.15918740968662987,nan,nan
