provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 RP70,nan,MBO,MBO,21165814962401360,745306290705662620,8.896338,2.6376143,1.6785555,227.6292090189598,-40.97639715701053,2025052501004,76,60821.28659021382,g,227.62916560064943,-40.97639842644324,19.124095916748047,3290.34,171.522,False,3231.17,1.56717,3205.41,169.001,False,-158.947,7.25888,22.606898028179025,0.05659829798258058,22.626600506385614,0.0005265997379030523,22.635291061085375,0.0572440084290738,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745306291375177976,8.896658,2.637612,1.6785572,227.6285449500008,-40.97611570488667,2025052501009,73,60821.289036242364,g,227.62857662529797,-40.9761195794304,17.23818588256836,3171.01,183.553,False,3264.26,0.554403,3287.58,180.171,False,-54.2237,5.35024,22.647005967638748,0.0628475249901071,22.615538138651857,0.00018440179855739946,22.60780914981877,0.05950218056987932,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745306292560069176,8.897234,2.637608,1.6785601,227.6273484958928,-40.975607888132046,2025052501018,29,60821.29344660387,g,227.62736824400082,-40.97560050201436,15.271297454833984,2884.99,188.556,False,3073.36,2.73095,5227.28,182.717,False,2292.4,5.54775,22.74963922333606,0.0709611042853809,22.680966375552067,0.0009647718822066029,22.10431063520732,0.037951375305990256,22.999274046788088,0.002627548980283431
2022 RP70,nan,MBO,MBO,21165814962401360,745306293085405475,8.89749,2.6376064,1.6785614,227.62681708401507,-40.97538204009825,2025052501022,7,60821.295406075245,g,227.62674773958824,-40.97536822514674,18.131914138793945,3472.17,190.708,False,3406.3,2.72159,5321.33,188.325,False,1788.09,6.11876,22.54849757342283,0.05963376698467983,22.569292748089346,0.0008674892994964553,22.08494950319458,0.038424841993586194,23.269026584828467,0.003715338436825596
2022 RP70,nan,MBO,MBO,21165814962401360,745315056023503291,9.171821,2.63592,1.6800146,227.1381284270533,-40.76068028363102,2025052700775,1,60823.17529632947,i,227.13812576882492,-40.76069873537596,18.376667022705078,6165.22,334.216,False,6179.49,0.0808202,5510.54,326.812,False,-473.71,9.03135,21.925128515682218,0.05885765673816274,21.922618374385266,1.420010663622916e-05,22.04701459429881,0.06439144453312999,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745315056158244977,9.171902,2.6359196,1.6800151,227.13799810164485,-40.76062234865525,2025052700776,2,60823.175785560736,i,227.13799349711337,-40.760641410219755,18.819726943969727,6625.71,355.068,False,7333.9,4.22376,6021.66,350.323,False,-505.275,8.84029,21.846918947969332,0.058183979920921135,21.73666255464471,0.0006253002293828614,21.950709395899928,0.06316503297585171,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745315056311861468,9.171982,2.6359193,1.6800157,227.1378677802348,-40.76056440517552,2025052700777,39,60823.17627479702,i,227.13789336260427,-40.76058593343621,18.776540756225586,6227.2,334.394,False,6461.11,7.42625,5381.09,326.283,False,-532.886,8.28561,21.914267930315916,0.05830287682831728,21.874232185624635,0.001247920038583208,22.072824392064064,0.0658337372141162,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745315056566141084,9.172147,2.6359184,1.6800166,227.13760235334155,-40.76044635925628,2025052700779,12,60823.17727072349,i,227.1375718616462,-40.760433517633395,18.159011840820312,5981.19,330.443,False,6069.64,9.14045,4974.78,324.225,False,-584.547,8.71497,21.95803101428623,0.059983703042627935,21.942092642686745,0.0016350420704274915,22.158065347701775,0.07076148951655674,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745315056981901813,9.172413,2.635917,1.6800183,227.1371746697956,-40.760256061088455,2025052700782,37,60823.17887512216,i,227.1371682251526,-40.760247140509975,17.798891067504883,5838.58,329.841,False,6008.75,3.90406,4444.13,311.804,False,-622.571,8.641,21.98423189729359,0.06133688575521692,21.95303966215824,0.0007054344355791815,22.280533142462218,0.0761761885624485,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745315058194055375,9.173145,2.635913,1.680023,227.1359947285746,-40.75973046311687,2025052700791,45,60823.18330405966,i,227.13598726861693,-40.75971265995186,20.89373779296875,6384.93,305.082,False,6396.26,0.880122,5845.87,294.356,False,-428.52,8.92451,21.887109619313364,0.05187818261061982,21.885184767377567,0.00014939673519645958,21.98287709492994,0.054669868875371945,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745315058731975001,9.173482,2.635911,1.6800252,227.13545244400223,-40.75948861646306,2025052700795,47,60823.18534069705,i,227.13545441020028,-40.75948574914434,19.814706802368164,5715.45,289.233,False,5954.9,0.341369,5457.0,280.702,False,-393.714,8.76681,22.00737388839505,0.0549441830188399,21.962813835757427,6.224062400374153e-05,22.057615115542134,0.0558490598573918,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745315059119423863,9.173728,2.6359098,1.6800268,227.1350561734289,-40.75931177262856,2025052700798,18,60823.186828730555,i,227.13503941551636,-40.75934028421219,18.42786407470703,6195.71,333.424,False,6192.49,0.117758,6851.29,326.065,False,390.87,8.54442,21.919772302537346,0.058429223254637896,21.920336674071862,2.0646640920074305e-05,21.81056911721886,0.051672104995809695,24.91991916655931,0.0237341994055143
2022 RP70,nan,MBO,MBO,21165814962401360,745315059387859400,9.173889,2.6359088,1.6800277,227.13479574744983,-40.75919549857213,2025052700800,18,60823.187806093454,i,227.13479170733177,-40.75918453929785,15.060120582580566,5170.92,343.601,False,5572.89,0.523942,5612.69,340.315,False,525.123,8.34745,22.116080469414868,0.0721457817257649,22.034798796220574,0.00010207679997487106,22.02707237149324,0.06583159287797934,24.599347428073436,0.0172590596967285
2022 RP70,nan,MBO,MBO,21165814962401360,745315059656294871,9.174056,2.635908,1.6800288,227.1345276213336,-40.75907574197385,2025052700802,18,60823.18881304751,i,227.13454238507848,-40.75908416563934,21.34314727783203,7197.22,334.964,False,7460.85,0.413888,7486.63,332.211,False,534.294,8.40546,21.757088022276566,0.05053097162114771,21.718029214264952,6.023083006227054e-05,21.714284091490498,0.048178354529924666,24.58054924414567,0.01708069437342518
2022 RP70,nan,MBO,MBO,21165814962401360,745315060051083485,9.174359,2.6359062,1.6800308,227.1340396213973,-40.75885766371618,2025052700805,3,60823.19064699408,i,227.13401706790586,-40.75884988753679,17.27251625061035,6308.08,360.625,False,7023.88,0.747486,7215.43,356.872,False,1141.68,8.20362,21.900257005357254,0.06207017253929376,21.783557310051926,0.00011554477314238178,21.754344429132782,0.05370003610287005,23.756138966092198,0.007801631611595142
2022 RP70,nan,MBO,MBO,21165814962401360,745315060339966134,9.174521,2.6359055,1.6800319,227.133778215352,-40.75874078399049,2025052700807,42,60823.191628176886,i,227.13376337454002,-40.75876721624456,19.415197372436523,6302.94,324.322,False,6255.86,1.97493,7764.73,319.417,False,1522.08,8.8217,21.901142077751615,0.05586728270701671,21.90928247103633,0.00034275912533654023,21.674684105804882,0.044663831672866125,23.443906332840555,0.006292730643870906
2022 RP70,nan,MBO,MBO,21165814962401360,745319428305453551,9.356939,2.6349359,1.6812786,226.8597800846484,-40.6299809877344,2025052800583,11,60824.269487192854,g,226.85979714067952,-40.62998548214901,17.971776962280273,3176.76,175.751,False,3541.0,6.16586,3340.28,175.576,False,-150.557,3.32113,22.645038982424833,0.060067248020923496,22.52718518310472,0.001890566966013377,22.590542807461723,0.05706983324402109,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745319428443341310,9.357027,2.6349356,1.6812792,226.85965361093545,-40.62991989961212,2025052800584,18,60824.26997758447,g,226.85962631253426,-40.629925669296966,17.082304000854492,3090.27,178.929,False,3458.92,2.84122,3128.95,181.846,False,-158.319,3.26003,22.675008928566555,0.0628649577807406,22.552648730762286,0.0008918435184964961,22.66150345878817,0.0631000116387098,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745319428589617306,9.357114,2.6349351,1.6812799,226.8595274078587,-40.6298589300093,2025052800585,41,60824.27046670513,g,226.85950367199555,-40.629862670912814,20.341394424438477,3094.81,150.737,False,3214.0,1.6797,3202.39,150.317,False,-133.285,3.53728,22.67341500072594,0.05288228184215196,22.632385318931682,0.0005674272313512879,22.636314484065764,0.050963379233356094,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745319428849139961,9.357288,2.6349342,1.6812813,226.85927400758783,-40.62973647372649,2025052800587,24,60824.27144834303,g,226.85925250431598,-40.62973514097037,18.444860458374023,3032.97,164.127,False,3102.29,4.18704,3091.38,165.534,False,3.22825,3.41308,22.695329723994597,0.058753837527841,22.67079400399465,0.0014653758033564928,22.674619058943147,0.05813787370703435,30.12758209177366,1.1478988523659275
2022 RP70,nan,MBO,MBO,21165814962401360,745319429264375940,9.35755,2.634933,1.6812834,226.8588958086848,-40.62955361675959,2025052800590,48,60824.27291429491,g,226.8588916089242,-40.62957111409324,19.74578857421875,3338.83,167.544,False,3427.65,2.09276,3627.16,167.779,False,413.914,3.2182,22.59101420693915,0.054482734767991356,22.562508857511595,0.0006628989126789013,22.501083242689553,0.050222142576211326,24.857724706189014,0.008441647799809503
2022 RP70,nan,MBO,MBO,21165814962401360,745319430473384210,9.358332,2.634929,1.6812896,226.85776319279603,-40.62900534799242,2025052800599,50,60824.27730721195,g,226.85778218237277,-40.62900520282336,21.23032569885254,3257.23,152.642,False,3114.58,0.222731,3275.04,149.639,False,7.44551,3.54678,22.61787894122798,0.050880332339116575,22.666501246546176,7.764356615834633e-05,22.611958465411327,0.04960809218306567,29.220263884883813,0.5172066952222728
2022 RP70,nan,MBO,MBO,21165814962401360,745319433543090358,9.3636265,2.634902,1.6813322,226.8501021039945,-40.62527100114142,2025052800622,17,60824.30713470461,r,226.8500988279754,-40.62531112545375,16.820951461791992,5304.06,313.488,False,6117.82,0.77344,22194.5,314.084,False,16633.2,6.19842,22.088478917499824,0.06417070597884765,21.93350829390132,0.00013726324704267117,20.534386585898957,0.015364724877995159,20.84756052706808,0.0004046034060943214
2022 RP70,nan,MBO,MBO,21165814962401360,745319433961996536,9.363887,2.6349008,1.6813344,226.84972539527607,-40.62508622008863,2025052800625,48,60824.308606891944,r,226.84971097482784,-40.625087966763395,23.044984817504883,5832.65,253.91,False,5784.46,0.417748,10318.3,249.893,False,4292.38,6.01286,21.985335226953126,0.04726484331169,21.994342951734204,7.84107999167117e-05,21.365979643950475,0.026294824572160348,22.3182546230394,0.0015209230730679336
2022 RP70,nan,MBO,MBO,21165814962401360,745323768053236121,9.50167,2.6342154,1.6823775,226.66268060340803,-40.5324636939484,2025052900148,175,60825.069263064004,r,226.66268293927416,-40.53246685760356,27.603498458862305,5329.21,190.779,False,5603.3,0.598572,5212.25,187.813,False,-158.773,14.2887,22.083342922572662,0.038867989154188515,22.0288903499358,0.00011598367592691381,22.10743690497316,0.039122332518161475,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745323768186929573,9.501765,2.6342149,1.6823782,226.66255508560903,-40.53240432090889,2025052900149,174,60825.06975335929,r,226.66255247594745,-40.53240229876798,27.392404556274414,5641.51,205.393,False,5464.13,0.173291,5378.93,202.841,False,-173.79,10.1896,22.021511639360774,0.03952889056299841,22.056197464971525,3.4433352472223657e-05,22.073260233211414,0.04094342444004102,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745323768305418566,9.501861,2.6342146,1.6823788,226.66242981855964,-40.53234506124178,2025052900150,144,60825.07024256581,r,226.66241711725533,-40.532331641235366,27.605438232421875,5300.15,191.443,False,5123.08,0.346038,5085.77,187.125,False,-144.027,8.1433,22.08927961805459,0.03921711511094632,22.126172139190658,7.333596078212574e-05,22.134108206697853,0.039948402412048264,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745323768588009639,9.50205,2.6342137,1.6823802,226.6621797811163,-40.53222676109064,2025052900152,171,60825.07121841946,r,226.66215956117458,-40.532239467992845,26.36260223388672,5422.5,202.641,False,5461.38,1.42474,5240.13,198.532,False,-132.607,10.9419,22.06450109828442,0.040574398763081325,22.05674403436558,0.00028324192543208166,22.101644870952086,0.0411351211716839,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745323768972837231,9.502335,2.6342123,1.6823822,226.66180442994445,-40.53204913139568,2025052900155,137,60825.072683834296,r,226.6618066324833,-40.53205158307156,27.091812133789062,5410.29,198.997,False,5538.12,0.624321,5303.96,193.536,False,-80.6532,11.079,22.06694863067721,0.039934687324345464,22.041594072511685,0.0001223967485812258,22.088499407591133,0.039617387530785614,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745323769132745116,9.502429,2.6342118,1.682383,226.66168015674907,-40.53199031017319,2025052900156,186,60825.07316885106,r,226.66166975012908,-40.53199957855014,24.977706909179688,5441.65,212.078,False,5650.09,3.75044,4925.72,205.775,False,-112.147,9.86706,22.06067350680005,0.04231451308809626,22.019861615701565,0.0007206944449676073,22.16882565024367,0.04535729825539497,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745323770180272756,9.503194,2.6342084,1.6823885,226.66067041772496,-40.53151217745224,2025052900164,136,60825.077108812606,r,226.66065998091076,-40.531512481672614,25.706361770629883,5414.88,206.511,False,5617.77,1.87942,5149.49,201.47,False,-92.4762,10.6526,22.066027931996608,0.04140746904016597,22.026090109833664,0.00036323209680963904,22.120589402812378,0.04247862692073462,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745323770658423337,9.504297,2.6342032,1.6823965,226.65921525080492,-40.53082247182479,2025052900168,24,60825.082784705184,r,226.65921658895718,-40.530808255510145,22.42943000793457,5250.26,229.008,False,5633.38,0.855976,7412.96,223.407,False,2416.92,8.97013,22.099548021491476,0.047358089524614067,22.023077403623663,0.00016497451569451687,21.725020863985023,0.032721216228926764,22.941844346326683,0.004029589386939827
2022 RP70,nan,MBO,MBO,21165814962401360,745328180645593142,9.727868,2.633171,1.6842548,226.37920290368905,-40.38774802844701,2025053000257,15,60826.22647301195,r,226.37918554694508,-40.38776076394185,16.245996475219727,5605.03,342.286,False,5527.78,3.80255,5408.38,344.584,False,-234.553,9.11999,22.02855518804958,0.06630336117556654,22.043623166615603,0.0007468760424514543,22.067332028236038,0.06917549222804047,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745328180778238341,9.727958,2.6331706,1.6842556,226.37909429532357,-40.38769159119367,2025053000258,12,60826.22690972403,r,226.3790906875473,-40.3877115287806,18.38606834411621,5439.07,291.947,False,5133.82,1.64615,5094.82,286.999,False,-194.248,7.71672,22.06118841470216,0.05827787254199765,22.123898443330052,0.00034813934010088324,22.132177924988426,0.061161180982501846,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745328180949680187,9.728047,2.6331701,1.6842563,226.378985445575,-40.38763501871416,2025053000259,83,60826.2273462717,r,226.37899473638967,-40.38763420495746,18.279287338256836,5201.74,282.659,False,5070.25,1.58391,4968.74,287.007,False,-206.252,7.18287,22.109628348725202,0.058998160685082644,22.137426565698366,0.00033917625747991,22.159384268916227,0.06271486609519131,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745328181182464401,9.728227,2.6331694,1.684258,226.3787682680945,-40.38752211573671,2025053000261,15,60826.22821837552,r,226.3787658475215,-40.3875240449696,14.42059326171875,5361.83,367.408,False,5220.08,2.82161,6555.01,370.46,False,-169.737,7.10387,22.076717383427603,0.07439776164245046,22.10580708673713,0.0005868730093271612,21.858566642408466,0.06136098030645954,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745328181624439150,9.728498,2.6331682,1.6842605,226.37843758199887,-40.38735012844462,2025053000264,90,60826.22954664577,r,226.37841559091862,-40.38736572985195,13.334065437316895,4893.21,367.774,False,4940.9,16.5464,4445.52,371.042,False,-127.759,8.06332,22.17601537214714,0.08160400551835455,22.16548486097576,0.0036359825071737174,22.280193574134106,0.09062015751444753,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745328181729820743,9.728589,2.6331677,1.6842613,226.37832828272693,-40.3872932627548,2025053000265,35,60826.22998533427,r,226.37830136670578,-40.387286258002185,11.702797889709473,4523.48,380.492,False,4580.3,10.5119,4480.76,380.392,False,-129.853,8.0916,22.261318318492112,0.09132657745272535,22.247765235525215,0.0024917911143695973,22.27162085002561,0.09217306576293094,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745328182131949991,9.728857,2.6331666,1.6842637,226.3780021762918,-40.3871235385995,2025053000268,34,60826.23129579838,r,226.37801389680527,-40.38711681184846,12.73772144317627,5040.65,399.439,False,5229.1,8.00283,4356.72,401.324,False,-112.731,7.54839,22.143783663447007,0.08603759183004514,22.1039326116031,0.0016616552795919828,22.302100823049646,0.10001376740243516,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745328182253060431,9.728947,2.6331663,1.6842645,226.3778936563906,-40.38706703907589,2025053000269,9,60826.23173140891,r,226.37788657378914,-40.387069256694055,14.659238815307617,6000.44,401.445,False,5908.83,6.67587,5996.41,404.743,False,-84.1108,9.37806,21.95454226690727,0.07263857032608659,21.971246247420837,0.0012266783099426442,21.955271672337943,0.07328453686957855,nan,nan
2022 RP70,nan,MBO,MBO,21165814962401360,745328182806708237,9.729308,2.6331646,1.6842678,226.3774556779294,-40.38683891115276,2025053000273,41,60826.23349138747,r,226.37746200820055,-40.386844647428404,16.457727432250977,5973.71,358.154,False,5866.41,0.521728,7014.42,361.068,False,940.032,11.9089,21.959389668349743,0.06509535250443553,21.97906894034361,9.655972578579328e-05,21.785020596031426,0.055888383775688284,23.967143425700083,0.013754770490710102
2022 RP70,nan,MBO,MBO,21165814962401360,745328183369793645,9.729668,2.6331632,1.6842711,226.37701882954724,-40.38661121193896,2025053000277,91,60826.2352479729,r,226.3770315588369,-40.386613989365735,18.373310089111328,5464.45,291.814,False,5479.34,1.48887,9160.1,293.181,False,3613.51,9.75041,22.056133819946155,0.05798076814584194,22.053179406474733,0.0002950209580118071,21.495249509180073,0.034750410973297244,22.505176844768457,0.0029296648428915064
2022 RP70,nan,MBO,MBO,21165814962401360,745328183469408316,9.729757,2.6331627,1.6842719,226.37691038480963,-40.3865546623113,2025053000278,25,60826.23568348658,r,226.37687182661958,-40.38653768691906,13.813708305358887,4832.34,347.655,False,4657.05,3.6059,7546.92,350.676,False,2695.99,8.60502,22.189606326760277,0.07811156316500031,22.22972279373093,0.0008406730437422684,21.705575645384666,0.05044993556505758,22.82320431149354,0.003465436193379297
2022 RP70,nan,MBO,MBO,21165814962401360,745328183768252593,9.729938,2.633162,1.6842736,226.37669053650345,-40.3864399898312,2025053000280,83,60826.23656755632,r,226.37667105270765,-40.386437930215116,15.281229019165039,5062.68,326.74,False,4662.24,3.35521,5556.66,330.76,False,524.265,11.026,22.139048768477682,0.07007225908459339,22.228513380140612,0.0007813567855628875,22.03796540932258,0.06462841123813626,24.60112280685093,0.02283449607359632
2022 RP70,nan,MBO,MBO,21165814962401360,745328184036163837,9.730125,2.633161,1.6842753,226.3764632640336,-40.38632140219528,2025053000282,82,60826.23748155938,r,226.3764937427725,-40.386324115133895,20.120662689208984,5519.66,272.936,False,5225.77,0.273846,5548.56,273.404,False,48.691,13.6412,22.04521915205782,0.053687454196376966,22.10462426754272,5.689582895669676e-05,22.039549271808326,0.053499396091689126,27.181378222716724,0.3041782713859268
2022 RP70,nan,MBO,MBO,21165814962401360,745328188560769271,9.737494,2.6331284,1.6843435,226.3675278889284,-40.38162408576002,2025053000316,8,60826.27354665327,g,226.36754965617035,-40.381654045014905,13.95330810546875,3233.04,230.656,False,3114.49,2.79332,3460.46,232.906,False,131.127,4.04218,22.625972292263075,0.07746009123940374,22.66653265145362,0.0009737737480152273,22.552165428436695,0.07307539625415121,26.105769695895546,0.03346939436972713
2022 RP70,nan,MBO,MBO,21165814962401360,745328188694986854,9.737584,2.6331282,1.6843443,226.367420036612,-40.381566966562495,2025053000317,8,60826.273983190695,g,226.36739591095474,-40.381552652579735,16.05944061279297,3405.42,209.947,False,3464.29,1.7559,3533.11,210.974,False,221.696,6.04284,22.569573319136662,0.06693655142952033,22.550964387269453,0.000550313111194751,22.529607069517468,0.06483299473774393,25.53560536086181,0.029594265106975805
2022 RP70,nan,MBO,MBO,21165814962401360,745328188868526391,9.737673,2.6331277,1.6843451,226.3673124417868,-40.38150997363988,2025053000318,83,60826.27441981307,g,226.367315328147,-40.381512690942806,15.615652084350586,3157.89,201.012,False,3209.3,2.18542,3466.02,202.654,False,214.305,4.62579,22.651507541961955,0.06911133898202858,22.633974193192515,0.0007393480260278068,22.550422332887592,0.06348168537796615,25.572419277641764,0.02343570135855316
2022 RP70,nan,MBO,MBO,21165814962401360,745328189113368758,9.737854,2.633127,1.6843468,226.36709308994347,-40.38139375184828,2025053000320,38,60826.27530853657,g,226.3670865135229,-40.38139404846462,15.104523658752441,3262.91,213.147,False,3237.38,0.732863,3483.98,214.208,False,126.267,4.43692,22.615987291943036,0.07092485680424869,22.624515840828444,0.0002457839150102888,22.544810872964703,0.0667550830280122,26.146775359418086,0.038151891840826194
2022 RP70,nan,MBO,MBO,21165814962401360,745328189544857679,9.738123,2.6331258,1.6843493,226.3667677219236,-40.3812212810346,2025053000323,93,60826.276627218875,g,226.3667631133915,-40.38118532237626,16.117963790893555,3208.47,197.632,False,3223.57,1.84429,3383.36,199.629,False,232.649,4.62937,22.634255052704578,0.06687805205805179,22.629157213530505,0.0006211785077544195,22.576629439210876,0.06406188627647126,25.483247014974488,0.02160454074664445
2022 RP70,nan,MBO,MBO,21165814962401360,745328189668589747,9.738212,2.6331253,1.6843501,226.36666043852,-40.38116439210887,2025053000324,73,60826.277062799374,g,226.36664261857592,-40.3811589222522,14.213579177856445,3187.98,223.109,False,3047.57,1.45586,3598.42,222.489,False,418.8,5.67762,22.641211036256976,0.07598464023207176,22.690115751228824,0.0005186689381833075,22.50972039381038,0.06713067568045014,24.844983349129635,0.014719192213388167
2022 RP70,nan,MBO,MBO,21165814962401360,745328190072291497,9.738481,2.633124,1.6843526,226.366334215182,-40.38099134475916,2025053000327,75,60826.27838593195,g,226.36637774543428,-40.38099543607047,12.386446952819824,2814.47,224.136,False,2906.13,1.99254,3460.22,224.414,False,743.494,5.85046,22.776508451829486,0.08646479594587488,22.741712449520108,0.0007444171137198279,22.552240729155386,0.0704158719121876,24.221806302620173,0.008543520371324373
2022 RP70,nan,MBO,MBO,21165814962401360,745328190169808996,9.73857,2.6331236,1.6843535,226.36622648232208,-40.38093417676144,2025053000328,5,60826.278822858694,g,226.36622498465388,-40.380942538684536,13.51186466217041,3044.43,222.137,False,2963.74,2.51514,3681.3,224.113,False,597.687,4.93799,22.69123504224175,0.07922080047000209,22.720399749504708,0.0009213961509771485,22.4849969585297,0.06609828103834407,24.458815454192628,0.008970171045016484
