provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 SC226,nan,MBO,MBO,21165814980621891,745284205429653918,6.9732213,3.0417202,2.0768726,226.57577339011232,-39.2056940859853,2025052000296,43,60816.27380867624,i,226.5757805628805,-39.20567911476292,10.102214813232422,3121.03,302.343,False,3189.74,13.3319,3142.74,302.95,False,110.096,25.3073,22.66425513176891,0.10517833030280323,22.640611791893615,0.004537964274474628,22.65672887045755,0.10466147295263871,26.295571142123176,0.24957357491106086
2022 SC226,nan,MBO,MBO,21165814980621891,745284205590085851,6.9732604,3.04172,2.0768728,226.5756299090923,-39.20563547383247,2025052000297,93,60816.27435135268,i,226.5756242191346,-39.2056388368704,9.003762245178223,2296.71,256.673,False,2522.9,2.57293,2330.44,256.63,False,40.0975,30.2394,22.99723461510081,0.1213384267625843,22.89524995012514,0.00110726682285701,22.981405212360514,0.11956218333624627,27.3922067639809,0.8188044754110841
2022 SC226,nan,MBO,MBO,21165814980621891,745284205880017490,6.9733467,3.0417194,2.0768733,226.5753086351549,-39.20550419315372,2025052000299,134,60816.27556749106,i,226.57529566141355,-39.205485659587005,9.711570739746094,3073.54,310.901,False,3354.04,2.3137,3020.26,309.371,False,-29.797,12.339,22.680902812360216,0.10982660663784907,22.586079393203697,0.0007489677478599705,22.699889169142125,0.11121403346129258,nan,nan
2022 SC226,nan,MBO,MBO,21165814980621891,745284206129053965,6.9734163,3.0417192,2.0768738,226.57505054557743,-39.20539869121162,2025052000301,97,60816.27654415411,i,226.5750377214761,-39.20535992493375,7.136509895324707,2221.75,309.484,False,nan,nan,2166.55,313.126,False,-86.0002,26.1351,23.03326202789923,0.15124023546122123,nan,nan,23.060578185015256,0.1569187117196209,nan,nan
2022 SC226,nan,MBO,MBO,21165814980621891,745284206229717497,6.973451,3.041719,2.076874,226.5749219100669,-39.20534609423538,2025052000302,33,60816.277031280464,i,226.57497691921242,-39.205324218477045,5.6314191818237305,2862.57,489.563,False,3022.58,41.3176,2743.11,491.287,False,-94.0968,11.5663,22.75810968527258,0.18568497825143973,22.699055461050424,0.014841629775195786,22.804391899065592,0.1944537580172357,nan,nan
2022 SC226,nan,MBO,MBO,21165814980621891,745284206657012068,6.9735656,3.0417182,2.0768747,226.57449618143184,-39.205171957530965,2025052000305,80,60816.2786430751,i,226.57451475402058,-39.20515198654827,8.564364433288574,2839.46,329.733,False,2553.61,2.64172,2681.92,330.55,False,-99.6632,10.4429,22.766910627247483,0.12608138969524937,22.88211352837191,0.0011231985258353318,22.828885484189243,0.13381834643976787,nan,nan
2022 SC226,nan,MBO,MBO,21165814980621891,745284207178678658,6.9737096,3.0417173,2.0768757,226.57396178149844,-39.20495323340486,2025052000309,51,60816.28066749245,i,226.57396869928502,-39.20492563025849,7.372056484222412,2460.35,318.022,False,2520.04,23.8925,2432.02,323.001,False,-133.431,21.3828,22.922507725471224,0.1403410039426723,22.89648139744518,0.010293865092317741,22.935082136063873,0.14419860229101683,nan,nan
2022 SC226,nan,MBO,MBO,21165814980621891,745284207307653275,6.9737444,3.041717,2.076876,226.57383322110016,-39.20490059219664,2025052000310,41,60816.281154310185,i,226.5738318234446,-39.20488387970705,6.853099346160889,3668.03,537.269,False,3443.23,9.43827,3562.81,541.319,False,-130.02,18.2487,22.48891779380238,0.15903151847714372,22.55758492224436,0.0029761215746812284,22.520518325615203,0.16496237354468374,nan,nan
2022 SC226,nan,MBO,MBO,21165814980621891,745284207424045196,6.9737835,3.0417168,2.0768762,226.57368751266847,-39.20484091873518,2025052000311,7,60816.281706903814,i,226.57372368612852,-39.20483012476238,7.207335472106934,3171.81,443.564,False,2975.14,17.4059,3020.75,442.741,False,-106.582,35.2665,22.646732069917064,0.1518355386969419,22.71623152177441,0.006352042409757457,22.69971303960824,0.1591326425937345,nan,nan
2022 SC226,nan,MBO,MBO,21165814980621891,745284208294363709,6.974,3.0417156,2.0768776,226.5728839503727,-39.20451162332176,2025052000317,131,60816.28475189184,i,226.57286224188493,-39.20446418168128,10.122687339782715,2995.63,293.583,False,2771.9,0.36334,2837.23,294.218,False,-177.738,28.5401,22.708779614432157,0.10640623613507035,22.793056142081195,0.0001423180475801756,22.767763649230492,0.11258978751871151,nan,nan
