provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 SM302,nan,MBO,MBO,21165814981145165,745284181305589784,18.824554,3.1364474,2.9653294,149.27350293509323,3.827269475968639,2025052000116,110,60816.00083512574,g,149.27358937185764,3.827312063361764,6.095890045166016,1188.28,192.072,False,1919.57,21.4384,1106.1,184.389,False,-118.149,15.7801,23.71270300434792,0.17549695857721667,23.19199014552454,0.012125865686043145,23.79051404315014,0.18099432754289427,nan,nan
2022 SM302,nan,MBO,MBO,21165814981145165,745284181439807570,18.824562,3.1364472,2.965339,149.27362051645815,3.827248776577573,2025052000117,110,60816.00153897185,g,149.2737337594334,3.827292636757776,6.9191670417785645,1489.35,200.522,False,2202.44,16.0518,1367.35,182.673,False,-121.291,14.8706,23.467508093419482,0.14618055008245934,23.042739813954356,0.007913051265868762,23.560300781955085,0.14505042438240484,nan,nan
2022 SM302,nan,MBO,MBO,21165814981145165,745284182513549390,18.824612,3.1364458,2.9654005,149.27438470061117,3.827114234559152,2025052000125,110,60816.00610655401,g,149.2743609966944,3.8271371156392635,7.859031677246094,1207.56,155.374,False,1217.47,5.09095,1164.11,146.057,False,-77.4919,26.1964,23.6952281504738,0.1396991960693404,23.686354354993306,0.004540094522146415,23.735014963788498,0.13622370933661546,nan,nan
2022 SM302,nan,MBO,MBO,21165814981145165,745284182919348232,18.82463,3.1364453,2.965426,149.27470112898686,3.8270585183550767,2025052000128,116,60816.00799732409,g,149.27477507779966,3.827060636183094,6.607844352722168,1157.89,170.02,False,1245.6,15.9519,1142.81,161.157,False,-100.253,24.2398,23.74083172824813,0.15942522332554238,23.661553522380533,0.013904588304614468,23.755064864430494,0.1531085465307575,nan,nan
2022 SM302,nan,MBO,MBO,21165814981145165,745297377840070691,18.828207,3.1355088,3.0058734,149.80838105852163,3.7310236811961466,2025052300134,70,60819.02753780842,g,149.80837904287498,3.7310578093653306,10.268585205078125,1388.91,135.378,False,1425.4,2.06119,1528.31,133.688,False,125.073,11.6112,23.543314711294396,0.10582744656231773,23.515158095251316,0.0015700213624412528,23.439471321409904,0.09497412175564082,26.157091099567374,0.10079474210032024
2022 SM302,nan,MBO,MBO,21165814981145165,745297377974812727,18.828207,3.1355085,3.0058806,149.80847475756673,3.731005591694061,2025052300135,71,60819.02806302253,g,149.8085119428828,3.7309994246192746,7.923985958099365,1051.28,129.499,False,1188.64,13.7733,1180.63,126.05,False,132.722,12.0794,23.84570396402155,0.1337433806165938,23.712374134108167,0.012580907987494212,23.719715459212928,0.11591866321977,26.092642705278838,0.09881588559257427
2022 SM302,nan,MBO,MBO,21165814981145165,745297378109030449,18.828207,3.1355085,3.0058877,149.8085679271177,3.730987604508482,2025052300136,71,60819.028586217355,g,149.80858730305482,3.730982665633012,8.125828742980957,1024.21,125.502,False,1069.41,4.67656,1149.96,122.162,False,127.772,44.4324,23.874027511892713,0.13304114309921694,23.827139363174698,0.004747954724657524,23.748293201391228,0.11533941487909824,26.133910741013647,0.37756209399773655
2022 SM302,nan,MBO,MBO,21165814981145165,745297378263695397,18.828205,3.1355083,3.0058947,149.80866110155037,3.7309696164777257,2025052300137,110,60819.02910952353,g,149.80866627060334,3.7309269306061004,8.402750968933105,1018.3,120.081,False,1190.34,4.59587,1135.02,118.174,False,112.938,34.1449,23.880310653596467,0.12803328307777362,23.710822461657852,0.004191997760465078,23.76249119574702,0.1130427586853425,26.267899734414616,0.3282540363811701
2022 SM302,nan,MBO,MBO,21165814981145165,745297378399485996,18.828205,3.135508,3.0059018,149.80875410267558,3.7309516620072656,2025052300138,113,60819.029631473495,g,149.80879906593972,3.7309338764534115,9.815225601196289,1150.09,116.064,False,1085.48,5.37571,1291.74,115.468,False,117.572,36.7437,23.74817046404838,0.10956959356331927,23.81094545459605,0.005376978930731738,23.62206223785389,0.09705342526900618,26.22424024801328,0.33931517556942137
2022 SM302,nan,MBO,MBO,21165814981145165,745297378532130873,18.828205,3.135508,3.005909,149.80884764328383,3.730933603493873,2025052300139,110,60819.03015675932,g,149.80888243872545,3.7309154942874523,9.796823501586914,1098.08,110.726,False,1057.8,1.38792,1234.94,111.522,False,101.876,38.3358,23.79841508958482,0.1094813033350248,23.83899104317492,0.001424574539276352,23.670885407124338,0.09804806890859494,26.379820294003224,0.40856105862368575
