provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 SR38,nan,MBO,MBO,21165814978918482,745416141050478727,14.613899,2.5541,1.6857523,226.2743444386648,-40.67976637300976,2025061900253,37,60846.18571192013,g,226.27421792334448,-40.67968237888057,8.602913856506348,1538.36,175.779,False,1811.08,24.9437,1345.71,178.595,False,-235.574,3.45729,23.432355062899994,0.12406044989991417,23.25515593977694,0.014953662834297967,23.577621332333695,0.14409275731232066,nan,nan
2022 SR38,nan,MBO,MBO,21165814978918482,745416141182075246,14.614035,2.5540993,1.6857547,226.2742642870965,-40.67971355073156,2025061900254,32,60846.186180225355,g,226.27407183843718,-40.679671183903764,6.214791774749756,1324.32,211.26,False,nan,nan,943.143,215.054,False,-319.832,2.75187,23.595017699397673,0.1732003095594919,nan,nan,23.963556129411124,0.24756788034910673,nan,nan
2022 SR38,nan,MBO,MBO,21165814978918482,745416141585776922,14.614439,2.5540974,1.685762,226.27402458122432,-40.67955549982867,2025061900257,34,60846.18758317418,g,226.27377960911556,-40.679458906950174,11.98096752166748,1961.11,163.334,False,1944.07,4.53329,1687.46,164.335,False,-237.183,3.67805,23.16874512254674,0.09042717552558126,23.178220283785564,0.0025317797801746584,23.33191630765004,0.10573552595540626,nan,nan
2022 SR38,nan,MBO,MBO,21165814978918482,745416141703217232,14.6145735,2.554097,1.6857644,226.27394464421403,-40.67950276718431,2025061900258,2,60846.188051312194,g,226.27369127416196,-40.67938832889546,11.121535301208496,2198.69,195.756,False,2225.51,4.78354,1977.39,199.787,False,-257.898,3.53188,23.044590025996058,0.09666636887610404,23.031426120083392,0.0023336953303321186,23.15976915814671,0.10969812748945101,nan,nan
2022 SR38,nan,MBO,MBO,21165814978918482,745416142258962536,14.615116,2.5540943,1.6857743,226.27362261652647,-40.67929020119888,2025061900262,38,60846.189937692834,g,226.27338252165308,-40.67917408328267,12.950077056884766,1961.92,150.846,False,1846.99,4.1478,1729.55,152.782,False,-153.237,4.37014,23.168296739562596,0.0834789146957454,23.233838645532796,0.0024382463467286656,23.30516716519461,0.09590988501868676,nan,nan
2022 SR38,nan,MBO,MBO,21165814978918482,745416142776959508,14.615655,2.5540917,1.6857841,226.2733034991382,-40.67907934763331,2025061900266,2,60846.191807329466,g,226.2730272649048,-40.67900188907559,12.193309783935547,2012.26,163.71,False,2127.66,5.66903,1921.86,167.447,False,-149.012,3.90512,23.140789758952387,0.08833146835291168,23.0802444725423,0.0028928830625568292,23.190695638708455,0.09459756611989692,nan,nan
2022 SR38,nan,MBO,MBO,21165814978918482,745416142919565754,14.615792,2.554091,1.6857866,226.2732217860917,-40.67902532306744,2025061900267,18,60846.19228652783,g,226.27295783984076,-40.67892209620265,12.425492286682129,2038.33,161.876,False,2034.29,3.31644,2005.05,164.293,False,-158.876,4.45308,23.126813782307103,0.08622482392826526,23.128967818572015,0.001770042139637852,23.144686955790796,0.08896479047860478,nan,nan
2022 SR38,nan,MBO,MBO,21165814978918482,745416143179612488,14.61606,2.5540898,1.6857914,226.27306299987688,-40.67892030243659,2025061900269,2,60846.19321768653,g,226.27275456602135,-40.678834917951775,9.717273712158203,1671.03,172.404,False,1765.42,2.08851,1655.96,176.459,False,-221.554,3.4055,23.342539363835122,0.11201789849249096,23.28287986724268,0.0012844370768143496,23.352375420318246,0.11569598847628011,nan,nan
2022 SR38,nan,MBO,MBO,21165814978918482,745424936805335623,15.131812,2.5515614,1.6954905,225.99104117603787,-40.47676985034269,2025062100250,160,60848.02981565961,r,225.99080029764832,-40.47666448403612,21.706912994384766,3753.85,171.453,False,3687.63,0.616765,11450.9,168.94,False,7709.97,11.2261,22.463807685080866,0.04958981521704595,22.48313168591046,0.00018159200781960497,21.25290090791592,0.016018327889109344,21.682368249280515,0.0015808858962876693
2022 SR38,nan,MBO,MBO,21165814978918482,745424937085304994,15.132063,2.5515602,1.6954952,225.99090528236889,-40.47667455940591,2025062100252,182,60848.0306865646,r,225.9906590294186,-40.47658018682439,26.262014389038086,4348.39,163.626,False,4493.63,1.18693,5668.11,162.738,False,1295.62,38.8215,22.304178745052724,0.04085527616914963,22.268506752618027,0.000286782143446387,22.016404351356783,0.03117274539639841,23.618805895514537,0.0325326152775574
2022 SR38,nan,MBO,MBO,21165814978918482,745424937179152672,15.132192,2.5515597,1.6954976,225.99083522678188,-40.47662542763846,2025062100253,105,60848.03113540527,r,225.99059238155036,-40.476535456227026,21.30033302307129,3886.06,179.558,False,3447.09,0.111705,4778.76,179.199,False,889.847,32.7725,22.426226229287643,0.05016716598729306,22.556368415963355,3.518392533495861e-05,22.20171200367596,0.040714088438284224,24.026711666934823,0.0399869745941563
2022 SR38,nan,MBO,MBO,21165814978918482,745424937486909500,15.13245,2.5515585,1.6955025,225.99069511064715,-40.47652714495324,2025062100255,180,60848.03203380895,r,225.9907003757224,-40.47674413311171,22.483461380004883,626.096,171.133,False,3727.6,1.34566,6612.27,167.048,False,6375.51,22.8881,24.408397662668136,0.2967680462647336,22.471426713901987,0.0003919497027013773,21.849123549579208,0.02742931935673172,21.888712711726384,0.003897796314933696
2022 SR38,nan,MBO,MBO,21165814978918482,745424937871212596,15.132833,2.5515566,1.6955097,225.99048757733252,-40.47638153451637,2025062100258,145,60848.03336336161,r,225.9902487957563,-40.476275205826674,21.637292861938477,4347.56,199.674,False,4113.54,1.3564,4845.23,201.594,False,402.692,8.24662,22.30438602450019,0.0498655070093051,22.36446067785066,0.00035801100468965625,22.186714010476237,0.04517389246384121,24.887567532848415,0.02223449783904546
2022 SR38,nan,MBO,MBO,21165814978918482,745424937982361660,15.132962,2.5515559,1.6955122,225.99041704416013,-40.47633203605024,2025062100259,101,60848.03381525183,r,225.99017257473298,-40.47622643771723,24.644933700561523,3967.2,158.677,False,3739.56,0.782131,4457.87,159.327,False,366.834,20.919,22.40378977515556,0.043426438799005804,22.467948718672293,0.00022708231661107024,22.277181472776782,0.03880487390655693,24.98882600233032,0.061914968145018234
2022 SR38,nan,MBO,MBO,21165814978918482,745424938121297930,15.133087,2.5515554,1.6955146,225.9903493184672,-40.476284502663525,2025062100260,110,60848.034249650664,r,225.99010358823963,-40.476168330600686,21.57408332824707,3843.74,173.649,False,3687.29,3.05815,4354.36,173.093,False,427.976,11.4728,22.438114994642984,0.049050406362596576,22.483231749549798,0.0009004836063820112,22.30268920455621,0.0431598088603471,24.82145142813254,0.029105450359141315
2022 SR38,nan,MBO,MBO,21165814978918482,745424938258137403,15.133213,2.5515547,1.6955168,225.9902814354316,-40.47623685376423,2025062100261,115,60848.03468406972,r,225.9900296522402,-40.47613057591268,18.404186248779297,3776.1,201.841,False,3621.13,1.50106,4269.95,200.856,False,436.943,10.0122,22.457391254629584,0.058035030679302595,22.502889744035116,0.00045006814172126924,22.32394297638773,0.05107240698747081,24.79893805156278,0.024878779578482058
2022 SR38,nan,MBO,MBO,21165814978918482,745424939079172368,15.134046,2.5515509,1.6955326,225.9898294743733,-40.47591947868235,2025062100267,145,60848.03758049334,r,225.9895780790376,-40.475825263724616,19.1091251373291,4446.01,230.576,False,4347.61,1.82539,4558.16,229.509,False,131.767,8.8078,22.280073969279034,0.0563077295640648,22.304373586617345,0.00045585782827616494,22.25302604861659,0.054668161054401074,26.100483368413705,0.07257467944465931
2022 SR38,nan,MBO,MBO,21165814978918482,745424939623383094,15.134573,2.5515482,1.6955425,225.9895436961523,-40.47571867959041,2025062100271,159,60848.03941194208,r,225.98930633197565,-40.47562880909209,18.34845733642578,4357.35,237.076,False,4185.56,1.29197,4810.83,238.394,False,428.685,13.2212,22.301943861595134,0.059073059332869306,22.345616054999333,0.0003351376161483516,22.194449956026645,0.053802148391334764,24.819654287441786,0.03348550936119295
2022 SR38,nan,MBO,MBO,21165814978918482,745424939766514114,15.134701,2.5515475,1.695545,225.98947408286293,-40.47566975210863,2025062100272,176,60848.03985719467,r,225.9892422241296,-40.475573420671004,19.373226165771484,4195.98,213.562,False,4289.38,4.53827,4742.97,212.327,False,579.348,9.60186,22.34291648136344,0.055260509486773975,22.319013723465403,0.001148735755969488,22.209874006612793,0.04860479745792468,24.49265117777967,0.01799451569904261
2022 SR38,nan,MBO,MBO,21165814978918482,745424940026036332,15.134963,2.5515463,1.6955498,225.9893321999701,-40.47557001245142,2025062100274,159,60848.04076636207,r,225.98907515895448,-40.475479620594406,24.90812873840332,3808.3,151.633,False,3695.33,1.25245,4644.85,149.324,False,849.518,28.5299,22.448172104226785,0.04323016334163273,22.48086690758032,0.00036798615260436474,22.232570743363798,0.03490456639012508,24.07706852977297,0.03646296454567605
2022 SR38,nan,MBO,MBO,21165814978918482,745424940264587915,15.135248,2.551545,1.6955552,225.98917720166892,-40.47546102563565,2025062100276,102,60848.041759721695,r,225.98891999490826,-40.475353874861206,25.274377822875977,3748.91,146.893,False,3644.35,1.52788,3975.03,145.401,False,243.318,28.1016,22.465237489332807,0.042542247718988076,22.49594977204616,0.000455190785040235,22.401648965312067,0.03971470147516104,25.43456443541108,0.12539526911805499
2022 SR38,nan,MBO,MBO,21165814978918482,745424940535120052,15.135505,2.5515437,1.6955601,225.98903812123237,-40.47536320683908,2025062100278,106,60848.04265095129,r,225.9887845485908,-40.4752631482999,22.64961814880371,4081.13,180.638,False,3903.79,0.890336,4830.27,180.116,False,736.623,28.4094,22.373048958735062,0.0480565977356458,22.42128387103838,0.0002476234620814483,22.19007147709915,0.04048603050133367,24.23188683348401,0.04187367995422606
2022 SR38,nan,MBO,MBO,21165814978918482,745424940710232213,15.135637,2.5515432,1.6955626,225.9889660043225,-40.475312475948094,2025062100279,184,60848.043112665444,r,225.98873299671865,-40.475201032134585,5.549374103546143,6306.49,1107.9,False,6177.61,105.221,6775.39,1117.57,False,555.662,30.3806,21.900530681096605,0.19073797358824807,21.922948805793038,0.01849295317414622,21.822664231080047,0.17908727431941848,24.537973280433896,0.05936219872762445
