provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2023 QG56,nan,MBO,MBO,21165819240461895,745284180590460942,19.833015,2.982915,2.803668,148.8397339446245,2.8266983829994983,2025052000111,26,60815.99776202555,g,148.83977253350727,2.826661831081252,6.152308464050293,1666.44,270.635,False,1875.98,24.2053,1746.59,270.444,False,87.3045,13.9068,23.34552583430036,0.17632692368718025,23.216929501270773,0.014008982054558404,23.29452259799308,0.16811664338559948,26.5474084666241,0.17294775303711651
2023 QG56,nan,MBO,MBO,21165819240461895,745284180724678674,19.83301,2.9829166,2.8036804,148.8399008058432,2.826742765137498,2025052000112,26,60815.99852844935,g,148.8399342448909,2.8267213597114584,6.989333152770996,1525.78,218.214,False,1714.23,19.706,1602.27,219.002,False,65.0438,13.9106,23.44127018454494,0.1552798178896793,23.314827284287094,0.012481124012231639,23.38816073356533,0.14840095378628965,26.86698522970672,0.23220109605032704
2023 QG56,nan,MBO,MBO,21165819240461895,745284181008842793,19.833002,2.9829192,2.8036964,148.84012061190927,2.8268012231790625,2025052000114,56,60815.99953748862,g,148.84009276330323,2.8267870159122594,13.15453052520752,2030.91,152.979,False,2137.88,4.01859,2070.94,152.746,False,26.6083,11.7665,23.13077328666857,0.08178345683142922,23.07504174839945,0.0020408670577471448,23.10958123935988,0.08008048007660855,27.837457209301025,0.4801252212422161
2023 QG56,nan,MBO,MBO,21165819240461895,745284181127331865,19.832996,2.982921,2.8037088,148.8402872721252,2.8268455419884844,2025052000115,26,60816.000302056374,g,148.84033425521005,2.82686826567689,13.067190170288086,2239.54,163.56,False,2526.58,13.7876,2260.14,163.799,False,19.5705,10.8115,23.0246029218086,0.07929441220164789,22.893667331396674,0.005924884848302761,23.014661697823442,0.07868650113804238,28.170995228566447,0.5998026052733669
2023 QG56,nan,MBO,MBO,21165819240461895,745284181277278228,19.832993,2.9829223,2.8037171,148.84040339400624,2.826876418952852,2025052000116,56,60816.00083512574,g,148.84043261654475,2.8269099214955746,12.984369277954102,2190.42,162.109,False,2403.94,15.6026,2198.14,159.591,False,6.02223,9.81101,23.048681548206645,0.08035336130528646,22.947690966716586,0.00704689311184639,23.044861679870664,0.07882743539190314,29.450606628271416,1.7688080481062456
2023 QG56,nan,MBO,MBO,21165819240461895,745284181411495970,19.832987,2.982924,2.8037286,148.84055655837113,2.8269171423706143,2025052000117,56,60816.00153897185,g,148.84063190784812,2.826931418833042,11.446245193481445,1824.73,164.148,False,1960.98,0.684016,1807.63,163.058,False,-25.7966,10.0412,23.247003480989356,0.09767002406507955,23.168817099992104,0.0003787192789407422,23.257226146047813,0.09793927526060875,nan,nan
2023 QG56,nan,MBO,MBO,21165819240461895,745284181549383689,19.832983,2.9829252,2.803737,148.84067268864942,2.82694801671791,2025052000118,63,60816.002071902825,g,148.84064987009893,2.82691749771453,13.030957221984863,2036.74,155.314,False,2293.13,5.85218,2023.5,153.595,False,-31.1815,9.49528,23.12766102349108,0.0827940869615003,22.998928365365213,0.0027708520807558897,23.134741978181033,0.08241346859164145,nan,nan
2023 QG56,nan,MBO,MBO,21165819240461895,745284181683601439,19.83298,2.9829266,2.8037455,148.84078904043554,2.8269789478468867,2025052000119,63,60816.00260581951,g,148.84078819629337,2.8269737706434532,14.117781639099121,1950.3,138.681,False,2162.92,1.56375,1887.06,138.075,False,-58.9333,13.1494,23.17474642091942,0.07720400891004607,23.06239889804072,0.0007849666573794716,23.210535693810264,0.07944263484135791,nan,nan
2023 QG56,nan,MBO,MBO,21165819240461895,745284181817819191,19.832973,2.982928,2.803756,148.84093089009252,2.8270166545032325,2025052000120,63,60816.003256159864,g,148.84093142806245,2.8270126574806858,14.979155540466309,1930.61,125.403,False,1801.41,1.77686,1886.2,123.405,False,-48.1684,18.3788,23.18576362978948,0.07052412355981569,23.260968556216785,0.001070939538902279,23.211030676812587,0.07103450243415171,nan,nan
2023 QG56,nan,MBO,MBO,21165819240461895,745284181953609742,19.83297,2.9829295,2.8037646,148.8410474680983,2.827047641053617,2025052000121,66,60816.003791225885,g,148.84104330984744,2.8270492195313794,16.676101684570312,2020.96,119.374,False,1847.86,1.25591,1976.55,117.618,False,-52.314,22.9846,23.13610572649892,0.06413223260647168,23.23332734725525,0.0007379276622766809,23.16023046069604,0.06460859258197583,nan,nan
