provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KB26,nan,MBO,MBO,21165827729536578,745297388173787179,7.994784,2.6954067,1.7284898,228.67978843502715,-39.83509747893244,2025052300211,68,60819.08077430007,i,228.67980527345307,-39.83508591460483,22.065330505371094,7877.88,351.001,False,7893.68,0.625119,7621.53,264.815,False,-136.407,208.947,21.658976613345438,0.048375261740770524,21.656801184180864,8.598198607515575e-05,21.69489462198864,0.037724609601831105,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745297397703246209,8.001597,2.6953228,1.7284669,228.66516182391757,-39.83388002461004,2025052300282,68,60819.13424434215,r,228.6651723143675,-39.83386852350368,31.126693725585938,5718.85,181.76,False,5270.25,0.710267,5854.63,176.356,False,-265.192,87.209,22.006728217548307,0.03450753267577122,22.0954219576777,0.0001463237237182494,21.981251387231772,0.032705072909352435,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745306290459246882,8.306625,2.691964,1.7282722,228.10169067001655,-39.77306410859658,2025052501002,118,60821.28561045133,g,228.10170714996315,-39.773034057374275,21.250946044921875,3731.97,174.41,False,3949.34,0.306459,3774.19,172.281,False,55.7348,5.22432,22.470154648655214,0.05074083042856664,22.408688666079797,8.42504404897137e-05,22.45794061785428,0.049560760946751936,27.03468391296924,0.10177184556400115
2025 KB26,nan,MBO,MBO,21165827729536578,745306290573017474,8.306704,2.6919632,1.7282723,228.1015611263753,-39.77304678290909,2025052501003,79,60821.28609988717,g,228.1015711069385,-39.77303787293126,21.32761001586914,3623.45,167.433,False,3681.85,2.13422,3632.78,165.921,False,19.8727,5.93267,22.50219433246974,0.05016988532008765,22.48483474319623,0.0006293574524926443,22.499402246435146,0.0495891413947229,28.154357823232665,0.32412882101358953
2025 KB26,nan,MBO,MBO,21165827729536578,745306290975670929,8.306938,2.691961,1.7282728,228.10117230258064,-39.77299473577043,2025052501006,79,60821.287567510604,g,228.10117862186547,-39.77297387879129,21.942214965820312,3480.0,158.194,False,3396.9,1.5411,3455.42,157.12,False,-74.0434,9.20405,22.546051890133548,0.04935544639097121,22.57229312612803,0.0004925750362363823,22.553747917995512,0.04936906976492281,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745306291401916879,8.307173,2.6919587,1.7282733,228.1007833225542,-39.77294260147932,2025052501009,124,60821.289036242364,g,228.10079066204403,-39.77296127660309,21.407459259033203,3717.11,172.002,False,3946.3,2.48979,3559.28,170.071,False,-90.8069,5.21146,22.47448643534416,0.05024031898466095,22.409524742846212,0.0006850100274620428,22.521594605437002,0.05187909904019106,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745306292022673975,8.307564,2.6919549,1.728274,228.1001358835177,-39.772855680299024,2025052501014,28,60821.29148228136,g,228.10011738671162,-39.77285583963787,21.106216430664062,3929.34,185.083,False,4072.73,3.79684,3800.91,181.573,False,-97.351,5.12621,22.414200952466306,0.051141235272516024,22.375285956051727,0.0010121875547450673,22.45028105944228,0.051866627293084965,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745306292585759138,8.3078785,2.6919518,1.7282746,228.0996162487071,-39.77278578611145,2025052501018,78,60821.29344660387,g,228.09961658637675,-39.77280262846952,18.161354064941406,3278.63,178.047,False,3457.67,1.618,3138.2,176.748,False,-140.343,5.14672,22.61076901773847,0.05896123618011875,22.553041169898155,0.0005080650415237065,22.65829847172285,0.06115024756142604,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745306293120008605,8.308191,2.6919487,1.7282753,228.09909787164895,-39.77271594548319,2025052501022,73,60821.295406075245,g,228.09907068411107,-39.77270929950453,22.94913673400879,4331.7,184.469,False,4823.74,0.980519,4227.05,184.447,False,-123.646,5.54428,22.30835402325341,0.04623696390865822,22.191540219113737,0.00022069699495854404,22.334906587800575,0.04737601915555659,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745306293350694970,8.308347,2.6919472,1.7282755,228.09884034468843,-39.77268120633156,2025052501024,1,60821.29638096117,g,228.09885038305669,-39.772697137193646,17.489839553833008,3875.75,220.234,False,3791.34,1.19561,3690.19,219.61,False,-77.7719,4.65669,22.42911061073668,0.06169541902710069,22.453018142686417,0.0003423900478568875,22.482378198164945,0.06461416143222967,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745306294156525727,8.308814,2.6919427,1.7282765,228.09806647877247,-39.77257664611458,2025052501030,2,60821.299308234506,g,228.09806198646947,-39.772577202823584,20.546863555908203,3826.95,184.777,False,3722.08,1.07042,3825.85,183.116,False,-39.5341,6.38116,22.442868043597368,0.052422705665520056,22.47303571885562,0.0003122430879987333,22.443180125654248,0.051966402990146,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745315055903441191,8.634831,2.6890304,1.729035,227.62080684668396,-39.70751073914818,2025052700774,28,60823.17480608987,i,227.6208427618439,-39.707536701335044,18.525941848754883,6858.08,368.181,False,7340.57,2.05223,6959.38,372.002,False,-613.791,5.99697,21.809493620418984,0.05828853509804329,21.735675564818674,0.00030354323110556413,21.793573641444475,0.058036213257179045,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745315056177643801,8.63502,2.6890287,1.7290356,227.620550810111,-39.707472836073336,2025052700776,39,60823.175785560736,i,227.62051802739063,-39.70746783597045,20.231142044067383,6611.59,326.614,False,6909.21,3.5208,6209.83,325.999,False,-514.737,5.98531,21.849235240338125,0.05363561079944242,21.801429023829755,0.0005532702255031816,21.91730070855304,0.0569981633756265,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745315056332833062,8.635114,2.689028,1.729036,227.6204229279176,-39.70745389178715,2025052700777,79,60823.17627479702,i,227.62040190409772,-39.70745966501813,22.001859664916992,7299.77,331.31,False,7550.76,0.0659208,7078.38,330.24,False,-533.759,5.91512,21.74172705545977,0.049277615374900746,21.705023367477573,9.478860591031383e-06,21.775165333342734,0.05065474297685837,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745315056581869757,8.635305,2.6890266,1.7290367,227.6201624677028,-39.70741528099708,2025052700779,42,60823.17727072349,i,227.62017250055968,-39.70741588821645,23.602436065673828,7273.14,307.556,False,8186.4,3.92441,7058.48,311.47,False,-551.306,5.7969,21.745695111224947,0.04591203766852866,21.61726761015433,0.0005204820414193987,21.77822203177868,0.047910351514366435,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745315057002348745,8.635613,2.689024,1.7290378,227.6197427832968,-39.70735299162826,2025052700782,76,60823.17887512216,i,227.61975740845853,-39.70734100430069,24.636587142944336,7554.44,304.926,False,7529.42,0.352762,7313.95,303.035,False,-477.487,5.89665,21.704494317846702,0.04382445223913324,21.70809620306825,5.086799433197641e-05,21.73962000334146,0.04498473000210343,nan,nan
2025 KB26,nan,MBO,MBO,21165827729536578,745315057639883275,8.636084,2.6890202,1.7290394,227.61910248684643,-39.70725778038645,2025052700787,12,60823.181324098354,i,227.6191221381776,-39.707254246562236,22.70113182067871,6910.31,303.2,False,7227.72,2.07652,6742.53,300.466,False,-279.161,5.79199,21.801256164590793,0.04763827205219095,21.752496668328835,0.00031193140300247584,21.827942815932417,0.048383444879703794,nan,nan
