provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KJ28,nan,MBO,MBO,21165827729537098,745284205469499846,6.0196695,3.3515174,2.3839033,227.5095957638167,-38.37968178780447,2025052000296,119,60816.27380867624,i,227.50973554008291,-38.37961101914002,5.549168109893799,3539.22,602.874,False,3995.99,58.6401,135669.0,598.106,False,132145.0,68.1822,22.52773111029395,0.1849453155137614,22.395939020829488,0.0159328922809013,18.56879844030103,0.00478654193735059,18.597373161797762,0.0005602019026265859
2025 KJ28,nan,MBO,MBO,21165827729537098,745284205610533087,6.019714,3.3515167,2.383903,227.50945698651304,-38.37966663642462,2025052000297,132,60816.27435135268,i,227.50971942729038,-38.37958836669112,6.13832950592041,3040.29,480.56,False,2954.65,8.21998,140865.0,478.459,False,137705.0,31.8455,22.692712458448607,0.1716156620599044,22.7237349286555,0.003020571114615581,18.52799225099313,0.0036877881302082214,18.552625726100857,0.0002510861140538124
2025 KJ28,nan,MBO,MBO,21165827729537098,745284206163656821,6.0198927,3.3515136,2.383902,227.50889660052616,-38.379605386431805,2025052000301,163,60816.27654415411,i,227.50913340890838,-38.37960886677547,8.675985336303711,2701.8,297.967,False,2808.71,10.6252,8053.62,296.992,False,5401.81,25.9131,22.820866987011655,0.11974001231571353,22.778732763839997,0.0041072822677064354,21.635022148921102,0.04003851274368729,22.0686517269518,0.005208400475084286
2025 KJ28,nan,MBO,MBO,21165827729537098,745284207217999909,6.0202293,3.3515074,2.3839006,227.5078434311508,-38.379489980557565,2025052000309,126,60816.28066749245,i,227.50803555901297,-38.37947760319496,10.130125999450684,3305.65,322.621,False,3302.68,2.7582,3248.57,320.173,False,-79.6074,23.6011,22.601857859920678,0.10596442843283832,22.60283378122533,0.0009067416722643584,22.62076940376596,0.10700813437212212,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745284207326527802,6.0202694,3.3515067,2.3839006,227.5077190677661,-38.379476327609815,2025052000310,77,60816.281154310185,i,227.50792908340418,-38.37949303271472,5.919787406921387,3324.88,569.874,False,3266.4,16.7188,3278.06,571.688,False,-115.911,23.3753,22.595560099341288,0.18609179314889818,22.614826615173133,0.005557251579357836,22.61095773454275,0.1893505108532296,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745284208421240962,6.020603,3.3515007,2.3838992,227.5066741502972,-38.3793614046591,2025052000318,117,60816.28524772648,i,227.50689559897555,-38.379285183530385,8.200769424438477,2869.72,347.23,False,2859.05,12.158,2612.51,344.619,False,-121.213,11.025,22.755401199900085,0.13137177081917464,22.759445605187018,0.004617051308554894,22.857355092223614,0.1432206233700003,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745284208538681374,6.020644,3.3515,2.383899,227.50654654022068,-38.37934734425981,2025052000319,85,60816.285747094415,i,227.5067471395989,-38.379373592992174,7.4578728675842285,2567.45,348.75,False,2646.14,28.9212,2413.39,349.052,False,-179.885,9.80571,22.87624503402168,0.14748116170154288,22.843467999607153,0.01186664159156471,22.943431276126645,0.1570315666893616,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745284210573443266,6.021512,3.3514845,2.3838954,227.5038306583834,-38.379046805757234,2025052000334,126,60816.29639670024,r,227.50404875017136,-38.379034384243326,9.993263244628906,2309.43,229.767,False,2249.0,5.56147,2194.63,229.567,False,-85.0521,13.9228,22.991238024400324,0.10802074801461214,23.02002636141092,0.0026848774411452176,23.046596778993774,0.11357231883500331,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745284210949357959,6.021634,3.3514824,2.383895,227.50344892204075,-38.37900436714292,2025052000337,75,60816.2978940647,r,227.5036405085999,-38.37899215473401,9.129142761230469,2204.56,240.796,False,2149.53,1.52866,2098.22,237.868,False,-98.2452,11.4547,23.041695163096,0.11859098138009534,23.069141208343673,0.0007721323024921866,23.095372459261377,0.12308618688737427,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745284211490947277,6.0217924,3.3514795,2.3838942,227.5029544116481,-38.37894932049808,2025052000341,84,60816.299835672995,r,227.50313790204345,-38.37891659537356,6.35690450668335,2884.32,459.941,False,2673.04,8.81723,2872.68,464.561,False,-99.0344,26.6405,22.749891370795613,0.17313425495615245,22.83248633990844,0.0035813852170742642,22.754281898878286,0.1755819353557259,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745288582289162385,6.104294,3.3501284,2.3835747,227.2732708669968,-38.35420432183476,2025052100138,80,60817.222943721055,g,227.27351382070205,-38.35424561079686,9.375032424926758,1466.61,156.293,False,1657.66,2.25811,1498.12,156.257,False,-13.1227,4.72624,23.48421340613719,0.11570422235627156,23.351261332864368,0.0014790196910932812,23.4611334987507,0.11324452434281879,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745288582449070208,6.1043816,3.3501272,2.3835747,227.27304406626865,-38.35417813093501,2025052100139,129,60817.223832008545,g,227.27322115156875,-38.35413354823892,7.472660064697266,1082.75,143.349,False,1390.73,17.8425,1202.67,142.318,False,25.1479,6.32582,23.8136795189953,0.14374435294904994,23.541892957507073,0.013929554443331504,23.6996337657093,0.1284806240453503,27.898745704273416,0.273111149121832
2025 KJ28,nan,MBO,MBO,21165827729537098,745288582583812183,6.104429,3.3501265,2.3835745,227.2729211051248,-38.35416392315253,2025052100140,130,60817.224314639956,g,227.27315924793132,-38.35414078322244,8.849266052246094,1254.08,141.588,False,1248.64,0.644214,1372.11,140.875,False,23.2563,5.48878,23.65418693355121,0.1225816697203723,23.65890687881666,0.0005601666032595511,23.55652768783262,0.1114729063108682,27.983648448581672,0.2562474338788001
2025 KJ28,nan,MBO,MBO,21165827729537098,745288582987513991,6.1046066,3.350124,2.3835742,227.27246067763005,-38.35411067064557,2025052100143,132,60817.22611979296,g,227.2726145990576,-38.354027950176956,9.317838668823242,1435.15,154.292,False,1502.76,5.93559,1500.97,153.68,False,-40.1461,4.46077,23.50775674319682,0.11672676426817574,23.457775926371248,0.004288432411090414,23.459069991058023,0.11116540320716521,nan,nan
2025 KJ28,nan,MBO,MBO,21165827729537098,745288584038187110,6.1050906,3.3501167,2.3835738,227.2712067503872,-38.35396523127105,2025052100151,88,60817.23103663155,g,227.27141680737944,-38.35393579784216,6.937380313873291,1122.83,160.083,False,1467.37,7.42045,992.533,160.138,False,-106.412,4.41457,23.774215023279545,0.15479449924216723,23.483650914134888,0.005490538498150843,23.908137590067707,0.17517565801919674,nan,nan
