provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KK27,nan,MBO,MBO,21165827729536843,745284205450100861,7.209228,2.9278812,1.9616628,226.5249263458895,-39.05147792618641,2025052000296,82,60816.27380867624,i,226.52489699498307,-39.05145619871964,12.344642639160156,3923.24,303.677,False,3666.57,1.15299,3889.96,304.147,False,-100.69,25.8185,22.415887811599053,0.08404102639492514,22.489350027992984,0.00034142071350984853,22.425137172028528,0.08489121127995503,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284205590086260,7.209274,2.9278815,1.9616637,226.52479533943307,-39.051446651094736,2025052000297,93,60816.27435135268,i,226.5247469306912,-39.05144325422884,17.252553939819336,4585.19,260.526,False,4383.66,2.18729,4377.73,257.278,False,-183.251,32.4991,22.246606672451634,0.06169046760456633,22.295407804868887,0.0005417436133003138,22.296877573348333,0.06380842513551632,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284205724828024,7.2093306,2.9278822,1.961665,226.5246334668559,-39.05140799405542,2025052000298,94,60816.275022669506,i,226.52458914428078,-39.05138727453912,11.015602111816406,4480.64,402.565,False,4053.49,0.147018,4271.37,402.45,False,-196.055,27.4202,22.271649837781112,0.09754842714042647,22.380427237751178,3.937909462232782e-05,22.32358198756038,0.10229845152033777,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284205899415923,7.2093763,2.9278827,1.961666,226.5245020032544,-39.05137658822033,2025052000299,171,60816.27556749106,i,226.52447159729326,-39.05136700382477,13.396384239196777,4156.38,304.406,False,3688.11,0.0901143,3924.83,302.488,False,-217.01,12.5146,22.353211914655784,0.07951742401459608,22.48299030423317,2.6528590093946093e-05,22.41544785222046,0.08367806343828417,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284206250688781,7.2094994,2.9278839,1.9616688,226.5241489176364,-39.05129219035003,2025052000302,73,60816.277031280464,i,226.52409822978908,-39.05127616671744,8.893975257873535,4340.96,482.664,False,4283.65,3.71046,4256.89,483.644,False,-146.423,15.9819,22.30603554969955,0.12072117362046239,22.32046507691448,0.0009404551709968044,22.327268895248082,0.12335526585553093,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284206566834559,7.2095833,2.9278846,1.9616706,226.52390851023125,-39.05123468597462,2025052000304,164,60816.27802847215,i,226.52385690501595,-39.05122526411757,13.201664924621582,4529.83,342.371,False,4856.33,6.41811,4393.48,345.648,False,-166.606,13.5184,22.2597952220743,0.08206148710522086,22.184229506316505,0.0014349054050510892,22.292978370460634,0.08541806506541437,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284206677459095,7.2096353,2.927885,1.9616718,226.52376023413743,-39.051199202889606,2025052000305,119,60816.2786430751,i,226.52373688577214,-39.051197190499956,13.925232887268066,4690.48,334.302,False,4333.16,8.82893,4508.63,334.203,False,-195.744,11.4537,22.221956783295944,0.07738307984577676,22.30798814719816,0.0022122166034169197,22.264888537066042,0.08048039192636008,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284207199649996,7.2098055,2.9278867,1.9616756,226.5232723548678,-39.05108236472966,2025052000309,91,60816.28066749245,i,226.52323991944547,-39.05105268502144,11.906373023986816,3889.96,321.683,False,3633.6,2.6961,3830.59,323.578,False,-120.798,23.4934,22.425137172028528,0.08978572997449495,22.499157178630718,0.0008056069185513712,22.441835798645762,0.09171442122055766,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284207307653633,7.2098465,2.9278872,1.9616766,226.52315498918333,-39.05105423799269,2025052000310,41,60816.281154310185,i,226.5231005133703,-39.05103491572149,7.0295867919921875,3834.49,535.65,False,3523.67,15.9449,3597.72,539.912,False,-109.4,17.7316,22.44073097899826,0.15166935526421232,22.532511951715698,0.00491304665768724,22.509931607695215,0.16293708147747965,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284207424045584,7.2098927,2.9278877,1.9616777,226.52302197020973,-39.05102235066451,2025052000311,7,60816.281706903814,i,226.52298880934833,-39.050997686118805,9.019981384277344,4092.47,442.712,False,4030.11,22.6756,3922.61,441.003,False,-121.639,30.8509,22.37003624656206,0.11745191930998113,22.38670772063203,0.006108944739649043,22.416062142377044,0.1220648752544259,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284207575564665,7.209935,2.9278882,1.9616786,226.52290028787527,-39.05099317233288,2025052000312,40,60816.28221123776,i,226.5228513528842,-39.05100003985303,8.618592262268066,4325.08,494.902,False,4454.79,84.7887,4160.62,494.501,False,-139.972,24.4458,22.310014618089905,0.1242365501328562,22.27793190023801,0.02066498230175845,22.35210483845608,0.12904269833678772,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284207774793913,7.209981,2.9278886,1.9616796,226.52276897878983,-39.05096167635468,2025052000313,164,60816.28275687109,i,226.52273838949836,-39.05093816630253,5.949749946594238,4529.68,745.235,False,4300.32,112.249,4303.91,749.746,False,-168.845,14.5119,22.25983115214055,0.17862819741109698,22.31624810946488,0.028340404627102106,22.315342007766404,0.18913646341852583,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284208117154085,7.210108,2.9278898,1.9616824,226.52240595385248,-39.05087455084143,2025052000316,49,60816.28426395198,i,226.5224188383449,-39.05089167355343,5.775527000427246,4555.91,786.578,False,4911.39,7.47133,4132.99,793.298,False,-148.813,15.5212,22.253562122275575,0.18745238302724873,22.171988915691937,0.001651649213963388,22.359339052221607,0.20839931436824555,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284208295936361,7.210149,2.9278903,1.9616834,226.5222884181638,-39.050846326755135,2025052000317,134,60816.28475189184,i,226.5222389078233,-39.05083134961007,13.155640602111816,3935.51,294.279,False,4089.85,15.0299,3733.07,294.921,False,-104.219,20.8722,22.41249744665214,0.08118626424395421,22.370731523963162,0.0039900010408392365,22.469834646121654,0.08577561913169043,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284208519807463,7.2102327,2.927891,1.9616853,226.52204856010863,-39.05078870539067,2025052000319,49,60816.285747094415,i,226.52201786122075,-39.050748973249085,9.31122875213623,3433.44,366.603,False,3366.53,26.3842,3354.75,366.456,False,-96.6874,7.65431,22.560676362478706,0.11592867596920296,22.582043768228644,0.008509141458184443,22.585849596089105,0.11860035464906918,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284208694395159,7.210274,2.9278915,1.9616863,226.5219291278941,-39.0507600021767,2025052000320,126,60816.28624395413,i,226.52186608127667,-39.05072705081391,7.749406814575195,3310.77,423.058,False,3495.1,8.93858,3174.3,424.601,False,-119.249,9.28831,22.600177465454067,0.1387379370092037,22.541350954490134,0.0027767271824859453,22.645880060531812,0.1452303454302007,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284209606132050,7.2108297,2.927897,1.9616988,226.52033824244785,-39.05037691319094,2025052000327,73,60816.29285474647,r,226.5203412795245,-39.05039782151073,9.314550399780273,2876.85,306.143,False,2913.99,1.9693,2771.81,311.347,False,-233.188,6.68871,22.75270691762107,0.11553975128410592,22.738779860990775,0.0007337500641979821,22.79309133389781,0.12195665884835098,nan,nan
2025 KK27,nan,MBO,MBO,21165827729536843,745284209925947721,7.2109118,2.9278977,1.9617007,226.520103773423,-39.05032033490496,2025052000329,171,60816.29382987938,r,226.52010010403453,-39.05029954907232,10.800799369812012,2935.47,273.298,False,2890.62,5.01769,2605.73,275.606,False,-243.918,5.95305,22.730805895032887,0.10108416735843555,22.74752244796759,0.001884677914670669,22.860176475461294,0.11483745482947194,nan,nan
