provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KL28,nan,MBO,MBO,21165827729537100,745284205432799328,7.4212704,2.9319313,1.9687682,225.52292861256765,-39.37845342734148,2025052000296,49,60816.27380867624,i,225.52294482084744,-39.378425748767455,7.239258289337158,2211.95,305.819,False,2041.63,25.3722,2333.35,305.275,False,69.2534,17.2348,23.038061759620632,0.15011133524611936,23.12505740072207,0.01349290325952034,22.980050236091962,0.14204817083113908,26.798897207577404,0.27020256012433846
2025 KL28,nan,MBO,MBO,21165827729537100,745284205572784731,7.4213295,2.9319303,1.968768,225.52278354001356,-39.37843534518991,2025052000297,60,60816.27435135268,i,225.52274023151875,-39.37840262742305,9.923259735107422,2636.63,263.222,False,2508.47,5.57015,2696.49,262.285,False,87.0028,35.2758,22.847377075150085,0.10839201994840027,22.90147773403525,0.0024109172050672933,22.823002968843817,0.1056085227360027,26.551166925933906,0.4402181528835787
2025 KL28,nan,MBO,MBO,21165827729537100,745284205707526488,7.421403,2.931929,1.9687678,225.5226042856803,-39.37841299101062,2025052000298,61,60816.275022669506,i,225.52262017116612,-39.37837265407245,5.854442596435547,2350.07,386.656,False,2639.23,69.6541,2373.26,387.139,False,88.013,22.7997,22.972297972141742,0.17863570537782691,22.84630691011045,0.02865456103581783,22.96163669678647,0.17711116146629446,26.5386329325987,0.28125912507287204
2025 KL28,nan,MBO,MBO,21165827729537100,745284205886833043,7.4214625,2.9319282,1.9687675,225.52245870432628,-39.37839482669863,2025052000299,147,60816.27556749106,i,225.52243654364293,-39.37832268844515,7.186744689941406,2299.74,313.159,False,2093.89,3.99489,2230.29,311.213,False,94.113,12.9082,22.995803156901292,0.14784630518173802,23.097615398695233,0.0020714540410248835,23.029096638149092,0.15150282221463268,26.46587596832474,0.14891567072968534
2025 KL28,nan,MBO,MBO,21165827729537100,745284205989593101,7.4215155,2.9319274,1.9687674,225.5223283587385,-39.3783785562483,2025052000300,87,60816.27605568517,i,225.5222471103173,-39.37833586670681,5.081264019012451,1550.44,317.475,False,1652.93,19.0928,1574.06,315.716,False,78.2437,14.1115,23.423862630356435,0.22232019378948484,23.354363809704306,0.012541210873432268,23.407446752658004,0.2177707854671506,26.666376577964066,0.1958159773837019
2025 KL28,nan,MBO,MBO,21165827729537100,745284206132199543,7.421569,2.9319265,1.9687672,225.5221977554089,-39.378362246888976,2025052000301,103,60816.27654415411,i,225.52215380675477,-39.37830362884068,6.852514743804932,2341.66,340.56,False,2554.15,16.3094,2554.51,342.243,False,73.2875,18.7024,22.976190447176137,0.15790436404944297,22.8818840442572,0.006932915976460949,22.881730978023427,0.1454625845907443,26.737425254623382,0.27707144388821253
2025 KL28,nan,MBO,MBO,21165827729537100,745284206233387441,7.4216223,2.9319258,1.968767,225.5220676954062,-39.37834599868576,2025052000302,40,60816.277031280464,i,225.52201761845788,-39.378246258390426,6.073942184448242,2622.54,417.336,False,2825.77,166.748,2716.44,421.108,False,61.362,14.7189,22.85319468146693,0.17277783996025625,22.772157967252657,0.06406902918938405,22.814999731181018,0.16831301756375383,26.930251242809128,0.2604354886547137
2025 KL28,nan,MBO,MBO,21165827729537100,745284206559494192,7.421731,2.931924,1.9687667,225.5218014620963,-39.37831271775809,2025052000304,150,60816.27802847215,i,225.5218143859671,-39.37826830221807,5.875949382781982,1976.1,330.185,False,1961.25,26.4822,2019.9,331.521,False,46.7003,9.07098,23.16047771801097,0.1814148122799516,23.168667608512514,0.014660386996854118,23.136675313907936,0.1781990909183123,27.22670086316285,0.21089140398202597
2025 KL28,nan,MBO,MBO,21165827729537100,745284206660157827,7.421798,2.931923,1.9687665,225.52163725537957,-39.37829217692386,2025052000305,86,60816.2786430751,i,225.52162783830744,-39.37822899465985,6.884748935699463,2327.73,331.678,False,2550.02,31.7754,2336.19,332.151,False,5.88001,7.85957,22.982668499481683,0.1547064417913816,22.8836410250545,0.013529188834613024,22.978729625697973,0.15436603026799675,29.476554814682125,1.451259359371799
2025 KL28,nan,MBO,MBO,21165827729537100,745284206793851105,7.421851,2.9319222,1.9687662,225.5215075026762,-39.37827593849675,2025052000306,85,60816.27912987208,i,225.5215614871734,-39.37822663961809,5.903818130493164,2178.49,361.879,False,2267.59,24.0581,2176.65,360.508,False,-6.03072,10.608,23.054611078069662,0.18035663758718723,23.01108862517177,0.01151916744219731,23.05552854580248,0.17982523625511693,nan,nan
