provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KN28,nan,MBO,MBO,21165827729537102,745315056060727396,8.792397,2.5763757,1.6123419,228.36156609101624,-39.408956319838566,2025052700775,72,60823.17529632947,i,228.36157243675865,-39.40896774754942,16.6095027923584,5997.07,354.37,False,6752.56,4.20564,4928.82,327.103,False,-511.498,11.8011,21.955152236544713,0.06415672067463621,21.826328861057547,0.0006762198925948577,22.168142643585483,0.07205529498034582,nan,nan
2025 KN28,nan,MBO,MBO,21165827729537102,745315056175022424,8.792491,2.5763757,1.6123428,228.36143652296127,-39.408938852296565,2025052700776,34,60823.175785560736,i,228.36143599793456,-39.408924118329,16.959693908691406,5864.1,345.456,False,6214.25,5.33036,4862.38,325.004,False,-511.694,11.4605,21.979496562711006,0.0639610636266173,21.916528197530223,0.0009313054297215898,22.182877785181553,0.07257117206182866,nan,nan
2025 KN28,nan,MBO,MBO,21165827729537102,745315056577675816,8.792779,2.5763755,1.6123459,228.36104307215325,-39.40888575410796,2025052700779,34,60823.17727072349,i,228.3610261096488,-39.40890626311719,15.823848724365234,5437.35,339.023,False,5628.66,0.265797,4531.48,319.291,False,-607.837,11.9391,22.06153175734986,0.06769649735032074,22.023987430277394,5.127071208454773e-05,22.259399835818417,0.07650166918494396,nan,nan
2025 KN28,nan,MBO,MBO,21165827729537102,745315057635164520,8.793566,2.5763752,1.6123542,228.3599691507996,-39.408740396217446,2025052700787,3,60823.181324098354,i,228.3599700452379,-39.40872655817542,15.198298454284668,5243.82,344.646,False,5484.68,2.22544,4776.75,316.526,False,-129.065,11.6563,22.10088059732324,0.07135917104849471,22.052121730133397,0.0004405436104893772,22.202168719306595,0.07194509635370512,nan,nan
2025 KN28,nan,MBO,MBO,21165827729537102,745315058981535766,8.794536,2.576375,1.6123643,228.35864371378383,-39.40856013207233,2025052700797,11,60823.18632997041,i,228.35863160291592,-39.40854646840921,17.73221206665039,5867.02,329.613,False,6061.97,4.92333,4647.11,316.499,False,-619.126,11.9127,21.978956074687943,0.060997367253655004,21.94346550461283,0.000881798698299723,22.23204265038621,0.07394583418348781,nan,nan
2025 KN28,nan,MBO,MBO,21165827729537102,745315059790512183,8.795114,2.5763748,1.6123704,228.35785557075957,-39.4084524888876,2025052700803,18,60823.18930601212,i,228.3578563170654,-39.40847144924647,14.208620071411133,5134.61,364.122,False,5202.92,4.35566,4217.77,343.418,False,-539.751,11.9302,22.123731373185713,0.07699522630703767,22.109382145694,0.0009089314821376931,22.337292761332197,0.0884024860160225,nan,nan
2025 KN28,nan,MBO,MBO,21165827729537102,745315060088832424,8.795373,2.5763745,1.6123731,228.3575008743885,-39.40840393473014,2025052700805,75,60823.19064699408,i,228.35749617740245,-39.40842152006424,15.273279190063477,5495.79,357.779,False,5603.96,3.48232,4835.02,340.074,False,-618.7,11.6238,22.04992466850043,0.07068203148749919,22.028762440784547,0.0006746802266966843,22.189004308422998,0.07636590090049539,nan,nan
2025 KN28,nan,MBO,MBO,21165827729537102,745315060223049846,8.795468,2.5763745,1.6123741,228.3573709170584,-39.40838612779979,2025052700806,75,60823.19113763813,i,228.35740855655914,-39.408376149183546,15.446097373962402,5647.36,372.997,False,6096.86,10.9716,4835.06,323.049,False,-532.711,11.0023,22.02038634274488,0.07171074042439632,21.93723446787537,0.001953835770216231,22.188995317419945,0.07254222349954594,nan,nan
2025 KN28,nan,MBO,MBO,21165827729537102,745319428316463124,9.008141,2.5763056,1.6146747,228.0848681866129,-39.36871444192348,2025052800583,32,60824.269487192854,g,228.08478589185938,-39.36874659600718,13.188482284545898,2526.58,190.611,False,2668.68,1.89265,7073.24,190.457,False,4624.28,4.4353,22.893667331396674,0.08191042797325152,22.83425877558902,0.0007700131486269857,21.77595397840068,0.029234983443639232,22.237389743630615,0.0010413655477584287
2025 KN28,nan,MBO,MBO,21165827729537102,745319428452778506,9.008241,2.5763056,1.6146759,228.08474217394357,-39.36869387122209,2025052800584,36,60824.26997758447,g,228.08474238268354,-39.36869413569943,14.746454238891602,2549.36,171.934,False,2521.65,2.55697,6406.06,169.652,False,3829.06,4.34064,22.883922035865723,0.07322424725899743,22.895788024021236,0.0011009437796103807,21.88352248505405,0.028753603479394728,22.442269554285325,0.001230795548148451
