provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KT25,nan,MBO,MBO,21165827729536340,745284205713818033,8.892222,2.3504198,1.3775067,228.31548808277992,-39.51614352492824,2025052000298,73,60816.275022669506,i,228.31548945473853,-39.51607909874728,6.9460835456848145,3054.99,428.786,False,3057.05,57.3925,3114.91,421.322,False,51.1536,27.5079,22.687475520994724,0.15238953235355276,22.686743627790637,0.020383414116334184,22.666386273185825,0.14685642678624167,27.127809517897074,0.5838557582352489
2025 KT25,nan,MBO,MBO,21165827729536340,745284206118044210,8.892341,2.3504202,1.377508,228.3150664191904,-39.51605671318272,2025052000301,76,60816.27654415411,i,228.3150629753419,-39.515967330782196,9.209999084472656,2995.2,320.813,False,2986.49,17.7382,3148.66,313.134,False,108.822,35.0288,22.708935450054778,0.1162921614623153,22.712097341328988,0.006448709079404899,22.654685612834207,0.10797638777976656,26.30820825554673,0.3494885033070719
2025 KT25,nan,MBO,MBO,21165827729536340,745284207168192644,8.892663,2.3504214,1.377512,228.3139247785481,-39.51582114912164,2025052000309,31,60816.28066749245,i,228.3139642167923,-39.51571952156634,8.509174346923828,3156.67,360.007,False,3021.5,7.85299,3533.12,354.16,False,298.951,32.57,22.651927069661916,0.1238243563887701,22.69944350353881,0.0028218685162847454,22.529603993488358,0.10883421041436883,25.211000014570597,0.11828837898540503
2025 KT25,nan,MBO,MBO,21165827729536340,745284208266576306,8.892982,2.3504226,1.3775158,228.31279484870757,-39.515587250713146,2025052000317,78,60816.28475189184,i,228.3127995520184,-39.51547670929897,8.727410316467285,2786.23,316.812,False,2506.97,3.97228,3469.32,307.913,False,717.597,58.3415,22.787457597448565,0.12345508936323844,22.902127170325873,0.0017203429995190284,22.549389079228746,0.0963624800628791,24.260298486852463,0.0882716613880644
2025 KT25,nan,MBO,MBO,21165827729536340,745284210523636218,8.8938875,2.350426,1.3775268,228.3095782076124,-39.51491734531757,2025052000334,31,60816.29639670024,r,228.3095792163697,-39.514842303651506,10.509690284729004,2608.84,242.93,False,2578.6,10.1532,2708.33,238.109,False,92.6221,20.7954,22.858881351765667,0.10110159280900352,22.871540013061246,0.004275070417676137,22.818246017644057,0.09545496578958909,26.4832134316936,0.2437681627030869
2025 KT25,nan,MBO,MBO,21165827729536340,745284215488118994,8.895923,2.3504338,1.3775522,228.30235551312632,-39.51339181014986,2025052000371,28,60816.3226558567,z,228.30228013837498,-39.513238513541936,6.324062824249268,3959.83,621.976,False,4506.44,19.7652,3263.23,590.091,False,-415.533,107.377,22.405808624653385,0.17053809448417198,22.265416031309393,0.004762027930144996,22.61588079413215,0.1963340525637455,nan,nan
2025 KT25,nan,MBO,MBO,21165827729536340,745288582399262932,8.976938,2.3507042,1.3783855,228.06375435825615,-39.46400887020421,2025052100139,34,60817.223832008545,g,228.06373463185727,-39.463963028228896,11.944307327270508,1884.88,157.506,False,2156.27,7.51914,2521.3,154.093,False,599.518,4.79518,23.211790731518185,0.09072724133374727,23.06574213857217,0.003786076047706693,22.8959386694302,0.06635638292861765,24.455494422922897,0.008684143458925547
2025 KT25,nan,MBO,MBO,21165827729536340,745288582534004860,8.976988,2.3507044,1.3783861,228.0636213184388,-39.46398028622059,2025052100140,35,60817.224314639956,g,228.06359947533906,-39.46397493249341,12.466854095458984,2111.86,167.501,False,nan,nan,3110.96,164.383,False,934.039,5.01338,23.08833713365395,0.08611456179372727,nan,nan,22.667763945915,0.0573702561320234,23.97408747278844,0.005827602723950808
2025 KT25,nan,MBO,MBO,21165827729536340,745288585372500189,8.979502,2.3507118,1.3784137,228.05685672140837,-39.46251244534426,2025052100161,73,60817.24886228235,r,228.0568391623515,-39.46242552910579,11.034113883972168,3034.3,278.069,False,3579.75,19.2601,2603.4,275.899,False,-333.309,6.67859,22.69485368979999,0.09949892104525421,22.51536825560514,0.005841577550883465,22.861147789444956,0.11506242992979317,nan,nan
2025 KT25,nan,MBO,MBO,21165827729536340,745288585507242044,8.979551,2.3507118,1.3784143,228.05672303822925,-39.46248315162276,2025052100162,74,60817.24934808076,r,228.0566928266619,-39.46240614282283,11.227951049804688,2705.25,239.855,False,2689.21,2.23648,2427.33,237.063,False,-308.132,8.301,22.81948148572484,0.09626439432714004,22.825938221927025,0.0009029519226542861,22.9371779063466,0.10603744751144237,nan,nan
