provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KV25,nan,MBO,MBO,21165827729536342,745284207706112358,7.6187243,2.8542702,1.8903569,228.3818455419292,-40.55517328117914,2025052000313,33,60816.28275687109,i,228.38183353408087,-40.55516675112798,6.133976459503174,5304.19,877.583,False,4941.35,8.99291,5692.91,853.189,False,-104.186,99.9761,22.088452330933347,0.17963603392565433,22.165385937481553,0.001975963693791738,22.011664175089408,0.1627178700303328,nan,nan
2025 KV25,nan,MBO,MBO,21165827729536342,745284211596854645,7.6192837,2.8542774,1.8903704,228.3778017814004,-40.55316543541691,2025052000342,30,60816.300334970816,r,228.37783522390396,-40.553156838419255,6.611728191375732,6052.62,905.604,False,5840.32,6.09238,4740.61,897.444,False,-158.018,40.5877,21.945141457539165,0.16244982093338914,21.983908424132444,0.0011325950956615502,22.210414460571986,0.20554051857782657,nan,nan
2025 KV25,nan,MBO,MBO,21165827729536342,745288582667173957,7.657471,2.8546538,1.891067,228.17285499899427,-40.449309110782266,2025052100141,33,60817.22514724822,g,228.17284572793565,-40.44926654823758,12.50761604309082,2277.31,180.397,False,2286.62,4.13591,2024.89,178.732,False,-226.105,5.01991,23.006444589064827,0.08600653952964098,23.002014949996973,0.001963818664052759,23.13399640313377,0.09583522863632231,nan,nan
2025 KV25,nan,MBO,MBO,21165827729536342,745288584543601210,7.65789,2.8546572,1.8910748,228.17097872345724,-40.44836220814896,2025052100155,28,60817.2333252631,g,228.1709936052818,-40.448351743404814,10.585899353027344,1916.55,179.829,False,2047.55,5.29811,2139.92,173.119,False,311.614,4.87627,23.193699587715862,0.10187412031623103,23.121913684646294,0.002809381805357836,23.0740061952935,0.08783579595133015,25.16595754948588,0.016990066083624734
2025 KV25,nan,MBO,MBO,21165827729536342,745288585080995934,7.6580415,2.8546584,1.8910776,228.17030028035452,-40.4480191106534,2025052100159,29,60817.23628496645,g,228.17030408652204,-40.44799576949197,15.024420738220215,2494.45,165.86,False,2588.55,1.55216,2360.76,162.952,False,-98.2559,5.57201,22.907563013384895,0.07219235146380217,22.867358584122975,0.0006510348660618119,22.967370400507384,0.07494318812570963,nan,nan
2025 KV25,nan,MBO,MBO,21165827729536342,745288585640411358,7.6587415,2.854664,1.8910909,228.16715767687865,-40.44642486101722,2025052100163,72,60817.25000592864,r,228.16719981865654,-40.446451969186505,11.832616806030273,3620.91,303.875,False,4223.81,3.50874,9697.9,295.525,False,6221.13,10.4963,22.502955700633862,0.09111745313450113,22.33573904978845,0.000901926446046008,21.433305702341315,0.03308573736171977,21.915326828744302,0.0018318557661304972
2025 KV25,nan,MBO,MBO,21165827729536342,745288589131645015,7.659703,2.8546717,1.8911096,228.1628329659929,-40.44421716559043,2025052100189,75,60817.26893247643,i,228.16279365038497,-40.44420116966057,9.792154312133789,4268.95,427.998,False,4839.55,7.43745,4246.18,411.755,False,231.127,17.2322,22.324197279906933,0.10885414154049615,22.187987590947664,0.001668566083261238,22.330003954012312,0.10528458468189619,25.490373299554022,0.08094953939825837
2025 KV25,nan,MBO,MBO,21165827729536342,745288589375439400,7.659755,2.8546722,1.8911107,228.16259708117,-40.4440962827923,2025052100191,28,60817.26996681998,i,228.16258469737085,-40.44405929496493,11.732931137084961,5119.02,432.041,False,5276.77,3.49342,4940.53,408.22,False,-199.742,18.6408,22.12703293000456,0.09163522269511455,22.094079583784513,0.0007187981348850349,22.165566195285344,0.08971087193186668,nan,nan
2025 KV25,nan,MBO,MBO,21165827729536342,745288589801161216,7.659836,2.854673,1.8911122,228.16223466591973,-40.44391046233908,2025052100194,72,60817.2715550652,i,228.1621537894657,-40.443888082991755,12.074360847473145,5011.53,424.647,False,5807.71,5.51649,4983.67,407.445,False,-33.5694,19.4666,22.150074210361865,0.09199877988423263,21.989987701461033,0.0010312933906108722,22.156126823905616,0.08876546858733578,nan,nan
2025 KV25,nan,MBO,MBO,21165827729536342,745288590988673881,7.660069,2.8546748,1.8911169,228.1611842479589,-40.44337123011257,2025052100203,33,60817.27616330091,i,228.1611877082921,-40.443364209398084,13.372261047363281,5660.98,418.732,False,5898.73,1.99556,4774.14,382.531,False,-503.867,21.4469,22.017770952387227,0.0803098559309063,21.973103708965336,0.00036730818366657365,22.202762092925994,0.08699530189943709,nan,nan
