provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 MC214,nan,MBO,MBO,21165827764794435,745350157752598662,7.9195185,3.408117,2.476236,228.28627821558848,-40.5258966771419,2025060400159,68,60831.134517216386,z,228.2859737967681,-40.52581867725035,6.318516731262207,4082.89,657.239,False,4258.6,3.74516,3164.96,583.778,False,-463.494,37.5235,22.372580829944233,0.17477527219635242,22.326832850705152,0.0009548339414427667,22.649079449388203,0.2002644375911874,nan,nan
2025 MC214,nan,MBO,MBO,21165827764794435,745416141081411791,10.907701,3.4148948,2.5689461,225.7643937670472,-39.45117488316185,2025061900253,96,60846.18571192013,g,225.7644295629444,-39.451211281951004,7.89403772354126,1348.03,167.832,False,1551.09,14.7745,1195.37,170.726,False,-144.57,2.27018,23.57575108290555,0.1351759794306874,23.423407529118165,0.01034189492209516,23.70624412388797,0.15506780143184848,nan,nan
2025 MC214,nan,MBO,MBO,21165827764794435,745416141232930844,10.907797,3.414895,2.56895,225.76433260308195,-39.45113736264193,2025061900254,129,60846.186180225355,g,225.76426033555995,-39.45105361885481,9.84200382232666,1731.54,177.606,False,2024.05,12.0977,1540.92,179.622,False,-113.669,2.13922,23.303918654102556,0.1113651795975846,23.13444688217305,0.006489420071964113,23.43054973898304,0.12656211647261456,nan,nan
2025 MC214,nan,MBO,MBO,21165827764794435,745416141340934321,10.907892,3.4148953,2.5689535,225.7642719678392,-39.45110015851961,2025061900255,79,60846.186645377835,g,225.76435298885298,-39.451003333089574,9.153560638427734,1703.67,186.752,False,1983.22,14.8066,1533.63,188.928,False,-116.462,2.45004,23.321536282094453,0.11901565519612635,23.156572782358225,0.008106040434758209,23.435698508104778,0.13375192339750414,nan,nan
2025 MC214,nan,MBO,MBO,21165827764794435,745416141477773426,10.907988,3.4148955,2.5689573,225.7642110788988,-39.451062790769946,2025061900256,84,60846.18711265712,g,225.76417332027825,-39.451049609323974,12.11888599395752,1804.66,146.636,False,1818.83,2.41249,1726.6,148.144,False,-77.449,2.88908,23.259011498503554,0.08822050293602889,23.250519753989355,0.0014401168232406562,23.307020673914423,0.09315724750590963,nan,nan
2025 MC214,nan,MBO,MBO,21165827764794435,745416141728907468,10.90818,3.414896,2.5689647,225.76408867075332,-39.45098764429235,2025061900258,51,60846.188051312194,g,225.7640433641051,-39.45097625134772,10.382660865783691,1642.81,155.666,False,1603.17,1.14591,1593.97,157.771,False,-59.5582,2.80206,23.361031616782405,0.10287994741897451,23.38755102688054,0.0007760599107056205,23.39379966167971,0.10746606627989089,nan,nan
2025 MC214,nan,MBO,MBO,21165827764794435,745416141848969275,10.908276,3.4148962,2.5689685,225.7640280640265,-39.45095042579538,2025061900259,24,60846.188516572714,g,225.76395846931362,-39.45093939186173,9.019740104675293,1711.63,187.616,False,2013.47,4.65796,1628.56,190.831,False,-39.8677,2.05963,23.316475272342167,0.11901023018701536,23.140137107909165,0.0025117413314522928,23.37049055185907,0.1272241190645602,nan,nan
2025 MC214,nan,MBO,MBO,21165827764794435,745416141992100375,10.908373,3.4148962,2.5689723,225.76396616129105,-39.450912403228045,2025061900260,41,60846.188991285606,g,225.76394062802913,-39.45092642142516,11.048733711242676,1671.72,151.444,False,1701.76,5.1747,1563.5,152.762,False,-22.075,2.5946,23.342091173348507,0.09835871852945802,23.32275421548082,0.0033014989606460435,23.414755286052618,0.10608201276258959,nan,nan
2025 MC214,nan,MBO,MBO,21165827764794435,745416142111637766,10.908469,3.4148965,2.568976,225.7639053084796,-39.45087501747861,2025061900261,13,60846.189458533816,g,225.76387548171988,-39.450866312400045,9.134621620178223,1455.71,158.282,False,1381.83,0.388151,1388.97,159.32,False,5.53537,3.24228,23.49231286563449,0.11805407674250132,23.548863491700452,0.0003049793362195268,23.543267858836135,0.12453796967739258,29.54213338571817,0.6359576450459764
2025 MC214,nan,MBO,MBO,21165827764794435,745416142289371449,10.908566,3.4148967,2.5689797,225.7638428994494,-39.450836667318974,2025061900262,96,60846.189937692834,g,225.76385037428167,-39.45082117189986,9.462422370910645,1385.94,146.13,False,1438.65,9.90962,1370.89,147.46,False,13.6002,3.15208,23.54563897279717,0.11447728156370765,23.505112106457346,0.0074787010991427426,23.557493467233613,0.11678739091566037,28.566136786480424,0.25163802856210166
