provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 MM118,nan,MBO,MBO,21165827764140109,745424936774402497,12.795426,2.9647572,2.1154282,226.65834201928695,-39.37045872565661,2025062100250,101,60848.02981565961,r,226.65835650233666,-39.370461229402835,35.97290802001953,5531.1,153.035,False,5348.97,1.39075,5542.34,152.184,False,5.60701,13.0622,22.04297120481859,0.030040252596703485,22.07932455104906,0.00028229502520976923,22.04076711945365,0.02981262237111632,29.528171695107908,2.529352238628132
2025 MM118,nan,MBO,MBO,21165827764140109,745424936909144113,12.795536,2.9647577,2.1154318,226.6582634178573,-39.37045606354081,2025062100251,102,60848.03025114289,r,226.65827331755486,-39.37045525933174,40.21588134765625,5581.13,137.451,False,5495.82,0.650193,5651.21,136.469,False,-5.68468,22.9928,22.03319467640302,0.02673930451134718,22.04991878422635,0.00012844999958140584,22.019646392353977,0.026219044910662147,nan,nan
2025 MM118,nan,MBO,MBO,21165827764140109,745424937043361956,12.795645,2.964758,2.1154356,226.6581849953401,-39.37045340274488,2025062100252,102,60848.0306865646,r,226.6581884522409,-39.370453298370805,39.06939697265625,5381.74,135.88,False,5201.79,0.314193,5393.91,134.803,False,-30.2714,29.3271,22.07269317143816,0.02741303637467632,22.10961795326309,6.557948783702237e-05,22.070240729139506,0.027134395384965038,nan,nan
2025 MM118,nan,MBO,MBO,21165827764140109,745424937148219667,12.795758,2.9647584,2.1154394,226.6581040475845,-39.3704506513,2025062100253,46,60848.03113540527,r,226.6581221921588,-39.37044988224055,30.661603927612305,5588.57,178.593,False,5200.37,0.285895,5602.93,177.616,False,-31.6067,29.8956,22.031748296437126,0.034696692469376525,22.10991436488799,5.968931717775236e-05,22.028961974288805,0.03441844049067327,nan,nan
2025 MM118,nan,MBO,MBO,21165827764140109,745424937441820706,12.795983,2.964759,2.115447,226.65794214803603,-39.37044513310776,2025062100255,94,60848.03203380895,r,226.65795637401754,-39.370443734793795,32.96028518676758,5572.73,167.49,False,5141.11,0.680454,5616.85,166.668,False,-19.7277,17.2424,22.034829999049528,0.03263211451773407,22.122357788374135,0.0001437031264065537,22.02626791602151,0.032216896985539874,nan,nan
2025 MM118,nan,MBO,MBO,21165827764140109,745424937825075254,12.796318,2.9647603,2.1154583,226.65770235412896,-39.37043692273822,2025062100258,57,60848.03336336161,r,226.65771558032083,-39.37042971364908,27.03173828125,5584.18,205.704,False,5189.22,0.121046,5522.67,206.767,False,-44.4315,7.56263,22.032601443689146,0.03999517700613326,22.112244746917455,2.5326353163441062e-05,22.04462728212372,0.04064961679214388,nan,nan
2025 MM118,nan,MBO,MBO,21165827764140109,745424937940942908,12.796432,2.9647605,2.115462,226.6576208577562,-39.37043412222578,2025062100259,22,60848.03381525183,r,226.6576197956683,-39.37043096819151,31.843212127685547,5599.78,173.629,False,5168.04,0.106128,5648.63,173.934,False,-36.2568,18.1996,22.029572628900553,0.03366476831999891,22.116685325827444,2.229607564315202e-05,22.020142201908598,0.0334322572350185,nan,nan
2025 MM118,nan,MBO,MBO,21165827764140109,745424938230874430,12.79665,2.9647613,2.1154695,226.65746417230315,-39.37042872346964,2025062100261,63,60848.03468406972,r,226.65746939168665,-39.37044224355447,27.805648803710938,5521.03,196.324,False,5113.54,0.0219658,5530.87,196.397,False,-31.0189,13.0435,22.044949774744243,0.038608029393817356,22.128195847931458,4.663904845745302e-06,22.043016350143787,0.03855366919378223,nan,nan
2025 MM118,nan,MBO,MBO,21165827764140109,745424938679664961,12.797027,2.9647624,2.1154823,226.65719352387697,-39.370419353071085,2025062100264,151,60848.03618528384,r,226.65721208641477,-39.37042593194002,24.045377731323242,5271.64,218.529,False,5104.27,1.20787,5235.68,217.737,False,-11.6202,9.78346,22.095135610209784,0.045007786664252855,22.130165897976937,0.00025692766874536453,22.102567226032587,0.045152670817980335,nan,nan
2025 MM118,nan,MBO,MBO,21165827764140109,745424938791338351,12.797143,2.964763,2.1154861,226.65711039763212,-39.37041646362616,2025062100265,108,60848.036646992834,r,226.6571033005893,-39.37043435492895,20.327068328857422,5969.36,292.924,False,5698.08,0.924875,5929.92,294.014,False,-21.6281,5.023,21.960180597113954,0.05327844383988552,22.01067862921054,0.00017622958634968104,21.967377928361106,0.05383237158825962,nan,nan
