provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 OZ84,nan,MBO,MBO,21165827797038170,745504130686517257,35.1577,1.6206844,0.9218495,7.560168384192255,-42.96378517083794,2025070900467,5,60866.22371302788,g,7.559945114543659,-42.963808651034455,5.443789005279541,5607.83,1051.81,False,6701.15,0.213897,6782.02,1086.29,False,1430.56,9.04562,22.028012885807264,0.203641737576655,21.8346266673552,3.4656100147297466e-05,21.82160233145561,0.17390459197727295,23.51123476168921,0.00686525324892896
2025 OZ84,nan,MBO,MBO,21165827797038170,745504130820734988,35.157433,1.6206849,0.9218407,7.560868291510522,-42.96388914252093,2025070900468,5,60866.225675075526,i,7.560793979337378,-42.963891160960394,10.317754745483398,7937.45,766.386,False,8282.77,0.445219,8193.11,783.89,False,68.8483,12.4483,21.65079746683852,0.10483127348214552,21.60456105688244,5.836096205554105e-05,21.61637798916302,0.10387969073184483,26.805266992581057,0.19630943619332458
2025 OZ84,nan,MBO,MBO,21165827797038170,745504130954952714,35.157375,1.6206849,0.9218388,7.561023046075234,-42.963912130724935,2025070900469,5,60866.22610943747,i,7.56096633194612,-42.96382670646283,11.6896390914917,8207.05,711.551,False,8782.63,1.7728,8148.21,718.014,False,-72.0172,13.3551,21.61453232760451,0.09413330346285004,21.540938547201165,0.00021915908281636894,21.622344471853424,0.09567423693592589,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745504131089170443,35.15732,1.620685,0.9218369,7.561177776269861,-42.96393511498906,2025070900470,5,60866.22654332443,i,7.561153494298966,-42.96393773764165,13.038497924804688,9054.3,692.636,False,8909.43,0.359598,8946.13,701.257,False,-131.614,15.4038,21.507862823263896,0.08305666736211605,21.52537523808372,4.382194968202249e-05,21.520912002223938,0.08510720774113646,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745504131223388169,35.157257,1.6206851,0.92183495,7.561332482449943,-42.96395809533271,2025070900471,5,60866.22697763004,i,7.561282839846468,-42.963946142342316,11.197761535644531,7977.1,700.18,False,8536.59,1.99521,8062.61,707.696,False,-109.327,15.1344,21.645387395831868,0.09529913860786765,21.571788961396994,0.00025376313360499523,21.633810886258594,0.09530054966035915,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745508514111684619,35.0315,1.6208981,0.91772383,7.906138947869407,-43.00642440210846,2025071000358,21,60867.19094554152,z,7.906049553099186,-43.0064343846054,5.177920818328857,6217.3,1378.84,False,11053.2,61.8086,5329.93,1405.81,False,-67.2781,14.498,21.915995474983944,0.24078885022238708,21.291279909935895,0.006071349029897364,22.08319620091928,0.28637127078398433,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745508514245902349,35.03144,1.6208982,0.91772187,7.906290447747003,-43.00644819960354,2025071000359,21,60867.1913807708,z,7.906218340639176,-43.00624563594091,5.110225200653076,8036.97,1446.66,False,nan,nan,6504.09,1487.25,False,-329.447,15.442,21.63726910293078,0.1954332457503149,nan,nan,21.86703367069696,0.2482685832020304,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745508514380120077,35.031384,1.6208984,0.91771996,7.9064422701656945,-43.00647205020683,2025071000360,21,60867.19181640282,z,7.906383511214286,-43.006437306490184,6.130573749542236,7550.71,1347.47,False,9471.21,33.3208,5701.09,1396.93,False,-392.809,13.8457,21.70503052899938,0.1937562083016512,21.45898633924164,0.003819744249039441,22.010105287185596,0.2660364204734312,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745517342291656718,34.748734,1.6214571,0.9090202,8.603972271816886,-43.10251029959567,2025071200597,38,60869.25676839242,z,8.603988846491555,-43.102521453968585,5.7159528732299805,6717.74,1171.88,False,nan,nan,7098.39,1190.97,False,-177.599,16.4895,21.831941984325603,0.1894018679708265,nan,nan,21.77210033736262,0.182165137596937,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745517342425874448,34.74867,1.6214572,0.9090183,8.604108251332297,-43.10253446929492,2025071200598,38,60869.25720270584,z,8.604181151041498,-43.10250761962091,6.538011074066162,8795.76,1351.21,False,10867.8,41.2672,9274.43,1380.23,False,-223.377,13.8752,21.53931660206626,0.16679145564583492,21.309645925755053,0.004122756622728131,21.48178196740546,0.16158035708732388,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745517357056131102,34.73714,1.6214803,0.90869504,8.627490089896318,-43.10662502939565,2025071200707,39,60869.33279067285,r,8.627456405013094,-43.10659450272634,17.55329704284668,6795.79,383.667,False,7175.77,33.7459,6864.12,383.543,False,48.8253,12.8345,21.81940011860885,0.061296941429062904,21.76032872174974,0.005105953009127923,21.808537813125913,0.06066713770693112,27.178387736526357,0.28540289854061984
2025 OZ84,nan,MBO,MBO,21165827797038170,745517357190348830,34.737076,1.6214805,0.9086932,8.627623162181628,-43.10664777368749,2025071200708,39,60869.333225022536,r,8.627578119217317,-43.10663803109436,16.13283920288086,6954.0,431.605,False,6647.65,11.3963,6958.75,433.665,False,86.0431,11.1727,21.7944132841319,0.0673869983581948,21.843329651716562,0.0018613158085927356,21.79367191421251,0.0676624107079526,26.5632098971706,0.14098289154622445
2025 OZ84,nan,MBO,MBO,21165827797038170,745521726523703307,34.612103,1.621764,0.9050504,8.909509899805538,-43.14819023443658,2025071300494,57,60870.21594924244,g,8.909457816048556,-43.14809377909237,5.6752495765686035,4494.1,751.89,False,5353.08,49.7329,4310.4,776.546,False,-98.1722,4.48202,22.26839314678397,0.18165020652870448,22.07849064960807,0.01008705416532314,22.313706089491166,0.19560229867946544,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745521726792138762,34.61197,1.6217643,0.9050467,8.909775110816627,-43.1482406545732,2025071300496,57,60870.2168190862,g,8.90964182628664,-43.14817940089963,5.4781317710876465,4815.5,876.345,False,5513.11,73.9119,5072.02,921.534,False,-163.43,4.29515,22.19339653200946,0.19758684717061262,22.04650838242354,0.014556000416061378,22.13704760234913,0.19726712831410206,nan,nan
2025 OZ84,nan,MBO,MBO,21165827797038170,745521727060574226,34.611595,1.6217651,0.9050361,8.910529651831661,-43.14838412109726,2025071300498,57,60870.21929665757,i,8.910506575937008,-43.14835867374442,14.630399703979492,8902.79,606.483,False,8879.72,5.92117,9090.87,618.642,False,-242.117,6.56063,21.526184671960014,0.07396338861217623,21.529001854452222,0.000723990069089396,21.5034863675754,0.07388534208541904,nan,nan
