provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2001 YV71,nan,MBO,MBO,21163611761619286,745200689694114120,13.753372,3.250695,2.5105636,272.00683229897186,-23.333417888280767,2025050100647,115,60797.28074399984,g,272.0068787132971,-23.33352102680459,6.5610456466674805,1244.02,185.791,False,1247.12,4.75525,2074.25,186.531,False,1076.94,4.25185,23.662931576641146,0.1621517439018664,23.660229394150353,0.004139895986785475,23.107847253091563,0.09763696100830382,23.81952128920895,0.004286578521115873
2001 YV71,nan,MBO,MBO,21163611761619286,745200689784816056,13.753266,3.2506948,2.5105577,272.00679679905545,-23.33343135564096,2025050100648,32,60797.28124434253,g,272.00674902332327,-23.333446056184826,6.7421698570251465,1293.16,193.129,False,1382.91,16.632,1994.99,195.835,False,769.425,3.85688,23.620869314905757,0.16215096319157155,23.548015180475467,0.013057945982086075,23.150148197558224,0.10657956079434631,24.18458428420615,0.005442446326918994
2001 YV71,nan,MBO,MBO,21163611761619286,745200689950490694,13.753167,3.2506948,2.5105522,272.0067632116276,-23.33344409300704,2025050100649,92,60797.281717596794,g,272.0068028895332,-23.333409620645952,7.8276686668396,1317.24,164.154,False,1311.37,9.10123,2382.95,164.286,False,789.74,4.76226,23.600837732414586,0.13530408265141955,23.605686893644386,0.007535275776321312,22.95721269748902,0.07485312611930339,24.15628967491672,0.006547165040606638
2001 YV71,nan,MBO,MBO,21163611761619286,745200690096767178,13.753064,3.2506945,2.5105464,272.0067287675888,-23.33345715072292,2025050100650,115,60797.28220231854,g,272.0067928442647,-23.33346891835644,7.91163444519043,1337.31,164.643,False,1279.07,14.595,1527.19,163.359,False,704.672,3.91732,23.584419722075253,0.13367047577549648,23.63276426339922,0.012388939513700814,23.44026736254132,0.11613799229541012,24.28003246642314,0.0060356821066688895
2001 YV71,nan,MBO,MBO,21163611761619286,745200690365202599,13.752853,3.250694,2.5105348,272.0066578057768,-23.33348403796592,2025050100652,115,60797.28320126145,g,272.0066420165549,-23.333463934805224,6.954536437988281,1143.31,160.554,False,nan,nan,1743.85,162.296,False,445.616,4.63169,23.754589939156926,0.15246895646216851,nan,nan,23.296227200999667,0.10104690842299836,24.777598066687002,0.011285038194373478
2001 YV71,nan,MBO,MBO,21163611761619286,745200690458001690,13.7527485,3.2506938,2.5105288,272.00662228220506,-23.333497490517495,2025050100653,36,60797.283701374006,g,272.0066958245269,-23.333446334472743,6.395176410675049,1129.74,174.395,False,1284.42,1.58668,1872.07,172.079,False,585.367,3.87937,23.767553744830877,0.16760225512445365,23.62823231423588,0.0013412403433267553,23.219194821794105,0.09979990066603577,24.481429403138044,0.007195438760556822
2001 YV71,nan,MBO,MBO,21163611761619286,745200690601132595,13.752647,3.2506936,2.510523,272.0065883172616,-23.333510348322257,2025050100654,53,60797.28417959226,g,272.00658451807595,-23.333486429819796,9.510392189025879,1484.03,154.776,False,1444.16,3.65827,1825.28,151.761,False,333.033,6.3159,23.471393277585236,0.11323619102745022,23.500961694703186,0.002750329578355393,23.246676244663973,0.09027240272646894,25.09378186031057,0.020590756314782917
2001 YV71,nan,MBO,MBO,21163611761619286,745200691035767582,13.752326,3.250693,2.5105052,272.00647999876026,-23.33355132416045,2025050100657,114,60797.28570343807,g,272.0064984672962,-23.33350200251348,8.856149673461914,1319.34,149.982,False,1473.71,3.73213,1527.57,150.339,False,315.973,5.72996,23.599108203977828,0.1234260204716795,23.478969952587967,0.002749597155663327,23.43999723652386,0.10685500889010188,25.150875093701174,0.019689103639153053
2001 YV71,nan,MBO,MBO,21163611761619286,745200691271697012,13.752112,3.2506926,2.5104933,272.0064081891608,-23.33357846450892,2025050100659,52,60797.28671342708,g,272.0064200974387,-23.333579057815015,9.739712715148926,1410.71,140.467,False,1300.07,13.25,1628.07,138.348,False,253.733,5.26115,23.526405667797498,0.10810875837546226,23.615083202944106,0.01106556209080044,23.370817351450558,0.09226227694816831,25.389057606797945,0.022512723486703103
2001 YV71,nan,MBO,MBO,21163611761619286,745200691438420595,13.752011,3.2506924,2.5104878,272.0063740552948,-23.3335913585286,2025050100660,114,60797.28719301775,g,272.0064415786312,-23.333561831161393,9.08547306060791,1243.44,137.93,False,1288.5,3.93939,1520.09,136.434,False,243.815,5.66802,23.663437966165567,0.12043652594974186,23.62478894278269,0.003319470925063252,23.44532676944221,0.09744906085820478,25.43234893714419,0.025240342938961737
