provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2003 TJ63,nan,MBO,MBO,21163620267602762,745200677287886918,24.039572,1.8329781,0.9970899,269.44933307467466,-22.096951992432672,2025050100555,4,60797.20146763847,u,269.449416063997,-22.0969958201937,5.932796955108643,2350.32,412.374,False,3531.2,100.451,2333.11,405.271,False,64.5101,12.0794,22.972182477876988,0.19049719229362924,22.53019422546921,0.030885615400551906,22.98016191221263,0.18859692553627538,26.875930690026546,0.2033021451161111
2003 TJ63,nan,MBO,MBO,21163620267602762,745200678360055852,24.038036,1.8329669,0.9970435,269.4498519020549,-22.0972101936649,2025050100563,1,60797.20628367286,u,269.4498602734756,-22.097243466639696,6.5466461181640625,3088.32,465.511,False,3271.83,21.106,3049.53,458.575,False,76.6982,14.3306,22.67569424111359,0.1636560072731095,22.613023148541615,0.00700389346876215,22.689417714264046,0.1632682703784927,26.688037121349915,0.20286332339430907
2003 TJ63,nan,MBO,MBO,21163620267602762,745200680378564659,24.035168,1.8329461,0.99695706,269.45081399810766,-22.09768995701521,2025050100578,11,60797.21525600518,u,269.4507919846236,-22.097709057252757,6.7819600105285645,2632.56,383.475,False,nan,nan,2509.7,372.377,False,-44.496,13.5291,22.84905428034828,0.15815506141532706,nan,nan,22.900945494444485,0.1610962322028287,nan,nan
2003 TJ63,nan,MBO,MBO,21163620267602762,745200682386587691,24.032267,1.832925,0.9968698,269.4517801804766,-22.0981728245287,2025050100593,1,60797.22432147898,u,269.45182845674293,-22.098201081574054,5.029852867126465,2300.21,457.121,False,nan,nan,1579.61,444.429,False,127.4,12.821,22.995581300483394,0.21576848655963943,nan,nan,23.40362532394076,0.3054758102189321,26.13707641699773,0.10926392325091122
2003 TJ63,nan,MBO,MBO,21163620267602762,745200682655023154,24.031887,1.8329222,0.9968584,269.45190617575304,-22.09823585934525,2025050100595,1,60797.22550701859,u,269.4518920811001,-22.098240286468734,5.346761703491211,2252.69,423.502,False,2728.04,32.6801,2585.98,414.241,False,166.869,13.7218,23.018246450343035,0.20411662568823502,22.810373149723375,0.013006395316931556,22.868437103903567,0.17392108665817718,25.844060820191608,0.08928114028268723
2003 TJ63,nan,MBO,MBO,21163620267602762,745200684002443365,24.029984,1.8329084,0.9968014,269.45253487415755,-22.09855058574399,2025050100605,11,60797.23143878038,u,269.4526293595705,-22.098609433514827,8.436594009399414,2749.54,320.875,False,2646.77,10.8948,2580.2,300.049,False,-78.2886,17.4249,22.801849879246674,0.1267068672404394,22.84320948334249,0.004469175228080993,22.87086659330337,0.12625923605139144,nan,nan
2003 TJ63,nan,MBO,MBO,21163620267602762,745200684405096520,24.029408,1.8329042,0.99678415,269.45272470230697,-22.09864566967206,2025050100608,11,60797.23323346234,u,269.4527202618785,-22.098669072733138,8.624162673950195,2757.48,325.388,False,2872.87,32.6829,2478.3,315.198,False,-69.9809,18.6626,22.79871907972488,0.12811898371930414,22.75421002017836,0.012351761753616387,22.914615286403397,0.1380873467313191,nan,nan
2003 TJ63,nan,MBO,MBO,21163620267602762,745200685743603731,24.027473,1.8328902,0.9967263,269.4533605100928,-22.09896429554037,2025050100618,4,60797.23925939443,u,269.4533918191738,-22.098996972821695,5.354516983032227,2947.33,538.831,False,2904.45,39.2183,2996.76,531.235,False,19.8706,17.0138,22.72642805952612,0.198494333022355,22.742340256970202,0.014660513615011916,22.708370088421493,0.1924682173249688,28.154472561370742,0.9296396945651743
2003 TJ63,nan,MBO,MBO,21163620267602762,745200686010466429,24.027086,1.8328874,0.9967148,269.45348685950387,-22.099027637409343,2025050100620,1,60797.24045999628,u,269.45353911710686,-22.099003877508032,5.371635437011719,2054.7,389.905,False,2139.18,21.7575,1760.19,369.025,False,8.73941,15.9083,23.118128973477656,0.2060320161829045,23.07438171081038,0.011042972493467265,23.28610116277471,0.22762531867098543,29.046294664550764,1.976359606528794
2003 TJ63,nan,MBO,MBO,21163620267602762,745200688028975188,24.024189,1.8328664,0.99662834,269.4544326465947,-22.09950194741068,2025050100635,11,60797.249467010726,u,269.45442616805065,-22.099567922502906,7.451552391052246,2207.74,298.815,False,3018.17,11.9692,2180.22,280.17,False,0.644542,20.3857,23.04013018905959,0.1469531140943284,22.700640783124662,0.0043057197785960144,23.05374921639779,0.13952295234134582,31.876871979782848,34.339877806716736
2003 TJ63,nan,MBO,MBO,21163620267602762,745200688431628336,24.023615,1.8328623,0.99661124,269.4546194143756,-22.09959563230429,2025050100638,11,60797.25125113139,u,269.45467015896037,-22.099655115914356,5.22923469543457,1615.81,303.971,False,1601.57,59.6784,1541.8,292.465,False,-48.6698,21.2551,23.37902423166485,0.20425193366862773,23.3886352234807,0.04045717618788264,23.42992986227751,0.2059539662032401,nan,nan
