provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2006 SO465,nan,MBO,MBO,21163633139201359,745284180578402377,26.325003,2.281766,2.026649,149.12008580125786,0.9332281007647852,2025052000111,3,60815.99776202555,g,149.120160241174,0.9332206508291584,5.186695098876953,1277.03,237.578,False,nan,nan,1312.79,236.935,False,-8.86617,10.122,23.634497225509058,0.20198979923511956,nan,nan,23.60451181799794,0.19595586298579235,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284180847362126,26.325037,2.281765,2.0266623,149.12041137274133,0.9331503985978028,2025052000113,4,60815.999004494544,g,149.1204084137798,0.9331295695717206,10.253899574279785,1574.0,152.112,False,1624.02,3.62859,1584.68,151.956,False,81.2344,16.9286,23.407488179942384,0.10492598795935447,23.373521553626325,0.0024258885998802186,23.400146021208585,0.10411194578488774,26.625650085464308,0.22625876145638593
2006 SO465,nan,MBO,MBO,21163633139201359,745284180982628396,26.325052,2.2817645,2.026668,149.1205510985745,0.9331170518490288,2025052000114,6,60815.99953748862,g,149.12053974121974,0.9330640843571113,9.069437980651855,1333.31,144.971,False,1267.71,1.60337,1387.45,143.288,False,116.224,6.65847,23.587672111315236,0.11805225256564911,23.64245024305356,0.0013732137944266257,23.5444566850572,0.11212870278983308,26.236760463700424,0.06220180147848437
2006 SO465,nan,MBO,MBO,21163633139201359,745284181115273253,26.325073,2.281764,2.0266764,149.12075165187065,0.9330691889426062,2025052000115,3,60816.000302056374,g,149.12071844189953,0.9330401110698293,10.262880325317383,1553.01,146.804,False,1552.63,3.34454,1605.52,144.664,False,51.7959,9.81709,23.422064362655476,0.102633220474297,23.422330063161244,0.00233879822251938,23.385960686910238,0.0978293275728953,27.114261573440317,0.20578405621580156
2006 SO465,nan,MBO,MBO,21163633139201359,745284181251063818,26.325089,2.2817636,2.0266821,149.1208913898261,0.9330358404697502,2025052000116,6,60816.00083512574,g,149.1209207515641,0.9330063354074511,11.146260261535645,1577.46,140.105,False,1590.79,2.12701,1565.08,139.107,False,-3.67276,14.3388,23.40510413799813,0.09643164967462473,23.395967842671475,0.001451713817909756,23.41365867630607,0.09650209870710318,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284181518450731,26.325123,2.2817624,2.0266955,149.1212154543041,0.932958504381717,2025052000118,4,60816.002071902825,g,149.12124036266567,0.9329345439635021,9.56379508972168,1450.73,151.021,False,1486.17,0.364407,1399.93,148.377,False,-7.79922,5.9692,23.49603353455883,0.11302514275236794,23.469828742047373,0.00026622113529734193,23.534734157315555,0.11507594914012445,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284181652668474,26.325136,2.2817621,2.0267012,149.12135547111973,0.9329250910426564,2025052000119,4,60816.00260581951,g,149.12133480575883,0.9328955300332912,8.867063522338867,1271.03,140.851,False,1589.24,10.089,1204.17,140.496,False,-7.82837,8.81658,23.63961047175843,0.12031739958801033,23.397026288189046,0.006892597948553691,23.698280452270502,0.1266777868925933,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284181922676775,26.32517,2.281761,2.026714,149.1216664633361,0.9328508783698868,2025052000121,7,60816.003791225885,g,149.12168982041803,0.9328215803379518,10.45219612121582,1390.65,132.779,False,1428.93,3.90044,1393.38,131.498,False,-17.0019,10.7849,23.541955380608727,0.1036658918888542,23.512472573632863,0.0029636502411144574,23.539826064795292,0.10246461133775023,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284182056894481,26.325184,2.2817607,2.0267193,149.1217923359062,0.9328208419184204,2025052000122,7,60816.00427132496,g,149.1218113602244,0.932766753784574,8.641453742980957,1168.41,134.078,False,1273.89,0.980766,1093.24,133.139,False,-46.8789,6.48905,23.731011805020447,0.1245909721621244,23.637170166448353,0.0008359066642914789,23.803211225972802,0.13222516745984025,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284182187966534,26.325197,2.2817602,2.0267243,149.12191716371896,0.9327910552173148,2025052000123,1,60816.00474765939,g,149.12191233197777,0.9327961683245072,7.960793972015381,1213.17,152.707,False,1305.89,1.39233,1063.56,150.519,False,-58.5243,6.68482,23.69019580498246,0.13666634800511984,23.610233497244064,0.0011576037245167802,23.833094951804647,0.1536574483360517,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284182592192515,26.325254,2.2817585,2.0267467,149.12245953204598,0.9326616393236412,2025052000126,4,60816.00681531953,g,149.1224756450542,0.9326335817928814,10.850317001342773,1619.4,149.87,False,1547.34,2.00539,1564.97,149.588,False,-25.6371,15.0554,23.37661464628105,0.10048121356829685,23.426035642611552,0.0014071403172349801,23.413734978653338,0.10378033294857997,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284182726934553,26.32527,2.281758,2.0267525,149.1225993335391,0.932628282368419,2025052000127,5,60816.0073481772,g,149.12259268884418,0.9326092102738631,10.688961029052734,1438.53,132.578,False,1554.07,2.40582,1480.37,130.285,False,40.5153,7.44598,23.505202669467494,0.10006376982317734,23.421323595427623,0.0016808032135671115,23.47407431496618,0.09555391279178141,27.380952332290864,0.19953869264947077
2006 SO465,nan,MBO,MBO,21163633139201359,745284182860628009,26.325287,2.2817576,2.0267594,149.1227695682082,0.9325876648074692,2025052000128,4,60816.00799732409,g,149.12281973020987,0.9325334984998005,8.842811584472656,1451.33,162.783,False,1509.84,11.0991,1602.25,160.956,False,164.418,8.21338,23.49558460156699,0.12177754689809009,23.452672707337314,0.007981438500523217,23.38817429935974,0.10906896531825201,25.860126602107023,0.054237151145711295
2006 SO465,nan,MBO,MBO,21163633139201359,745284182994845750,26.3253,2.281757,2.0267646,149.12289469196597,0.9325578111787264,2025052000129,4,60816.0084747443,g,149.12294494408184,0.9325778111355448,8.108986854553223,1440.17,177.046,False,1624.17,33.1603,1633.85,174.906,False,218.32,6.60615,23.503965567006325,0.13347400094510084,23.37342125965653,0.02216722301766651,23.366969560094116,0.1162296329704676,25.552266156921025,0.03285331692755213
2006 SO465,nan,MBO,MBO,21163633139201359,745284183263805441,26.32533,2.2817562,2.026776,149.12317433451545,0.9324910922971044,2025052000131,5,60816.00954093928,g,149.12315957264596,0.9324576432369973,6.9178690910339355,1236.11,170.604,False,1393.15,1.59466,1348.95,168.058,False,67.6458,8.11408,23.669857213275424,0.14984988869338464,23.540005282761186,0.001242780830063368,23.575010408127685,0.1352656957234251,26.824397943326595,0.13023352796278084
2006 SO465,nan,MBO,MBO,21163633139201359,745284183530668054,26.325363,2.2817552,2.026789,149.12348443350112,0.9324171099388908,2025052000133,2,60816.010722717605,g,149.12349818723425,0.9323464878596847,7.048923969268799,1367.52,196.349,False,1323.42,1.99895,1346.42,196.959,False,12.6655,7.77138,23.560165767955592,0.15589038110084727,23.595755730017434,0.0016399422098831785,23.577048579274635,0.15882526238151704,28.643444178696512,0.666193105562118
2006 SO465,nan,MBO,MBO,21163633139201359,745284183666458634,26.325377,2.2817547,2.0267947,149.1236245380594,0.9323836853350226,2025052000134,5,60816.01125654897,g,149.12358332392017,0.932348322312726,8.48444652557373,1420.15,165.0,False,1483.74,1.45749,1452.51,162.557,False,-1.3339,9.82067,23.519164435990266,0.1261461611135099,23.471605494778537,0.0010665275830231795,23.49470216512205,0.12150968080927091,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284183799103531,26.32539,2.2817545,2.0268,149.12374864300875,0.9323540783049714,2025052000135,2,60816.011729216334,g,149.12373858429416,0.9323296595498628,9.970523834228516,1540.43,153.941,False,1479.46,6.65989,1521.58,152.674,False,-13.4832,8.41569,23.43089504225924,0.10850172032467731,23.4747419594608,0.004887515764862347,23.4442630534486,0.1089418168870724,nan,nan
2006 SO465,nan,MBO,MBO,21163633139201359,745284183938564110,26.325403,2.281754,2.026805,149.12387249002572,0.9323245333421436,2025052000136,12,60816.01220191838,g,149.1238754219076,0.932334790849637,10.986833572387695,1737.27,157.585,False,1640.7,1.96011,1709.37,156.999,False,-0.331802,8.47935,23.300331687505423,0.09848540825131118,23.362427087076348,0.0012971063572820853,23.317909808900257,0.09972065217632324,nan,nan
