provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2008 SQ231,nan,MBO,MBO,21163641727234385,745174275383624529,17.942978,2.6470845,1.9287018,270.0770510235153,-23.972427171125137,2025042500453,128,60791.279216819836,i,270.0770086146918,-23.97246054986564,12.678204536437988,3219.6,251.975,False,3025.41,2.42084,3356.99,241.935,False,285.722,21.4164,22.63049517026876,0.08497278498031247,22.698039436407704,0.0008687727406767104,22.58512488428871,0.07824795033991017,25.260140853913043,0.08138177345401962
2008 SQ231,nan,MBO,MBO,21163641727234385,745174276302700877,17.94215,2.6470828,1.92866,270.0770829589463,-23.972357991226,2025042500460,89,60791.28292506441,i,270.0770625283401,-23.972412352739283,9.201972007751465,2552.79,269.584,False,2488.52,9.54383,2811.72,266.879,False,517.41,16.3637,22.88246225854983,0.11465773554194,22.91014715278414,0.0041639535115647035,22.777569836116886,0.10305442690707703,24.615413011140426,0.034337688481015136
2008 SQ231,nan,MBO,MBO,21163641727234385,745174276703256915,17.941795,2.647082,1.9286422,270.07709658453734,-23.97232815383659,2025042500463,85,60791.284521776055,i,270.0770625561146,-23.972363285086406,9.733901977539062,2715.19,279.382,False,2703.04,8.49475,3052.24,275.949,False,579.115,15.5564,22.81549945973734,0.11171783427506131,22.8203688030533,0.0034121054505054605,22.688453304629675,0.09815998299344522,24.49308798331579,0.029165446077604205
2008 SQ231,nan,MBO,MBO,21163641727234385,745200689700929543,16.52237,2.6445153,1.864374,270.0400574008045,-23.848467393328303,2025050100647,128,60797.28074399984,g,270.04002434754716,-23.84851457601775,12.522001266479492,1938.38,156.351,False,2049.99,2.05133,1630.46,156.055,False,80.3019,4.63657,23.18140269689502,0.08757619180418982,23.120620648819866,0.0010864459615728482,23.369224654146606,0.10391825591591776,26.638185409743727,0.06268957167888893
2008 SQ231,nan,MBO,MBO,21163641727234385,745200689940005255,16.522112,2.6445148,1.8643639,270.0400232506453,-23.84844742763808,2025050100649,72,60797.281717596794,g,270.0400105000237,-23.84850786008049,11.519896507263184,2269.64,193.726,False,2252.2,2.17671,2376.55,196.52,False,113.72,4.33027,23.010107609299578,0.09267343706711773,23.018482638197664,0.0010493441019725316,22.960132588178993,0.08978093421724703,26.260407860799383,0.04134304135122603
2008 SQ231,nan,MBO,MBO,21163641727234385,745200690083135820,16.521984,2.6445146,1.8643589,270.0400062198346,-23.848437469394167,2025050100650,89,60797.28220231854,g,270.0399801640564,-23.84850581140538,12.663328170776367,2093.24,163.715,False,2002.05,6.45532,1975.18,162.669,False,94.7111,4.5631,23.097952442221267,0.08491682731801338,23.14631267471144,0.0035007988499967833,23.16098327190534,0.08941748335897665,26.45899782453521,0.05230984377312055
2008 SQ231,nan,MBO,MBO,21163641727234385,745200690351571131,16.52172,2.6445143,1.8643485,270.0399711225303,-23.8484169445136,2025050100652,89,60797.28320126145,g,270.0399515448675,-23.84845441159039,13.527174949645996,2024.38,148.227,False,2347.12,1.90032,3495.83,142.714,False,75.0921,5.12479,23.134269902341074,0.07949862450157028,22.973661710497712,0.0008790544067900273,22.541124213210605,0.04432416855707052,26.71101434577646,0.07409794240546623
2008 SQ231,nan,MBO,MBO,21163641727234385,745200690590646615,16.521463,2.6445138,1.8643385,270.0399367405935,-23.848396834151817,2025050100654,33,60797.28417959226,g,270.03990773367116,-23.848415281920577,11.4092435836792,2101.03,181.705,False,1985.73,4.68684,2322.94,181.813,False,118.128,5.4309,23.093919350821473,0.0938985622873942,23.155199517956472,0.0025626202888870907,22.98490504637009,0.08497893420341153,26.21911788745063,0.049916403747470535
2008 SQ231,nan,MBO,MBO,21163641727234385,745200690752651672,16.521328,2.6445136,1.8643332,270.0399187322961,-23.848386299331352,2025050100655,86,60797.284691791996,g,270.0398828528344,-23.848444613083448,16.662914276123047,2228.54,133.455,False,2256.71,1.56926,1648.9,132.892,False,78.1454,5.97058,23.02994889689078,0.06501876773773094,23.01631063537888,0.0007549939635374673,23.357014188908032,0.0875041856576375,26.66774143978281,0.0829540177162499
2008 SQ231,nan,MBO,MBO,21163641727234385,745200691423215997,16.52067,2.6445127,1.8643073,270.039830645826,-23.848334752307537,2025050100660,85,60797.28719301775,g,270.03980848624985,-23.848394393410228,15.175252914428711,2100.59,136.529,False,1942.29,1.42027,2801.66,134.593,False,88.7549,7.0277,23.09414672040804,0.07056802119962303,23.179214792713914,0.0007939280394483988,22.781461459972412,0.052159255623276016,26.529519176058642,0.08596965840571177
