provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2008 YR181,nan,MBO,MBO,21163641827570002,745319434278142059,13.398432,2.907818,2.0714798,290.6471848888576,-19.36661634334853,2025052800627,139,60824.32689917704,g,290.6471888883668,-19.36662897696353,19.29494857788086,2262.54,116.616,False,2183.98,0.360638,3617.19,112.295,False,1328.91,50.2126,23.013509316395247,0.05596109158392709,23.05187836731271,0.00017928631622131304,22.504071713761718,0.03370648130185611,23.591261048361467,0.04102432604280886
2008 YR181,nan,MBO,MBO,21163641827570002,745319434416554339,13.398288,2.9078171,2.0714743,290.64713852719296,-19.366639648232304,2025052800628,147,60824.32742378176,g,290.64712517449937,-19.366656525581732,18.157848358154297,2132.03,116.377,False,2153.11,0.0452566,3314.02,111.607,False,1221.16,46.4436,23.078016706587768,0.0592649819055232,23.067334400797748,2.282128011951161e-05,22.599112180991394,0.0365645839017892,23.68306854405506,0.04129311168332194
2008 YR181,nan,MBO,MBO,21163641827570002,745319434549199414,13.398144,2.9078164,2.0714686,290.6470923414464,-19.36666286087857,2025052800629,144,60824.3279452393,g,290.647068015904,-19.36668671989768,19.245227813720703,2493.55,128.675,False,2562.0,2.10371,3923.81,125.078,False,1306.83,8.95759,22.907954776242132,0.05602739336485881,22.87855218647833,0.0008915199227083321,22.415730059614752,0.03460965596491562,23.609452297214524,0.00744211581415986
2008 YR181,nan,MBO,MBO,21163641827570002,745319434955522312,13.397706,2.9078135,2.0714512,290.6469513004944,-19.36673372380181,2025052800632,151,60824.32953995619,g,290.64693035909073,-19.36675022052501,19.53656005859375,2672.53,135.77,False,2881.92,3.5734,3312.06,131.749,False,708.918,10.1548,22.832693515592947,0.055157625000591466,22.750795227065808,0.0013462448234592053,22.599754491554116,0.04318902707770227,24.273509945434526,0.015552481386377128
2008 YR181,nan,MBO,MBO,21163641827570002,745319435500257809,13.397134,2.90781,2.0714288,290.6467671558563,-19.36682619112368,2025052800636,166,60824.331620986464,g,290.646753851339,-19.366827533186537,21.430469512939453,3012.92,141.47,False,3148.35,2.61914,3233.68,136.988,False,161.607,23.7003,22.7025310273964,0.050980147562935015,22.65479244981502,0.0009032334197690526,22.625757421495624,0.04599491647860731,25.878849615354742,0.15922747692925726
2008 YR181,nan,MBO,MBO,21163641827570002,745319436021399895,13.396547,2.9078064,2.0714056,290.64657848571744,-19.36692087095188,2025052800640,136,60824.33375218396,g,290.64656927572565,-19.366916649061455,24.90268898010254,3072.35,123.56,False,3037.06,0.143657,2978.33,118.142,False,-84.6935,27.4442,22.68132324372287,0.04366480334110708,22.693866549297226,5.135677323920636e-05,22.71506793136522,0.043068109135768265,nan,nan
2008 YR181,nan,MBO,MBO,21163641827570002,745319436398362830,13.396116,2.9078038,2.0713885,290.64643945428884,-19.366990602694862,2025052800643,87,60824.33532379405,g,290.64643026930753,-19.366978886539627,22.75534439086914,2944.32,128.8,False,2881.01,2.31702,2751.13,124.801,False,-135.742,19.4633,22.727537452236923,0.04749579639423298,22.751138082016404,0.0008731911471499075,22.8012222644318,0.049252842497020506,nan,nan
2008 YR181,nan,MBO,MBO,21163641827570002,745323772418458384,13.162295,2.9063332,2.0620768,290.5743080401556,-19.40600815396136,2025052900181,53,60825.19995744039,g,290.5743218573556,-19.40601919864814,20.09516143798828,3049.27,150.852,False,3137.35,0.23304,7569.89,147.307,False,4509.04,31.1725,22.689510290513155,0.05371301404764861,22.658592538929426,8.064766847043568e-05,21.702276058635235,0.02112798833902982,22.264789770645358,0.00750605721224434
2008 YR181,nan,MBO,MBO,21163641827570002,745323772684272076,13.162002,2.9063315,2.0620654,290.57421098441284,-19.406057901784035,2025052900183,48,60825.20101020817,g,290.5742052771073,-19.40607783986194,20.98550033569336,3069.99,144.195,False,3100.72,2.93528,5858.84,141.871,False,2743.13,45.7393,22.68215760136653,0.05099617278729814,22.671343633963147,0.0010278064091817651,21.980470934075882,0.026290953089494307,22.804384071898863,0.018103704843237298
2008 YR181,nan,MBO,MBO,21163641827570002,745328199210631204,12.847605,2.9044058,2.0500896,290.47104091443424,-19.458835874361853,2025053000395,97,60826.33125426245,z,290.4710477688702,-19.458849872717654,11.174704551696777,6726.71,576.223,False,6131.68,47.8104,7215.97,571.196,False,467.699,65.7013,21.830493244038102,0.09300626920649975,21.931051264320626,0.008465784042041449,21.75426317021867,0.08594383586042566,24.72508388476655,0.1525217736993659
