provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2013 PH95,nan,MBO,MBO,21164719712318792,745315078353453304,19.12011,2.0762827,1.210408,290.3432329179955,-20.512429494064317,2025052700941,96,60823.31137196548,i,290.3432333880148,-20.512434012656435,22.472469329833984,8274.68,363.958,False,7963.09,2.08736,7478.78,357.797,False,-346.935,6.83382,21.60562202186963,0.04775561121605934,21.647295960770776,0.0002846033720518057,21.71542313628875,0.051943387134357304,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315078484000873,19.11992,2.0762823,1.2104037,290.3432302084776,-20.51244792592449,2025052700942,89,60823.31189173038,i,290.3432230367009,-20.51246787158594,24.4254150390625,8712.08,355.584,False,8648.41,1.94654,8161.3,349.186,False,-325.09,6.90374,21.549695353410783,0.04431438133488959,21.557659304698582,0.0002443719610557866,21.620601670196006,0.046453861088805205,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315078603538730,19.11973,2.0762818,1.2103994,290.3432274955136,-20.512466351727134,2025052700943,61,60823.312411398525,i,290.3432272271095,-20.512485957380562,23.580657958984375,8406.06,353.82,False,8380.19,1.18006,7079.13,346.687,False,-312.887,6.90416,21.58851884162995,0.04569979414331103,21.591865281102468,0.00015288839890401044,21.775050298683702,0.05317187939387076,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315079157187068,19.113659,2.0762665,1.2102642,290.343139589786,-20.513050576014905,2025052700947,93,60823.32898863165,i,290.3431583207058,-20.513095264637613,25.689870834350586,9136.76,353.038,False,9605.33,1.49247,8344.97,345.39,False,-320.387,8.50539,21.498019484791556,0.04195208607769684,21.443719266062146,0.0001687009950290483,21.59643808623077,0.04493754392806192,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315079287734489,19.113468,2.076266,1.21026,290.3431367891967,-20.513068873083665,2025052700948,86,60823.32951046493,i,290.3431482953373,-20.513091994805823,28.667198181152344,9206.54,319.461,False,8602.6,0.197077,8577.6,310.402,False,-261.439,8.45494,21.48975888440622,0.03767434569840013,21.563425724971168,2.487313723361822e-05,21.566585574741488,0.03929009437656365,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315079430865167,19.113277,2.0762656,1.2102557,290.343133998104,-20.51308709401322,2025052700949,103,60823.33003026659,i,290.3431574591109,-20.513119887337876,27.60700225830078,8923.28,321.695,False,8819.26,1.9202,8372.58,312.734,False,-259.541,8.42465,21.52368866485213,0.039142098604876045,21.536419663359652,0.0002363951970142857,21.592851725080422,0.04055459997194462,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315079693009480,19.112888,2.0762646,1.210247,290.3431282835526,-20.51312435799484,2025052700951,91,60823.3310941422,i,290.3431397099468,-20.513147946569685,30.50010108947754,9114.01,297.0,False,8388.03,1.83605,8639.1,292.907,False,-245.76,9.63087,21.5007262760213,0.03538109581903122,21.590850026953568,0.000237656032490291,21.55882879630758,0.03681167748440042,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315079864976045,19.112696,2.0762641,1.2102427,290.34312546224834,-20.51314273552321,2025052700952,163,60823.3316194858,i,290.34314300578257,-20.513162839996873,29.120817184448242,9055.79,307.762,False,8563.37,1.12801,8404.92,300.941,False,-256.71,9.3781,21.507684138184793,0.03689886108781863,21.56838821235636,0.0001430186149954426,21.58866604989604,0.038875153192541735,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315080256618993,19.112123,2.0762627,1.2102301,290.3431170680346,-20.51319734171157,2025052700955,142,60823.33318095436,i,290.343126908205,-20.513213901227196,29.9559268951416,9359.44,306.419,False,9224.39,0.890546,8663.11,300.848,False,-257.373,9.39986,21.471875288828734,0.035545950798766886,21.487655900614655,0.00010481973300601237,21.555815383698487,0.037704882395128834,nan,nan
2013 PH95,nan,MBO,MBO,21164719712318792,745315080406041031,19.111942,2.0762622,1.210226,290.3431144154263,-20.513214576329773,2025052700956,171,60823.33367319656,i,290.34313755229044,-20.51323380425375,29.958528518676758,9095.49,302.795,False,8512.01,0.118224,8661.7,295.985,False,-252.574,9.31338,21.502934720240624,0.03614489161411382,21.5749197169827,1.5079879280467598e-05,21.555992131108706,0.03710144745426643,nan,nan
