provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2013 WC144,nan,MBO,MBO,21164719830545475,745174276013294031,14.737292,3.2151573,2.5230916,270.3335650367225,-22.86408138631164,2025042500458,49,60791.28187701356,i,270.3335629973147,-22.864088353288825,8.4500150680542,4551.66,483.72,False,5997.31,41.5458,143544.0,425.297,False,142897.0,41.5955,22.254575428579415,0.1153847827522468,21.955108744315663,0.007521335059629485,18.507537389690714,0.0032168557898215903,18.51244222188405,0.0003160440130455642
2013 WC144,nan,MBO,MBO,21164719830545475,745174276684907931,14.736791,3.2151568,2.5230594,270.3334573494796,-22.8639680755664,2025042500463,50,60791.284521776055,i,270.3334864057922,-22.864069011005906,5.706017971038818,2543.48,448.307,False,3103.73,11.7617,129547.0,419.337,False,126827.0,35.28,22.886429190792363,0.19136897160827007,22.670290171734802,0.004114437547287612,18.618931599469057,0.0035144725002610863,18.641970700860416,0.00030202379602533555
2013 WC144,nan,MBO,MBO,21164719830545475,745200690060066995,13.52841,3.2138407,2.453424,270.0119766143941,-22.59503826112901,2025050100650,45,60797.28220231854,g,270.01191885220226,-22.59493083211773,6.219004154205322,945.523,152.881,False,988.001,1.6561,579.341,152.499,False,-267.711,4.43868,23.96081974424275,0.17555197635706143,23.91310656536419,0.0018199250902017328,24.49266433200639,0.28579658064157215,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200690328502300,13.528187,3.2138405,2.4534128,270.01189962909297,-22.594993003407005,2025050100652,45,60797.28320126145,g,270.01181112405834,-22.59494059533008,5.990835189819336,876.515,144.148,False,1045.6,7.82595,742.898,142.759,False,-214.48,5.17673,24.043101600171575,0.17855563726112078,23.851586088919994,0.008126355784467557,24.22267701211354,0.2086405073529355,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200690715427102,13.527854,3.21384,2.453396,270.0117847729647,-22.594925478073545,2025050100655,15,60797.284691791996,g,270.01169418684776,-22.5948388159951,5.807730197906494,792.648,137.066,False,793.67,0.256599,639.648,136.927,False,-166.836,5.85599,24.15229906556829,0.18774728566404666,24.15090011167448,0.0003510260438413055,24.38514736682579,0.2324193948019664,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200691386515663,13.527295,3.2138395,2.4533682,270.01159181966204,-22.59481202556241,2025050100660,15,60797.28719301775,g,270.01157190465,-22.594784054138533,5.504176139831543,734.65,131.571,False,671.164,3.51666,553.667,130.832,False,-138.35,7.0292,24.234798756586866,0.19444823047874155,24.332928363405923,0.005688870449553819,24.541878417326927,0.2565604270084922,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200691655999521,13.52707,3.2138393,2.4533567,270.01151397556737,-22.59476624983284,2025050100662,17,60797.28820217203,g,270.0114133299846,-22.594702424043927,6.314472675323486,883.975,139.946,False,nan,nan,789.704,139.532,False,-138.821,5.95285,24.03390007309732,0.17188771422246724,nan,nan,24.15633918368982,0.19183763224992464,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200692057080158,13.526736,3.2138388,2.45334,270.01139868248055,-22.594698446669387,2025050100665,14,60797.28969674934,g,270.0113029307114,-22.594678453033172,8.105735778808594,1396.36,168.891,False,1619.74,4.44248,1113.89,166.806,False,-213.379,4.55576,23.5375065124884,0.1313207785283636,23.376386738133093,0.0029778615696086576,23.782894223061472,0.1625899422062534,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200692347011422,13.5265045,3.2138386,2.4533286,270.01131871192763,-22.59465141217682,2025050100667,55,60797.29073289838,g,270.0111849308459,-22.594648876487216,6.830636501312256,978.597,143.48,False,1016.72,5.38994,812.283,142.805,False,-192.914,5.23691,23.923490316676396,0.15918854076757138,23.881996614558304,0.005755815696231153,24.125731562928223,0.19087996049035605,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200692998176989,13.525938,3.213838,2.4533002,270.0111228035271,-22.59453617307398,2025050100672,17,60797.2932699156,g,270.0109353425455,-22.594581158684885,5.542200565338135,1155.42,204.409,False,1162.51,18.5425,631.867,206.138,False,-312.165,3.75841,23.743150256736087,0.19208100926618205,23.736508247348223,0.01731792665060657,24.398435806413264,0.35420664277451386,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200694086598835,13.525022,3.2138371,2.4532545,270.01080591034304,-22.59434971364281,2025050100680,45,60797.29737012891,g,270.01071030256423,-22.594371375963625,5.864509105682373,739.284,122.402,False,nan,nan,604.075,119.147,False,-68.1228,6.42666,24.227971737385083,0.17976350632924173,nan,nan,24.44727282163912,0.21414925699644954,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200694355558421,13.524791,3.213837,2.4532428,270.01072589382454,-22.59430262057031,2025050100682,46,60797.29840548485,g,270.01062978034776,-22.594240186892375,5.802090644836426,915.898,160.298,False,1093.94,64.1988,938.814,161.368,False,-103.477,4.11985,23.995382211163346,0.1900226277468384,23.802516301569174,0.06371735584626058,23.968551076666593,0.18662170669719805,nan,nan
2013 WC144,nan,MBO,MBO,21164719830545475,745200695010918780,13.52422,3.2138362,2.4532144,270.0105287631089,-22.59418657937388,2025050100687,16,60797.3009545994,g,270.0104084057587,-22.594214502648697,5.002091407775879,854.618,167.721,False,989.485,14.1711,910.877,166.961,False,12.4022,4.41635,24.070569934927796,0.2130785432805362,23.911476978703178,0.01554958002687645,24.001350642850873,0.1990121586933745,28.666253195871693,0.38662423317123124
2013 WC144,nan,MBO,MBO,21164719830545475,745200695413047453,13.523877,3.213836,2.4531972,270.010409775516,-22.594116521593133,2025050100690,15,60797.30249235105,g,270.0103459651222,-22.594132610798138,6.276570796966553,771.907,123.686,False,817.662,16.4675,756.139,121.981,False,31.9391,20.3817,24.181087576410643,0.17397221172069097,24.118565479777587,0.02186644600699525,24.203495936448135,0.17515191659275958,27.63919330559332,0.6928545256606832
2013 WC144,nan,MBO,MBO,21164719830545475,745200695682531398,13.52364,3.2138357,2.4531853,270.01032759490465,-22.594068127894367,2025050100692,17,60797.30355416398,g,270.0102264635139,-22.59406521144903,5.482853412628174,772.807,139.411,False,nan,nan,1014.28,138.367,False,223.256,5.4976,24.17982237235489,0.1958620506786261,nan,nan,23.884605313718026,0.14811497996190767,25.52799216759883,0.026735870627070082
2013 WC144,nan,MBO,MBO,21164719830545475,745200696083612040,13.523297,3.2138352,2.4531682,270.0102091727233,-22.59399838184948,2025050100695,14,60797.30508495514,g,270.0100718657733,-22.59404150588787,5.8497314453125,814.554,138.265,False,768.355,10.6095,1227.76,135.929,False,415.126,6.25285,24.12270027678619,0.18429632991622824,24.18609522322568,0.01499192233100685,23.67721629109056,0.12020511853329867,24.854550144525508,0.016353939701691342
2013 WC144,nan,MBO,MBO,21164719830545475,745200696375115866,13.523047,3.213835,2.4531558,270.0101226201268,-22.59394739743109,2025050100697,58,60797.306202946434,g,270.01001790071547,-22.593871909804577,6.9231343269348145,873.418,127.29,False,963.207,4.67049,2968.56,127.086,False,2057.25,7.8265,24.04694461818066,0.15823277947637376,23.940700958293668,0.005264621222283951,22.718635400488054,0.04648107735870493,23.116782322509422,0.004130521006329528
2013 WC144,nan,MBO,MBO,21164719830545475,745205073070522647,13.326747,3.213624,2.4433255,269.94442177132123,-22.552691464594016,2025050200538,38,60798.19787746796,r,269.9443383035217,-22.552684137651838,5.459143161773682,1446.1,262.374,False,1509.77,9.13316,1029.35,256.682,False,-110.636,8.7226,23.49950420303873,0.1969911818750206,23.4527230073554,0.006568021588675558,23.868592353608065,0.270742657542798,nan,nan
