provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2015 AZ111,nan,MBO,MBO,21164728051183962,745200689672618182,16.483818,2.617074,1.828075,269.16525039529245,-23.345910065113888,2025050100647,74,60797.28074399984,g,269.165332596125,-23.34582735980213,10.009185791015625,1784.99,177.671,False,1705.03,2.83022,2188.59,174.406,False,259.104,4.63375,23.270910537392304,0.10806998582065297,23.320669919328147,0.001802239404185284,23.049588930065436,0.08652095974321397,25.366314689641236,0.019417029538458152
2015 AZ111,nan,MBO,MBO,21164728051183962,745200690054824404,16.48343,2.617072,1.8280588,269.16519482994147,-23.34588670934778,2025050100650,35,60797.28220231854,g,269.1653123521676,-23.34584884108182,10.613780975341797,1846.97,172.095,False,1760.84,1.70485,1924.55,168.68,False,237.837,5.478,23.23385041389526,0.10116557196221215,23.28570028288051,0.0010512126936387688,23.18917697597628,0.09516093134493879,25.459301428917552,0.025007307388415608
2015 AZ111,nan,MBO,MBO,21164728051183962,745200690323259613,16.483166,2.6170707,1.8280479,269.16515672899175,-23.34587068482988,2025050100652,35,60797.28320126145,g,269.16524255949844,-23.345798431109827,12.193558692932129,2025.26,163.013,False,1968.81,6.63489,2341.26,159.282,False,200.112,5.65972,23.1337980316695,0.0873908118577149,23.16449045125404,0.0036589311104227138,22.976375882101898,0.07386545318621386,25.646817171394527,0.030707618068814824
2015 AZ111,nan,MBO,MBO,21164728051183962,745200690724340283,16.482769,2.6170688,1.8280313,269.16509985956503,-23.345846751832116,2025050100655,32,60797.284691791996,g,269.16521357884756,-23.34578333803616,14.425955772399902,2058.02,142.936,False,1900.12,1.07095,2136.62,141.212,False,146.52,8.85368,23.116376012309004,0.07540781611785749,23.203047429760417,0.0006119451536935154,23.0756817171388,0.07175771949802046,25.985257693359124,0.06560715444043372
2015 AZ111,nan,MBO,MBO,21164728051183962,745200690992775644,16.4825,2.6170676,1.8280201,269.1650612058171,-23.345830474391843,2025050100657,32,60797.28570343807,g,269.16512992434804,-23.345770137585554,11.182758331298828,1768.65,159.174,False,1854.75,4.54818,1962.46,155.483,False,202.335,6.42383,23.280895238956198,0.09771349215327735,23.229286550617505,0.002662420166553742,23.167997987948862,0.08602138516969764,25.634822429659692,0.034470480183375445
2015 AZ111,nan,MBO,MBO,21164728051183962,745200691395428525,16.482105,2.6170654,1.8280036,269.1650042536519,-23.345806475697728,2025050100660,32,60797.28719301775,g,269.16510305370105,-23.34575041388789,14.601734161376953,2197.0,146.687,False,2068.26,1.59445,2367.8,148.65,False,165.616,8.15665,23.045424857698723,0.07249129850878797,23.110987162847223,0.0008370089254684035,22.96413743704872,0.06816229279595029,25.85224428950224,0.05347291271671565
2015 AZ111,nan,MBO,MBO,21164728051183962,745200691665961372,16.481838,2.6170642,1.8279924,269.1649656594351,-23.3457902019407,2025050100662,36,60797.28820217203,g,269.16505081116236,-23.345726687158045,14.83971118927002,2183.05,147.298,False,1930.0,2.05163,2432.98,145.81,False,229.34,7.8567,23.05234076874282,0.07325841021397654,23.186106727480563,0.001154160099293465,22.93465366150744,0.06506884340846844,25.49880049690722,0.037195010529508236
2015 AZ111,nan,MBO,MBO,21164728051183962,745200692068614216,16.481441,2.6170623,1.8279759,269.164908474283,-23.345766072674238,2025050100665,36,60797.28969674934,g,269.16500033839077,-23.345729706228024,13.144027709960938,2006.46,152.439,False,1948.79,4.08457,2323.4,152.511,False,257.793,4.99343,23.143923755558472,0.08248783404749235,23.175587372175784,0.002275650719725254,22.984690083082413,0.07126914134747103,25.371822201753886,0.021030624965624335
2015 AZ111,nan,MBO,MBO,21164728051183962,745200692339671584,16.481165,2.617061,1.8279644,269.1648687924133,-23.34574931718424,2025050100667,41,60797.29073289838,g,269.1649608964559,-23.34568156411513,12.711414337158203,1881.79,147.092,False,1828.71,1.5814,1806.96,142.235,False,268.85,7.73429,23.213572086654693,0.08486765332275648,23.244637923778697,0.0009389040967941238,23.257628676340552,0.08546381385580398,25.326224873318434,0.031234512233545092
2015 AZ111,nan,MBO,MBO,21164728051183962,745200692742324511,16.480762,2.617059,1.8279476,269.1648105704759,-23.345724715461976,2025050100670,41,60797.292251945415,g,269.1648996194529,-23.345702027209583,11.51483154296875,1933.52,168.093,False,1961.14,1.3558,2325.91,166.796,False,386.208,4.85065,23.18412831728225,0.09438984677740264,23.168728497448992,0.0007506048374047179,22.983517776288345,0.07786047979117763,24.932946814009853,0.013636501663596652
