provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2015 XH448,nan,MBO,MBO,21164728439617608,745315078257508668,14.961539,2.632511,1.7915267,290.4693992892817,-21.45585829569345,2025052700940,169,60823.310881503065,i,290.4694518251205,-21.45586982295464,26.877689361572266,10406.4,389.318,False,10353.0,7.78689,28762.7,391.242,False,17458.3,9.66766,21.356748671139883,0.04061890994726696,21.362334464972125,0.0008166240150623384,20.252925900660124,0.014768628137527856,20.7949950712838,0.0006012342408184929
2015 XH448,nan,MBO,MBO,21164728439617608,745315078506545647,14.961254,2.632508,1.7915151,290.4693437739505,-21.45581527048716,2025052700942,132,60823.31189173038,i,290.4693903306601,-21.45582015199587,30.055652618408203,11238.1,372.311,False,10567.0,0.396949,23715.0,365.067,False,13117.8,9.67075,21.273267807091006,0.0359697414346516,21.34012073144153,4.078564335819714e-05,20.46244217753027,0.016713744210555093,21.105347503256965,0.0008004301936318795
2015 XH448,nan,MBO,MBO,21164728439617608,745315079305035994,14.95628,2.6324563,1.791312,290.4683740120955,-21.45506196514512,2025052700948,119,60823.32951046493,i,290.4684338268571,-21.45507514517257,29.542583465576172,10103.9,339.814,False,10106.1,0.98314,11864.9,332.102,False,2108.06,11.2508,21.38877735981727,0.03651543892788544,21.38854106378278,0.00010562241860445413,21.214339758657374,0.030390070044284057,23.090292550602832,0.005794617182194759
2015 XH448,nan,MBO,MBO,21164728439617608,745315079690911863,14.9558325,2.6324515,1.7912937,290.46828673763304,-21.45499398595266,2025052700951,87,60823.3310941422,i,290.4683349885172,-21.45499839999726,34.549373626708984,10384.8,295.028,False,9308.99,0.671737,11653.5,286.935,False,1464.27,14.5683,21.359004678144196,0.030845331973301734,21.477743563234753,7.834675718500984e-05,21.233859048740484,0.026733231669588596,23.485947073939748,0.010802195503003677
2015 XH448,nan,MBO,MBO,21164728439617608,745315080251376293,14.955243,2.6324453,1.7912698,290.4681717901623,-21.4549043988189,2025052700955,132,60823.33318095436,i,290.4682235891754,-21.454908762022036,34.59628677368164,10838.4,311.643,False,10168.9,1.62406,12956.8,301.767,False,2516.18,15.016,21.312587023457816,0.031218822122838823,21.381815016931817,0.0001734013227287104,21.11875562864573,0.025287058562655812,22.898145764461425,0.006479431149569255
2015 XH448,nan,MBO,MBO,21164728439617608,745315080539210047,14.954956,2.6324425,1.7912581,290.46811585434745,-21.454860781458493,2025052700957,169,60823.33419585926,i,290.4681641218292,-21.454871837315046,32.447593688964844,10858.1,334.637,False,10367.0,5.0517,13767.6,323.688,False,3038.49,15.3201,21.31061544639428,0.03346142624083065,21.360867253661333,0.0005290646966969848,21.052854431724395,0.02552658254841799,22.693355475050865,0.005474293843350151
2015 XH448,nan,MBO,MBO,21164728439617608,745315080672379371,14.954809,2.6324408,1.7912521,290.4680871413482,-21.454838385962987,2025052700958,167,60823.33471606851,i,290.46815137322506,-21.454842709275866,31.870689392089844,10484.7,324.729,False,10430.1,1.47707,13941.5,316.729,False,3795.61,13.3475,21.348609958629154,0.033627097552459025,21.35427885990315,0.0001537577211853687,21.039226242302966,0.024666222905569316,22.451796013854604,0.0038180591307315197
2015 XH448,nan,MBO,MBO,21164728439617608,745315080756789362,14.954649,2.6324391,1.7912456,290.4680558924419,-21.45481400798468,2025052700959,72,60823.3352838508,i,290.4681192675171,-21.454818459571207,32.84650802612305,10457.5,313.934,False,9648.8,1.46552,13882.7,302.519,False,3685.1,14.2269,21.35143031686833,0.032593784304730415,21.438816760842066,0.00016490840118862292,21.043815137679612,0.02365936307958418,22.483876777470705,0.004191652902628059
2015 XH448,nan,MBO,MBO,21164728439617608,745315081306243208,14.954063,2.6324332,1.7912217,290.4679415825293,-21.45472479132251,2025052700963,96,60823.337357576434,i,290.467999303317,-21.45471934643036,32.34883117675781,10753.6,328.138,False,10300.2,1.30917,16400.8,316.844,False,5936.99,11.5107,21.321115344297656,0.03313042332136581,21.367885835597605,0.00013799860668692765,20.862837366711886,0.020975134097838258,21.96608416358705,0.0021050369773122826
2015 XH448,nan,MBO,MBO,21164728439617608,745315081968943225,14.952023,2.632412,1.7911386,290.4675433313661,-21.45441343631411,2025052700968,80,60823.34458218492,r,290.4675989884715,-21.454418332663263,29.6051082611084,8588.53,287.675,False,8898.24,2.01351,10449.5,283.823,False,2355.94,7.07119,21.565202872944436,0.03636700803351392,21.526739683406596,0.00024568236369034525,21.352261224225863,0.02949011002655515,22.969589462395184,0.0032587617064871225
