provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 FW126,nan,MBO,MBO,21164732430104151,745297378641707027,20.261602,2.9204133,2.7907648,148.82421035643594,3.188798318781365,2025052300140,63,60819.030681123004,g,148.8241679856627,3.1887588219218594,5.11329460144043,577.44,108.762,False,nan,nan,964.088,107.867,False,407.14,32.356,24.496232833620944,0.20450062643597933,nan,nan,23.9397082926207,0.12147760592833931,24.875640530178977,0.08628500831112192
2016 FW126,nan,MBO,MBO,21164732430104151,745297379316989995,20.26156,2.9204168,2.7908034,148.82479147992797,3.188817614915288,2025052300145,71,60819.03329943505,g,148.82473740953193,3.188759757955905,5.2467193603515625,608.781,113.343,False,568.794,10.7288,1479.08,113.297,False,869.587,36.4802,24.438847265343817,0.2021426424110774,24.512612471553027,0.020479551943447062,23.475020870729942,0.0831670060202383,24.051717434624948,0.045547917459468956
2016 FW126,nan,MBO,MBO,21164732430104151,745297379451207744,20.261553,2.9204175,2.7908113,148.82490758757262,3.1888214668882946,2025052300146,71,60819.033822497426,g,148.82487600889678,3.1888206759269457,5.723442554473877,682.887,115.936,False,781.666,11.625,1048.99,113.885,False,375.669,22.879,24.314127848936785,0.18432903976424553,24.167446923469655,0.01614715636603605,23.848071639875297,0.11787440409286985,24.96298658465608,0.06612352335209579
2016 FW126,nan,MBO,MBO,21164732430104151,745297380008525831,20.261518,2.9204204,2.7908423,148.82537229468633,3.188836872736996,2025052300150,110,60819.03591508551,g,148.82533366644378,3.1887955580251637,6.7527899742126465,867.652,128.664,False,850.503,5.0411,938.843,127.23,False,76.6434,11.275,24.05413609760865,0.16100368379918162,24.07581038722123,0.006435373971455674,23.96851754835258,0.14713665478651344,26.68881306435489,0.15972249351043366
2016 FW126,nan,MBO,MBO,21164732430104151,745297380278009871,20.261501,2.9204218,2.790858,148.82560590251867,3.188844610466647,2025052300152,112,60819.03696702246,g,148.82556138181047,3.188804206907377,5.370414733886719,645.107,116.35,False,662.996,11.0206,698.861,115.966,False,96.192,25.2717,24.37592062301147,0.19582085889422773,24.34622277583044,0.018047567821707695,24.289022951076525,0.18016241326588123,26.44215259841689,0.2852461655860105
2016 FW126,nan,MBO,MBO,21164732430104151,745297380546969622,20.261486,2.9204233,2.7908735,148.82583820036135,3.188852300313419,2025052300154,113,60819.03801396572,g,148.82582882943126,3.1888647462763715,5.4734015464782715,723.79,132.201,False,704.644,1.18883,759.657,131.17,False,63.2135,21.0242,24.250968586633917,0.19831086466563386,24.280075632112982,0.00183178431234335,24.198456164921765,0.18747410908544881,26.897975390788027,0.3611053847764173
2016 FW126,nan,MBO,MBO,21164732430104151,745297381240078350,20.261442,2.9204268,2.7909124,148.82642148691258,3.188871589346699,2025052300159,155,60819.04063972704,g,148.82641195244366,3.188846039868445,6.165080547332764,740.874,120.011,False,788.89,6.57975,773.658,119.014,False,52.7253,40.6991,24.225639080514366,0.17587374542790948,24.157458852435376,0.009055600561390032,24.178627420123348,0.16702186917619466,27.09495235465138,0.8380888690240892
2016 FW126,nan,MBO,MBO,21164732430104151,745297381777997885,20.26141,2.9204295,2.7909436,148.8268880419261,3.188886997825591,2025052300163,157,60819.04273919154,g,148.82681670839324,3.1889074212425546,5.256011009216309,634.335,117.122,False,727.904,1.75033,689.034,114.851,False,101.336,39.1122,24.39420327578038,0.2004675654947541,24.244814747544687,0.002610779226106474,24.30439837424495,0.18097494059527966,26.385590621842482,0.4190567422951305
2016 FW126,nan,MBO,MBO,21164732430104151,745297381841961004,20.261396,2.9204307,2.790955,148.82705757996695,3.188892592537858,2025052300164,23,60819.04350260107,g,148.82704340728864,3.188874393860863,6.649838924407959,938.005,137.754,False,1052.06,12.063,894.001,134.385,False,11.9908,9.41039,23.96948711090951,0.15944957861209494,23.844898667634062,0.012449132949023417,24.021655017004967,0.1632063697215589,28.702879610591264,0.8520866912513723
2016 FW126,nan,MBO,MBO,21164732430104151,745297381976178765,20.261341,2.9204352,2.791005,148.82780431795496,3.1889172064219946,2025052300165,23,60819.04686286381,r,148.82778008150797,3.1888979804851885,6.08221435546875,1040.77,169.264,False,1137.21,3.98094,1155.96,170.384,False,84.1717,51.5906,23.856613066432452,0.1765770129141424,23.760398362338695,0.0038007500354761696,23.742643020855006,0.16003329412661782,26.58708475956972,0.6654704792879278
2016 FW126,nan,MBO,MBO,21164732430104151,745297382938247210,20.261282,2.9204402,2.7910595,148.82862067756605,3.188944062519341,2025052300172,66,60819.05053419755,r,148.8286173602368,3.1889045517321986,7.946440696716309,1378.07,170.712,False,1346.93,6.59933,1417.23,168.71,False,-5.08937,43.9359,23.55182184628065,0.13449840161049023,23.57663739168011,0.005319601736117796,23.52139917264502,0.12924829767829746,nan,nan
2016 FW126,nan,MBO,MBO,21164732430104151,745297383073513542,20.261274,2.920441,2.7910674,148.8287374200972,3.1889478985574184,2025052300173,68,60819.05105965396,r,148.82878924427786,3.1889002011595817,5.286818504333496,1036.8,189.19,False,1103.37,0.862333,652.724,188.214,False,-13.7521,23.9899,23.860762477550928,0.19811962341348757,23.793197075896337,0.0008485514038646095,24.363176047730562,0.31307376356916633,nan,nan
2016 FW126,nan,MBO,MBO,21164732430104151,745297383498186772,20.261248,2.920443,2.7910907,148.82908724001905,3.1889593865650907,2025052300176,110,60819.05263225407,r,148.82904791378493,3.1889935924571127,5.693819999694824,1019.13,176.762,False,955.487,3.79985,1179.97,174.847,False,147.272,34.212,23.879426029675052,0.18831443971720963,23.949438044098905,0.004317834471506707,23.72032261250561,0.16088351656335761,25.97969951481402,0.25222179498876107
2016 FW126,nan,MBO,MBO,21164732430104151,745297383632404525,20.261238,2.9204438,2.7910984,148.82920378488788,3.1889632116389923,2025052300177,110,60819.053156911876,r,148.82916959429758,3.1889419186472665,5.680125713348389,1048.33,183.118,False,1112.54,4.10774,1281.23,183.05,False,193.903,35.4805,23.848755010126162,0.18965196700332262,23.784210875741735,0.004008774336318411,23.630932268761164,0.15511970420928425,25.68103867972261,0.19866872942633904
2016 FW126,nan,MBO,MBO,21164732430104151,745297383746175028,20.26123,2.9204443,2.7911062,148.82932033609694,3.188967035805568,2025052300178,71,60819.05368098723,r,148.82928146058313,3.1889507727610287,5.379349231719971,1107.66,199.311,False,1266.71,24.5209,1237.64,198.964,False,193.054,22.7368,23.78898378479359,0.19536605733290968,23.643307035767137,0.021017620854690156,23.668514144320365,0.1745438258221615,25.685802984050564,0.12787181827903893
2016 FW126,nan,MBO,MBO,21164732430104151,745297384035057680,20.261213,2.9204457,2.7911217,148.8295536796083,3.1889746886987216,2025052300180,110,60819.05472985945,r,148.82951349832524,3.188921177367678,6.429537296295166,1202.08,183.998,False,1464.04,13.6722,1534.73,184.626,False,248.675,37.9965,23.70016661095284,0.1661896867922014,23.486117614706828,0.010139342069183498,23.434920057483037,0.13061264377304133,25.410919670141354,0.16589594106165712
2016 FW126,nan,MBO,MBO,21164732430104151,745297384169275464,20.261204,2.9204464,2.7911296,148.82967047207956,3.188978517427305,2025052300181,110,60819.05525411703,r,148.82968102301254,3.1889696109342576,5.015388488769531,991.585,201.626,False,986.444,3.40038,1317.28,200.574,False,291.004,31.2938,23.90917510483051,0.22077043405935637,23.91481894437625,0.0037426510541903966,23.600804730684146,0.16531827269552934,25.2402526116268,0.11675720019436636
2016 FW126,nan,MBO,MBO,21164732430104151,745297384438759505,20.261187,2.9204478,2.791145,148.82990296354848,3.188986135710114,2025052300183,112,60819.05629904333,r,148.82988079243972,3.1889571449766034,6.343398571014404,1161.18,184.219,False,1086.44,22.1755,1361.26,182.443,False,183.993,32.759,23.737751082285364,0.17224997183115,23.809985691390814,0.022161136787524512,23.565147284307145,0.1455158908376129,25.737996770773886,0.19330970111488344
2016 FW126,nan,MBO,MBO,21164732430104151,745297384574550093,20.261179,2.9204485,2.791153,148.83001977504685,3.188989961719431,2025052300184,115,60819.056824495594,r,148.83001432200297,3.1889477581788306,6.918661117553711,1203.97,175.908,False,1140.57,12.5154,1358.04,173.296,False,140.9,35.8474,23.69846086268005,0.15863326671176373,23.757195190356985,0.011913712848866524,23.567718563931933,0.13854801156577706,26.027722564258603,0.2762301095439561
