provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 RN170,nan,MBO,MBO,21164736926724174,745174275006137260,18.61338,2.5624843,1.8421568,270.3227588545055,-24.834776838246547,2025042500450,176,60791.277617615146,i,270.32273239988405,-24.834814284474156,6.481947422027588,2671.64,378.783,False,nan,nan,2314.12,333.184,False,930.924,66.6364,22.83305520082594,0.1539348198053465,nan,nan,22.989035255554647,0.15632287996699598,23.97771441959328,0.0777179977451823
2017 RN170,nan,MBO,MBO,21164736926724174,745174275407741552,18.613018,2.5624835,1.8421391,270.32279082315495,-24.834789375251017,2025042500453,174,60791.279216819836,i,270.32272830834165,-24.834831597839653,9.986279487609863,2495.29,247.755,False,2187.8,10.9772,2837.89,227.886,False,460.13,40.9818,22.907197417643054,0.10780172825615124,23.049980930776456,0.005447638137451323,22.767511146908653,0.08718593456622974,24.74279861413123,0.09670185297661137
2017 RN170,nan,MBO,MBO,21164736926724174,745174275670934997,18.612778,2.562483,1.8421273,270.3228119934062,-24.834797669830817,2025042500455,164,60791.28027748602,i,270.32274639741905,-24.834822228531536,8.99314022064209,2679.9,299.093,False,2710.04,0.967294,3002.82,273.31,False,499.815,36.2916,22.829703567793338,0.12117470669590578,22.81756073165582,0.0003875315778129017,22.70617672582939,0.09882129222409582,24.652976780589285,0.07883537522391448
2017 RN170,nan,MBO,MBO,21164736926724174,745174276056810954,18.612415,2.5624824,1.8421096,270.3228438555652,-24.83481014145625,2025042500458,132,60791.28187701356,i,270.3227672205014,-24.834840645587143,8.490504264831543,3094.2,342.362,False,3288.12,23.7083,2132.75,306.563,False,432.947,20.8543,22.673629062657596,0.12013277224132768,22.607630814448832,0.007828472912050934,23.077650123429525,0.15606448735941636,24.80891318602135,0.052298014569009274
2017 RN170,nan,MBO,MBO,21164736926724174,745200689725047083,17.16702,2.5597763,1.7786938,270.35138894397494,-24.87308733210001,2025050100647,174,60797.28074399984,g,270.3513254577942,-24.873118080277667,14.000337600708008,2582.78,180.767,False,2845.22,7.40501,2483.93,178.258,False,-629.226,4.60647,22.869781450817747,0.07598993040202381,22.764710379086555,0.0028257525881734574,22.91215164798082,0.07791731850046182,nan,nan
2017 RN170,nan,MBO,MBO,21164736926724174,745200690124030072,17.16663,2.5597758,1.7786789,270.3513519581575,-24.873097967763904,2025050100650,167,60797.28220231854,g,270.351256144931,-24.873162682082725,13.694340705871582,2471.86,178.101,False,2436.91,6.0709,2108.63,175.432,False,-607.761,4.59673,22.91744027843002,0.07822882086648365,22.932901313883654,0.002704817216652792,23.089999107737924,0.09033016312995594,nan,nan
2017 RN170,nan,MBO,MBO,21164736926724174,745200690390893072,17.166363,2.5597754,1.7786688,270.351326585342,-24.873105232129127,2025050100652,164,60797.28320126145,g,270.35123187993577,-24.873141257788827,15.153495788574219,2559.56,167.571,False,2454.84,0.678981,2126.14,165.746,False,-559.128,4.95493,22.879586688814477,0.07108170797903841,22.92494198309759,0.0003003023554779476,23.08102040953183,0.08463997877452895,nan,nan
2017 RN170,nan,MBO,MBO,21164736926724174,745200690793021661,17.165962,2.5597746,1.7786535,270.3512886963932,-24.873116031967307,2025050100655,163,60797.284691791996,g,270.3512122562786,-24.873125029705623,14.975401878356934,2184.19,145.034,False,2122.55,1.84144,1807.43,141.155,False,-412.801,6.51568,23.051773993080168,0.07209476521464742,23.082855151209884,0.0009419415279069362,23.25734625150841,0.08479282080244893,nan,nan
2017 RN170,nan,MBO,MBO,21164736926724174,745200691061457197,17.16569,2.5597742,1.7786431,270.3512629317511,-24.87312334326803,2025050100657,163,60797.28570343807,g,270.3511970718258,-24.873162388415945,14.984208106994629,2435.09,160.055,False,2519.37,2.75009,1991.15,157.672,False,-525.41,5.34566,22.933712417796823,0.07136388964193359,22.89677006552965,0.0011851661384785768,23.152240041392357,0.08597553855648435,nan,nan
2017 RN170,nan,MBO,MBO,21164736926724174,745200691463585800,17.165289,2.5597734,1.778628,270.35122495323367,-24.873134072663493,2025050100660,162,60797.28719301775,g,270.3511453298928,-24.873150080908363,17.25429344177246,2462.49,140.28,False,2442.24,0.762961,2287.16,139.174,False,-400.774,6.79566,22.92156381547162,0.06185083963066689,22.9305291543016,0.0003391863009757259,23.001758674055065,0.06606719774480228,nan,nan
