provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 VJ52,nan,MBO,MBO,21164736992588362,745174274929066205,16.568981,2.835994,2.119374,269.3632059691844,-22.21702187282794,2025042500450,29,60791.277617615146,i,269.3632767348463,-22.217039327977982,10.07047176361084,3612.8,352.259,False,3797.42,78.0163,2886.06,291.741,False,-421.079,62.6081,22.505390184713747,0.1058625851136564,22.45127843889302,0.022305965442551763,22.7492365888197,0.10975300470735391,nan,nan
2017 VJ52,nan,MBO,MBO,21164736992588362,745174275319660586,16.568644,2.8359926,2.119355,269.36319126881017,-22.21705362640463,2025042500453,6,60791.279216819836,i,269.3632272227587,-22.216988438959095,9.594930648803711,3370.91,371.851,False,3967.9,306.339,2650.65,332.198,False,-510.974,27.6222,22.580632134714023,0.11976947421201815,22.40359823066466,0.08382351867539736,22.841619075160732,0.13607206040629644,nan,nan
2017 VJ52,nan,MBO,MBO,21164736992588362,745174275586523256,16.568419,2.8359919,2.1193423,269.3631814789787,-22.21707467747221,2025042500455,3,60791.28027748602,i,269.3632146108904,-22.217032663252166,10.192235946655273,4157.95,413.01,False,4481.95,9.63186,2734.75,354.084,False,-507.18,34.2672,22.352801792580216,0.10784639052088156,22.271332434440552,0.002333283152619544,22.807705922488175,0.14057659182557408,nan,nan
2017 VJ52,nan,MBO,MBO,21164736992588362,745200689636966430,15.221195,2.8310313,2.0510392,269.224493314863,-22.335250593713845,2025050100647,6,60797.28074399984,g,269.22452528010297,-22.33521837397709,9.983991622924805,2345.48,228.565,False,2451.89,11.2785,33030.3,224.833,False,30628.5,7.80512,22.974420673908938,0.1058040573177987,22.926247591623277,0.004994300678708748,20.102718678771588,0.007390466155798681,20.184685679520822,0.0002766802604449637
2017 VJ52,nan,MBO,MBO,21164736992588362,745200690038046938,15.220831,2.83103,2.0510232,269.22442077498204,-22.33528168704125,2025050100650,3,60797.28220231854,g,269.2243800008295,-22.33524760029728,11.550536155700684,2417.42,210.112,False,2581.6,1.98067,26116.3,206.209,False,23727.3,7.96343,22.9416197580181,0.09436763669385836,22.870277577939365,0.0008330047336890275,20.357720845680795,0.008572752263984481,20.46187916082875,0.0003643981364086509
2017 VJ52,nan,MBO,MBO,21164736992588362,745200690307006516,15.220582,2.8310292,2.0510123,269.2243710462738,-22.335302973952,2025050100652,4,60797.28320126145,g,269.2243463290655,-22.33526950203191,11.188776016235352,2178.5,193.018,False,2184.27,18.4493,23183.9,192.351,False,21039.6,9.08482,23.054606089320565,0.09619767574092061,23.051734187876363,0.009170603274776104,20.487033744525984,0.00900808056235296,20.592406323022647,0.0004688168000749161
2017 VJ52,nan,MBO,MBO,21164736992588362,745200690976522563,15.219957,2.831027,2.0509849,269.2242464115599,-22.33535622346334,2025050100657,1,60797.28570343807,g,269.224242725149,-22.33537247675053,13.236949920654297,2462.72,185.143,False,2578.39,9.20555,19299.3,181.781,False,16911.7,9.20702,22.921462419541918,0.08162376006222648,22.8716285248731,0.0038763722891104633,20.686146063276635,0.01022659948336687,20.82953188516712,0.000591093456186632
2017 VJ52,nan,MBO,MBO,21164736992588362,745200692325515345,15.218701,2.831023,2.0509295,269.2239955265804,-22.335462977777635,2025050100667,14,60797.29073289838,g,269.2239996848951,-22.335452008960168,15.340193748474121,2432.59,156.95,False,2325.08,0.728342,6210.98,154.223,False,3833.77,9.33032,22.934827668040278,0.07005138057236313,22.983905212430855,0.0003401118450371409,21.91709967647796,0.026959594629607706,22.440934857912133,0.002642377232688336
2017 VJ52,nan,MBO,MBO,21164736992588362,745200692993982470,15.218068,2.8310208,2.0509017,269.2238687825999,-22.33551669141068,2025050100672,9,60797.2932699156,g,269.2238507690368,-22.33549839332802,13.093720436096191,2809.61,213.645,False,2759.34,4.46081,8033.3,216.575,False,5106.26,5.48754,22.77838485855011,0.08256025115070742,22.797986923872713,0.0017552251500628935,21.637765061898165,0.02927107427197971,22.129742738856876,0.0011668071886029756
2017 VJ52,nan,MBO,MBO,21164736992588362,745200693662449842,15.217416,2.8310187,2.050873,269.2237381224272,-22.335571914594723,2025050100677,4,60797.29588233264,g,269.2236673555865,-22.33554520176818,8.543033599853516,2232.16,262.924,False,2621.53,9.01695,7170.36,264.372,False,5136.06,4.48593,23.02818673932386,0.12788784376267626,22.853612907832698,0.0037344713148482482,21.76114761894926,0.040031221231581496,22.123424766201513,0.0009483021071602755
2017 VJ52,nan,MBO,MBO,21164736992588362,745200694065102960,15.217044,2.8310175,2.0508568,269.22366366432595,-22.335603316719688,2025050100680,4,60797.29737012891,g,269.22367141574017,-22.3355634449687,14.119461059570312,2280.5,158.869,False,2432.05,0.501008,2385.16,154.423,False,214.751,12.8314,23.004924808557604,0.07563684660916269,22.93506873005024,0.00022366418679043803,22.956206246362026,0.0702940903888148,25.570161977143485,0.06487287597713876
2017 VJ52,nan,MBO,MBO,21164736992588362,745200694331965791,15.216785,2.8310165,2.0508454,269.22361185215505,-22.335625139483792,2025050100682,1,60797.29840548485,g,269.22362682047486,-22.335577224613484,13.203314781188965,2379.88,179.347,False,2256.21,4.08999,3017.08,176.411,False,661.788,6.55722,22.95861240520342,0.08182073921191836,23.01655121935289,0.0019681902162948847,22.701032907006777,0.06348383196802013,24.348202739230402,0.010757842193096888
