provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2018 TO84,nan,MBO,MBO,21164741254198351,745262191852650547,22.372028,2.644013,2.3481278,149.4936864745874,2.703235945615015,2025051500122,61,60811.04208450287,i,149.49369317613198,2.703217341404424,5.713491916656494,2409.95,419.149,False,nan,nan,2412.25,420.972,False,-9.7237,11.4571,22.94497994144206,0.1888359673000545,nan,nan,22.94394421231425,0.18947643285519977,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262191986868270,22.37203,2.6440146,2.3481355,149.49380256579104,2.703251004015772,2025051500123,61,60811.04255635306,i,149.49380291801862,2.703203510436172,7.356734752655029,2267.29,306.114,False,2845.72,34.2639,2134.22,306.051,False,-70.4215,13.7222,23.011232299918287,0.14658868592075083,22.764519595803172,0.013072810378719178,23.076902051384764,0.15569653090934085,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262192121085998,22.372034,2.6440163,2.348143,149.4939193991938,2.703266157190041,2025051500124,61,60811.0430310299,i,149.49393088568357,2.703235337969013,9.829870223999023,2941.04,296.756,False,2885.86,12.1557,2849.9,297.996,False,-54.8096,14.75,22.728747657513743,0.10955265548525225,22.74931181308488,0.004573292813813024,22.762925983858715,0.11352856575512417,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262192276275204,22.372038,2.644018,2.3481507,149.4940374670951,2.703281468948409,2025051500125,101,60811.04351116055,i,149.49404420683044,2.7032678428007886,6.919153213500977,2210.08,312.604,False,2149.67,3.90998,2234.24,313.054,False,3.70291,16.8685,23.0389799754504,0.1535715778594385,23.069070550342822,0.001974818025028511,23.027175447750473,0.15212960455936939,29.978642124304578,4.946040052227014
2018 TO84,nan,MBO,MBO,21164741254198351,745262192409968717,22.37204,2.6440196,2.3481584,149.49415406381493,2.7032965884045246,2025051500126,100,60811.043985125616,i,149.4941562600074,2.703318924897487,10.242171287536621,3313.09,320.991,False,3548.51,3.812,3332.21,319.534,False,12.7477,11.9713,22.599416887097203,0.10519229418467495,22.524884913399383,0.0011663561439856347,22.59316910429476,0.10411397625213413,28.636420436391866,1.0196093594505853
2018 TO84,nan,MBO,MBO,21164741254198351,745262192524263528,22.372044,2.6440213,2.348166,149.4942704189188,2.703311675031165,2025051500127,62,60811.04445870916,i,149.49439426473435,2.7033713632229768,5.2537312507629395,2290.32,423.103,False,2794.1,44.5457,2201.17,424.094,False,-98.3297,12.1222,23.00025955374736,0.2005738186300333,22.784395098739033,0.017309644481378953,23.0433660757109,0.20918612374401999,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262192678404141,22.372047,2.644023,2.3481736,149.4943882547585,2.7033269521225227,2025051500128,100,60811.0449378077,i,149.4944363211685,2.703345513062053,6.659945964813232,3194.15,476.197,False,3448.59,19.1878,3132.78,480.395,False,-108.869,10.7755,22.639111765395945,0.1618660142750839,22.555896061013208,0.006040987193494323,22.660175245971924,0.1664918147073326,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262192812097587,22.37205,2.6440248,2.3481812,149.49450535717637,2.703342132602867,2025051500129,99,60811.04541385244,i,149.49452588232452,2.7033327176354893,9.557028770446777,3332.44,342.608,False,3722.78,17.3665,3239.6,341.199,False,-107.889,10.6581,22.59309417219028,0.11162449077426058,22.472831561270347,0.005064881239100877,22.62377149153606,0.11435118586451402,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262192947363876,22.372053,2.6440265,2.348189,149.49462271033968,2.703357344061254,2025051500130,101,60811.04589065211,i,149.49463168685475,2.703365294111822,6.223621845245361,2980.22,481.144,False,3002.25,40.4178,2970.46,482.363,False,-15.1309,11.3058,22.714379198419394,0.1752875556691154,22.706382866257986,0.014616727373616684,22.717940742842956,0.17630905212652936,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262193081057339,22.372057,2.6440282,2.3481967,149.49473908404272,2.70337242704926,2025051500131,100,60811.046363020694,i,149.49474131429292,2.7033110066067163,8.575199127197266,2955.65,349.744,False,3260.78,7.77905,2971.09,350.073,False,73.9792,12.4489,22.723367523870294,0.1284758759510957,22.61669624377378,0.0025901765866551507,22.717710448847775,0.12792844277487497,26.72722589015444,0.18270299309080648
2018 TO84,nan,MBO,MBO,21164741254198351,745262193351065620,22.372063,2.6440315,2.348212,149.49497405987287,2.703402877251668,2025051500133,103,60811.04731837158,i,149.49500862938604,2.7034354614219516,5.320834159851074,2946.09,537.371,False,3630.39,19.4929,3694.35,539.119,False,803.62,10.633,22.726884942718883,0.19803980935166593,22.50011682645777,0.005829717692340283,22.481154876817364,0.1584422216751582,24.137373164935696,0.014365786741532835
2018 TO84,nan,MBO,MBO,21164741254198351,745262193485807659,22.372066,2.6440332,2.3482196,149.4950904475361,2.703417957492265,2025051500134,104,60811.04779119583,i,149.49511301044998,2.7034135576227842,9.01595401763916,3540.89,380.248,False,3913.67,2.4379,5335.8,378.041,False,1808.39,11.1087,22.52721894460516,0.11659470289602232,22.41853951360435,0.0006763259085421973,22.082001182994198,0.0769243223954868,23.256769749166047,0.006669533375772776
2018 TO84,nan,MBO,MBO,21164741254198351,745262193752145936,22.372072,2.6440365,2.3482351,149.49532963556186,2.703448944107956,2025051500136,100,60811.048763050516,i,149.4953237317293,2.703497654907021,7.821053981781006,3249.1,410.747,False,3250.3,29.6006,8138.24,412.889,False,4878.44,9.83525,22.62059227196832,0.13725735913468234,22.620191364064,0.009887838614200457,21.623673735665083,0.05508421122420316,22.17929759312784,0.002188914289899734
2018 TO84,nan,MBO,MBO,21164741254198351,745262193886363656,22.372076,2.6440382,2.3482428,149.49544628381523,2.7034640534715795,2025051500137,100,60811.04923726723,i,149.49544759231526,2.7034380174491504,6.602990627288818,2559.12,380.189,False,3057.49,15.9041,8564.28,377.963,False,6023.02,10.8774,22.879773322984818,0.16129956313581306,22.686587390261565,0.005647657942685998,21.568272821211515,0.04791624209398336,21.95046423325838,0.001960808263585088
2018 TO84,nan,MBO,MBO,21164741254198351,745262194020581410,22.372078,2.64404,2.3482506,149.49556342907533,2.703479225676641,2025051500138,100,60811.04971380338,i,149.49562253029234,2.7034801301477542,5.140692710876465,2265.89,428.943,False,2406.66,59.8262,7232.64,433.173,False,4847.03,9.35399,23.01190299457472,0.2055346727045273,22.946463190109554,0.02698988314145424,21.75175785720926,0.06502627044061535,22.186310778788183,0.002095296628872729
2018 TO84,nan,MBO,MBO,21164741254198351,745262194156896260,22.372082,2.6440418,2.3482583,149.49568008694104,2.70349433322492,2025051500139,104,60811.0501876124,i,149.49569541367265,2.703482392235193,7.124082088470459,2863.86,395.987,False,3458.69,24.9808,6654.84,398.277,False,3697.92,9.84338,22.757620500179456,0.15012514782729877,22.552720922784193,0.007841859237418512,21.842155979629,0.06497883905890803,22.480106244207903,0.0028900880065408684
2018 TO84,nan,MBO,MBO,21164741254198351,745262194424807492,22.372087,2.644045,2.3482735,149.4959136633719,2.7035245774828,2025051500141,103,60811.051136607966,i,149.49591713205672,2.7035465586034086,5.065168857574463,2723.68,533.864,False,nan,nan,3481.65,539.01,False,799.785,10.9042,22.81210982274375,0.21281336376109977,nan,nan,22.545537253871284,0.16808774539209595,24.142566899798933,0.014802834120925907
2018 TO84,nan,MBO,MBO,21164741254198351,745262194557452309,22.372091,2.6440468,2.3482811,149.49603058199796,2.7035397141898465,2025051500142,100,60811.05161158222,i,149.49608022931838,2.7034797393901573,6.3232035636901855,2773.96,423.026,False,3182.39,104.273,2680.76,418.24,False,146.898,11.0879,22.792249529452253,0.16557363887079193,22.64311653389352,0.035574828336497596,22.82935515927975,0.16939162700910648,25.98246032959344,0.08195166067956357
2018 TO84,nan,MBO,MBO,21164741254198351,745262194693767181,22.372095,2.6440485,2.3482888,149.4961484901801,2.7035549774462897,2025051500143,104,60811.05209077224,i,149.49618066493403,2.7035797546573646,6.226469039916992,3337.44,540.19,False,3471.81,77.1675,3276.86,542.364,False,8.25619,11.0688,22.59146635215871,0.17573465092884646,22.548610107328358,0.024132527647366068,22.611355246766486,0.17970380989647636,29.108050763467872,1.45561044946165
2018 TO84,nan,MBO,MBO,21164741254198351,745262194960629800,22.3721,2.6440518,2.3483043,149.49638358299697,2.703585405606752,2025051500145,101,60811.05304537207,i,149.4964192398846,2.703637816827665,5.1237945556640625,2788.33,546.052,False,3236.01,59.3451,2700.42,552.273,False,-42.5842,10.8369,22.786639541084362,0.21262490866929076,22.624975359198196,0.01991128701330182,22.82142174184981,0.22204798493972142,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262195096420424,22.372105,2.6440535,2.348312,149.4965017523835,2.7036006979568654,2025051500146,104,60811.05352545515,i,149.49650060585617,2.703593997151042,7.460640907287598,3213.68,440.358,False,3248.62,9.86965,3169.14,440.934,False,-43.3605,10.6309,22.632493448088628,0.14877418899221362,22.620752676589085,0.003298580881772161,22.647646474260124,0.15106243763242108,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262195228541017,22.372107,2.6440554,2.34832,149.4966265743268,2.7036168494978225,2025051500147,100,60811.05403220598,i,149.49664999251937,2.7035511546000066,5.937083721160889,2926.12,488.418,False,nan,nan,2825.73,494.271,False,-101.875,10.4584,22.73426962515682,0.181227387674721,nan,nan,22.772173351437303,0.1899147898525767,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745262196437024826,22.372166,2.6440878,2.348467,149.49887781949982,2.703907847416683,2025051500156,101,60811.06317210624,z,149.49896483650957,2.7039832098555783,6.424337387084961,5298.54,803.118,False,5459.36,23.4343,5323.91,806.566,False,41.3394,21.449,22.089609448792594,0.16456877973721645,22.057145693669874,0.004660522113180281,22.08442320520137,0.16448772785969687,27.359089544829686,0.5633355711095117
2018 TO84,nan,MBO,MBO,21164741254198351,745284180519682072,22.334946,2.661608,2.427653,150.770930570228,2.8296743495234304,2025052000110,147,60815.997173178526,g,150.77096903046578,2.8297120422041564,6.417056083679199,1235.83,200.339,False,nan,nan,1224.78,201.58,False,-34.3583,19.923,23.670103204646185,0.17600747527053093,nan,nan,23.679854759148256,0.17869552156956,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745284180788117523,22.334929,2.6616127,2.427675,150.7712815311644,2.8297001428203274,2025052000112,147,60815.99852844935,g,150.77134063409784,2.8297694607096657,6.691956520080566,1230.69,187.607,False,1328.48,39.1882,1194.36,187.769,False,-42.3931,15.2403,23.674628372337708,0.1655101739937183,23.5916124645145,0.03202761820456913,23.70716188802363,0.17069191942401576,nan,nan
2018 TO84,nan,MBO,MBO,21164741254198351,745284180922859572,22.334923,2.6616144,2.4276826,150.77140482622693,2.8297092020122894,2025052000113,148,60815.999004494544,g,150.77145449748468,2.82975123156228,6.352986812591553,874.394,142.369,False,nan,nan,846.925,141.873,False,-35.1225,8.30284,24.045732100261464,0.17677978635198985,nan,nan,24.08038763364855,0.18187756411802772,nan,nan
