provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2019 FR12,nan,MBO,MBO,21164745313825362,745200678926287048,18.21228,2.4875646,1.7216138,272.3739243414765,-23.08644588629361,2025050100567,57,60797.20865403733,u,272.37382893073647,-23.086419356690843,6.364965915679932,2302.0,363.794,False,2410.98,25.6623,2192.47,366.784,False,-134.533,6.93877,22.994736701765568,0.17158311197465642,22.94451598941104,0.01155649924609908,23.047665865654224,0.18163563001379707,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200679435894884,18.211626,2.4875665,1.7215916,272.3739449945037,-23.086380179172146,2025050100571,5,60797.211111267345,u,272.373956725008,-23.086474751768698,5.08659029006958,2076.57,403.985,False,2068.0,0.937346,2182.61,404.304,False,-121.209,6.75093,23.10663352547335,0.21122385006801775,23.111123663945236,0.0004921230505828761,23.052559594898433,0.20112042613409215,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200680515403931,18.210363,2.4875703,1.721549,272.37398400112926,-23.08625335323263,2025050100579,16,60797.21584555978,u,272.3741024293622,-23.086146832110234,6.490983009338379,2725.31,407.618,False,3166.99,12.7726,2816.54,407.4,False,-80.915,7.08198,22.811460202205875,0.1623909291986616,22.648383273203343,0.004378818525009428,22.77571017647162,0.1570469146743909,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200681125150741,18.209728,2.4875722,1.7215276,272.3740032587406,-23.086189370100065,2025050100583,155,60797.21822903136,u,272.3739913913649,-23.0860462334226,5.552031517028809,2659.03,492.163,False,3109.51,182.785,2451.31,494.239,False,-110.725,5.63617,22.838191895027336,0.20096019065531653,22.66827010204737,0.06382236929276126,22.926504381784312,0.21890873782623124,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200681868066887,18.208735,2.487575,1.7214941,272.3740328253582,-23.08608929292408,2025050100589,36,60797.22195254891,u,272.3739286645342,-23.086116304814507,5.16518497467041,1732.01,332.835,False,2076.81,12.0202,1672.62,331.547,False,-88.5848,6.8823,23.303624006008263,0.20864255887414965,23.106508053651083,0.006284044143033193,23.34150678950889,0.215214800342534,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200682121298518,18.20842,2.487576,1.7214833,272.37404209248643,-23.086057452237945,2025050100591,7,60797.223135533815,u,272.3740666671349,-23.08608145801098,5.04958438873291,2868.05,566.014,False,3126.58,6.5504,2582.71,575.914,False,-78.0883,7.26605,22.75603318573564,0.2142716677954312,22.6623261091723,0.002274691842003808,22.869810906205224,0.24210642761858261,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200682445307909,18.208103,2.487577,1.7214727,272.3740513219414,-23.08602551085363,2025050100593,113,60797.22432147898,u,272.3741238462771,-23.086024975257104,5.589573860168457,1970.48,350.533,False,2416.19,29.7422,1920.63,350.106,False,-68.6283,7.01046,23.163569932719263,0.19314398595099433,22.942172319930485,0.01336491958691067,23.191390726724336,0.1979156553932702,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200682713743443,18.207787,2.487578,1.721462,272.3740604905472,-23.08599354937553,2025050100595,113,60797.22550701859,u,272.37396215670276,-23.08607908022898,6.038354873657227,2113.3,338.745,False,2078.89,9.35661,2202.23,337.619,False,-76.7095,7.53954,23.087597092320507,0.1740347782527584,23.105421280654095,0.0048866515686038225,23.042843323273164,0.16645180656729916,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200682952818869,18.207464,2.4875789,1.7214512,272.37406974414733,-23.085961055126283,2025050100597,57,60797.22671258443,u,272.37409404896545,-23.08602500321836,5.173069953918457,1523.7,306.537,False,1674.92,250.319,1500.5,305.533,False,-56.0884,8.96571,23.44275136592259,0.21842771928831023,23.340014800377027,0.16226470170106602,23.45941000059782,0.22107845948034388,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200683624431663,18.206678,2.4875813,1.7214247,272.3740921074814,-23.08588152390316,2025050100602,58,60797.22965811858,u,272.3740282501408,-23.085942106331352,6.0266828536987305,1771.97,297.61,False,1993.46,24.8824,1689.24,299.038,False,-34.9181,8.56699,23.278859105767502,0.18235406995385492,23.150981207024948,0.013552177433862467,23.330771614630162,0.19220263490017822,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200685638746155,18.204271,2.4875882,1.7213439,272.37415818690795,-23.08563781165689,2025050100617,60,60797.23865651993,u,272.3741025265706,-23.085588398526877,6.397698402404785,2067.16,323.996,False,2184.31,25.9459,2149.78,324.548,False,-48.7606,8.60278,23.111564814406144,0.170172703002695,23.051714285821696,0.012896705229389042,23.069014939687634,0.16391142976768697,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200685800751126,18.204111,2.4875886,1.7213385,272.37416249847627,-23.08562143533743,2025050100618,113,60797.23925939443,u,272.3742045254326,-23.085570414119086,5.778134822845459,1735.16,300.352,False,1975.83,1.57804,1729.15,298.617,False,-65.7451,13.0264,23.301651159883107,0.1879383013755527,23.160626086016777,0.0008671470737684441,23.30541831214686,0.18750211864203312,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200686308262001,18.203468,2.4875906,1.7213169,272.37417954558543,-23.085556091393933,2025050100622,57,60797.241663404435,u,272.37411310990325,-23.08560253336627,5.870463848114014,2040.53,338.387,False,2741.59,23.1361,2091.77,340.911,False,-54.3859,7.71289,23.125642523959236,0.18005077342044057,22.804993696874224,0.00916245734649902,23.09871516463972,0.17695034516577782,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200686471839758,18.203308,2.487591,1.7213116,272.3741837230426,-23.085539931804952,2025050100623,113,60797.24225700423,u,272.37406008192903,-23.085509111535224,6.944180011749268,2126.9,313.035,False,2210.86,3.23329,1985.07,312.512,False,-28.9347,11.7538,23.080632371720252,0.15979757037838038,23.03859684153696,0.001587843552408167,23.155560464377892,0.17092878077103832,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200688775561243,18.200579,2.4875991,1.7212203,272.3742533585538,-23.085261652432447,2025050100640,155,60797.252454148234,u,272.3742393014736,-23.085301430420575,5.811136245727539,1900.16,323.028,False,2359.27,42.8171,1744.73,323.188,False,-26.9044,11.4705,23.20302455152017,0.184575617251366,22.968055877669983,0.019704432234463453,23.29567944048167,0.20111816942907407,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200688834805901,18.200417,2.4875996,1.7212148,272.3742573635289,-23.0852451164754,2025050100641,12,60797.25305886372,u,272.37421293716795,-23.085258385369574,7.532547473907471,2473.26,331.92,False,2540.33,8.53816,2427.57,331.812,False,-17.9023,10.8423,22.916825561431313,0.14570953892407226,22.887774624006543,0.003649206796285084,22.937070564865376,0.14840367287118117,nan,nan
2019 FR12,nan,MBO,MBO,21164745313825362,745200689178214433,18.200096,2.4876006,1.721204,272.3742652753282,-23.085212273239748,2025050100643,155,60797.25425770604,u,272.37407211717573,-23.085083452795693,5.012924671173096,2104.74,439.532,False,2803.03,62.2164,2619.13,440.405,False,279.686,7.82027,23.092003868075555,0.226733858724964,22.780930623876067,0.024099134673095806,22.854607410876476,0.1825658418351044,25.28332316246113,0.030358152342010104
2019 FR12,nan,MBO,MBO,21164745313825362,745200692461306564,18.190163,2.4876297,1.7208737,272.3744868672842,-23.084187051633428,2025050100668,17,60797.29124312107,g,272.3744439866082,-23.0842091668502,27.0291748046875,6975.89,245.118,False,7931.05,12.0093,77144.3,230.355,False,70385.9,9.34897,21.791000919311614,0.03815046936138582,21.651673307176676,0.0016440360830812187,19.181740437361398,0.003242038218503024,19.281285853715133,0.00014421234764582533
2019 FR12,nan,MBO,MBO,21164745313825362,745200693070528945,18.18962,2.4876313,1.7208557,272.3744979081732,-23.084130189152127,2025050100672,155,60797.2932699156,g,272.3742937062954,-23.08421320284474,13.752796173095703,5428.36,383.69,False,7070.95,71.6915,203475.0,373.372,False,198400.0,6.17359,22.063328423230455,0.07674254057330648,21.776305554315122,0.011008146371808315,18.128722357116757,0.0019923013063801462,18.156145830454598,3.378472971422705e-05
2019 FR12,nan,MBO,MBO,21164745313825362,745200693960245697,18.188646,2.4876342,1.7208235,272.3745173597364,-23.08402859784509,2025050100679,60,60797.29688292678,g,272.3742906809942,-23.084025014662345,22.347211837768555,3968.86,205.618,False,6082.56,3.01527,69570.3,190.891,False,65678.8,12.3202,22.40333552159418,0.05624962755020225,21.939783985488507,0.0005382253144841618,19.29394035847021,0.0029791058281566436,19.356437028399,0.00020366522819947227
2019 FR12,nan,MBO,MBO,21164745313825362,745200694469853733,18.188097,2.4876356,1.7208053,272.37452822860274,-23.083971045383333,2025050100683,8,60797.29892543325,g,272.37429181215737,-23.084025859605486,19.86763572692871,4177.78,224.563,False,5396.2,2.47905,71630.1,207.444,False,67390.5,11.0475,22.347636139594407,0.05836022857378291,22.069779866687355,0.0004987943655258402,19.26226108266459,0.0031443409490128447,19.32850330348255,0.00017798755535732025
2019 FR12,nan,MBO,MBO,21164745313825362,745200694794912037,18.187836,2.4876366,1.7207967,272.37453334660944,-23.083943749223288,2025050100685,116,60797.29989384275,g,272.37449934599863,-23.083976253561445,17.302289962768555,5668.88,307.772,False,7498.71,28.522,129142.0,295.506,False,123393.0,9.08641,22.016256862807623,0.05894624927049483,21.71253360986587,0.004129692640149126,18.622331230084896,0.002484409223272051,18.67177369207789,7.995140599622617e-05
2019 FR12,nan,MBO,MBO,21164745313825362,745200694871982196,18.187693,2.4876368,1.7207919,272.3745361561083,-23.083928711970607,2025050100686,7,60797.30042600611,g,272.37429019125216,-23.084025627753636,21.19461441040039,3572.67,216.899,False,5314.96,4.35364,64354.4,201.83,False,60923.5,9.8497,22.517517765770254,0.0659157169507997,22.08625000697184,0.0008893584695911015,19.378554412425217,0.0034051151982594525,19.43803788698478,0.00017553449601290493
2019 FR12,nan,MBO,MBO,21164745313825362,745200695063347880,18.18755,2.4876373,1.7207873,272.37453893330456,-23.0839138105713,2025050100687,116,60797.3009545994,g,272.3744833059625,-23.08392104094819,23.03295135498047,6089.16,272.652,False,6233.74,5.924,104279.0,259.974,False,98160.9,8.96119,21.938606507604334,0.04861559703652275,21.913128247820403,0.0010317884292934047,18.854507855548785,0.002706807535894098,18.92015368823668,9.911776296326252e-05
2019 FR12,nan,MBO,MBO,21164745313825362,745200695140417749,18.187408,2.4876378,1.7207826,272.3745416784169,-23.083899045155288,2025050100688,7,60797.30147766162,g,272.37429116184643,-23.084025151594204,27.995012283325195,3064.77,195.837,False,5654.61,0.380959,51934.7,188.172,False,48895.6,10.1702,22.684005273496787,0.0693779062940592,22.01899338403863,7.314757221980338e-05,19.611355948160995,0.003933885302393714,19.676825515946064,0.00022583124809794444
