provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 DS10,nan,MBO,MBO,21165806137192531,745416142926905718,13.444431,2.6712158,1.7937139,228.1572329332304,-39.40756794218065,2025061900267,32,60846.19228652783,g,228.1572482906759,-39.40756905711798,20.64424705505371,3387.94,163.628,False,3267.45,1.19928,3509.48,162.062,False,-25.6433,5.85248,22.575160742715077,0.05243801639904336,22.61447763989368,0.0003985070194484156,22.536893076601956,0.05013750696718932,nan,nan
2020 DS10,nan,MBO,MBO,21165806137192531,745424936888697602,13.925753,2.6720982,1.806604,227.92601729627472,-39.218578178026966,2025062100251,63,60848.03025114289,r,227.92603220567,-39.21857075363327,34.951324462890625,5697.9,160.799,False,5687.88,0.772691,5528.0,154.661,False,-185.657,27.6451,22.01071296120643,0.030640287580937682,22.012623959133897,0.00014749583737422905,22.043579914084646,0.030376454822767584,nan,nan
2020 DS10,nan,MBO,MBO,21165806137192531,745424937022915474,13.925869,2.6720984,1.8066071,227.9259615494085,-39.218533867257165,2025062100252,63,60848.0306865646,r,227.92597350770933,-39.2185198878606,34.18586730957031,5427.02,157.95,False,5316.41,1.00218,5301.28,153.662,False,-162.679,43.9672,22.063596440912228,0.03159966788605194,22.085953802522713,0.0002046687626221708,22.08904818612183,0.03147096667977234,nan,nan
2020 DS10,nan,MBO,MBO,21165806137192531,745424937133539492,13.925989,2.6720986,1.8066103,227.9259040064721,-39.21848812479008,2025062100253,18,60848.03113540527,r,227.9259176467136,-39.21847878489573,25.148414611816406,5660.18,223.371,False,5115.28,0.754137,5344.73,221.895,False,-139.213,29.6309,22.01792436014675,0.042847043141202606,22.127826517867632,0.00016006823799802312,22.08018557691191,0.04507607319246486,nan,nan
2020 DS10,nan,MBO,MBO,21165806137192531,745424937421374282,13.92623,2.672099,1.8066167,227.92578891473923,-39.21839662264504,2025062100255,55,60848.03203380895,r,227.9258067754921,-39.218394009166424,33.2256965637207,5440.43,162.035,False,5232.0,0.251111,5470.2,159.745,False,-140.982,34.8141,22.060916898005566,0.03233701457969818,22.10333066170947,5.211015002979086e-05,22.054991948275863,0.03170650406474434,nan,nan
2020 DS10,nan,MBO,MBO,21165806137192531,745424938501931260,13.927209,2.6721008,1.8066428,227.9253209105506,-39.218024365108775,2025062100263,68,60848.035684131566,r,227.92533340360674,-39.218016423550345,25.501667022705078,5891.54,227.613,False,5801.9,3.66884,5951.02,224.692,False,-118.788,14.6061,21.97442791623957,0.04194619408372707,21.99107442040645,0.0006865668850077464,21.96352147186056,0.04099402118909815,nan,nan
2020 DS10,nan,MBO,MBO,21165806137192531,745424938681761893,13.927343,2.672101,1.8066463,227.9252566809656,-39.21797325316762,2025062100264,155,60848.03618528384,r,227.9252825465854,-39.217956373309214,25.289461135864258,5612.93,221.763,False,5196.76,0.106177,5344.61,217.09,False,-146.091,10.3333,22.027025900802823,0.04289668871079599,22.11066839789615,2.2183094965171568e-05,22.080209977965893,0.04410096803027476,nan,nan
2020 DS10,nan,MBO,MBO,21165806137192531,745424939730862431,13.928328,2.6721027,1.8066726,227.92478586260725,-39.21759841583484,2025062100272,108,60848.03985719467,r,227.92479058922262,-39.21759142353275,27.016637802124023,5513.07,201.27,False,5467.33,3.15762,5478.11,198.853,False,-74.7681,32.9157,22.046516267631468,0.039637831106447356,22.055561764337803,0.0006270596900166215,22.05342315558924,0.03941175030569913,nan,nan
2020 DS10,nan,MBO,MBO,21165806137192531,745424940159730200,13.9287,2.6721034,1.8066826,227.92460735831983,-39.21745621897121,2025062100275,158,60848.041249810056,r,227.92462277155434,-39.217442710766505,33.319698333740234,5876.5,175.053,False,5834.96,0.499954,5922.16,170.048,False,1.27145,11.3285,21.97720314877919,0.03234261432692603,21.98490529926228,9.302859764148054e-05,21.96879962980554,0.031175663910083865,31.139251748168704,9.673807038136045
2020 DS10,nan,MBO,MBO,21165806137192531,745424940671435128,13.9292,2.6721044,1.8066959,227.92436843673696,-39.21726582028819,2025062100279,110,60848.043112665444,r,227.92440123094096,-39.21725118135315,8.887628555297852,5907.61,647.286,False,6103.11,5.45319,5506.72,658.908,False,-42.5792,31.908,21.97147048271416,0.11896213070270484,21.936122030381593,0.0009701161840501943,22.047767471424464,0.12991404411872748,nan,nan
