provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 HZ123,nan,MBO,MBO,21165806205481818,745315078244401200,14.303129,2.7830362,1.9522624,290.8142609538156,-19.739768031013444,2025052700940,144,60823.310881503065,i,290.81422549449485,-19.739789973111442,14.494194030761719,5120.46,357.711,False,5226.26,6.13618,5129.15,353.361,False,164.705,7.44876,22.126727563612754,0.0758486122169957,22.104522519829324,0.0012747687641225102,22.124886520609458,0.0747993001056539,25.858233029479347,0.04910226379344073
2020 HZ123,nan,MBO,MBO,21165806205481818,745315078355026360,14.302988,2.783036,1.9522578,290.8142175848715,-19.739758129661343,2025052700941,99,60823.31137196548,i,290.81420236690707,-19.739789491221245,14.262516975402832,5042.48,353.486,False,5423.04,4.055,4537.23,347.926,False,159.919,7.42449,22.14338954334288,0.07611186189027029,22.064392972739633,0.0008118435586318012,22.258023017276237,0.0832569322772419,25.89024979339591,0.0504070013427326
2020 HZ123,nan,MBO,MBO,21165806205481818,745315078489244137,14.302839,2.7830358,1.9522529,290.8141715581352,-19.7397476185084,2025052700942,99,60823.31189173038,i,290.81419013406105,-19.739757917083416,14.815423965454102,5322.09,357.981,False,5362.57,10.0085,4706.93,349.476,False,123.994,7.45068,22.08479449567751,0.07303013105899935,22.07656759991992,0.002026377514737624,22.218155610297778,0.08061278711128922,26.16649829512821,0.0652408388401832
2020 HZ123,nan,MBO,MBO,21165806205481818,745315078606684265,14.3026905,2.7830355,1.9522479,290.8141255288731,-19.73973710366656,2025052700943,67,60823.312411398525,i,290.8141094844914,-19.739732759559807,14.085579872131348,5270.03,373.864,False,5378.28,3.30617,4865.51,368.597,False,-7.84702,7.51246,22.095467325587016,0.07702379528158738,22.073391522393685,0.000667430590647041,22.182179128571278,0.08225224297321722,nan,nan
2020 HZ123,nan,MBO,MBO,21165806205481818,745315079047610382,14.298092,2.7830286,1.9520948,290.81270333003283,-19.739410635601395,2025052700946,140,60823.328466791805,i,290.81267258434934,-19.73941002035992,14.815583229064941,5147.93,346.999,False,5839.65,19.9601,6333.28,349.114,False,1196.58,7.38734,22.120918380758752,0.07318463086391679,21.98403297213246,0.0037110792208209127,21.895928314328714,0.05984983090757733,23.705145690781045,0.0067030226680552946
2020 HZ123,nan,MBO,MBO,21165806205481818,745315079163478029,14.297943,2.7830284,1.9520898,290.81265706284785,-19.73939996179864,2025052700947,105,60823.32898863165,i,290.8126675592047,-19.739404356651722,14.130228042602539,4792.55,338.478,False,5272.93,6.51788,6400.51,331.513,False,1182.85,8.65858,22.198583412979957,0.07668106345159721,22.094869948910898,0.0013420807820506667,21.884463588641225,0.056235468760819744,23.717675836880915,0.007947697335501153
2020 HZ123,nan,MBO,MBO,21165806205481818,745315079296123351,14.297793,2.7830281,1.9520848,290.8126107944578,-19.739389284276196,2025052700948,102,60823.32951046493,i,290.8125996754454,-19.739386855513292,16.673627853393555,5312.3,317.333,False,5175.45,0.436544,5873.74,311.06,False,779.73,8.61182,22.08679355781655,0.06485702016343435,22.115129665964545,9.158075318668601e-05,21.97771316005573,0.057498133680621795,24.17013941729612,0.01199154224790685
2020 HZ123,nan,MBO,MBO,21165806205481818,745315079437680782,14.297645,2.7830281,1.9520799,290.8125647021038,-19.739378643947365,2025052700949,116,60823.33003026659,i,290.81255207968576,-19.739414448066775,13.941407203674316,4491.03,320.005,False,4402.28,0.323338,5086.85,311.343,False,709.789,9.02169,22.269135161560477,0.07736333004368695,22.29080589872737,7.974499401261897e-05,22.133877650574618,0.06645298105106866,24.272176836365595,0.013800123474932043
2020 HZ123,nan,MBO,MBO,21165806205481818,745315079699300944,14.297339,2.7830276,1.9520698,290.81247038656795,-19.739356860684914,2025052700951,103,60823.3310941422,i,290.8124597466576,-19.739367510953098,16.098146438598633,4694.61,291.719,False,4631.16,0.501375,4569.34,285.388,False,132.719,9.35654,22.22100123281001,0.06746670815638896,22.235775499592073,0.0001175431193310075,22.25036635044148,0.06781200241813545,26.092667296076467,0.07654318055855222
2020 HZ123,nan,MBO,MBO,21165806205481818,745315079873364265,14.297189,2.7830274,1.9520648,290.81242384760486,-19.73934610665636,2025052700952,179,60823.3316194858,i,290.812415151645,-19.739375439024318,16.974390029907227,5319.38,311.56,False,5075.19,1.88901,5093.27,301.244,False,58.8652,10.2898,22.085347483721932,0.0635923691776016,22.136369248580728,0.0004041162045766575,22.13250824776695,0.06421640773479273,26.975353439429412,0.18978968992377515
