provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 KW12,nan,MBO,MBO,21165806254633559,745345748267696693,9.911456,2.7978315,1.8632156,226.99217819128395,-41.44978386782184,2025060300074,11,60830.14527409608,i,226.9923917064564,-41.449831095981665,51.42250061035156,12961.4,246.648,False,12749.6,1.46901,14899.1,232.456,False,2181.5,47.4157,21.11837018345816,0.020660935541417028,21.136258634186714,0.00012509862161085055,20.967099940797397,0.01693967386878641,23.053111956692902,0.023598872832354047
2020 KW12,nan,MBO,MBO,21165806254633559,745350149185732751,10.106458,2.7960708,1.864638,226.80590185754647,-41.32236726345928,2025060400095,112,60831.099031430014,y,226.806111233885,-41.32240881481066,7.5036821365356445,11033.1,1427.14,False,11929.8,41.4913,16045.5,1307.7,False,4973.61,648.446,21.293256152231578,0.14044082243635533,21.208417110532658,0.0037761409153540862,20.886616862850357,0.08848693913855864,22.158320710948928,0.14155538952372482
2020 KW12,nan,MBO,MBO,21165806254633559,745350151335313584,10.108163,2.796056,1.8646506,226.8042948750173,-41.32130265269244,2025060400111,116,60831.10696907119,y,226.80451949178703,-41.32139109649174,7.571091651916504,11111.1,1466.09,False,13573.5,45.6411,20606.0,1415.62,False,10288.1,636.693,21.28560739750551,0.14326097427662784,21.06827038182785,0.003650804633267428,20.6150157612756,0.07458943418801596,21.369162098901377,0.0671922570971334
2020 KW12,nan,MBO,MBO,21165806254633559,745350154844897509,10.11129,2.7960293,1.8646739,226.80134762837292,-41.31934483282835,2025060400137,154,60831.1215287136,i,226.80146697251857,-41.31936791199323,34.10929870605469,19036.2,565.655,False,23130.6,117.45,192656.0,557.106,False,175555.0,11.6425,20.70104939711345,0.03226233018754179,20.489532772411152,0.0055130310536244675,18.18804365237473,0.003139638390204996,18.28896699209176,7.200412224693927e-05
2020 KW12,nan,MBO,MBO,21165806254633559,745350155250172438,10.111605,2.7960265,1.8646762,226.80105009226463,-41.319146777524026,2025060400140,159,60831.12299886494,i,226.80128727323557,-41.31919474662457,24.40284538269043,15400.1,578.333,False,15819.4,1.52937,274722.0,527.607,False,261124.0,19.2566,20.93119117523644,0.04077357295834925,20.902024954431184,0.00010496556661451756,17.802766401175333,0.0020851697932900586,17.85788302545454,8.006765819160802e-05
2020 KW12,nan,MBO,MBO,21165806254633559,745350157797687694,10.114078,2.7960052,1.8646948,226.7987191152243,-41.31759240958056,2025060400159,154,60831.134517216386,z,226.7989486389995,-41.31764503111557,28.271766662597656,16762.1,587.847,False,16643.4,2.84498,15815.3,565.049,False,-1032.56,22.6185,20.83917895715598,0.03807677851806815,20.84689484715411,0.0001855929507726428,20.90230642728286,0.03879118173743814,nan,nan
2020 KW12,nan,MBO,MBO,21165806254633559,745350158605091323,10.11485,2.7959986,1.8647007,226.79799107429008,-41.31710589236484,2025060400165,158,60831.138116907576,z,226.79821743175663,-41.31716220667729,22.581745147705078,16128.1,702.736,False,16360.3,13.9572,16016.2,692.449,False,-58.8518,21.6878,20.881042007408666,0.04730786397550492,20.865521855217906,0.0009262567063336761,20.888601278361918,0.04694102923994901,nan,nan
2020 KW12,nan,MBO,MBO,21165806254633559,745350161213948352,10.117113,2.7959793,1.864718,226.7958572380226,-41.315676947542045,2025060400185,14,60831.14866928883,z,226.79609983783573,-41.31571717576084,23.14592170715332,15451.7,668.436,False,15234.7,2.90621,16328.9,654.744,False,-380.131,20.8819,20.92755931732642,0.04696862665547996,20.94291521966867,0.0002071177848069762,20.867607650583775,0.043535037190979106,nan,nan
2020 KW12,nan,MBO,MBO,21165806254633559,745416141107102092,13.729688,2.7685971,1.9143547,224.63304177399016,-39.11385763847204,2025061900253,145,60846.18571192013,g,224.63322950485323,-39.11391846914407,32.213565826416016,5904.13,183.046,False,6122.66,0.601111,5802.81,186.418,False,-136.891,2.59766,21.972110242982726,0.03366112856252739,21.932649614501216,0.00010659549174609947,21.990904112040624,0.0348797856520628,nan,nan
2020 KW12,nan,MBO,MBO,21165806254633559,745416141239746773,13.729808,2.7685964,1.9143571,224.6329961081792,-39.11378462553372,2025061900254,142,60846.186180225355,g,224.63318872067458,-39.113841140381844,32.38752746582031,6191.85,189.13,False,6912.97,1.65572,6076.87,193.099,False,-139.808,2.22524,21.920448915756687,0.0331638024933903,21.800838285776294,0.0002600438144800384,21.940800114657282,0.034500420495959715,nan,nan
2020 KW12,nan,MBO,MBO,21165806254633559,745416141366624635,13.729926,2.7685955,1.9143593,224.6329508413448,-39.11371223066159,2025061900255,128,60846.186645377835,g,224.63315203729456,-39.11376274422432,31.067886352539062,5696.91,179.121,False,6292.41,2.24522,5636.05,179.843,False,-113.994,2.46261,22.01090157394586,0.03413748010485517,21.90295744160371,0.00038740586236192434,22.02256294442241,0.03464519753322689,nan,nan
