provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 GX96,nan,MBO,MBO,21165810483017304,745174275408265395,22.855192,2.1098645,1.3601383,270.496085346598,-24.781896994826056,2025042500453,175,60791.279216819836,i,270.4961161674497,-24.781913744026053,24.246917724609375,6728.49,275.38,False,5823.22,0.148762,6242.03,226.291,False,-300.734,50.6527,21.83020593395595,0.04443642346989492,21.987091965017118,2.7736593524259837e-05,21.911685408345996,0.03936096756423602,nan,nan
2021 GX96,nan,MBO,MBO,21165810483017304,745174275674604467,22.854925,2.109863,1.3601271,270.49619002085217,-24.781936664813504,2025042500455,171,60791.28027748602,i,270.49621163018367,-24.78194144434058,22.064098358154297,6780.71,304.473,False,6391.93,0.739225,6555.41,273.194,False,-167.292,16.9654,21.821812079500738,0.048752616264127885,21.885919944544348,0.00012556509406207427,21.858500325905972,0.045247606163127285,nan,nan
2021 GX96,nan,MBO,MBO,21165810483017304,745174276057335169,22.854525,2.109861,1.3601104,270.4963477891316,-24.781996438959293,2025042500458,133,60791.28187701356,i,270.49637445511974,-24.782001886654044,18.71489143371582,6363.74,333.924,False,6364.86,3.05447,5876.37,300.116,False,-71.2701,23.5383,21.89071889102688,0.05697174543243867,21.89052788468946,0.0005210403377571522,21.97722714606164,0.05545035411543298,nan,nan
2021 GX96,nan,MBO,MBO,21165810483017304,745174276341498061,22.854263,2.1098597,1.3600994,270.4964510747633,-24.78203555919259,2025042500460,163,60791.28292506441,i,270.49649940284525,-24.782048388199634,19.5098876953125,6311.59,318.66,False,5556.1,4.18835,5219.67,266.883,False,49.5985,31.0824,21.899653078355815,0.054816727884641425,22.038074846740226,0.0008184595977623378,22.105892399410415,0.05551395684021979,27.161328659400304,0.6804094237221239
2021 GX96,nan,MBO,MBO,21165810483017304,745174276726326410,22.853863,2.1098576,1.3600826,270.4966082896576,-24.78209508679271,2025042500463,129,60791.284521776055,i,270.4966294155116,-24.78210757848008,22.94722557067871,6569.55,279.183,False,6175.82,5.48458,6787.33,264.781,False,-126.523,26.7145,21.856160976419805,0.046140011868976094,21.923263456911123,0.0009642132197487197,21.820752574743985,0.04235573061642154,nan,nan
2021 GX96,nan,MBO,MBO,21165810483017304,745200689727668598,21.260597,2.1023157,1.2999555,270.9951525638282,-25.002159728444944,2025050100647,179,60797.28074399984,g,270.9951683094017,-25.0021911137527,16.956012725830078,3592.3,209.203,False,3380.09,2.47498,3046.89,205.346,False,-182.503,5.50994,22.511568489513422,0.0632294828765709,22.577679311323323,0.0007950011532253999,22.690358099682697,0.0731734939588025,nan,nan
2021 GX96,nan,MBO,MBO,21165810483017304,745200690129797265,21.260159,2.1023138,1.2999413,270.9952211826999,-25.00221710986522,2025050100650,178,60797.28220231854,g,270.99523131602234,-25.00224156750205,21.90631675720215,3985.25,180.571,False,3835.17,2.32844,3671.31,177.262,False,-197.832,5.60906,22.39886107386608,0.04919452262759603,22.44053847335671,0.0006591811071849682,22.487947339577687,0.052422639575313436,nan,nan
2021 GX96,nan,MBO,MBO,21165810483017304,745200690638881021,21.259567,2.1023114,1.2999221,270.99531411461186,-25.00229483154381,2025050100654,125,60797.28417959226,g,270.9953471001502,-25.002297855587553,25.35931396484375,4156.81,163.878,False,3914.81,0.772553,3563.96,159.323,False,-224.873,7.2218,22.353099549264442,0.042804044868438765,22.418223261221833,0.0002142604056399873,22.520167959147937,0.04853666963884684,nan,nan
2021 GX96,nan,MBO,MBO,21165810483017304,745200690799313260,21.259413,2.102311,1.2999171,270.99533816110807,-25.00231494365617,2025050100655,175,60797.284691791996,g,270.99537005036035,-25.00232139855306,22.536767959594727,3815.28,168.885,False,3493.09,2.97446,3268.12,161.499,False,-227.612,8.04144,22.446183951798822,0.04806057525749746,22.541975534067017,0.0009245334953211189,22.614254974234427,0.05365326161757964,nan,nan
2021 GX96,nan,MBO,MBO,21165810483017304,745200691067224546,21.25911,2.1023095,1.2999072,270.9953856656243,-25.00235467692171,2025050100657,174,60797.28570343807,g,270.9954122980148,-25.00236346569911,25.466623306274414,4221.65,165.532,False,4051.34,0.317786,3981.93,161.834,False,-227.812,6.19819,22.336294462971523,0.042572000778192794,22.381003246586292,8.51648508631219e-05,22.399765965850357,0.04412660081409907,nan,nan
