provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 SA136,nan,MBO,MBO,21165814980032065,745350184160985227,25.556536,2.1050646,1.4466473,320.8559092563586,-16.503351188494758,2025060400356,6,60831.30052952199,i,320.8558819460529,-16.503342005864596,10.314035415649414,3303.07,319.436,False,3862.18,10.3974,3173.51,307.872,False,-108.702,18.6844,22.602705533695268,0.10500026586228547,22.432918742821943,0.002922917551520661,22.64615031878146,0.10533062315084037,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350184379613301,25.556454,2.1050637,1.4466411,320.8559923112137,-16.503334628291825,2025060400357,167,60831.30103390437,i,320.8559796512539,-16.503322031689326,11.58543872833252,3448.66,294.962,False,3318.38,2.44467,3535.82,283.326,False,-41.7361,20.9705,22.555874078141116,0.09286242676467593,22.597684745322923,0.0007998682429637056,22.528774608940182,0.08700026523089169,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350185959817246,25.55546,2.1050494,1.4465657,320.8569999491026,-16.50313332271501,2025060400369,109,60831.307152372385,i,320.85700826910397,-16.503156077325087,12.030449867248535,3353.91,276.147,False,3088.19,2.7485,3223.96,265.184,False,-147.575,97.7381,22.586121517413112,0.0893950067349053,22.67573998977878,0.0009663091109800266,22.629025901078563,0.0893062764033319,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350187284168756,25.554615,2.1050375,1.4465017,320.8578562294621,-16.502961683932334,2025060400379,75,60831.31235878196,i,320.85786036844155,-16.50297043554759,8.419866561889648,3352.5,399.36,False,3590.96,16.0011,2667.32,391.118,False,-420.697,14.4057,22.586578033690905,0.12933619532524016,22.51197359303336,0.004837974904039922,22.834812168703692,0.15920511018843897,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350187948966013,25.554192,2.1050315,1.4464698,320.858283872878,-16.502875768009773,2025060400384,63,60831.314960150805,i,320.85825071819386,-16.502893795549426,12.194015502929688,4155.63,340.454,False,4095.31,3.44992,3758.59,330.227,False,-395.666,18.3817,22.35340784853429,0.0889499919739044,22.369283029851257,0.0009146323300903189,22.462437589728765,0.09539199278760484,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350188141904250,25.553883,2.105027,1.4464463,320.8585969917246,-16.502812778048522,2025060400385,175,60831.31686618617,g,320.85852084745795,-16.502831027694597,10.546915054321289,2188.55,205.558,False,2300.75,0.452522,1608.9,173.099,False,-334.558,14.2825,23.049608793199084,0.10197699679716171,22.99532642325351,0.00021354755157436045,23.383677354317797,0.11681263434350625,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350189575831748,25.552834,2.105012,1.4463671,320.8596557843149,-16.502599265338834,2025060400396,94,60831.32331667877,g,320.8596500549157,-16.502678446689597,9.292296409606934,2176.68,231.72,False,2391.92,6.89299,1712.48,193.463,False,-276.029,12.6089,23.055513566971992,0.11558281538539626,22.953133410026325,0.0031288542963020275,23.315936242176832,0.12265824009245739,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350190474461363,25.552244,2.1050036,1.4463227,320.860249002138,-16.502479292367642,2025060400403,16,60831.32693348517,g,320.86029299130087,-16.502541865958094,8.283711433410645,2323.03,276.271,False,2924.33,4.18889,1826.36,241.666,False,-372.036,12.1918,22.98486294033622,0.1291233513991061,22.734934021985733,0.0015552380845782964,23.246034041479867,0.1436658315782028,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350191411363917,25.55165,2.1049953,1.446278,320.8608467784353,-16.50235814719784,2025060400410,11,60831.33058055797,g,320.8608450483465,-16.502423429591847,10.604743003845215,2781.96,258.758,False,3124.58,1.22103,2254.49,224.376,False,-403.885,12.9496,22.78912281209019,0.10098740745529158,22.66302085140553,0.0004242862853734626,23.017379221469735,0.10805688001328467,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350191618982054,25.551565,2.104994,1.4462717,320.8609318187007,-16.502340892627323,2025060400411,151,60831.33109909367,g,320.86100421148296,-16.50240111333756,9.894672393798828,2543.83,251.843,False,2868.07,1.05695,1972.49,212.067,False,-420.698,12.7266,22.88627975476554,0.10748951664830986,22.756025607118232,0.0004001188342920009,23.16246298005175,0.11673003276684885,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350192486678624,25.548962,2.104957,1.446076,320.86354377852626,-16.501808491707244,2025060400418,14,60831.347059450585,r,320.86353280854536,-16.501798188198563,10.955342292785645,3842.74,345.848,False,4428.53,19.6788,3298.96,307.83,False,-309.083,14.7789,22.438397500084655,0.09771665195929657,22.284351075057472,0.004824622909993724,22.604057388500557,0.10131137245956091,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350192787619896,25.548786,2.1049547,1.4460629,320.8637193460655,-16.501772538170016,2025060400420,76,60831.348133566615,r,320.86365512236233,-16.501864231729627,8.785012245178223,2792.14,318.511,False,2937.64,5.01324,2705.86,288.093,False,-246.652,15.805,22.785157065898744,0.12385443522686633,22.730003607010623,0.0018528670016603572,22.819236650300546,0.11559835836693644,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350193647976582,25.548252,2.104947,1.4460227,320.864254575075,-16.501662803562283,2025060400426,181,60831.35140816614,r,320.864171607689,-16.501740471190523,7.0413994789123535,2504.18,362.409,False,2603.93,115.012,2568.37,314.969,False,-203.36,14.146,22.903336172967936,0.1571295111615186,22.860926765612195,0.047955473759434986,22.875855979282633,0.13314795948848926,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745350194368348174,25.547722,2.1049397,1.4459832,320.8647838899822,-16.501554093325577,2025060400432,19,60831.35464873562,r,320.86468185692337,-16.501772601457738,7.494211673736572,3514.63,468.714,False,nan,nan,2344.1,447.466,False,-432.82,14.6582,22.53530100684898,0.14479469098651856,nan,nan,22.97505961758668,0.2072565249218969,nan,nan
2022 SA136,nan,MBO,MBO,21165814980032065,745367799081730130,24.876875,2.0957334,1.3981106,321.50340816259444,-16.382176304380064,2025060800525,105,60835.33617694888,i,321.5034369780421,-16.382212268449234,8.480569839477539,4031.34,471.293,False,4520.05,6.01727,3902.98,468.318,False,35.7979,37.5958,22.386376406959158,0.12693046510536402,22.26214194959666,0.0014453752217037802,22.42150919084264,0.13027732734023026,27.51535608870778,1.1402657210242535
2022 SA136,nan,MBO,MBO,21165814980032065,745367800193744929,24.87607,2.0957239,1.3980606,321.5039882019083,-16.38207031034033,2025060800533,178,60835.340378946974,i,321.5039649718261,-16.382124744442137,6.610660552978516,3675.37,564.904,False,4011.5,100.627,3726.8,565.249,False,50.2068,31.3067,22.48674730011715,0.16687753789258392,22.391733008653716,0.027235292504891154,22.471659768732565,0.164675142591363,27.14809367654278,0.6770162279301223
