provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KC28,nan,MBO,MBO,21165827729537091,745297394483070018,7.173831,2.828828,1.8576236,228.30212731182084,-38.05462147092813,2025052300258,70,60819.10989085356,z,228.3019266829887,-38.054603118534985,7.039122104644775,398.52,403.553,False,nan,nan,3044.03,360.203,False,2723.73,303.562,24.898874725816356,1.0994482699120058,nan,nan,22.691377668934344,0.12847621001744688,22.812089872042193,0.12100621899955617
2025 KC28,nan,MBO,MBO,21165827729537091,745297402110411215,7.180063,2.828887,1.8577472,228.29031749890237,-38.05432617549943,2025052300315,26,60819.15388122112,g,228.2903264608001,-38.05433650753143,16.059030532836914,1704.07,106.617,False,1572.95,2.60169,3576.61,101.419,False,1873.67,53.5419,23.321281457221538,0.0679302711033513,23.408212739334466,0.0017958289664697247,22.51632100119611,0.030787330866799082,23.218267216532265,0.031025943003454477
2025 KC28,nan,MBO,MBO,21165827729537091,745306290350195190,7.5103,2.831748,1.8644135,227.74355354908775,-38.03139209668216,2025052501001,166,60821.28512016622,g,227.74351699926646,-38.03137523567021,11.892548561096191,1975.58,164.404,False,2153.49,5.16192,1717.2,161.966,False,-121.028,6.02312,23.160763471941088,0.09035290220198779,23.067142856417114,0.002602511983889194,23.312947831354116,0.10240645169530783,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306290490179703,7.5103846,2.8317487,1.8644153,227.74342691128527,-38.03138377767885,2025052501002,177,60821.28561045133,g,227.7434706355728,-38.03136571985677,11.728429794311523,2170.16,186.012,False,2149.82,0.375871,1960.17,183.632,False,-140.015,4.45466,23.05877065801935,0.09306224607485881,23.06899471833738,0.00018982833118375816,23.169265630353905,0.10171358116435339,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306290622824883,7.5104685,2.8317494,1.864417,227.74330054291457,-38.031375470535686,2025052501003,174,60821.28609988717,g,227.7433034749879,-38.0313737698695,12.283395767211914,1992.97,160.358,False,2075.83,2.7618,1833.84,158.326,False,-128.751,4.88638,23.151248112576653,0.0873603168825896,23.10702049887128,0.0014445239699459528,23.241596416749083,0.09373788222100092,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306291027050968,7.5107207,2.8317513,1.8644222,227.7429212461199,-38.03135050159482,2025052501006,177,60821.287567510604,g,227.74292775537188,-38.03133232770143,11.472545623779297,1873.57,161.706,False,1980.58,2.30808,1942.15,160.835,False,-143.352,7.20248,23.218325221703918,0.0937088322656357,23.15801905107093,0.001265268774519906,23.1792930634405,0.08991292515337264,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306292077199415,7.5113935,2.8317566,1.864436,227.7419101951172,-38.03128369082134,2025052501014,132,60821.29148228136,g,227.74195542182585,-38.03129477368235,15.805716514587402,2672.74,166.835,False,2775.34,2.95515,2469.94,165.011,False,-197.012,4.29538,22.832608220672125,0.06777270055155157,22.791709477979857,0.0011560792996019894,22.918284017086634,0.07253553643264324,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306292204077439,7.511478,2.8317573,1.8644377,227.7417839614126,-38.031275323540335,2025052501015,118,60821.29197174951,g,227.74178462024162,-38.03127212108508,13.71045207977295,2488.82,180.69,False,2628.55,6.77048,2184.93,179.81,False,-230.54,3.95279,22.91001624998444,0.07882517502271351,22.850709373489533,0.002796581876834723,23.051406214571152,0.08935125172652296,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306292315750694,7.511561,2.831758,1.8644395,227.7416587716749,-38.03126701986528,2025052501016,75,60821.292456395386,g,227.74164288512497,-38.03123319676536,14.621152877807617,2625.56,178.157,False,3007.88,3.7338,2433.79,176.334,False,-208.45,4.68902,22.85194510739438,0.07367247299477467,22.704348777309786,0.0013477671742320786,22.934292226737437,0.07866422512188406,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306292987888191,7.511984,2.8317611,1.8644482,227.74102370389795,-38.03122481129861,2025052501021,77,60821.29491702103,g,227.7410088466981,-38.03126195868466,13.125924110412598,2279.24,172.274,False,2277.1,2.24104,2063.69,170.894,False,-132.323,4.86192,23.005524859551144,0.0820642503610964,23.00654469519658,0.00106854251047426,23.113388881531105,0.08990972733101978,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306293390540958,7.512235,2.8317633,1.8644533,227.7406463111472,-38.031199661534565,2025052501024,77,60821.29638096117,g,227.74067679423428,-38.03122488093197,10.265289306640625,1921.93,183.239,False,2172.12,2.39798,2009.55,182.218,False,-23.0612,3.9286,23.190656054988317,0.1035153252932207,23.057790405363015,0.0011986324587972765,23.142252932551216,0.09845023884434985,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745306293635908135,7.512403,2.8317645,1.8644568,227.7403940861472,-38.03118282538856,2025052501026,33,60821.29735805776,g,227.74036157305287,-38.03121689833367,14.888009071350098,2703.02,180.482,False,2885.37,0.800693,2735.38,179.578,False,16.9514,5.54806,22.820376844373463,0.07249514781971458,22.749496175904596,0.0003012928383919584,22.807455878488504,0.07127870632668827,28.326986021553587,0.35535290739699904
2025 KC28,nan,MBO,MBO,21165827729537091,745306294193750349,7.5127378,2.831767,1.8644637,227.73989132324093,-38.03114920005013,2025052501030,73,60821.299308234506,g,227.73992610127698,-38.031175267313564,13.92966079711914,2378.34,171.344,False,2294.95,0.384285,2414.11,171.129,False,-11.9479,5.46367,22.959315109644677,0.07822025910152203,22.99806695305851,0.00018180446176263291,22.94310731410205,0.07696457093120221,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745315055956394251,7.8573465,2.8342977,1.8712803,227.2743202626055,-38.0008426936907,2025052700774,129,60823.17480608987,i,227.27427827770157,-38.000833183606105,13.245100021362305,4572.35,347.225,False,5076.47,5.97993,3833.4,344.942,False,-517.013,6.02994,22.24965130939533,0.08245098303325327,22.136095394017225,0.0012789647423579655,22.44103968136978,0.09769813021688051,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745315056108437647,7.857445,2.8342981,1.8712822,227.274195885238,-38.00083308174739,2025052700775,163,60823.17529632947,i,227.2742116409337,-38.00085092465345,12.4840669631958,3958.78,313.906,False,4578.06,6.20798,3460.63,312.959,False,-436.444,5.77769,22.40609657317482,0.08609195583748419,22.248296285518492,0.0014722892944745946,22.552112115927862,0.09818759722382044,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745315056226927005,7.857543,2.8342988,1.8712842,227.2740717652752,-38.00082348228758,2025052700776,133,60823.175785560736,i,227.27408937058004,-38.00079375222793,13.431678771972656,4253.34,315.32,False,4195.78,11.8773,3771.03,315.257,False,-455.338,6.41495,22.32817478894217,0.08049071097377035,22.342968284395198,0.0030734727678865155,22.458850023065764,0.09076722369905271,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745315056644784512,7.85784,2.834301,1.87129,227.2736948582109,-38.0007942868673,2025052700779,162,60823.17727072349,i,227.27371902915914,-38.00079420341309,15.176105499267578,4675.8,307.8,False,4786.09,0.792774,4249.55,310.061,False,-484.682,6.50214,22.22536022879514,0.07147217685323282,22.20004788284039,0.000179842728734929,22.32914269116607,0.07921885232373227,nan,nan
2025 KC28,nan,MBO,MBO,21165827729537091,745315057679204565,7.8586516,2.8343065,1.8713058,227.27266609088304,-38.00071425068168,2025052700787,87,60823.181324098354,i,227.272624972149,-38.00072313171142,16.5012149810791,4727.22,286.957,False,4797.67,3.02792,4304.72,284.454,False,-382.432,6.63534,22.21348541466591,0.06590757162648779,22.19742408664756,0.000685233130042587,22.315137675623454,0.0717449687418173,nan,nan
