provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KX29,nan,MBO,MBO,21165827729537368,745284209852023683,7.081627,3.1454442,2.1865597,228.0857346715936,-41.08069317630099,2025052000329,30,60816.29382987938,r,228.08571272254937,-41.08072346217507,12.192063331604004,4520.44,366.515,False,4347.01,5.72942,3417.01,350.299,False,60.0394,26.5265,22.26204824105376,0.08803094967510423,22.304523460396908,0.0014310156320361718,22.565884372450263,0.11130559111531012,26.95390917392556,0.4796980493516159
2025 KX29,nan,MBO,MBO,21165827729537368,745284211058934692,7.0818906,3.145447,2.1865664,228.0844815181424,-41.08060290859476,2025052000338,28,60816.298369852564,r,228.08447958129412,-41.08064293928553,18.625497817993164,4636.95,245.741,False,4570.15,6.70186,6686.02,224.455,False,2011.8,84.3771,22.234418921904393,0.05753995331832344,22.25017388675479,0.0015921692162238568,21.837080818401798,0.036449026642925576,23.141037964117082,0.045536965910227066
2025 KX29,nan,MBO,MBO,21165827729537368,745284213878554792,7.082951,3.1454582,2.1865938,228.07943677896236,-41.08023478832816,2025052000359,30,60816.316676849194,z,228.0794181390748,-41.08025583459918,9.17381477355957,5154.63,550.845,False,5149.16,11.1387,4802.72,501.71,False,-429.822,162.311,22.119506282121307,0.11602624077734755,22.12065899984835,0.0023486722083508453,22.196281781731088,0.11342003648850736,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745288585617342969,7.145155,3.1460342,2.1879754,227.82832898344375,-41.06313352476009,2025052100163,28,60817.25000592864,r,227.82829724882936,-41.063156242243004,14.312173843383789,4386.44,303.014,False,4672.95,10.3047,4851.02,290.212,False,-323.918,11.2781,22.294719531427752,0.07500234426106141,22.226022119243314,0.002394244597212931,22.185417332732918,0.06495410867885404,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745288586288431534,7.145388,3.1460361,2.1879807,227.82746699732084,-41.06306438826471,2025052100168,28,60817.25313642433,r,227.82743383985658,-41.063060018326375,15.980695724487305,4727.16,291.4,False,4842.2,2.95795,7192.63,276.351,False,2614.0,11.8773,22.21349920886227,0.06692887758867351,22.187393147767416,0.0006632426174891029,21.757780717448988,0.04171552062646854,22.856736041888684,0.004933288029734686
2025 KX29,nan,MBO,MBO,21165827729537368,745288593671979349,7.1483073,3.1460605,2.1880486,227.81666059629887,-41.06217596350237,2025052100223,31,60817.292487493614,z,227.81665219231,-41.062170785924664,7.793937683105469,5715.7,725.322,False,6308.08,12.4195,27196.0,707.77,False,21528.8,33.9605,22.007326398152692,0.13777986107105175,21.900257005357254,0.00213762365236858,20.313737418744815,0.0282560499649745,20.56745040251872,0.0017126891304402722
2025 KX29,nan,MBO,MBO,21165827729537368,745288594878366102,7.148656,3.1460633,2.188057,227.8153695691853,-41.0620672549451,2025052100232,28,60817.29720284515,z,227.8152601895285,-41.06205086812371,8.614543914794922,7032.78,824.874,False,7836.88,1.85227,6377.31,794.768,False,-713.836,26.5704,21.782182453192206,0.12734588867703353,21.66464202421567,0.00025661700036299224,21.888406168813482,0.13530914913757203,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745297388329501184,7.305002,3.1471615,2.19137,227.34207894076025,-41.0214396460296,2025052300212,109,60819.08126372041,i,227.34206007333012,-41.02146023153979,19.100666046142578,3945.58,206.522,False,3629.67,1.13543,3785.71,198.246,False,-139.038,71.7121,22.409722844755603,0.05683027881455527,22.500332168557225,0.0003396389925307449,22.45463165553271,0.056856670018330675,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745297388623627356,7.305105,3.1471622,2.191372,227.34181309828827,-41.02141636488632,2025052300214,158,60819.08224434325,i,227.3417734614584,-41.02143785424849,17.56931495666504,4417.38,249.001,False,4352.28,1.386,4417.36,238.385,False,-20.1917,54.2523,22.287088127439784,0.06120130384528927,22.303207984766072,0.00034575682043907325,22.287093047998965,0.058592287524178215,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745297389002163263,7.3052607,3.1471632,2.191375,227.34141416274136,-41.02138138532917,2025052300217,112,60819.08371626666,i,227.3413944914774,-41.021406015474426,16.228960037231445,3714.72,222.952,False,3867.72,1.65419,3724.73,212.421,False,-27.6042,61.5215,22.475184798474658,0.06516428041039833,22.431362442716686,0.0004643598620484687,22.472263013492523,0.061919435035383864,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745297390233190599,7.3057256,3.1471658,2.1913838,227.34021682978937,-41.02127608941335,2025052300226,156,60819.08813322199,i,227.34017675432904,-41.02129515116831,17.0365047454834,3961.73,224.619,False,4210.24,4.40773,4403.55,217.082,False,408.96,56.8417,22.405287819967334,0.061558204460513764,22.339232807033873,0.0011366648663076438,22.290492718423046,0.053523588479828105,24.87079794232995,0.15090741039787203
2025 KX29,nan,MBO,MBO,21165827729537368,745297390767440896,7.3059325,3.147167,2.191388,227.33968378053163,-41.02122906037563,2025052300230,151,60819.090099383415,i,227.33966485661085,-41.02125157081497,16.0459041595459,3535.72,217.15,False,3604.03,1.1702,3914.69,206.27,False,367.253,101.052,22.52880534613429,0.06668164113390868,22.508028997684434,0.0003525299417370173,22.418256575119088,0.05720882495071244,24.98758664712161,0.2987472392475429
2025 KX29,nan,MBO,MBO,21165827729537368,745297392200843807,7.3071227,3.147174,2.1914108,227.33661922776017,-41.02095683624415,2025052300241,69,60819.10139749409,z,227.33656376625413,-41.02098153186854,9.035454750061035,3996.57,417.619,False,3895.59,82.3863,30524.4,400.52,False,26589.1,193.79,22.395781421307337,0.11345329804075625,22.42356686968698,0.022961806998921953,20.188382146025308,0.014246276658559053,20.33824092249477,0.007913198074462174
2025 KX29,nan,MBO,MBO,21165827729537368,745297392514368560,7.3072248,3.1471746,2.1914127,227.33635710981093,-41.02093340373997,2025052300243,155,60819.102363017635,z,227.33635688973064,-41.02096200921301,7.649787425994873,3648.28,438.164,False,4170.5,48.4075,41156.2,420.456,False,37429.9,164.12,22.494779585322522,0.1303985758197847,22.349529686172573,0.012602272307203148,19.863911848047863,0.01109199351450143,19.96695337825276,0.004760660008762758
2025 KX29,nan,MBO,MBO,21165827729537368,745297394123932018,7.3078594,3.1471782,2.191425,227.33472224351067,-41.02078671354364,2025052300255,153,60819.108387760905,z,227.33469247072566,-41.02079729633757,8.867195129394531,3333.16,371.477,False,3243.28,6.5278,5458.21,357.628,False,2071.73,168.821,22.592859625179067,0.12100410050433355,22.62253888030027,0.002185278120818602,22.057374405852393,0.0711386443799974,23.10916712284087,0.0884744018881489
2025 KX29,nan,MBO,MBO,21165827729537368,745297394660278518,7.308071,3.1471796,2.1914291,227.3341766407008,-41.02073755041305,2025052300259,152,60819.110397827186,z,227.33414670893768,-41.020757212049546,7.031678199768066,2584.37,370.761,False,2369.74,31.5955,3635.77,358.918,False,940.988,220.712,22.869113223265945,0.15576276149112958,22.963248256283922,0.014476009784178005,22.498508989647853,0.1071823201827279,23.96603981485901,0.25466320655976027
2025 KX29,nan,MBO,MBO,21165827729537368,745297395823149363,7.3088317,3.147184,2.1914442,227.33221643375305,-41.020560048241975,2025052300268,66,60819.11761797484,r,227.33216915541524,-41.020585227617076,18.516286849975586,2903.39,156.061,False,2776.54,1.70443,4049.34,151.262,False,1091.58,62.1837,22.74273659848035,0.05835974125289584,22.79124014851966,0.0006664990658048005,22.3815393676049,0.040557379494573984,23.80486111896277,0.06185080137373093
2025 KX29,nan,MBO,MBO,21165827729537368,745297397190492329,7.310362,3.147193,2.1914742,227.32827207374424,-41.020198660297815,2025052300278,114,60819.13214026288,r,227.32823634865403,-41.02020855000022,21.869043350219727,3232.36,147.264,False,3057.8,0.843886,4620.43,141.294,False,1332.59,59.3989,22.626200654432463,0.049465362571335166,22.6864772918561,0.0002996394753035233,22.238293971136258,0.03320210724340968,23.588258653051057,0.0483956332452647
2025 KX29,nan,MBO,MBO,21165827729537368,745297397749383490,7.3105836,3.1471941,2.1914785,227.32770052715384,-41.02014581900627,2025052300282,156,60819.13424434215,r,227.32767234745918,-41.02016957855343,21.40043067932129,2940.26,134.691,False,2697.09,0.161134,3787.56,129.438,False,811.774,69.7175,22.729035657121422,0.049736720031618845,22.822761367627173,6.486584315060672e-05,22.454101179782473,0.03710450119362847,24.126412174253844,0.09324616673998291
2025 KX29,nan,MBO,MBO,21165827729537368,745297399716511932,7.31168,3.1472006,2.1915004,227.3248724406884,-41.01988255214731,2025052300297,68,60819.14465413257,g,227.32484261013832,-41.01990923891307,24.72153663635254,2583.08,103.732,False,2585.84,0.367469,2618.96,99.8937,False,43.5684,26.7708,22.86965532511187,0.04360127717203471,22.868495840067965,0.00015429198933219587,22.854677852712047,0.04141270120604207,27.30207093854714,0.6671354813191196
2025 KX29,nan,MBO,MBO,21165827729537368,745297400112349389,7.311843,3.1472015,2.1915035,227.3244516041288,-41.01984311826666,2025052300300,55,60819.146203793265,g,227.32441609364182,-41.01986094499497,28.888158798217773,2661.0,91.9603,False,2667.95,0.54666,2551.27,88.9112,False,-35.8801,40.6085,22.837387813621525,0.03752146691184557,22.834555804330392,0.00022246615233432622,22.88310893600537,0.03783766897002729,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745297401327649067,7.3123164,3.1472042,2.191513,227.3232298420077,-41.01972825274829,2025052300309,69,60819.15070086936,g,227.323193246176,-41.019742137681234,27.084962844848633,2819.2,103.159,False,2647.75,0.150113,2811.65,99.0348,False,-17.4318,33.3168,22.774685301974905,0.039728809369861916,22.842807558226298,6.155532829622375e-05,22.7775968931152,0.038242906867568385,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745297401886540228,7.3125453,3.1472056,2.1915176,227.32263866176635,-41.0196724673834,2025052300313,111,60819.15287667574,g,227.32261221007118,-41.019684777472484,27.745296478271484,2814.49,99.8673,False,2531.33,0.00180261,2849.02,95.4767,False,-40.6374,33.419,22.776500728935726,0.038525468473859105,22.891628051010336,7.731741338748106e-07,22.763261247609094,0.03638532162098864,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745306290708283618,7.5604706,3.1485147,2.1966386,226.7659545147576,-40.957830198794326,2025052501004,81,60821.28659021382,g,226.7659266091325,-40.95785320277192,14.79175853729248,2338.11,157.593,False,2458.94,2.02434,4125.63,155.566,False,1814.31,5.34692,22.977837601712434,0.07318065461994165,22.92313019648829,0.0008938401051224104,22.361274339757202,0.040940083574598246,23.253221229202047,0.0031997533249768606
2025 KX29,nan,MBO,MBO,21165827729537368,745306290937397489,7.5605974,3.1485155,2.1966414,226.76569830353108,-40.957796037784696,2025052501006,6,60821.287567510604,g,226.76563494237192,-40.95783225922178,13.722878456115723,2292.43,165.933,False,2385.93,4.89788,4169.18,165.511,False,1785.28,5.57686,22.999259824277765,0.07858886403446062,22.955855786354736,0.0022288189003517303,22.349873339866715,0.04310230767971526,23.27073413285712,0.003391624091640136
2025 KX29,nan,MBO,MBO,21165827729537368,745306292566360242,7.5613604,3.148519,2.196658,226.7641574312356,-40.95759009815509,2025052501018,41,60821.29344660387,g,226.76413722280526,-40.957577003203525,16.467361450195312,2742.88,166.291,False,2986.64,5.6872,2553.09,165.308,False,-115.196,4.30287,22.80448302690003,0.06582430413901746,22.712042845811556,0.00206747356265645,22.882334651215476,0.07029946962292546,nan,nan
2025 KX29,nan,MBO,MBO,21165827729537368,745306293105852681,7.5616145,3.1485202,2.1966634,226.7636440493867,-40.95752129815721,2025052501022,46,60821.295406075245,g,226.76357776149817,-40.9575535983993,14.382620811462402,2370.77,162.631,False,2377.15,5.35351,2630.83,161.289,False,275.041,4.71828,22.962776433583464,0.07447975117065782,22.95985857732866,0.002445154812676145,22.84976800380305,0.06656351916292307,25.301506462881363,0.01862561408041176
2025 KX29,nan,MBO,MBO,21165827729537368,745306293485437548,7.561805,3.1485212,2.1966674,226.7632604319089,-40.95746982834837,2025052501025,2,60821.2968711151,g,226.76323752358863,-40.957506213253254,13.516143798828125,2413.49,176.391,False,2426.6,3.54069,3488.66,176.47,False,1049.2,5.63721,22.94338624511197,0.07935152111375011,22.937504473149566,0.0015842145836318326,22.543353412932547,0.05492076447863907,23.84785434573267,0.005833514257244547
2025 KX29,nan,MBO,MBO,21165827729537368,745306293755445401,7.5619307,3.1485217,2.1966703,226.76300596064343,-40.95743565789487,2025052501027,5,60821.29784368894,g,226.76296719104056,-40.95742619990976,13.860481262207031,2459.95,176.686,False,2616.14,4.70394,4058.58,177.545,False,1556.39,5.13213,22.92268432182589,0.07798304677657465,22.85584759185724,0.0019522036588675272,22.379064701829524,0.04749617570063938,23.419703910420214,0.0035801691443840124
