provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 MX322,nan,MBO,MBO,21165827765514840,745416141100286245,15.751078,2.3369098,1.4553167,226.70112271458072,-38.68462805029707,2025061900253,132,60846.18571192013,g,226.70111161064472,-38.684594186267105,10.316021919250488,1798.61,175.634,False,2070.53,7.19107,1777.23,177.815,False,66.0375,2.68715,23.26265749960284,0.1060219820057384,23.109796166147962,0.0037708243909154583,23.27564092290956,0.10862982732762008,26.8505234658498,0.04417999033406511
2025 MX322,nan,MBO,MBO,21165827765514840,745416141747781852,15.75184,2.3369086,1.4553305,226.70076786583047,-38.68448812222521,2025061900258,87,60846.188051312194,g,226.70077759507947,-38.68450132397294,10.051506996154785,1581.39,156.087,False,1662.8,1.81634,1687.61,158.366,False,67.8608,2.96461,23.40240251947544,0.10716478004726779,23.34789992853191,0.0011859911037240135,23.331819784057558,0.10188592055000859,26.8209525349357,0.04743216168766784
2025 MX322,nan,MBO,MBO,21165827765514840,745416141863125077,15.751991,2.3369083,1.4553332,226.70069738702327,-38.684460296918,2025061900259,51,60846.188516572714,g,226.7007390484844,-38.684469300058915,8.754268646240234,1548.46,173.807,False,1718.82,18.2183,1680.23,176.944,False,109.951,2.35294,23.42525004966,0.12186854340629463,23.311924037817946,0.011508051088225333,23.3365781760235,0.11433822126313847,26.29700207654482,0.023234643786057847
2025 MX322,nan,MBO,MBO,21165827765514840,745416142010974614,15.752146,2.336908,1.4553361,226.7006254049485,-38.68443186671376,2025061900260,77,60846.188991285606,g,226.7006663332342,-38.68444838836267,8.192493438720703,1337.55,161.213,False,1361.62,3.18429,1461.39,161.761,False,111.838,3.0393,23.584224896120638,0.13086223438724193,23.564860199212724,0.0025391070036351404,23.488084661044642,0.12017994798130639,26.278526544939606,0.0295058753255142
2025 MX322,nan,MBO,MBO,21165827765514840,745416142125793539,15.752298,2.3369079,1.4553388,226.70055464755376,-38.684403908976925,2025061900261,40,60846.189458533816,g,226.7005798874004,-38.684361871367855,8.020563125610352,1143.43,140.202,False,1115.82,1.22987,1238.8,142.416,False,135.666,3.89606,23.75447599263319,0.13312784842347003,23.78101469862563,0.0011967113054798847,23.667496965493115,0.12481934262168855,26.06882244613147,0.031180202670950667
2025 MX322,nan,MBO,MBO,21165827765514840,745416142682063332,15.752911,2.336907,1.45535,226.700269620535,-38.68429117587888,2025061900265,77,60846.19134019294,g,226.70027277534155,-38.68427116896845,8.737052917480469,1344.58,149.298,False,1439.25,7.99057,1851.06,150.853,False,485.142,4.50129,23.578533417887915,0.12055679372154467,23.50465940468207,0.006027897321434368,23.231448725277772,0.0884825748846132,24.68532781819406,0.010073779160562723
2025 MX322,nan,MBO,MBO,21165827765514840,745416142817853901,15.753063,2.3369067,1.4553528,226.7001989248968,-38.68426318650472,2025061900266,80,60846.191807329466,g,226.70020084182784,-38.68430944673871,9.494951248168945,1476.87,156.411,False,1385.34,1.26215,2089.27,157.346,False,616.589,3.9927,23.47664433194386,0.11498715606657774,23.546109091477064,0.0009891882412073978,23.100013569251978,0.08176838786862052,24.425010587392528,0.007030646230757088
2025 MX322,nan,MBO,MBO,21165827765514840,745416142960460163,15.753219,2.3369064,1.4553556,226.7001264254536,-38.68423447139644,2025061900267,96,60846.19228652783,g,226.70011096538542,-38.68422896636532,10.140653610229492,1500.77,143.862,False,1655.05,1.6261,2151.0,145.816,False,635.379,3.61519,23.45921463664859,0.10407735983928812,23.352972171486172,0.0010667445272308084,23.06839897403134,0.073601908044543,24.392417809604222,0.006177639687131402
2025 MX322,nan,MBO,MBO,21165827765514840,745416143088386169,15.75337,2.3369062,1.4553584,226.70005620879363,-38.68420664925205,2025061900268,84,60846.192750367045,g,226.7001180402313,-38.68425282132279,10.32338809967041,1593.35,152.836,False,1545.24,0.201905,2282.61,154.913,False,658.773,3.16004,23.39422205489115,0.10414509024544784,23.427510152506585,0.00014186506096084854,23.003920660012763,0.07368522817109689,24.353160505153348,0.0052081212745341485
2025 MX322,nan,MBO,MBO,21165827765514840,745416143219982555,15.753522,2.336906,1.4553611,226.6999855506696,-38.68417864106858,2025061900269,79,60846.19321768653,g,226.70000086244997,-38.68416138375899,8.944962501525879,1493.18,164.867,False,1496.55,3.41787,2131.94,166.613,False,575.357,2.85155,23.464719550315195,0.1198797661382456,23.462271886390546,0.0024796399249085344,23.07806258481165,0.08485125210468952,24.500156507023824,0.005381061175199502
