provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 NV4,nan,MBO,MBO,21165827779736662,745350184887124129,26.410923,2.013996,1.3274591,318.5430624717495,-14.505945135059424,2025060400361,111,60831.303063145984,i,318.54306472232923,-14.505963315921818,17.605342864990234,5389.94,304.785,False,5335.4,2.85977,5230.46,284.925,False,42.8715,22.8079,22.07104018502071,0.06139513922987317,22.08208255874671,0.00058195373314218,22.103650295177168,0.05914458330575695,27.31957835043552,0.5776183083751022
2025 NV4,nan,MBO,MBO,21165827779736662,745350185820356775,26.410143,2.013997,1.3274271,318.54361949114264,-14.505854121883276,2025060400368,99,60831.3066108022,i,318.54363994224974,-14.505855366806035,18.276065826416016,5204.91,280.874,False,4952.37,1.49826,5136.3,263.449,False,9.51383,28.065,22.108966906489094,0.05858988031175733,22.162967264046195,0.00032847204685357805,22.1233740863154,0.05568914079213216,28.954111511731956,3.2028306764008
2025 NV4,nan,MBO,MBO,21165827779736662,745350186765648070,26.40935,2.0139983,1.3273946,318.5441853213045,-14.505761443477256,2025060400375,110,60831.31021690188,i,318.54417352305774,-14.505766920618235,16.008928298950195,5111.96,317.52,False,4905.02,7.67981,4881.96,300.991,False,-173.084,23.7739,22.128531391042372,0.06743850703856519,22.173398039336885,0.0016999416476698637,22.178514466852178,0.066939677036557,nan,nan
2025 NV4,nan,MBO,MBO,21165827779736662,745350187135270970,26.408993,2.0139987,1.32738,318.5444404742136,-14.50571957720774,2025060400378,47,60831.31184336237,i,318.54443534080207,-14.505736803969437,14.890630722045898,5298.1,353.881,False,5060.12,0.0257758,4985.48,333.498,False,-50.8921,19.4233,22.089699601955644,0.07252060545902582,22.139597934376518,5.530643167703329e-06,22.155732558358643,0.07262908262770468,nan,nan
2025 NV4,nan,MBO,MBO,21165827779736662,745350190280474696,26.405903,2.0140033,1.3272537,318.54663770116434,-14.505357147915372,2025060400401,158,60831.32587620136,g,318.546611889975,-14.505372204332973,10.00857925415039,2170.08,215.6,False,2299.11,13.9636,1837.68,200.262,False,-241.051,13.6706,23.05881059988773,0.10786916793177295,22.99610057323974,0.006594197551529311,23.239325246252697,0.11831858121398615,nan,nan
2025 NV4,nan,MBO,MBO,21165827779736662,745350192618799196,26.40111,2.0140102,1.3270589,318.55002932494006,-14.504791124419071,2025060400419,10,60831.3476045309,r,318.5500239518953,-14.504800607141544,14.505067825317383,4171.61,289.447,False,4388.87,2.07865,3617.33,273.765,False,-429.151,16.6248,22.34924078593663,0.07533376508122495,22.294118178340632,0.000514224731941188,22.504029651120725,0.08217015908982717,nan,nan
2025 NV4,nan,MBO,MBO,21165827779736662,745350193557798993,26.40027,2.0140114,1.3270248,318.5506220552618,-14.504691405050856,2025060400426,9,60831.35140816614,r,318.55060870196803,-14.504666147358467,13.145673751831055,4510.8,338.156,False,4835.42,3.89543,3746.16,320.612,False,-548.704,14.3249,22.264366117607544,0.08139315294737647,22.188914511380496,0.0008746726340269228,22.466034219654762,0.09292183561746614,nan,nan
2025 NV4,nan,MBO,MBO,21165827779736662,745350194043289609,26.399916,2.014012,1.3270105,318.5508723756625,-14.504649221999308,2025060400429,167,60831.35301512876,r,318.5508850178743,-14.50458558555443,10.545252799987793,3938.87,372.453,False,4444.53,7.87331,3259.48,357.783,False,-708.951,13.1971,22.411570849144166,0.10266540856147696,22.28043544754094,0.0019233390770796918,22.61712920506589,0.11917788956415176,nan,nan
2025 NV4,nan,MBO,MBO,21165827779736662,745367800107237484,25.499245,2.01539,1.2921519,319.15521862596074,-14.418720635880234,2025060800533,13,60835.340378946974,i,319.1551978609943,-14.418768577345388,10.487452507019043,5863.29,542.532,False,6379.97,22.4713,7581.93,538.578,False,1866.09,43.1347,21.979646555153373,0.10046349602872712,21.88795337198988,0.0038241407549311633,21.70055054859107,0.07712464020506994,23.222668555925207,0.02509681053474711
2025 NV4,nan,MBO,MBO,21165827779736662,745367801532252295,25.497889,2.0153918,1.2921053,319.1559030295902,-14.418634150130584,2025060800543,171,60835.345793451605,i,319.1559497345086,-14.41866227606748,9.754338264465332,4933.36,493.767,False,5290.67,34.6362,6092.43,490.801,False,1167.41,53.7691,22.1671430095724,0.10866847779531992,22.091223331749113,0.007107942252595049,21.938023598709215,0.08746598550826121,23.731941445351737,0.050007329955590984
2025 NV4,nan,MBO,MBO,21165827779736662,745367802930528414,25.496027,2.0153947,1.2920415,319.1568404359196,-14.41851496304685,2025060800554,22,60835.35321625958,z,319.156888710416,-14.418563346185195,7.641907691955566,5273.52,686.9,False,5406.85,23.4693,6103.21,675.697,False,816.733,60.194,22.094748502414053,0.14142209051894,22.067639177162825,0.004712811989955693,21.936104223270036,0.12020374923495611,24.119799779397006,0.08001979555073806
2025 NV4,nan,MBO,MBO,21165827779736662,745367803869528227,25.495073,2.015396,1.2920088,319.15732139947926,-14.418453487268176,2025060800561,21,60835.35702703178,z,319.15734284511956,-14.41851704440405,5.58209228515625,4022.61,714.177,False,nan,nan,4601.48,704.371,False,628.04,77.5077,22.388730148748976,0.19276236247591258,nan,nan,22.242756157765655,0.16619893355602386,24.405031775672683,0.13399292540982619
2025 NV4,nan,MBO,MBO,21165827779736662,745367804353970225,25.494658,2.0153966,1.2919946,319.15753046320253,-14.418426697568512,2025060800564,177,60835.35868478575,z,319.1575589918024,-14.418442849259826,6.225379943847656,4474.6,719.315,False,4311.35,50.6383,4657.54,712.097,False,236.501,72.7766,22.27311443055832,0.17453768464926947,22.313466773469116,0.012752348201834662,22.22960850738678,0.1659995343638078,25.465417513970927,0.334105103697472
2025 NV4,nan,MBO,MBO,21165827779736662,745372199643775083,25.265976,2.01575,1.2840029,319.2831446089484,-14.404273803010405,2025060900544,39,60836.29658974032,z,319.2831399945346,-14.404260887613521,9.269972801208496,6096.91,643.289,False,6256.59,12.3989,6264.99,623.958,False,-14.8223,230.434,21.93722551167939,0.11455674122032233,21.90915578661511,0.0021516409098502865,21.907699004076953,0.10813325703425782,nan,nan
2025 NV4,nan,MBO,MBO,21165827779736662,745372200243036178,25.265455,2.015751,1.2839855,319.2833872799952,-14.404248042884747,2025060900548,158,60836.29861141683,z,319.2833600229009,-14.404261176132389,8.42590618133545,5552.48,651.656,False,5356.8,39.919,5234.62,636.378,False,301.858,70.454,22.038782496576196,0.12742531645289581,22.077736459643795,0.008090931852294325,22.102787075314104,0.1319940337542687,25.20049326824419,0.25341207031586727
2025 NV4,nan,MBO,MBO,21165827779736662,745372200565997694,25.265059,2.0157514,1.2839723,319.2835727265169,-14.4042283137835,2025060900551,6,60836.300157044534,z,319.28358686203694,-14.40424944567723,7.0239386558532715,3448.34,487.443,False,3413.48,51.1124,3999.08,470.811,False,419.259,216.682,22.555974772568753,0.15347514802625764,22.567006599686717,0.016257480216450543,22.39509974851865,0.12782353525024254,24.843794007704048,0.561131659032914
