provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 PP142,nan,MBO,MBO,21165827814666832,745627259112521744,22.19437,2.0820727,1.2876606,8.749340030044724,-42.35264061441859,2025080600341,72,60894.34731735366,i,8.749316625727667,-42.35266560744278,29.351696014404297,12984.2,439.104,False,12920.8,1.37221,14950.2,435.047,False,1712.3,14.9451,21.1164619925338,0.036717788352291836,21.121776506097778,0.00011530695684867082,20.963382479362693,0.031594645511077636,23.316050327341493,0.009476397539637959
2025 PP142,nan,MBO,MBO,21165827814666832,745627259246739470,22.194324,2.0820727,1.2876598,8.749412343490844,-42.35282710683617,2025080600342,72,60894.34775390878,i,8.749409206731292,-42.352839742518825,27.464340209960938,12857.5,464.957,False,12539.1,4.05817,13822.7,461.421,False,767.876,13.8218,21.12710866751718,0.039262737651249664,21.154334119034207,0.00035138901990769986,21.048517778551755,0.036243387137748,24.18677229837211,0.019543297856412567
2025 PP142,nan,MBO,MBO,21165827814666832,745627259380957197,22.19428,2.082073,1.2876588,8.74948498746807,-42.353014446360326,2025080600343,72,60894.34819159279,i,8.749483048787798,-42.35300521875419,25.90530776977539,12763.4,492.092,False,12506.1,0.422886,13186.0,488.707,False,391.1,13.4653,21.135084016594227,0.041860483532459664,21.15719529136338,3.671349743007251e-05,21.09971732148079,0.04024017019671986,24.919280443175648,0.03738113797582248
2025 PP142,nan,MBO,MBO,21165827814666832,745627259515174926,22.194237,2.082073,1.2876579,8.749557464418045,-42.35320134970458,2025080600344,72,60894.348628551925,i,8.749547451192782,-42.353197794663906,29.19268035888672,13048.4,440.845,False,13108.0,4.14738,13308.7,436.941,False,159.156,16.7549,21.111106813554656,0.036681996580657725,21.106158918224153,0.00034352765375126254,21.08966089541709,0.035646056070008474,25.8954424208454,0.11429918346896363
2025 PP142,nan,MBO,MBO,21165827814666832,745640441628065817,21.947145,2.082474,1.282204,9.243501583361104,-43.60962572411016,2025080900254,173,60897.298626113945,y,9.24338037182957,-43.6096202317634,6.840000629425049,14784.2,2084.51,False,20228.2,91.4153,14696.4,2079.32,False,346.307,56.5359,20.97550541307594,0.15308423566266663,20.635106944601677,0.0049066601596878855,20.981972561415677,0.1536153765202305,25.051346803183826,0.17725045238133064
2025 PP142,nan,MBO,MBO,21165827814666832,745640442006077451,21.94703,2.0824742,1.2822018,9.24369501350157,-43.61021128628675,2025080900257,126,60897.30000322536,y,9.243693048004136,-43.610249722360166,6.391225814819336,12597.2,1885.92,False,16563.8,301.911,13245.8,1880.71,False,-372.193,54.9853,21.149314921896803,0.16254498136438267,20.85210000388287,0.019789885142121114,21.094804532776003,0.15415867107673425,nan,nan
2025 PP142,nan,MBO,MBO,21165827814666832,745640442077904915,21.946991,2.0824742,1.282201,9.243759617935186,-43.61040687977864,2025080900258,7,60897.30046375269,y,9.243794766409145,-43.61038767861666,5.358023166656494,10854.9,2024.56,False,11407.4,504.704,10781.6,2033.27,False,-315.15,56.1506,21.310935393674615,0.20250191850870689,21.257033286991096,0.048036835526923144,21.318292000937298,0.20475578339365907,nan,nan
2025 PP142,nan,MBO,MBO,21165827814666832,745640442275037200,21.94695,2.0824742,1.2822003,9.243825479843332,-43.61060629009383,2025080900259,127,60897.30093209111,y,9.243773650748807,-43.61059210455983,7.304895877838135,12028.1,1606.09,False,12012.9,29.0466,12252.1,1585.81,False,-70.0378,65.339,21.199507459987416,0.14497635375672366,21.20088031005851,0.0026252565650873544,21.179473702609698,0.14052868074688102,nan,nan
2025 PP142,nan,MBO,MBO,21165827814666832,745640442395099161,21.946913,2.0824745,1.2821996,9.243889509869934,-43.6108001632787,2025080900260,100,60897.3013886345,y,9.243783491534389,-43.610842575045375,8.657758712768555,15433.4,1772.14,False,17465.6,51.4577,15421.6,1762.2,False,112.521,58.8183,20.928845941778818,0.12466964668221711,20.794541250148455,0.003198830150361367,20.92967644160525,0.12406522899525942,26.27191600611159,0.5675487588696091
2025 PP142,nan,MBO,MBO,21165827814666832,745640442528792587,21.946873,2.0824745,1.2821989,9.243953955023922,-43.61099530246464,2025080900261,99,60897.30184703713,y,9.243926110578537,-43.61094941594272,7.2473907470703125,13111.6,1837.77,False,12398.8,8.84701,14790.1,1825.35,False,789.322,56.6273,21.10586080335557,0.1521807792847364,21.16655088052755,0.0007747135885513037,20.975072252692648,0.13399832368889425,24.156864451349264,0.07789255639546327
2025 PP142,nan,MBO,MBO,21165827814666832,745640442652000281,21.946835,2.0824745,1.2821981,9.244017972932058,-43.6111891567878,2025080900262,78,60897.302303187695,y,9.243998839812916,-43.611225682313645,6.555234432220459,12871.7,2051.01,False,nan,nan,17700.4,2047.21,False,3247.62,55.061,21.125910210696617,0.17300401579698227,nan,nan,20.78004227400052,0.12557512396773726,22.6210869426181,0.01840785557042876
2025 PP142,nan,MBO,MBO,21165827814666832,745640442767343649,21.946796,2.0824745,1.2821974,9.244082125184448,-43.611383426594905,2025080900263,42,60897.30276054589,y,9.243999436825769,-43.61128467376866,7.04449462890625,11731.7,1659.06,False,12300.9,50.2476,15665.8,1633.62,False,2856.99,61.2103,21.22659760996369,0.15354139140063458,21.175157745716884,0.004435093155198875,20.912618569160387,0.11321990550299325,22.760228203027733,0.023261628330875445
2025 PP142,nan,MBO,MBO,21165827814666832,745640442883211265,21.946756,2.0824747,1.2821966,9.24414641179742,-43.611578111816776,2025080900264,7,60897.30321891303,y,9.24407783275363,-43.61158868392667,6.475139617919922,10158.1,1664.09,False,11586.5,71.2775,17522.3,1651.54,False,5443.81,55.8803,21.382968832088643,0.17786424561129072,21.240119335079296,0.006679200652359455,20.791022172503666,0.10233455277383346,22.06024259071791,0.011145000043247828
2025 PP142,nan,MBO,MBO,21165827814666832,745640443168948264,21.946678,2.0824747,1.2821952,9.244274827022064,-43.61196702871405,2025080900266,40,60897.30413397857,y,9.2442409996477,-43.61196235632332,7.905259132385254,12220.2,1505.6,False,11062.5,31.9529,21388.9,1482.99,False,9001.33,74.0253,21.182304198202697,0.13376903628826395,21.29036679073529,0.0031360379935928715,20.574528855139576,0.07527904166579347,21.514233281148826,0.008928896793389098
2025 PP142,nan,MBO,MBO,21165827814666832,745640443348779045,21.94664,2.082475,1.2821945,9.24433909598992,-43.612161685128754,2025080900267,127,60897.30459135955,y,9.24428799127679,-43.61215929249953,8.377083778381348,13616.0,1575.73,False,12954.3,94.7161,24415.3,1554.99,False,10777.7,71.5521,21.064876143148716,0.12564828794930535,21.1189651404427,0.007938422247206312,20.43084480277562,0.06914962652151746,21.318684753495084,0.007208096840812883
2025 PP142,nan,MBO,MBO,21165827814666832,745640443502395443,21.946602,2.082475,1.2821938,9.244403218901477,-43.6123559070362,2025080900268,164,60897.30504883433,y,9.244361824814426,-43.61237274334675,7.592418193817139,12650.7,1638.9,False,13448.8,70.7152,23227.5,1634.26,False,9981.38,72.8755,21.14471359085581,0.1406572810210664,21.07829117790093,0.005708915034291175,20.48499382812878,0.0763911424213072,21.4020235380477,0.007927117649298867
2025 PP142,nan,MBO,MBO,21165827814666832,745640443623505949,21.946562,2.082475,1.2821931,9.244467757030153,-43.61255139435304,2025080900269,139,60897.30550849546,y,9.244498221545891,-43.61257075669897,8.475028038024902,12841.2,1497.5,False,11589.8,57.1611,19539.4,1470.91,False,5953.45,70.5902,21.12848595822203,0.12661510932746045,21.23981016429084,0.005354870245353486,20.6727219192297,0.08173333091721453,21.963078187981704,0.01287360032555625
2025 PP142,nan,MBO,MBO,21165827814666832,745640443759296563,21.946524,2.0824752,1.2821922,9.244531868556336,-43.61274559702255,2025080900270,142,60897.30596584265,y,9.24458681840364,-43.61278943546899,8.57734203338623,12946.5,1511.92,False,14796.7,25.5128,19647.5,1485.72,False,4495.75,90.1453,21.119619060835824,0.12679460320634364,20.974587814004373,0.001872050559541655,20.6667317563865,0.08210204668912431,22.2679946176184,0.02177034262883206
2025 PP142,nan,MBO,MBO,21165827814666832,745640443836366861,21.946484,2.0824752,1.2821915,9.24459681611045,-43.61294233963258,2025080900271,33,60897.30642879754,y,9.244577829357974,-43.61291159209522,8.812830924987793,16465.1,1852.69,False,15613.4,28.7091,21614.0,1850.42,False,5198.95,61.4311,20.858589093951537,0.1221694732068699,20.916256257708696,0.0019963947174514622,20.563162132170415,0.0929521622893289,22.110210857456902,0.012829122363047268
