provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2008 CJ116,470510,Amor,NEA,21163641458013770,745464545183531292,23.901115,1.8904246,1.0597489,225.40718733206864,-41.86957267846405,2025063000444,10,60857.229415438866,g,225.4071648749959,-41.86955137672489,24.772537231445312,4747.07,189.85,False,4865.29,0.703345,4472.65,184.279,False,-112.594,7.39307,22.208935950591457,0.043421949272478236,22.182228161557035,0.00015695819275152547,22.27358773748294,0.04473374710735566,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745468905872425295,24.211086,1.887343,1.0621555,225.29558577927597,-41.71304079543665,2025070100165,180,60858.006507750004,g,225.29561085148674,-41.71302378271002,14.441131591796875,3662.45,251.701,False,3688.55,7.7187,4230.95,251.837,False,323.431,8.38494,22.490570753508166,0.07461696309599462,22.482860798385484,0.002272023385613505,22.33390521735497,0.06462580320545247,25.125545891982384,0.028147682503019293
2008 CJ116,470510,Amor,NEA,21163641458013770,745468906409296124,24.211813,1.8873361,1.062161,225.2953071782841,-41.71268762737808,2025070100169,180,60858.0082708691,g,225.29531274599952,-41.71269153012883,14.043228149414062,3595.53,253.4,False,3487.71,0.875222,3767.41,253.345,False,-45.459,7.73656,22.510592699342112,0.0765187734262101,22.543649095760493,0.00027245965200269366,22.459892809803772,0.07301192239147673,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745473291440358148,24.595274,1.8835019,1.0652719,225.1662699215161,-41.517877500035375,2025070200072,187,60858.97198599988,i,225.1662584907389,-41.517872031378516,34.05962371826172,12984.3,380.572,False,13169.9,0.751543,13335.8,376.013,False,-161.289,15.5489,21.116453663249878,0.03182310908751231,21.101043774434093,6.195775249024011e-05,21.087452331760133,0.030613156621199723,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745473292110922629,24.596176,1.8834931,1.065279,225.16595506300837,-41.51743880444468,2025070200077,186,60858.97419810419,i,225.16594669024903,-41.51743284457868,33.32056427001953,13035.2,385.421,False,13481.0,4.90995,12681.0,376.167,False,86.2635,12.7686,21.112205736315484,0.032102730808583946,21.075694728260306,0.0003954387834106329,21.142116243628294,0.0322070911168628,26.560432357940197,0.16070913406524856
2008 CJ116,470510,Amor,NEA,21163641458013770,745473292645695601,24.596907,1.8834859,1.0652847,225.1657000280649,-41.51708343483183,2025070200081,182,60858.97598970612,i,225.16570554075568,-41.51708661805234,34.75746154785156,13440.9,383.299,False,14218.4,4.6294,13065.0,379.745,False,-198.185,9.70131,21.07892909353617,0.03096233151397987,21.017873150471537,0.0003535072023231653,21.109726464841636,0.03155781781664214,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745473297605460376,24.605669,1.8834004,1.065354,225.16263736725017,-41.51281193524942,2025070200118,170,60858.99745662402,i,225.16262398353868,-41.51280467780221,39.5118293762207,12814.3,321.55,False,12254.2,0.674666,12769.9,315.907,False,-121.593,11.7649,21.130762798566362,0.027244443216370852,21.179287572330765,5.977618098802846e-05,21.13453122590384,0.02685938580516774,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745473298010210436,24.606226,1.883395,1.0653584,225.16244219966663,-41.51253936338095,2025070200121,174,60858.998822746675,i,225.16242508791805,-41.51253883358797,37.26875305175781,13040.8,347.116,False,12863.0,0.850408,12743.6,340.384,False,-129.191,9.56095,21.111739430231395,0.028899792281111437,21.126644325905065,7.178098216304784e-05,21.136769705181997,0.029000223372076875,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745473298279170234,24.606598,1.8833913,1.0653614,225.1623121696329,-41.51235773023108,2025070200123,175,60858.999732900775,i,225.1623084252981,-41.512348357123834,37.68632507324219,12744.4,337.021,False,12129.0,0.866931,12644.6,331.383,False,-29.8086,9.36833,21.136701481924344,0.028711895892081864,21.190437509866655,7.760395719016152e-05,21.145237295038182,0.028454401648534723,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745473298547605786,24.606966,1.8833877,1.0653644,225.16218312961857,-41.512177453336726,2025070200125,175,60859.000635239,i,225.16217149053014,-41.51216755749648,36.63481521606445,13393.7,364.434,False,13279.8,0.804815,13352.6,360.771,False,-49.7591,8.70387,21.0827485663551,0.029542185649749187,21.09202117996045,6.580044807403408e-05,21.086085433857548,0.029335271298827823,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745473299219218753,24.612034,1.8833382,1.0654047,225.1604096622405,-41.509696739109344,2025070200130,176,60859.01304083431,g,225.16040182356986,-41.50968584647791,23.76335906982422,7054.26,291.48,False,7421.97,4.30262,14893.0,292.636,False,7842.71,9.62194,21.77887137985237,0.04486231176703979,21.72370198213427,0.0006294164625457533,20.967544526235326,0.02133388069371854,21.663834614423493,0.00133205082171041
2008 CJ116,470510,Amor,NEA,21163641458013770,745473300291387459,24.61358,1.8833232,1.065417,225.1598677971011,-41.508937470598426,2025070200138,173,60859.016829316504,g,225.16001745862755,-41.50896219032946,17.77777671813965,7360.85,445.216,False,9405.07,402.535,227765.0,444.745,False,220519.0,20.5957,21.732680066261718,0.06567001466345876,21.466594883267362,0.046469278020976876,18.00628252982031,0.0021200612169723528,18.041384964020224,0.0001014039443472341
2008 CJ116,470510,Amor,NEA,21163641458013770,745477695385633107,24.996737,1.8794369,1.0686771,225.044197410571,-41.312860489816245,2025070300116,174,60859.989961473344,i,225.04418259707833,-41.31285569312934,17.242788314819336,7335.7,423.205,False,7676.97,2.98699,7272.63,422.387,False,41.0531,10.499,21.736396065680847,0.06263737117409725,21.687025360920714,0.00042244310819520084,21.745771284729564,0.0630584614578059,27.3666350917017,0.27766828356526835
2008 CJ116,470510,Amor,NEA,21163641458013770,745477695918309669,24.997482,1.8794295,1.0686833,225.0439613058608,-41.312493593060815,2025070300120,166,60859.991808865634,i,225.04393353029243,-41.31248887811592,16.711307525634766,7217.63,429.017,False,6855.15,5.5105,7188.93,429.603,False,-116.515,9.67646,21.754013480384216,0.06453632218111242,21.80995761000932,0.0008727671009167962,21.758339336394783,0.06488246733820545,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745477696319914064,24.998045,1.8794239,1.0686879,225.04378307361432,-41.31221657173335,2025070300123,164,60859.993202036996,i,225.0437883139359,-41.312210017908214,16.736299514770508,7038.27,415.886,False,6669.45,6.99551,7089.4,416.678,False,-152.484,9.39689,21.78133518925401,0.06415532100288225,21.839774915577287,0.0011388162989942941,21.773476312652605,0.06381392027050409,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745477696588349535,24.998417,1.8794202,1.068691,225.04366517415025,-41.31203329591556,2025070300125,164,60859.99412464926,i,225.04364062217462,-41.3120146788046,15.96252727508545,7212.8,454.483,False,6827.31,4.7441,6921.43,454.321,False,-172.203,8.86356,21.754740304325225,0.06841291353766807,21.814375933628604,0.0007544466541982646,21.799510394900466,0.07126746371684765,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745477696856785021,24.998785,1.8794166,1.0686941,225.04354841374905,-41.311851767826425,2025070300127,164,60859.99503732545,i,225.04354426176803,-41.31186218789003,15.694703102111816,6875.66,437.615,False,6697.92,0.812929,6750.79,434.344,False,-131.519,8.84638,21.806713993397892,0.06910382826446668,21.83515012261732,0.00013177619767719304,21.826613497727013,0.06985597197201816,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745477697366917324,25.000204,1.8794025,1.0687059,225.04309917638696,-41.3111531080748,2025070300131,113,60859.9985490214,g,225.04309281639988,-41.31115419290937,9.231290817260742,3536.7,374.192,False,4423.21,6.51064,3438.68,384.651,False,-290.675,4.4097,22.52850445894336,0.1148736936779481,22.28565611262485,0.001598123937886103,22.55902061481489,0.12145053516436283,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745477697536786527,25.00039,1.8794006,1.0687075,225.0430408364981,-41.31106234903316,2025070300132,181,60859.99900534162,g,225.04302539332775,-41.31106263153613,9.21175765991211,3033.56,325.381,False,2970.3,1.80941,3301.13,330.581,False,-228.115,4.83217,22.695118506120206,0.1164565521055533,22.717999194073602,0.0006613951075329378,22.603343470089797,0.10872754667485872,nan,nan
2008 CJ116,470510,Amor,NEA,21163641458013770,745477697791066362,25.000765,1.8793969,1.0687106,225.04292197478324,-41.31087741542101,2025070300134,154,60859.999934343636,g,225.0429702402534,-41.310809804760474,7.455387592315674,2965.8,388.919,False,3093.43,15.1265,3235.72,399.938,False,-97.3148,4.03214,22.719645330013684,0.14237758411159776,22.6738992915186,0.005309119393366456,22.625072676580757,0.13419800151640676,nan,nan
