provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284182110896180,29.24583,2.071495,1.80467,149.12110044799306,3.4986461065914494,2025052000122,110,60816.00427132496,g,149.12113678380572,3.498656937416404,7.250908374786377,1031.46,134.496,False,1132.78,7.98866,998.36,132.949,False,-4.65071,22.0249,23.866369064358913,0.14157328884397535,23.764636040296207,0.007656894553019468,23.901782085002655,0.1445846692283812,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284182224666646,29.245825,2.0714958,1.8046762,149.12123146927254,3.498573378456423,2025052000123,71,60816.00474765939,g,149.12117537828362,3.498568514680318,5.502716541290283,793.747,143.139,False,918.238,41.0668,764.246,141.265,False,1.27867,14.4279,24.150794745137457,0.19579437908258412,23.992611874605615,0.04855790310080201,24.191917104376433,0.2006900003219904,31.133103849784263,12.25092815305132
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284182358884395,29.24582,2.0714967,1.8046825,149.1213630455469,3.498500344010716,2025052000124,71,60816.00522575411,g,149.12138510099507,3.498459054753241,5.526515483856201,882.713,156.277,False,1127.07,45.3104,930.008,152.235,False,3.78239,13.2863,24.03545117781025,0.1922205593562719,23.770122826688773,0.04364870151414568,23.97878329411944,0.17772648469159322,29.955584199566292,3.8138362698861514
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284182492577863,29.245808,2.0714982,1.804694,149.121605565307,3.498365732502774,2025052000125,70,60816.00610655401,g,149.12158441967333,3.498434658177994,6.111965656280518,850.364,142.624,False,970.541,5.51452,838.512,141.138,False,-5.01258,16.5914,24.075987817220884,0.1821008771428069,23.932465265879117,0.00616904808988559,24.09122676351183,0.18275067336525283,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284182627319898,29.245798,2.0714993,1.8047034,149.12180074835038,3.498257399884177,2025052000126,71,60816.00681531953,g,149.12183378015644,3.4983166212005994,5.09686279296875,706.106,143.456,False,783.873,1.31517,703.464,140.413,False,-0.235948,27.8815,24.277825217609553,0.2205835414410161,24.164385755335026,0.0018216315195599098,24.281895323636007,0.2167153883497056,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284182915678289,29.245783,2.0715013,1.8047189,149.1221261680656,3.498076790907586,2025052000128,109,60816.00799732409,g,149.1221603035558,3.498028602946763,5.7086310386657715,879.2,154.787,False,903.347,15.1677,883.26,153.215,False,13.3566,15.6968,24.039780786386782,0.19114860142834275,24.010363501662972,0.018230116562889326,24.034778580285174,0.18833759798552827,28.58576021555692,1.2759672787973377
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284183051468832,29.245777,2.0715022,1.8047252,149.1222575003882,3.49800390429328,2025052000129,112,60816.0084747443,g,149.1222425375631,3.497961820015584,5.226657867431641,936.354,175.992,False,1243.88,11.1809,973.044,176.062,False,42.6635,11.0865,23.971399820256583,0.20406907016144488,23.663053783298707,0.009759387940643885,23.92966879531632,0.19645245496767313,27.324858753385634,0.28213845853030856
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284183855726666,29.245735,2.0715077,1.804768,149.12315382571418,3.497506514347944,2025052000135,110,60816.011729216334,g,149.1231933802519,3.497501289213407,5.785011291503906,856.403,145.98,False,nan,nan,863.705,144.455,False,25.4753,13.4131,24.06830453088756,0.18507147187766904,nan,nan,24.059086394162676,0.18158980478639877,27.884701739500233,0.5716552364707289
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284183991517240,29.24573,2.0715086,1.8047742,149.12328381847382,3.497434386233752,2025052000136,113,60816.01220191838,g,149.12329906940994,3.4973979472719683,5.511692523956299,958.289,168.3,False,1151.07,25.9712,955.972,168.07,False,27.5485,13.3436,23.946258740838132,0.1906829842509685,23.747245712723103,0.024497097883376548,23.94888708677199,0.19088393255788316,27.799755105728238,0.525895416674669
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284184125734966,29.245722,2.0715096,1.8047818,149.12344521463314,3.497344836306369,2025052000137,113,60816.01278751195,g,149.1234971347606,3.497381994332732,5.486831188201904,980.429,184.389,False,1008.53,3.44526,961.058,182.714,False,7.40882,14.3256,23.92145961036087,0.20419410073156907,23.890777915011856,0.003709005642036588,23.943126023257562,0.2064175244853777,29.225627368766474,2.099365607119398
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284184394170391,29.245708,2.0715115,1.8047957,149.12373828057468,3.497182237902828,2025052000139,113,60816.013851595686,g,149.1237684524486,3.4972496795099888,5.731895446777344,989.993,169.674,False,980.874,8.08902,951.419,168.664,False,-13.5356,12.7132,23.910919711340558,0.18608333995898643,23.920966916919994,0.008953791640202087,23.954070442492466,0.19247525181648917,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284184504270907,29.245699,2.0715125,1.8048041,149.12391154292692,3.4970861136039466,2025052000140,67,60816.014480708174,g,149.12393779791387,3.4971886458814936,5.21393346786499,908.483,171.153,False,nan,nan,899.137,170.587,False,16.4839,8.81149,24.004208021982098,0.2045464960963814,nan,nan,24.01543529736267,0.205989168646476,28.35735006737184,0.5803816896532777
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284184639012970,29.245693,2.0715134,1.8048103,149.1240429415492,3.4970132173391457,2025052000141,68,60816.01495770269,g,149.1241258983926,3.497055633319328,6.627727031707764,1064.79,154.464,False,1555.34,35.6281,1143.39,151.394,False,71.9877,11.0838,23.831840050671417,0.1575025647152524,23.420436670704614,0.024870909506183578,23.75451401211742,0.14376017092064713,26.756854233344995,0.16716860036536954
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284189627088967,29.245026,2.0715973,1.8054551,149.1375601107746,3.489528500515197,2025052000178,110,60816.0639107544,r,149.13753063617628,3.489549594835432,9.752415657043457,2883.67,295.946,False,3046.95,8.50221,2899.68,298.134,False,-42.6306,6.69596,22.750136131130034,0.11142721296052148,22.69033669846727,0.003029638490923621,22.74412484283338,0.11163124490157457,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284189761306684,29.24502,2.071598,1.8054614,149.13769163001646,3.489455841926845,2025052000179,110,60816.06438575081,r,149.13764034501526,3.4894264149268763,6.763726711273193,2632.76,375.13,False,2856.46,41.1708,2571.16,379.778,False,33.7081,6.2893,22.848971818418605,0.15470161590179335,22.760429647690334,0.01564895988099708,22.87467727942846,0.1603707100686843,27.580664336323014,0.20257803919742534
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284189897097271,29.244953,2.071606,1.8055217,149.13895738415155,3.4887567599430267,2025052000180,113,60816.06895572477,r,149.13894489723887,3.4887683537420426,6.4213032722473145,2847.06,433.417,False,3452.47,22.5228,2839.27,436.638,False,-20.6041,8.43693,22.764008428338492,0.16528506968264386,22.55467522547553,0.007082992780181414,22.766983258368292,0.16697027131698874,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284190167105567,29.244938,2.0716078,1.8055353,149.1392408255191,3.488600262184174,2025052000182,116,60816.06997807289,r,149.1392407008013,3.4886074962185702,10.028670310974121,2953.98,296.244,False,3009.46,4.93544,2874.69,296.792,False,-75.216,9.39703,22.7239811307198,0.10888456434385996,22.70377857582187,0.001780580580198505,22.753522476564555,0.11209480596805765,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284190301323322,29.24493,2.0716085,1.805542,149.13938242160702,3.488522088809088,2025052000183,116,60816.07048924177,r,149.139362721257,3.488507982701092,8.512271881103516,3340.95,387.87,False,3273.57,2.84967,3229.28,389.173,False,-89.6206,8.45988,22.590325075565467,0.12604932806322802,22.612445897221416,0.0009451423838823913,22.627235732993423,0.13084626191819176,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284190455988240,29.244925,2.0716095,1.8055483,149.1395140506687,3.4884494221302598,2025052000184,155,60816.070964540704,r,149.1395473687432,3.4884661273585214,9.679418563842773,3216.73,322.726,False,2964.09,3.78536,3167.25,324.843,False,-101.484,10.7889,22.63146348305294,0.1089290424929035,22.72027150233972,0.0013865646402284114,22.64829413795848,0.11135647388536184,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284190590205975,29.244917,2.0716105,1.805555,149.13965538773627,3.488371400421097,2025052000185,155,60816.071474644064,r,149.13965973285215,3.4883734306283354,6.823814868927002,2815.93,399.402,False,2695.82,25.31,2444.36,404.302,False,-71.6587,7.35562,22.77594538969877,0.15399716290083298,22.823272745036164,0.010193552264527195,22.929587031726708,0.1795829181812687,nan,nan
2017 FG91,nan,Not a NEA or MBO,Not a NEA or MBO,21164736724414791,745284190972411911,29.244894,2.0716128,1.8055748,149.14006947599094,3.4881428390255738,2025052000188,116,60816.07296889353,r,149.1401326807937,3.488140113931609,5.115690231323242,3253.02,653.19,False,nan,nan,3248.17,658.169,False,-7.03777,12.4159,22.619283160005324,0.2180103503755498,nan,nan,22.620903148852413,0.22000016508644757,nan,nan
