provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745284205824967520,11.144645,2.0344894,1.0635189,227.34972672623928,-41.1892153931916,2025052000299,29,60816.27556749106,i,227.3497332633682,-41.189220088993046,12.278979301452637,4071.34,325.163,False,3829.69,8.5005,3362.57,313.052,False,-639.484,37.9384,22.375656546357256,0.08671376692434854,22.44209096467845,0.0024099340812303864,22.583321642949837,0.10108098436097615,nan,nan
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745284206496055997,11.144713,2.0344903,1.0635201,227.348873347989,-41.18866204666018,2025052000304,29,60816.27802847215,i,227.3488984845255,-41.18869079789639,9.149823188781738,3133.57,343.946,False,3454.91,3.42173,2618.88,327.613,False,-374.419,31.0819,22.65990147447671,0.11917226427827197,22.553908181277187,0.0010753091349641293,22.854711051023614,0.13582192323550876,nan,nan
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745284208229351611,11.1449,2.0344925,1.0635234,227.34654438203052,-41.18714902528492,2025052000317,7,60816.28475189184,i,227.34659202994575,-41.18716962979803,10.110329627990723,3311.93,323.947,False,3588.82,10.7599,4144.3,310.975,False,924.953,49.7007,22.599797149693533,0.10619819373439299,22.512620788046487,0.0032552239644537038,22.356372086576602,0.0814701732050311,23.98470083325195,0.05834009725365962
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745284209851499290,11.145151,2.0344958,1.0635278,227.34340517490688,-41.18510289887457,2025052000329,29,60816.29382987938,r,227.34341991882172,-41.18512066169804,10.233556747436523,3129.9,298.206,False,3826.21,30.0177,3163.29,291.361,False,-127.282,16.663,22.66117387862181,0.1034451752088854,22.443078005025157,0.008517907856170135,22.649652465524063,0.10000384859778623,nan,nan
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745284211063128495,11.145275,2.0344973,1.0635302,227.3418377260095,-41.18407831886776,2025052000338,36,60816.298369852564,r,227.3418370952426,-41.184093770802754,17.642833709716797,3413.0,189.421,False,3269.92,0.463134,3894.88,183.656,False,285.747,67.1695,22.5671592793034,0.06025820197496174,22.613657206968277,0.0001537778763520696,22.42376482831365,0.05119592408041247,25.260045765946256,0.2552200306202904
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745288582669271334,11.1849985,2.034816,1.063973,227.0357231937256,-40.97850818659448,2025052100141,37,60817.22514724822,g,227.03571063851714,-40.97855760738463,15.770953178405762,2561.83,161.821,False,2633.81,0.0615933,2325.11,159.7,False,-114.395,4.28344,22.878624199144216,0.06858179976987507,22.84853887020762,2.5390622719079968e-05,22.983891189823815,0.0745737021369408,nan,nan
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745288582923026742,11.185057,2.0348165,1.0639735,227.03538895064847,-40.97828664123743,2025052100143,9,60817.22611979296,g,227.03540474741072,-40.97833839596074,14.814447402954102,2548.41,171.43,False,2826.02,1.20943,2405.33,169.355,False,-43.1835,5.06266,22.8843267859664,0.0730368174857139,22.772061914834044,0.0004646541449094615,22.94706329482417,0.0764447474341573,nan,nan
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745288583340359913,11.185191,2.0348172,1.0639751,227.0346119750452,-40.9777713322729,2025052100146,37,60817.228379524175,g,227.03465084080017,-40.97778246546686,13.770936965942383,2234.19,162.187,False,2348.76,1.31828,2016.69,160.236,False,-53.9223,4.5124,23.027199769414025,0.07881706507313414,22.972903390111235,0.0006093872077582389,23.138402169549007,0.08626711261676087,nan,nan
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745288584548843703,11.185485,2.034819,1.0639783,227.0329124453613,-40.97664264464333,2025052100155,38,60817.2333252631,g,227.03294166744965,-40.976686415464435,14.33062744140625,2361.76,164.191,False,2466.73,0.239591,2379.62,160.84,False,-56.2488,4.12731,22.966910588281497,0.07548104220120717,22.919695969415645,0.00010545646575404494,22.9587309205702,0.07338558198256019,nan,nan
2023 SD6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819273688644,745288585073656270,11.18566,2.0348198,1.0639803,227.0318962827735,-40.97596678583785,2025052100159,15,60817.23628496645,g,227.03188007244478,-40.97597232753208,13.886983871459961,2287.33,162.97,False,2450.61,2.10503,2141.53,161.683,False,14.1775,4.56744,23.001677897660553,0.07735762857621296,22.926814448985855,0.0009326278958545363,23.073189578481987,0.08197180657496889,28.521000877633053,0.3497820551510486
